Unnamed: 0,year,season,team_a,team_b,kickoff_dome,kickoff_weather_summary,kickoff_temperature,kickoff_feels_like,kickoff_wind,kickoff_humidity,kickoff_visibility,kickoff_barometer,kickoff_dew_point,kickoff_cloud_cover,kickoff_precipitation_prob,q2_dome,q2_weather_summary,q2_temperature,q2_feels_like,q2_wind,q2_humidity,q2_visibility,q2_barometer,q2_dew_point,q2_cloud_cover,q2_precipitation_prob,q3_dome,q3_weather_summary,q3_temperature,q3_feels_like,q3_wind,q3_humidity,q3_visibility,q3_barometer,q3_dew_point,q3_cloud_cover,q3_precipitation_prob,q4_dome,q4_weather_summary,q4_temperature,q4_feels_like,q4_wind,q4_humidity,q4_visibility,q4_barometer,q4_dew_point,q4_cloud_cover,q4_precipitation_prob
19,2013,1,TEN,PIT,N,Mostly Cloudy,,,5mi East - NorthEast,74.0,9.0,30.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2013,1,OAK,IND,Y,Mostly Cloudy,,,5mi South - SouthWest,46.0,10.0,29.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2013,1,KC,JAX,N,A Few Clouds,,,10mi North - NorthEast,50.0,10.0,29.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2013,1,BAL,DEN,N,Mostly Cloudy,,,3mi West - NorthWest,30.0,50.0,30.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2013,1,HOU,LAC,N,,,,3mi West - NorthWest,86.0,13.0,31.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2013,1,NYG,DAL,N,Fair,,,3mi SouthEast,40.0,10.0,29.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2013,1,PHI,WAS,N,Mostly Cloudy,,,4mi South - SouthEast,78.0,10.0,30.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2013,1,CIN,CHI,N,Mostly Cloudy,,,13mi NorthEast,69.0,10.0,30.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2013,1,MIN,DET,Y,Fair,,,8mi East - NorthEast,46.0,10.0,30.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2013,1,SEA,CAR,N,Mostly Cloudy,,,5mi North - NorthEast,40.0,10.0,29.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2013,1,ATL,NO,Y,Partly Cloudy,,,9mi East,52.0,10.0,29.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2013,1,GB,SF,N,,,,0mi North,70.0,40.0,29.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2013,1,ARI,LAR,Y,Mostly Cloudy,,,7mi SouthEast,70.0,9.0,29.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2013,10,OAK,NYG,N,Light Rain,,,14mi NorthWest,55.0,10.0,29.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2013,10,CIN,BAL,N,Breezy,,,0mi North,28.0,19.0,29.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2013,10,BUF,PIT,N,Overcast,,,17mi West - NorthWest,46.0,10.0,30.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2013,10,LAR,IND,Y,A Few Clouds,,,7mi NorthWest,52.0,10.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2013,10,JAX,TEN,N,Fair,,,5mi North - NorthWest,29.0,10.0,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2013,10,DEN,LAC,N,,,,6mi SouthWest,18.0,29.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2013,10,DET,CHI,N,A Few Clouds,,,4mi West - NorthWest,48.0,10.0,30.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2013,10,PHI,GB,N,Partly Cloudy,,,9mi West - SouthWest,51.0,10.0,30.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2013,10,WAS,MIN,Y,Fair,,,0mi North,82.0,7.0,30.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2013,10,MIA,TB,N,Partly Cloudy,,,0mi North,76.0,10.0,30.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2013,10,SEA,ATL,Y,Fair,,,6mi North,33.0,10.0,30.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2013,10,DAL,NO,Y,A Few Clouds,,,0mi North,68.0,10.0,30.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2013,10,CAR,SF,N,,,,0mi North,63.0,40.0,31.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2013,10,HOU,ARI,Y,Mostly Cloudy,,,0mi North,17.0,20.0,30.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2013,10,OAK,NYG,N,Light Rain,,,14mi NorthWest,55.0,10.0,29.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2013,10,CIN,BAL,N,Breezy,,,0mi North,28.0,4.0,29.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2013,10,BUF,PIT,N,Overcast,,,17mi West - NorthWest,46.0,10.0,30.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2013,10,LAR,IND,Y,A Few Clouds,,,7mi NorthWest,52.0,10.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2013,10,JAX,TEN,N,Fair,,,5mi North - NorthWest,29.0,10.0,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2013,10,DEN,LAC,N,,,,6mi SouthWest,18.0,11.0,29.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2013,10,DET,CHI,N,A Few Clouds,,,4mi West - NorthWest,48.0,10.0,30.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2013,10,PHI,GB,N,Partly Cloudy,,,9mi West - SouthWest,51.0,10.0,30.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2013,10,WAS,MIN,Y,Fair,,,0mi North,82.0,7.0,30.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2013,10,MIA,TB,N,Partly Cloudy,,,0mi North,76.0,10.0,30.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2013,10,SEA,ATL,Y,Fair,,,6mi North,33.0,10.0,30.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2013,10,DAL,NO,Y,A Few Clouds,,,0mi North,68.0,10.0,30.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2013,10,CAR,SF,N,,,,0mi North,63.0,47.0,29.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2013,10,HOU,ARI,Y,Mostly Cloudy,,,0mi North,17.0,20.0,30.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2013,11,NYJ,BUF,N,Mostly Cloudy,,,17mi South,73.0,10.0,29.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2013,11,LAC,MIA,N,A Few Clouds,,,8mi East - SouthEast,64.0,10.0,30.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2013,11,GB,NYG,N,Fog/Mist,,,0mi North,87.0,2.0,30.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2013,11,CLE,CIN,N,Overcast,,,13mi South,87.0,10.0,29.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2013,11,DET,PIT,N,Light Rain,,,11mi South,90.0,7.0,29.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2013,11,ARI,JAX,N,Overcast,,,4mi South - SouthEast,72.0,10.0,30.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2013,11,OAK,HOU,N,Mostly Cloudy,,,14mi South - SouthWest,61.0,10.0,29.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2013,11,IND,TEN,N,Partly Cloudy,,,5mi South,45.0,10.0,30.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2013,11,KC,DEN,N,Breezy,,,,,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2013,11,WAS,PHI,N,Mostly Cloudy,,,7mi South - SouthWest,63.0,10.0,30.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2013,11,BAL,CHI,N,Overcast and Windy,,,24mi South,81.0,10.0,29.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2013,11,ATL,TB,N,Overcast,,,3mi West,74.0,10.0,30.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2013,11,NE,CAR,N,Fair and Breezy,,,20mi North,36.0,10.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2013,11,SF,NO,Y,Mostly Cloudy,,,7mi South,79.0,10.0,29.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2013,11,MIN,SEA,N,Overcast,,,5mi South - SouthWest,60.0,10.0,29.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2013,11,NYJ,BUF,N,Mostly Cloudy,,,17mi South,73.0,10.0,29.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2013,11,LAC,MIA,N,A Few Clouds,,,8mi East - SouthEast,64.0,10.0,30.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2013,11,GB,NYG,N,Fog/Mist,,,0mi North,87.0,2.0,30.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2013,11,CLE,CIN,N,Overcast,,,13mi South,87.0,10.0,29.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2013,11,DET,PIT,N,Light Rain,,,11mi South,90.0,7.0,29.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2013,11,ARI,JAX,N,Overcast,,,4mi South - SouthEast,72.0,10.0,30.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2013,11,OAK,HOU,N,Mostly Cloudy,,,14mi South - SouthWest,61.0,10.0,29.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2013,11,IND,TEN,N,Partly Cloudy,,,5mi South,45.0,10.0,30.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2013,11,KC,DEN,N,Breezy,,,,,48.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2013,11,WAS,PHI,N,Mostly Cloudy,,,7mi South - SouthWest,63.0,10.0,30.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2013,11,BAL,CHI,N,Overcast and Windy,,,24mi South,81.0,10.0,29.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2013,11,ATL,TB,N,Overcast,,,3mi West,74.0,10.0,30.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2013,11,NE,CAR,N,Fair and Breezy,,,20mi North,36.0,10.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2013,11,SF,NO,Y,Mostly Cloudy,,,7mi South,79.0,10.0,29.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2013,11,MIN,SEA,N,Overcast,,,5mi South - SouthWest,60.0,10.0,29.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2013,12,CAR,MIA,N,Light Rain,,,17mi North - NorthEast,62.0,9.0,30.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2013,12,DAL,NYG,N,Fair,,,7mi West - NorthWest,40.0,10.0,30.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2013,12,DEN,NE,N,Fair,,,16mi West - NorthWest,32.0,10.0,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2013,12,PIT,CLE,N,Snow and Breezy,,,22mi West - NorthWest,0.0,10.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2013,12,NYJ,BAL,N,Breezy,,,0mi North,28.0,23.0,30.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2013,12,JAX,HOU,N,Overcast,,,9mi North,48.0,10.0,30.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2013,12,LAC,KC,N,Fair,,,4mi North,35.0,10.0,30.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2013,12,TEN,OAK,N,A Few Clouds,,,5mi West,55.0,10.0,30.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2013,12,SF,WAS,N,A Few Clouds,,,8mi South,39.0,10.0,30.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2013,12,TB,DET,Y,Mostly Cloudy,,,11mi West - NorthWest,44.0,10.0,30.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2013,12,MIN,GB,N,Fair,,,10mi SouthWest,50.0,10.0,30.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2013,12,NO,ATL,Y,Overcast,,,4mi East,80.0,10.0,30.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2013,12,IND,ARI,Y,Mostly Cloudy,,,0mi North,59.0,20.0,30.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2013,12,CHI,LAR,Y,Mostly Cloudy,,,4mi North,37.0,10.0,30.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2013,12,CAR,MIA,N,Light Rain,,,17mi North - NorthEast,62.0,9.0,30.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2013,12,DAL,NYG,N,Fair,,,7mi West - NorthWest,40.0,10.0,30.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2013,12,DEN,NE,N,Fair,,,16mi West - NorthWest,32.0,10.0,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2013,12,PIT,CLE,N,Snow and Breezy,,,22mi West - NorthWest,0.0,10.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2013,12,NYJ,BAL,N,Breezy,,,0mi North,28.0,32.0,30.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2013,12,JAX,HOU,N,Overcast,,,9mi North,48.0,10.0,30.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2013,12,LAC,KC,N,Fair,,,4mi North,35.0,10.0,30.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2013,12,TEN,OAK,N,A Few Clouds,,,5mi West,55.0,10.0,30.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2013,12,SF,WAS,N,A Few Clouds,,,8mi South,39.0,10.0,30.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2013,12,TB,DET,Y,Mostly Cloudy,,,11mi West - NorthWest,44.0,10.0,30.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2013,12,MIN,GB,N,Fair,,,10mi SouthWest,50.0,10.0,30.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2013,12,NO,ATL,Y,Overcast,,,4mi East,80.0,10.0,30.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2013,12,IND,ARI,Y,Mostly Cloudy,,,0mi North,59.0,20.0,30.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2013,12,CHI,LAR,Y,Mostly Cloudy,,,4mi North,37.0,10.0,30.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2013,13,MIA,NYJ,N,Overcast,,,5mi West - NorthWest,48.0,10.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2013,13,JAX,CLE,N,Overcast,,,8mi SouthWest,55.0,10.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2013,13,PIT,BAL,N,Mostly Clear,,,0mi North,42.0,18.0,30.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2013,13,TEN,IND,Y,Fair,,,9mi West - SouthWest,52.0,10.0,30.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2013,13,NE,HOU,N,Mostly Cloudy,,,6mi South - SouthEast,73.0,10.0,30.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2013,13,CIN,LAC,N,Mostly Clear,,,3mi West,40.0,36.0,29.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2013,13,DEN,KC,N,Fair with Haze,,,0mi North,51.0,6.0,30.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2013,13,OAK,DAL,N,Clear,,,0mi North,38.0,10.0,30.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2013,13,ARI,PHI,N,Mostly Cloudy,,,5mi SouthWest,48.0,10.0,30.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2013,13,NYG,WAS,N,Overcast,,,3mi South,81.0,10.0,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2013,13,GB,DET,Y,Overcast,,,6mi South,75.0,10.0,30.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2013,13,CHI,MIN,Y,Overcast with Haze,,,0mi North,67.0,6.0,30.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2013,13,TB,CAR,N,Partly Cloudy,,,5mi SouthWest,42.0,10.0,30.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2013,13,LAR,SF,N,Areas Fog,,,0mi North,43.0,33.0,32.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2013,13,NO,SEA,N,Partly Cloudy,,,3mi South - SouthEast,70.0,10.0,29.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2013,13,ATL,BUF,Y,Chance Snow,,,,,5.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2013,13,MIA,NYJ,N,Overcast,,,5mi West - NorthWest,48.0,10.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2013,13,JAX,CLE,N,Overcast,,,8mi SouthWest,55.0,10.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2013,13,PIT,BAL,N,Mostly Clear,,,0mi North,42.0,6.0,30.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2013,13,TEN,IND,Y,Fair,,,9mi West - SouthWest,52.0,10.0,30.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2013,13,NE,HOU,N,Mostly Cloudy,,,6mi South - SouthEast,73.0,10.0,30.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2013,13,CIN,LAC,N,Mostly Clear,,,3mi West,40.0,30.0,29.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2013,13,DEN,KC,N,Fair with Haze,,,0mi North,51.0,6.0,30.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2013,13,OAK,DAL,N,Clear,,,0mi North,38.0,10.0,30.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2013,13,ARI,PHI,N,Mostly Cloudy,,,5mi SouthWest,48.0,10.0,30.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2013,13,NYG,WAS,N,Overcast,,,3mi South,81.0,10.0,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2013,13,GB,DET,Y,Overcast,,,6mi South,75.0,10.0,30.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2013,13,CHI,MIN,Y,Overcast with Haze,,,0mi North,67.0,6.0,30.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2013,13,TB,CAR,N,Partly Cloudy,,,5mi SouthWest,42.0,10.0,30.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2013,13,LAR,SF,N,Areas Fog,,,0mi North,43.0,8.0,31.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2013,13,NO,SEA,N,Partly Cloudy,,,3mi South - SouthEast,70.0,10.0,29.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2013,13,ATL,BUF,Y,Chance Snow,,,,,35.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2013,14,OAK,NYJ,N,Overcast,,,5mi North,48.0,10.0,30.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2013,14,CLE,NE,N,Fair,,,3mi North - NorthWest,47.0,10.0,30.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2013,14,IND,CIN,N,Overcast,,,7mi East,81.0,10.0,30.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2013,14,MIN,BAL,N,Wintry Mix,,,0mi North,82.0,17.0,30.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2013,14,MIA,PIT,N,Light Snow Fog/Mist,,,4mi East - NorthEast,84.0,43.0,30.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2013,14,HOU,JAX,N,Fair,,,4mi South - SouthEast,79.0,10.0,30.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
