,year,season,team_a,team_b,kickoff_dome,kickoff_weather_summary,kickoff_temperature,kickoff_feels_like,kickoff_wind,kickoff_humidity,kickoff_visibility,kickoff_barometer,kickoff_dew_point,kickoff_cloud_cover,kickoff_precipitation_prob,q2_dome,q2_weather_summary,q2_temperature,q2_feels_like,q2_wind,q2_humidity,q2_visibility,q2_barometer,q2_dew_point,q2_cloud_cover,q2_precipitation_prob,q3_dome,q3_weather_summary,q3_temperature,q3_feels_like,q3_wind,q3_humidity,q3_visibility,q3_barometer,q3_dew_point,q3_cloud_cover,q3_precipitation_prob,q4_dome,q4_weather_summary,q4_temperature,q4_feels_like,q4_wind,q4_humidity,q4_visibility,q4_barometer,q4_dew_point,q4_cloud_cover,q4_precipitation_prob
92,2013,12,DEN,NE,N,Fair,,,16mi West - NorthWest,32%,10mi,"30""",-3f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2013,12,PIT,CLE,N,Snow and Breezy,,,22mi West - NorthWest,0%,10mi,"30""",0f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2013,12,NYJ,BAL,N,Breezy,,,0mi North,28%,0mi,"30""",4f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2013,12,JAX,HOU,N,Overcast,,,9mi North,48%,10mi,"30""",31f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2013,12,LAC,KC,N,Fair,,,4mi North,35%,10mi,"30""",4f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2013,12,TEN,OAK,N,A Few Clouds,,,5mi West,55%,10mi,"30""",43f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2013,12,SF,WAS,N,A Few Clouds,,,8mi South,39%,10mi,"30""",10f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2013,12,TB,DET,Y,Mostly Cloudy,,,11mi West - NorthWest,44%,10mi,"30""",4f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2013,12,MIN,GB,N,Fair,,,10mi SouthWest,50%,10mi,"30""",4f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2013,12,NO,ATL,Y,Overcast,,,4mi East,80%,10mi,"30""",47f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2013,12,IND,ARI,Y,Mostly Cloudy,,,0mi North,59%,20mi,"30""",43f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2013,12,CHI,LAR,Y,Mostly Cloudy,,,4mi North,37%,10mi,"30""",5f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2013,12,CAR,MIA,N,Light Rain,,,17mi North - NorthEast,62%,9mi,"30""",66f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2013,12,DAL,NYG,N,Fair,,,7mi West - NorthWest,40%,10mi,"30""",5f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2013,12,DEN,NE,N,Fair,,,16mi West - NorthWest,32%,10mi,"30""",-3f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2013,12,PIT,CLE,N,Snow and Breezy,,,22mi West - NorthWest,0%,10mi,"30""",0f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2013,12,NYJ,BAL,N,Breezy,,,0mi North,28%,0mi,"30""",4f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2013,12,JAX,HOU,N,Overcast,,,9mi North,48%,10mi,"30""",31f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2013,12,LAC,KC,N,Fair,,,4mi North,35%,10mi,"30""",4f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2013,12,TEN,OAK,N,A Few Clouds,,,5mi West,55%,10mi,"30""",43f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2013,12,SF,WAS,N,A Few Clouds,,,8mi South,39%,10mi,"30""",10f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2013,12,TB,DET,Y,Mostly Cloudy,,,11mi West - NorthWest,44%,10mi,"30""",4f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2013,12,MIN,GB,N,Fair,,,10mi SouthWest,50%,10mi,"30""",4f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2013,12,NO,ATL,Y,Overcast,,,4mi East,80%,10mi,"30""",47f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2013,12,IND,ARI,Y,Mostly Cloudy,,,0mi North,59%,20mi,"30""",43f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2013,12,CHI,LAR,Y,Mostly Cloudy,,,4mi North,37%,10mi,"30""",5f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2013,13,MIA,NYJ,N,Overcast,,,5mi West - NorthWest,48%,10mi,"30""",30f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2013,13,JAX,CLE,N,Overcast,,,8mi SouthWest,55%,10mi,"29""",0f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2013,13,PIT,BAL,N,Mostly Clear,,,0mi North,42%,0mi,"30""",16f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2013,13,TEN,IND,Y,Fair,,,9mi West - SouthWest,52%,10mi,"30""",34f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2013,13,NE,HOU,N,Mostly Cloudy,,,6mi South - SouthEast,73%,10mi,"30""",58f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2013,13,CIN,LAC,N,Mostly Clear,,,3mi West,40%,0mi,"0""",50f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2013,13,DEN,KC,N,Fair with Haze,,,0mi North,51%,6mi,"30""",35f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2013,13,OAK,DAL,N,Clear,,,0mi North,38%,10mi,"30""",27f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2013,13,ARI,PHI,N,Mostly Cloudy,,,5mi SouthWest,48%,10mi,"30""",28f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2013,13,NYG,WAS,N,Overcast,,,3mi South,81%,10mi,"30""",32f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2013,13,GB,DET,Y,Overcast,,,6mi South,75%,10mi,"30""",21f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2013,13,CHI,MIN,Y,Overcast with Haze,,,0mi North,67%,6mi,"30""",24f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2013,13,TB,CAR,N,Partly Cloudy,,,5mi SouthWest,42%,10mi,"30""",34f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2013,13,LAR,SF,N,Areas Fog,,,0mi North,43%,0mi,"0""",43f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2013,13,NO,SEA,N,Partly Cloudy,,,3mi South - SouthEast,70%,10mi,"29""",33f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2013,13,ATL,BUF,Y,Chance Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2013,13,MIA,NYJ,N,Overcast,,,5mi West - NorthWest,48%,10mi,"30""",30f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2013,13,JAX,CLE,N,Overcast,,,8mi SouthWest,55%,10mi,"29""",0f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2013,13,PIT,BAL,N,Mostly Clear,,,0mi North,42%,0mi,"30""",16f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2013,13,TEN,IND,Y,Fair,,,9mi West - SouthWest,52%,10mi,"30""",34f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2013,13,NE,HOU,N,Mostly Cloudy,,,6mi South - SouthEast,73%,10mi,"30""",58f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2013,13,CIN,LAC,N,Mostly Clear,,,3mi West,40%,0mi,"0""",50f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2013,13,DEN,KC,N,Fair with Haze,,,0mi North,51%,6mi,"30""",35f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2013,13,OAK,DAL,N,Clear,,,0mi North,38%,10mi,"30""",27f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2013,13,ARI,PHI,N,Mostly Cloudy,,,5mi SouthWest,48%,10mi,"30""",28f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2013,13,NYG,WAS,N,Overcast,,,3mi South,81%,10mi,"30""",32f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2013,13,GB,DET,Y,Overcast,,,6mi South,75%,10mi,"30""",21f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2013,13,CHI,MIN,Y,Overcast with Haze,,,0mi North,67%,6mi,"30""",24f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2013,13,TB,CAR,N,Partly Cloudy,,,5mi SouthWest,42%,10mi,"30""",34f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2013,13,LAR,SF,N,Areas Fog,,,0mi North,43%,0mi,"0""",43f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2013,13,NO,SEA,N,Partly Cloudy,,,3mi South - SouthEast,70%,10mi,"29""",33f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2013,13,ATL,BUF,Y,Chance Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2013,14,OAK,NYJ,N,Overcast,,,5mi North,48%,10mi,"30""",16f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2013,14,CLE,NE,N,Fair,,,3mi North - NorthWest,47%,10mi,"30""",13f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2013,14,IND,CIN,N,Overcast,,,7mi East,81%,10mi,"30""",23f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2013,14,MIN,BAL,N,Wintry Mix,,,0mi North,82%,0mi,"30""",25f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2013,14,MIA,PIT,N,Light Snow Fog/Mist,,,4mi East - NorthEast,84%,0mi,"30""",22f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2013,14,HOU,JAX,N,Fair,,,4mi South - SouthEast,79%,10mi,"30""",63f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2013,14,TEN,DEN,N,A Few Clouds with Haze,,,7mi East,68%,7mi,"29""",10f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2013,14,NYG,LAC,N,Partly Cloudy,,,7mi West - SouthWest,52%,0mi,"0""",36f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
