ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
17,2014,2014-09-22,3,24.239,NYJ,,CHI,L 19-27,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,145,48.33,0
18,2014,2014-09-28,4,24.245,NYJ,,DET,L 17-24,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,310,51.67,0
19,2014,2014-10-05,5,24.252,NYJ,@,SDG,L 0-31,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,8,409,51.13,0
20,2014,2014-10-12,6,24.259,NYJ,,DEN,L 17-31,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,319,45.57,0
21,2014,2014-10-16,7,24.263,NYJ,@,NWE,L 25-27,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,128,42.67,0
22,2014,2014-10-26,8,24.273,NYJ,,BUF,L 23-43,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,226,45.20,0
23,2014,2014-11-02,9,24.280,NYJ,@,KAN,L 10-24,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,148,49.33,0
24,2014,2014-11-09,10,24.287,NYJ,,PIT,W 20-13,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,232,46.40,0
25,2014,2014-11-24,11,24.302,NYJ,@,BUF,L 3-38,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,311,44.43,1
26,2014,2014-12-01,12,24.309,NYJ,,MIA,L 13-16,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,109,27.25,0
27,2014,2014-12-07,13,24.315,NYJ,@,MIN,L 24-30,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,160,40.00,0
28,2014,2014-12-14,14,24.322,NYJ,@,TEN,W 16-11,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,352,50.29,0
29,2014,2014-12-21,15,24.329,NYJ,,NWE,L 16-17,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,189,47.25,0
30,2014,2014-12-28,16,24.336,NYJ,@,MIA,W 37-24,,1,1,100.00,38,0,0,118.7,0,0,38.00,38.00,,,,,,,0,0,0.0,0,0,2,88,44.00,0
31,2015,2015-09-13,1,25.230,NYJ,,CLE,W 31-10,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,131,43.67,0
32,2015,2015-09-21,2,25.238,NYJ,@,IND,W 20-7,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,170,34.00,0
33,2015,2015-09-27,3,25.244,NYJ,,PHI,L 17-24,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,8,371,46.38,0
34,2015,2015-10-04,4,25.251,NYJ,@,MIA,W 27-14,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,212,42.40,0
35,2015,2015-10-18,5,25.265,NYJ,,WAS,W 34-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,1,49,49.00,1
36,2015,2015-11-01,7,25.279,NYJ,@,OAK,L 20-34,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,182,45.50,0
37,2015,2015-11-08,8,25.286,NYJ,,JAX,W 28-23,,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4,0.0,0,0,9,351,39.00,0
38,2015,2015-11-12,9,25.290,NYJ,,BUF,L 17-22,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,258,51.60,0
39,2015,2015-11-22,10,25.300,NYJ,@,HOU,L 17-24,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,8,364,45.50,0
40,2015,2015-11-29,11,25.307,NYJ,,MIA,W 38-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,234,46.80,0
41,2015,2015-12-06,12,25.314,NYJ,@,NYG,W 23-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,224,44.80,0
42,2015,2015-12-13,13,25.321,NYJ,,TEN,W 30-8,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,138,46.00,0
43,2015,2015-12-19,14,25.327,NYJ,@,DAL,W 19-16,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,203,40.60,0
44,2015,2015-12-27,15,25.335,NYJ,,NWE,W 26-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,239,47.80,0
45,2015,2016-01-03,16,25.342,NYJ,@,BUF,L 17-22,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,161,40.25,0
46,2016,2016-10-02,4,26.250,ARI,,LAR,L 13-17,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,169,42.25,0
47,2016,2016-10-06,5,26.254,ARI,@,SFO,W 33-21,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,9,382,42.44,0
48,2016,2016-10-17,6,26.265,ARI,,NYJ,W 28-3,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,200,40.00,0
49,2016,2016-10-23,7,26.271,ARI,,SEA,T 6-6,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,229,38.17,1
50,2016,2016-10-30,8,26.278,ARI,@,CAR,L 20-30,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,259,43.17,0
51,2016,2016-11-13,9,26.292,ARI,,SFO,W 23-20,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,177,44.25,0
52,2017,2017-09-11,1,27.228,MIN,,NOR,W 29-19,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,2,87,43.50,0
53,2017,2017-09-17,2,27.234,MIN,@,PIT,L 9-26,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,0,0,0.0,0,0,6,264,44.00,0
54,2017,2017-09-24,3,27.241,MIN,,TAM,W 34-17,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,121,40.33,0
55,2017,2017-10-01,4,27.248,MIN,,DET,L 7-14,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,201,40.20,0
56,2017,2017-10-09,5,27.256,MIN,@,CHI,W 20-17,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,258,43.00,0
57,2017,2017-10-15,6,27.262,MIN,,GNB,W 23-10,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,155,38.75,0
58,2017,2017-10-22,7,27.269,MIN,,BAL,W 24-16,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,2,92,46.00,0
59,2017,2017-10-29,8,27.276,MIN,@,CLE,W 33-16,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,6,221,36.83,0
60,2017,2017-11-12,9,27.290,MIN,@,WAS,W 38-30,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,2,79,39.50,0
61,2017,2017-11-19,10,27.297,MIN,,LAR,W 24-7,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,137,45.67,0
62,2017,2017-11-23,11,27.301,MIN,@,DET,W 30-23,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,4,171,42.75,0
63,2017,2017-12-03,12,27.311,MIN,@,ATL,W 14-9,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,225,45.00,0
64,2017,2017-12-10,13,27.318,MIN,@,CAR,L 24-31,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,3,131,43.67,0
65,2017,2017-12-17,14,27.325,MIN,,CIN,W 34-7,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,5,217,43.40,0
66,2017,2017-12-23,15,27.331,MIN,@,GNB,W 16-0,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,7,277,39.57,0
67,2017,2017-12-31,16,27.339,MIN,,CHI,W 23-10,,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,8,358,44.75,0
