ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
13,1975,1975-12-21,14,22.137,CIN,,SDG,W 47-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1976,1976-09-12,1,23.037,CIN,,DEN,W 17-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1976,1976-09-19,2,23.044,CIN,@,BAL,L 27-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1976,1976-09-26,3,23.051,CIN,,GNB,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0,0,0
17,1976,1976-10-03,4,23.058,CIN,@,CLE,W 45-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1976,1976-10-10,5,23.065,CIN,,TAM,W 21-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,0,0,0,0,0
19,1976,1976-10-17,6,23.072,CIN,@,PIT,L 6-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1976,1976-10-24,7,23.079,CIN,@,HOU,W 27-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1976,1976-10-31,8,23.086,CIN,,CLE,W 21-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1976,1976-11-08,9,23.094,CIN,,RAM,W 20-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1976,1976-11-14,10,23.100,CIN,,HOU,W 31-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1976,1976-11-21,11,23.107,CIN,@,KAN,W 27-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1976,1976-11-28,12,23.114,CIN,,PIT,L 3-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,18,0
26,1976,1976-12-06,13,23.122,CIN,@,OAK,L 20-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1976,1976-12-12,14,23.128,CIN,@,NYJ,W 42-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,37,0
28,1977,1977-09-18,1,24.043,CIN,,CLE,L 3-13,0,0,,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,0,0,0,0,0
29,1977,1977-09-25,2,24.050,CIN,,SEA,W 42-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1977,1977-10-02,3,24.057,CIN,@,SDG,L 3-24,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,1,3,0
31,1977,1977-10-09,4,24.064,CIN,@,GNB,W 17-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1977,1977-10-17,5,24.072,CIN,@,PIT,L 14-20,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
33,1977,1977-10-23,6,24.078,CIN,,DEN,L 13-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1977,1977-10-30,7,24.085,CIN,,HOU,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0,0,0
35,1977,1977-11-06,8,24.092,CIN,@,CLE,W 10-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1977,1977-11-13,9,24.099,CIN,@,MIN,L 10-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1977,1977-11-20,10,24.106,CIN,,MIA,W 23-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,34,0
38,1977,1977-11-27,11,24.113,CIN,,NYG,W 30-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1977,1977-12-04,12,24.120,CIN,@,KAN,W 27-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1977,1977-12-10,13,24.126,CIN,,PIT,W 17-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1977,1977-12-18,14,24.134,CIN,@,HOU,L 16-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1978,1978-09-03,1,25.028,CIN,,KAN,L 23-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1978,1978-09-10,2,25.035,CIN,@,CLE,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1978,1978-09-17,3,25.042,CIN,,PIT,L 3-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1978,1978-09-24,4,25.049,CIN,,NOR,L 18-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1978,1978-10-01,5,25.056,CIN,@,SFO,L 12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1978,1978-10-09,6,25.064,CIN,@,MIA,L 0-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1978,1978-10-15,7,25.070,CIN,,NWE,L 3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1978,1978-10-22,8,25.077,CIN,@,BUF,L 0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1978,1978-10-29,9,25.084,CIN,,HOU,W 28-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1978,1978-11-05,10,25.091,CIN,@,SDG,L 13-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1978,1978-11-13,11,25.099,CIN,,OAK,L 21-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1978,1978-11-19,12,25.105,CIN,@,PIT,L 6-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1978,1978-11-26,13,25.112,CIN,@,HOU,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,13,0
55,1978,1978-12-03,14,25.119,CIN,,ATL,W 37-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1978,1978-12-11,15,25.127,CIN,@,RAM,W 20-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1978,1978-12-17,16,25.133,CIN,,CLE,W 48-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1979,1979-09-02,1,26.027,CIN,@,DEN,L 0-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1979,1979-09-09,2,26.034,CIN,@,BUF,L 24-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1979,1979-09-16,3,26.041,CIN,,NWE,L 14-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1979,1979-09-23,4,26.048,CIN,,HOU,L 27-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1979,1979-09-30,5,26.055,CIN,@,DAL,L 13-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1979,1979-10-07,6,26.062,CIN,,KAN,L 7-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1979,1979-10-14,7,26.069,CIN,,PIT,W 34-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1979,1979-10-21,8,26.076,CIN,@,CLE,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,14,0
66,1979,1979-11-11,11,26.097,CIN,,SDG,L 24-26,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
67,1979,1979-11-18,12,26.104,CIN,@,HOU,L 21-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1979,1979-11-25,13,26.111,CIN,,STL,W 34-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,5,0
69,1979,1979-12-02,14,26.118,CIN,@,PIT,L 17-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1979,1979-12-09,15,26.125,CIN,@,WAS,L 14-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1979,1979-12-16,16,26.132,CIN,,CLE,W 16-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1980,1980-09-21,3,27.046,PIT,@,CIN,L 28-30,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,3,19,6.33,0,0,0,0,0,0
73,1980,1980-09-28,4,27.053,PIT,,CHI,W 38-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1980,1980-10-05,5,27.060,PIT,@,MIN,W 23-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1980,1980-10-12,6,27.067,PIT,,CIN,L 16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1980,1980-10-20,7,27.075,PIT,,OAK,L 34-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1980,1980-10-26,8,27.081,PIT,@,CLE,L 26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1980,1980-11-02,9,27.088,MIN,@,WAS,W 39-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1980,1980-12-14,15,27.130,MIN,,CLE,W 28-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
