ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
23,1989,1989-10-30,8,25.196,MIN,@,NYG,L 14-24,,,,,,,,,,,
24,1989,1989-11-05,9,25.202,MIN,,RAM,W 23-21,,,,,,,,,,,
25,1989,1989-11-12,10,25.209,MIN,@,TAM,W 24-10,,,,,,,,,,,
26,1989,1989-11-19,11,25.216,MIN,@,PHI,L 9-10,,,,,,,,,,,
27,1989,1989-11-26,12,25.223,MIN,@,GNB,L 19-20,,,,,,,,,,,
28,1989,1989-12-03,13,25.230,MIN,,CHI,W 27-16,,,,,,,,,,,
29,1989,1989-12-10,14,25.237,MIN,,ATL,W 43-17,,,,,,,,,,,
30,1989,1989-12-17,15,25.244,MIN,@,CLE,L 17-23,,,,,,,,,,,
31,1989,1989-12-25,16,25.252,MIN,,CIN,W 29-21,,0,0,,0,,,0.0,1,0,0
32,1990,1990-09-09,1,26.145,MIN,@,KAN,L 21-24,,,,,,,,,,,
33,1990,1990-09-16,2,26.152,MIN,,NOR,W 32-3,,0,0,,0,,,0.0,1,10,0
34,1990,1990-09-23,3,26.159,MIN,@,CHI,L 16-19,,,,,,,,,,,
35,1990,1990-09-30,4,26.166,MIN,,TAM,L 20-23,,,,,,,,,,,
36,1990,1990-10-07,5,26.173,MIN,,DET,L 27-34,,,,,,,,,,,
37,1990,1990-10-15,6,26.181,MIN,@,PHI,L 24-32,,,,,,,,,,,
38,1990,1990-10-28,7,26.194,MIN,@,GNB,L 10-24,,,,,,,,,,,
39,1990,1990-11-04,8,26.201,MIN,,DEN,W 27-22,,0,0,,0,,,1.0,0,0,0
40,1990,1990-11-11,9,26.208,MIN,@,DET,W 17-7,,,,,,,,,,,
41,1990,1990-11-18,10,26.215,MIN,@,SEA,W 24-21,,,,,,,,,,,
42,1990,1990-11-25,11,26.222,MIN,,CHI,W 41-13,,,,,,,,,,,
43,1990,1990-12-02,12,26.229,MIN,,GNB,W 23-7,,,,,,,,,,,
44,1990,1990-12-09,13,26.236,MIN,@,NYG,L 15-23,,,,,,,,,,,
45,1990,1990-12-16,14,26.243,MIN,@,TAM,L 13-26,,,,,,,,,,,
46,1990,1990-12-22,15,26.249,MIN,,RAI,L 24-28,,,,,,,,,,,
47,1990,1990-12-30,16,26.257,MIN,,SFO,L 17-20,,,,,,,,,,,
48,1991,1991-09-01,1,27.137,NWE,@,IND,W 16-7,,,,,,,,,,,
49,1991,1991-09-08,2,27.144,NWE,,CLE,L 0-20,,,,,,,,,,,
50,1991,1991-09-15,3,27.151,NWE,@,PIT,L 6-20,,,,,,,,,,,
51,1991,1991-09-22,4,27.158,NWE,,HOU,W 24-20,,,,,,,,,,,
52,1991,1991-09-29,5,27.165,NWE,@,PHO,L 10-24,,,,,,,,,,,
53,1991,1991-10-06,6,27.172,TAM,,PHI,W 14-13,,0,0,,0,,,0.0,1,10,0
54,1991,1991-10-20,7,27.186,TAM,@,NOR,L 7-23,,0,0,,0,,,0.0,1,3,0
55,1991,1991-10-27,8,27.193,TAM,,GNB,L 0-27,,,,,,,,,,,
56,1991,1991-11-03,9,27.200,TAM,@,MIN,L 13-28,,,,,,,,,,,
57,1991,1991-11-10,10,27.207,TAM,,DET,W 30-21,,,,,,,,,,,
58,1991,1991-11-17,11,27.214,TAM,@,ATL,L 7-43,,,,,,,,,,,
59,1991,1991-11-24,12,27.221,TAM,,NYG,L 14-21,,,,,,,,,,,
60,1991,1991-12-01,13,27.228,TAM,@,MIA,L 14-33,,,,,,,,,,,
61,1991,1991-12-08,14,27.235,TAM,,MIN,L 24-26,,,,,,,,,,,
62,1991,1991-12-14,15,27.241,TAM,@,CHI,L 0-27,,,,,,,,,,,
63,1991,1991-12-22,16,27.249,TAM,,IND,W 17-3,,,,,,,,,,,
64,1992,1992-09-06,1,28.142,TAM,,PHO,W 23-7,,0,0,,0,0.0%,,0.0,1,5,0
65,1992,1992-09-13,2,28.149,TAM,,GNB,W 31-3,,0,0,,0,0.0%,,0.0,1,16,0
66,1992,1992-09-20,3,28.156,TAM,@,MIN,L 20-26,1,1,12,12.00,0,100.0%,12.00,0.0,0,0,0
67,1992,1992-09-27,4,28.163,TAM,@,DET,W 27-23,,0,0,,0,0.0%,,,,,
68,1992,1992-10-04,5,28.170,TAM,,IND,L 14-24,,0,0,,0,0.0%,,0.0,1,4,0
69,1992,1992-10-18,6,28.184,TAM,@,CHI,L 14-31,,0,0,,0,0.0%,,,,,
70,1992,1992-10-25,7,28.191,TAM,,DET,L 7-38,,0,0,,0,0.0%,,,,,
71,1992,1992-11-01,8,28.198,TAM,@,NOR,L 21-23,,0,0,,0,0.0%,,,,,
72,1992,1992-11-08,9,28.205,TAM,,MIN,L 7-35,,0,0,,0,0.0%,,,,,
73,1992,1992-11-15,10,28.212,TAM,,CHI,W 20-17,,0,0,,0,0.0%,,,,,
74,1992,1992-11-22,11,28.219,TAM,@,SDG,L 14-29,,0,0,,0,0.0%,,,,,
75,1992,1992-11-29,12,28.226,TAM,@,GNB,L 14-19,,0,0,,0,0.0%,,,,,
76,1992,1992-12-06,13,28.233,TAM,,RAM,L 27-31,,0,0,,0,0.0%,,,,,
77,1992,1992-12-13,14,28.240,TAM,,ATL,L 7-35,,0,0,,0,0.0%,,,,,
78,1992,1992-12-19,15,28.246,TAM,@,SFO,L 14-21,,0,0,,0,0.0%,,,,,
79,1992,1992-12-27,16,28.254,TAM,@,PHO,W 7-3,,0,0,,0,0.0%,,,,,
