ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
24,1973,1973-11-18,10,23.086,CIN,,NYJ,W 20-14,0,0,,0,1,12,12.00,0,0,0,0
25,1973,1973-11-25,11,23.093,CIN,,STL,W 42-24,0,0,,0,1,26,26.00,0,0,0,0
26,1973,1973-12-02,12,23.100,CIN,,MIN,W 27-0,0,0,,0,1,28,28.00,0,0,0,0
27,1973,1973-12-09,13,23.107,CIN,,CLE,W 34-17,0,0,,0,2,56,28.00,0,1,0,0
28,1973,1973-12-16,14,23.114,CIN,@,HOU,W 27-24,0,0,,0,4,103,25.75,0,0,0,0
29,1974,1974-09-15,1,24.022,CIN,,CLE,W 33-7,0,0,,0,1,32,32.00,0,0,0,0
30,1974,1974-09-22,2,24.029,CIN,,SDG,L 17-20,0,0,,0,1,32,32.00,0,0,0,0
31,1974,1974-09-29,3,24.036,CIN,@,SFO,W 21-3,1,22,22.00,0,1,18,18.00,0,1,17,0
32,1974,1974-10-06,4,24.043,CIN,,WAS,W 28-17,0,0,,0,1,0,0.00,0,0,0,0
33,1974,1974-10-13,5,24.050,CIN,@,CLE,W 34-24,0,0,,0,2,65,32.50,0,0,0,0
34,1974,1974-10-20,6,24.057,CIN,@,OAK,L 27-30,0,0,,0,3,65,21.67,0,0,0,0
35,1974,1974-10-27,7,24.064,CIN,,HOU,L 21-34,0,0,,0,5,121,24.20,0,0,0,0
36,1974,1974-11-03,8,24.071,CIN,@,BAL,W 24-14,0,0,,0,1,28,28.00,0,0,0,0
37,1974,1974-11-10,9,24.078,CIN,,PIT,W 17-10,0,0,,0,1,15,15.00,0,0,0,0
38,1974,1974-11-17,10,24.085,CIN,@,HOU,L 3-20,0,0,,0,2,45,22.50,0,0,0,0
39,1974,1974-11-24,11,24.092,CIN,,KAN,W 33-6,0,0,,0,2,56,28.00,0,0,0,0
40,1974,1974-12-02,12,24.100,CIN,@,MIA,L 3-24,0,0,,0,3,56,18.67,0,0,0,0
41,1974,1974-12-08,13,24.106,CIN,,DET,L 19-23,0,0,,0,2,39,19.50,0,0,0,0
42,1974,1974-12-14,14,24.112,CIN,@,PIT,L 3-27,0,0,,0,4,110,27.50,0,0,0,0
43,1975,1975-09-21,1,25.028,CIN,,CLE,W 24-17,0,0,,0,1,14,14.00,0,0,0,0
44,1975,1975-09-28,2,25.035,CIN,@,NOR,W 21-0,0,0,,0,1,20,20.00,0,0,0,0
45,1975,1975-10-05,3,25.042,CIN,@,HOU,W 21-19,0,0,,0,1,23,23.00,0,0,0,0
46,1975,1975-10-12,4,25.049,CIN,,NWE,W 27-10,0,0,,0,2,42,21.00,0,0,0,0
47,1975,1975-10-19,5,25.056,CIN,,OAK,W 14-10,,,,,,,,,,,
48,1975,1975-10-26,6,25.063,CIN,@,ATL,W 21-14,0,0,,0,2,38,19.00,0,2,61,0
49,1975,1975-11-02,7,25.070,CIN,,PIT,L 24-30,0,0,,0,3,64,21.33,0,1,0,0
50,1975,1975-11-09,8,25.077,CIN,@,DEN,W 17-16,0,0,,0,4,123,30.75,0,0,0,0
51,1975,1975-11-17,9,25.085,CIN,,BUF,W 33-24,0,0,,0,3,72,24.00,0,0,0,0
52,1975,1975-11-23,10,25.091,CIN,@,CLE,L 23-35,0,0,,0,2,62,31.00,0,0,0,0
53,1975,1975-11-30,11,25.098,CIN,,HOU,W 23-19,0,0,,0,3,80,26.67,0,1,17,0
54,1975,1975-12-07,12,25.105,CIN,@,PHI,W 31-0,0,0,,0,1,13,13.00,0,1,19,0
55,1975,1975-12-13,13,25.111,CIN,@,PIT,L 14-35,0,0,,0,1,8,8.00,0,0,0,0
56,1975,1975-12-21,14,25.119,CIN,,SDG,W 47-17,0,0,,0,1,28,28.00,0,0,0,0
57,1976,1976-09-12,1,26.019,CIN,,DEN,W 17-7,,,,,,,,,,,
58,1976,1976-09-19,2,26.026,CIN,@,BAL,L 27-28,,,,,,,,,,,
59,1976,1976-09-26,3,26.033,CIN,,GNB,W 28-7,,,,,,,,,,,
60,1976,1976-10-03,4,26.040,CIN,@,CLE,W 45-24,,,,,,,,,,,
61,1976,1976-10-10,5,26.047,CIN,,TAM,W 21-0,0,0,,0,0,0,,0,1,0,0
62,1976,1976-10-17,6,26.054,CIN,@,PIT,L 6-23,,,,,,,,,,,
63,1976,1976-10-24,7,26.061,CIN,@,HOU,W 27-7,,,,,,,,,,,
64,1976,1976-10-31,8,26.068,CIN,,CLE,W 21-6,,,,,,,,,,,
65,1976,1976-11-08,9,26.076,CIN,,RAM,W 20-12,,,,,,,,,,,
66,1976,1976-11-14,10,26.082,CIN,,HOU,W 31-27,,,,,,,,,,,
67,1976,1976-11-21,11,26.089,CIN,@,KAN,W 27-24,,,,,,,,,,,
68,1976,1976-12-06,13,26.104,CIN,@,OAK,L 20-35,,,,,,,,,,,
69,1977,1977-09-18,1,27.025,DEN,,STL,W 7-0,,,,,,,,,,,
70,1977,1977-09-25,2,27.032,DEN,,BUF,W 26-6,0,0,,0,0,0,,0,1,13,0
71,1977,1977-10-02,3,27.039,DEN,@,SEA,W 24-13,,,,,,,,,,,
72,1977,1977-10-09,4,27.046,DEN,,KAN,W 23-7,,,,,,,,,,,
73,1977,1977-10-16,5,27.053,DEN,@,OAK,W 30-7,,,,,,,,,,,
74,1977,1977-10-23,6,27.060,DEN,@,CIN,W 24-13,,,,,,,,,,,
75,1977,1977-10-30,7,27.067,DEN,,OAK,L 14-24,,,,,,,,,,,
76,1977,1977-11-06,8,27.074,DEN,,PIT,W 21-7,,,,,,,,,,,
77,1977,1977-11-13,9,27.081,DEN,@,SDG,W 17-14,,,,,,,,,,,
78,1977,1977-11-20,10,27.088,DEN,@,KAN,W 14-7,,,,,,,,,,,
79,1977,1977-11-27,11,27.095,DEN,,BAL,W 27-13,,,,,,,,,,,
80,1977,1977-12-04,12,27.102,DEN,@,HOU,W 24-14,,,,,,,,,,,
81,1977,1977-12-11,13,27.109,DEN,,SDG,W 17-9,,,,,,,,,,,
82,1977,1977-12-18,14,27.116,DEN,@,DAL,L 6-14,,,,,,,,,,,
83,1978,1978-09-03,1,28.010,DEN,,OAK,W 14-6,0,0,,0,0,0,,0,1,14,0
84,1978,1978-09-11,2,28.018,DEN,@,MIN,L 9-12,,,,,,,,,,,
85,1978,1978-09-17,3,28.024,DEN,,SDG,W 27-14,0,0,,0,0,0,,0,1,20,0
86,1978,1978-09-24,4,28.031,DEN,@,KAN,W 23-17,0,0,,0,1,40,40.00,0,0,0,0
87,1978,1978-10-01,5,28.038,DEN,,SEA,W 28-7,0,0,,0,1,26,26.00,0,1,22,0
88,1978,1978-10-08,6,28.045,DEN,@,SDG,L 0-23,,,,,,,,,0,9,0
89,1978,1978-10-16,7,28.053,DEN,,CHI,W 16-7,,,,,,,,,,,
90,1978,1978-10-22,8,28.059,DEN,@,BAL,L 6-7,,,,,0,8,,0,,,
91,1978,1978-10-29,9,28.066,DEN,@,SEA,W 20-17,0,0,,0,4,82,20.50,0,0,0,0
92,1978,1978-11-05,10,28.073,DEN,,NYJ,L 28-31,0,0,,0,2,39,19.50,0,1,38,0
93,1978,1978-11-12,11,28.080,DEN,@,CLE,W 19-7,0,0,,0,1,14,14.00,0,0,0,0
94,1978,1978-11-19,12,28.087,DEN,,GNB,W 16-3,,,,,,,,,,,
95,1978,1978-11-23,13,28.091,DEN,@,DET,L 14-17,0,0,,0,0,0,,0,1,22,0
96,1978,1978-12-03,14,28.101,DEN,@,OAK,W 21-6,0,0,,0,0,0,,0,1,3,0
97,1978,1978-12-10,15,28.108,DEN,,KAN,W 24-3,,,,,,,,,,,
98,1978,1978-12-16,16,28.114,DEN,,PIT,L 17-21,,,,,,,,,,,
99,1979,1979-09-02,1,29.009,DEN,,CIN,W 10-0,,,,,,,,,,,
100,1979,1979-09-06,2,29.013,DEN,,RAM,L 9-13,0,0,,0,1,21,21.00,0,0,0,0
101,1979,1979-09-16,3,29.023,DEN,@,ATL,W 20-17,0,0,,0,2,23,11.50,0,0,0,0
102,1979,1979-09-23,4,29.030,DEN,,SEA,W 37-34,,,,,,,,,,,
103,1979,1979-09-30,5,29.037,DEN,@,OAK,L 3-27,,,,,,,,,,,
104,1979,1979-10-07,6,29.044,DEN,,SDG,W 7-0,,,,,,,,,0,13,0
105,1979,1979-10-14,7,29.051,DEN,@,KAN,W 24-10,,,,,,,,,,,
106,1979,1979-10-22,8,29.059,DEN,@,PIT,L 7-42,,,,,,,,,,,
107,1979,1979-11-25,13,29.093,DEN,,OAK,L 10-14,0,0,,0,1,9,9.00,0,0,0,0
108,1979,1979-12-02,14,29.100,DEN,@,BUF,W 19-16,,,,,,,,,,,
109,1979,1979-12-08,15,29.106,DEN,@,SEA,L 23-28,,,,,,,,,,,
110,1979,1979-12-17,16,29.115,DEN,@,SDG,L 7-17,,,,,,,,,,,
111,1980,1980-09-07,1,30.014,DEN,@,PHI,L 6-27,,,,,,,,,,,
112,1980,1980-09-14,2,30.021,DEN,,DAL,W 41-20,,,,,,,,,,,
113,1980,1980-09-21,3,30.028,DEN,,SDG,L 13-30,0,0,,0,0,0,,0,1,11,0
114,1980,1980-09-29,4,30.036,DEN,@,NWE,L 14-23,,,,,,,,,,,
115,1980,1980-11-30,13,30.098,SDG,,PHI,W 22-21,0,0,,0,2,14,7.00,0,0,0,0
116,1980,1980-12-07,14,30.105,SDG,@,WAS,L 17-40,0,0,,0,3,56,18.67,0,0,0,0
117,1980,1980-12-13,15,30.111,SDG,,SEA,W 21-14,0,0,,0,1,32,32.00,0,0,0,0
118,1980,1980-12-22,16,30.120,SDG,,PIT,W 26-17,0,0,,0,3,47,15.67,0,0,0,0
