ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
26,2009,2009-11-26,11,26.303,OAK,@,DAL,L 7-24,*,18,35,51.43,200,1,0,78.3,3,19,5.71,6.29,3,30,10.00,0,0.0,0,0
27,2009,2009-12-06,12,26.313,OAK,@,PIT,W 27-24,*,20,33,60.61,308,3,0,121.8,3,21,9.33,11.15,3,20,6.67,0,0.0,0,0
28,2009,2009-12-13,13,26.320,OAK,,WAS,L 13-34,*,10,18,55.56,153,0,0,83.8,2,13,8.50,8.50,3,16,5.33,0,0.0,0,0
29,2010,2010-09-19,2,27.235,OAK,,STL,W 16-14,,11,21,52.38,162,1,1,73.9,0,0,7.71,6.52,4,0,0.00,0,0.0,0,0
30,2010,2010-09-26,3,27.242,OAK,@,ARI,L 23-24,*,17,34,50.00,255,1,1,72.5,3,24,7.50,6.76,4,13,3.25,0,0.0,0,0
31,2010,2010-10-03,4,27.249,OAK,,HOU,L 24-31,*,24,39,61.54,278,2,2,78.8,4,33,7.13,5.85,3,16,5.33,0,0.0,1,0
32,2010,2010-10-10,5,27.256,OAK,,SDG,W 35-27,*,1,7,14.29,14,0,0,39.6,0,0,2.00,2.00,0,0,,0,0.0,0,0
33,2010,2010-11-21,10,27.298,OAK,@,PIT,L 3-35,,13,24,54.17,98,0,1,46.9,2,15,4.08,2.21,1,12,12.00,0,0.0,0,0
34,2010,2010-11-28,11,27.305,OAK,,MIA,L 17-33,*,17,32,53.13,252,1,2,63.5,1,5,7.88,5.69,0,0,,0,0.0,0,0
35,2011,2011-09-11,1,28.227,CIN,@,CLE,W 27-17,,5,12,41.67,92,1,0,96.5,1,7,7.67,9.33,2,0,0.00,0,0.0,0,0
36,2011,2011-12-04,12,28.311,CIN,@,PIT,L 7-35,,3,6,50.00,17,0,1,16.7,0,0,2.83,-4.67,1,1,1.00,0,0.0,0,0
37,2012,2012-09-10,1,29.227,CIN,@,BAL,L 13-44,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0.0,0,0
38,2012,2012-12-23,15,29.331,CIN,@,PIT,W 13-10,,,,,,,,,,,,,,,,,,,
39,2012,2012-12-30,16,29.338,CIN,,BAL,W 23-17,,5,11,45.45,65,0,0,64.6,0,0,5.91,5.91,3,-2,-0.67,0,0.0,0,0
40,2014,2014-09-21,3,31.237,PIT,@,CAR,W 37-19,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,0.0,0,0
