ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
18,1987,1987-10-25,6,27.272,SDG,,KAN,W 42-21,,,,,,,,,,,,,,,,,,,,,
19,1987,1987-11-29,11,27.307,SDG,,DEN,L 17-31,,,,,,,,,,,,,,,,,,,,,
20,1987,1987-12-06,12,27.314,SDG,@,HOU,L 18-33,,,,,,,,,,,,,,,,,,,,,
21,1987,1987-12-13,13,27.321,SDG,,PIT,L 16-20,,,,,,,,,,,,,,,,,,,,,
22,1987,1987-12-20,14,27.328,SDG,,IND,L 7-20,,,,,,,,,,,,,,,,,,,,,
23,1987,1987-12-27,15,27.335,SDG,@,DEN,L 0-24,,,,,,,,,,,,,,,,,,,,,
24,1988,1988-09-04,1,28.222,SDG,@,RAI,L 13-24,,,,,,,,,,,,,,,,,,,,,
25,1988,1988-09-11,2,28.229,SDG,@,DEN,L 3-34,,,,,,,,,,,,,,,,,,,,,
26,1988,1988-09-18,3,28.236,SDG,,SEA,W 17-6,,,,,,,,,,,,,,,,,,,,,
27,1988,1988-09-25,4,28.243,SDG,@,KAN,W 24-23,,,,,,,,,,,,,,,,,,,,,
28,1988,1988-10-02,5,28.250,SDG,,DEN,L 0-12,,,,,,,,,,,,,,,,,,,,,
29,1988,1988-10-09,6,28.257,SDG,,NOR,L 17-23,,,,,,,,,,,,,,,,,,,,,
30,1988,1988-10-16,7,28.264,SDG,@,MIA,L 28-31,,,,,,,,,,,,,,,,,,,,,
31,1988,1988-10-23,8,28.271,SDG,,IND,L 0-16,,,,,,,,,,,,,,,,,,,,,
32,1988,1988-10-30,9,28.278,SDG,@,SEA,L 14-17,,,,,,,,,,,,,,,,,,,,,
33,1988,1988-11-06,10,28.285,SDG,,RAI,L 3-13,,,,,,,,,,,,,,,,,,,,,
34,1988,1988-11-13,11,28.292,SDG,@,ATL,W 10-7,,,,,,,,,,,,,,,,,,,,,
35,1988,1988-11-20,12,28.299,SDG,@,RAM,W 38-24,,,,,,,,,,,,,,,,,,,,,
36,1988,1988-11-27,13,28.306,SDG,,SFO,L 10-48,,,,,,,,,,,,,,,,,,,,,
37,1988,1988-12-04,14,28.313,SDG,@,CIN,L 10-27,,,,,,,,,,,,,,,,,,,,,
38,1988,1988-12-11,15,28.320,SDG,,PIT,W 20-14,,,,,,,,,,,,,,,,,,,,,
39,1988,1988-12-18,16,28.327,SDG,,KAN,W 24-13,,,,,,,,,,,,,,,,,,,,,
40,1989,1989-09-10,1,29.227,SDG,@,RAI,L 14-40,0,0,,0,,,,,,,,,,,,,,,,,
41,1989,1989-09-17,2,29.234,SDG,,HOU,L 27-34,0,0,,0,,,,,,,,,,,,,,,,,
42,1989,1989-09-24,3,29.241,SDG,,KAN,W 21-6,0,0,,0,,,,,,,,,,,,,,,,,
43,1989,1989-10-01,4,29.248,SDG,@,PHO,W 24-13,0,0,,0,,,,,,,,,,,,,,,,,
44,1989,1989-10-08,5,29.255,SDG,@,DEN,L 10-16,0,0,,0,,,,,,,,,,,,,,,,,
45,1989,1989-10-15,6,29.262,SDG,,SEA,L 16-17,1,6,6.00,0,,0,0,,0,,,0,0,,0,0,0,0.0,0,0,0
46,1989,1989-10-22,7,29.269,SDG,,NYG,L 13-20,0,0,,0,,,,,,,,,,,,,,,,,
47,1989,1989-10-29,8,29.276,SDG,@,SEA,L 7-10,0,0,,0,,,,,,,,,,,,,,,,,
48,1989,1989-11-05,9,29.283,SDG,,PHI,W 20-17,0,0,,0,,,,,,,,,,,,,,,,,
49,1989,1989-11-12,10,29.290,SDG,,RAI,W 14-12,0,0,,0,,,,,,,,,,,,,,,,,
50,1989,1989-11-19,11,29.297,SDG,@,PIT,L 17-20,0,0,,0,,,,,,,,,,,,,,,,,
51,1989,1989-11-26,12,29.304,SDG,@,IND,L 6-10,0,0,,0,,,,,,,,,,,,,,,,,
52,1989,1989-12-03,13,29.311,SDG,,NYJ,L 17-20,0,0,,0,,,,,,,,,,,,,,,,,
53,1989,1989-12-10,14,29.318,SDG,@,WAS,L 21-26,0,0,,0,,,,,,,,,,,,,,,,,
54,1989,1989-12-17,15,29.325,SDG,@,KAN,W 20-13,0,0,,0,,,,,,,,,,,,,,,,,
55,1989,1989-12-24,16,29.332,SDG,,DEN,W 19-16,0,0,,0,,,,,,,,,,,,,,,,,
56,1990,1990-09-09,1,30.226,SDG,@,DAL,L 14-17,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0,0.0,0,0,0
57,1990,1990-09-16,2,30.233,SDG,,CIN,L 16-21,0,0,,0,,0,0,,0,,,,,,,0,,,,,
58,1990,1990-09-23,3,30.240,SDG,@,CLE,W 24-14,0,0,,0,,0,0,,0,,,,,,,0,,,,,
59,1990,1990-09-30,4,30.247,SDG,,HOU,L 7-17,0,0,,0,,0,0,,0,,,,,,,0,,,,,
60,1990,1990-10-07,5,30.254,SDG,@,PIT,L 14-36,0,0,,0,,1,2,2.00,1,,,0,0,,0,1,6,0.0,0,0,0
61,1990,1990-10-14,6,30.261,SDG,@,NYJ,W 39-3,0,0,,0,,0,0,,0,,,,,,,0,,,,,
62,1990,1990-10-21,7,30.268,SDG,,RAI,L 9-24,0,0,,0,,0,0,,0,,,,,,,0,,,,,
63,1990,1990-10-28,8,30.275,SDG,,TAM,W 41-10,0,0,,0,,0,0,,0,,,,,,,0,,,,,
64,1990,1990-11-04,9,30.282,SDG,@,SEA,W 31-14,0,0,,0,,0,0,,0,,,,,,,0,,,,,
65,1990,1990-11-11,10,30.289,SDG,,DEN,W 19-7,1,1,1.00,1,,0,0,,0,,,0,0,,0,1,6,0.0,0,0,0
66,1990,1990-11-18,11,30.296,SDG,@,KAN,L 10-27,0,0,,0,,0,0,,0,,,,,,,0,,,,,
67,1990,1990-11-25,12,30.303,SDG,,SEA,L 10-13,0,0,,0,,0,0,,0,,,,,,,0,,,,,
68,1990,1990-12-02,13,30.310,SDG,,NYJ,W 38-17,0,0,,0,,0,0,,0,,,,,,,0,,,,,
69,1990,1990-12-16,14,30.324,SDG,@,DEN,L 10-20,0,0,,0,,0,0,,0,,,,,,,0,,,,,
70,1990,1990-12-23,15,30.331,SDG,,KAN,L 21-24,0,0,,0,,0,0,,0,,,,,,,0,,,,,
71,1990,1990-12-30,16,30.338,SDG,@,RAI,L 12-17,0,0,,0,,0,0,,0,,,,,,,0,,,,,
72,1991,1991-09-01,1,31.218,SDG,@,PIT,L 20-26,,,,,,,,,,,,,,,,,,,,,
73,1991,1991-09-08,2,31.225,SDG,@,SFO,L 14-34,,,,,,,,,,,,,,,,,,,,,
74,1991,1991-09-15,3,31.232,SDG,,ATL,L 10-13,,,,,,,,,,,,,,,,,,,,,
75,1991,1991-09-22,4,31.239,SDG,@,DEN,L 19-27,,,,,,,,,,,,,,,,,,,,,
76,1991,1991-09-29,5,31.246,SDG,,KAN,L 13-14,,,,,,,,,,,,,,,,,,,,,
77,1991,1991-10-06,6,31.253,SDG,@,RAI,W 21-13,,,,,,,,,,,,,,,,,,,,,
78,1991,1991-10-13,7,31.260,SDG,@,RAM,L 24-30,,,,,,,,,,,,,,,,,,,,,
79,1991,1991-10-20,8,31.267,SDG,,CLE,L 24-30,,,,,,,,,,,,,,,,,,,,,
80,1991,1991-10-27,9,31.274,SDG,@,SEA,L 9-20,,,,,,,,,,,,,,,,,,,,,
81,1991,1991-11-10,10,31.288,SDG,,SEA,W 17-14,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
82,1991,1991-11-17,11,31.295,SDG,,NOR,W 24-21,,,,,,,,,,,,,,,,,,,,,
83,1991,1991-11-24,12,31.302,SDG,@,NYJ,L 3-24,,,,,,,,,,,,,,,,,,,,,
84,1991,1991-12-01,13,31.309,SDG,,RAI,L 7-9,,,,,,,,,,,,,,,,,,,,,
85,1991,1991-12-08,14,31.316,SDG,@,KAN,L 17-20,,,,,,,,,,,,,,,,,,,,,
86,1991,1991-12-15,15,31.323,SDG,,MIA,W 38-30,,,,,,,,,,,,,,,,,,,,,
87,1991,1991-12-22,16,31.330,SDG,,DEN,L 14-17,,,,,,,,,,,,,,,,,,,,,
88,1992,1992-09-06,1,32.224,SDG,,KAN,L 10-24,,,,,,,,,,0.0%,,,,,,,,,,,
89,1992,1992-09-13,2,32.231,SDG,@,DEN,L 13-21,,,,,,,,,,0.0%,,,,,,,,,,,
90,1992,1992-09-20,3,32.238,SDG,,PIT,L 6-23,,,,,,,,,,0.0%,,,,,,,,,,,
91,1992,1992-09-27,4,32.245,SDG,@,HOU,L 0-27,,,,,,,,,,0.0%,,,,,,,,,,,
92,1992,1992-10-04,5,32.252,SDG,,SEA,W 17-6,,,,,,,,,,0.0%,,,,,,,,,,,
93,1992,1992-10-18,6,32.266,SDG,@,IND,W 34-14,,,,,,,,,,0.0%,,,,,,,,,,,
94,1992,1992-10-25,7,32.273,SDG,,DEN,W 24-21,,,,,,,,,,0.0%,,,,,,,,,,,
95,1992,1992-11-01,8,32.280,SDG,,IND,W 26-0,,,,,,,,,,0.0%,,,,,,,,,,,
96,1992,1992-11-08,9,32.287,SDG,@,KAN,L 14-16,,,,,,,,,,0.0%,,,,,,,,,,,
97,1992,1992-11-15,10,32.294,SDG,@,CLE,W 14-13,,,,,,,,,,0.0%,,,,,,,,,,,
98,1992,1992-11-22,11,32.301,SDG,,TAM,W 29-14,,,,,,,,,,0.0%,,,,,,,,,,,
99,1992,1992-11-29,12,32.308,SDG,,RAI,W 27-3,,,,,,,,,,0.0%,,,,,,,,,,,
100,1992,1992-12-06,13,32.315,SDG,@,PHO,W 27-21,,,,,,,,,,0.0%,,,,,,,,,,,
101,1992,1992-12-13,14,32.322,SDG,,CIN,W 27-10,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,2,0
102,1992,1992-12-20,15,32.329,SDG,@,RAI,W 36-14,,,,,,,,,,0.0%,,,,,,,,,,,
103,1992,1992-12-27,16,32.336,SDG,@,SEA,W 31-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,38,0
104,1993,1993-09-05,1,33.222,SDG,,SEA,W 18-12,,,,,,,,,,0.0%,,,,,,,,,,,
105,1993,1993-09-12,2,33.229,SDG,@,DEN,L 17-34,,,,,,,,,,0.0%,,,,,,,,,,,
106,1993,1993-09-19,3,33.236,SDG,,HOU,W 18-17,,,,,,,,,,0.0%,,,,,,,,,,,
107,1993,1993-10-03,4,33.250,SDG,@,SEA,L 14-31,,,,,,,,,,0.0%,,,,,,,,,,,
108,1993,1993-10-10,5,33.257,SDG,@,PIT,L 3-16,,,,,,,,,,0.0%,,,,,,,,,,,
109,1993,1993-10-17,6,33.264,SDG,,KAN,L 14-17,,,,,,,,,,0.0%,,,,,,,,,,,
110,1993,1993-10-31,7,33.278,SDG,@,RAI,W 30-23,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,6,0
111,1993,1993-11-07,8,33.285,SDG,@,MIN,W 30-17,,,,,,,,,,0.0%,,,,,,,,,,,
112,1993,1993-11-14,9,33.292,SDG,,CHI,L 13-16,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0
113,1993,1993-11-21,10,33.299,SDG,,RAI,L 7-12,,,,,,,,,,0.0%,,,,,,,,,,,
114,1993,1993-11-29,11,33.307,SDG,@,IND,W 31-0,,,,,,,,,,0.0%,,,,,,,,,,,
115,1993,1993-12-05,12,33.313,SDG,,DEN,W 13-10,,,,,,,,,,0.0%,,,,,,,,,,,
116,1993,1993-12-12,13,33.320,SDG,,GNB,L 13-20,,,,,,,,,,0.0%,,,,,,,,,,,
117,1993,1993-12-19,14,33.327,SDG,@,KAN,L 24-28,,,,,,,,,,0.0%,,,,,,,,,,,
118,1993,1993-12-27,15,33.335,SDG,,MIA,W 45-20,,,,,,,,,,0.0%,,,,,,,,,,,
119,1993,1994-01-02,16,33.341,SDG,@,TAM,W 32-17,,,,,,,,,,0.0%,,,,,,,,,,,
120,1994,1994-09-05,1,34.222,SFO,,RAI,W 44-14,,,,,,,,,,0.0%,,,,,,,,,,,
121,1994,1994-09-11,2,34.228,SFO,@,KAN,L 17-24,,,,,,,,,,0.0%,,,,,,,,,,,
122,1994,1994-09-18,3,34.235,SFO,@,RAM,W 34-19,,,,,,,,,,0.0%,,,,,,,,,,,
123,1994,1994-09-25,4,34.242,SFO,,NOR,W 24-13,,,,,,,,,,0.0%,,,,,,,,,,,
124,1994,1994-10-02,5,34.249,SFO,,PHI,L 8-40,,,,,,,,,,0.0%,,,,,,,,,,,
125,1994,1994-10-09,6,34.256,SFO,@,DET,W 27-21,,,,,,,,,,0.0%,,,,,,,,,,,
126,1994,1994-10-16,7,34.263,SFO,@,ATL,W 42-3,,,,,,,,,,0.0%,,,,,,,,,,,
127,1994,1994-10-23,8,34.270,SFO,,TAM,W 41-16,,,,,,,,,,0.0%,,,,,,,,,,,
128,1994,1994-11-06,9,34.284,SFO,@,WAS,W 37-22,,,,,,,,,,0.0%,,,,,,,,,,,
129,1994,1994-11-13,10,34.291,SFO,,DAL,W 21-14,,,,,,,,,,0.0%,,,,,,,,,,,
130,1994,1994-11-20,11,34.298,SFO,,RAM,W 31-27,,,,,,,,,,0.0%,,,,,,,,,,,
131,1994,1994-11-28,12,34.306,SFO,@,NOR,W 35-14,,,,,,,,,,0.0%,,,,,,,,,,,
132,1994,1994-12-04,13,34.312,SFO,,ATL,W 50-14,,,,,,,,,,0.0%,,,,,,,,,,,
133,1994,1994-12-11,14,34.319,SFO,@,SDG,W 38-15,,,,,,,,,,0.0%,,,,,,,,,,,
134,1994,1994-12-17,15,34.325,SFO,,DEN,W 42-19,,,,,,,,,,0.0%,,,,,,,,,,,
135,1994,1994-12-26,16,34.334,SFO,@,MIN,L 14-21,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0
136,1995,1995-09-03,1,35.220,SFO,@,NOR,W 24-22,,,,,,,,,,0.0%,,,,,,,,,,,
137,1995,1995-09-10,2,35.227,SFO,,ATL,W 41-10,,,,,,,,,,0.0%,,,,,,,,,,,
138,1995,1995-09-17,3,35.234,SFO,,NWE,W 28-3,,,,,,,,,,0.0%,,,,,,,,,,,
139,1995,1995-09-25,4,35.242,SFO,@,DET,L 24-27,,,,,,,,,,0.0%,,,,,,,,,,,
140,1995,1995-10-01,5,35.248,SFO,,NYG,W 20-6,,,,,,,,,,0.0%,,,,,,,,,,,
141,1995,1995-10-15,6,35.262,SFO,@,IND,L 17-18,,,,,,,,,,0.0%,,,,,,,,,,,
142,1995,1995-10-22,7,35.269,SFO,@,STL,W 44-10,,,,,,,,,,0.0%,,,,,,,,,,,
143,1995,1995-10-29,8,35.276,SFO,,NOR,L 7-11,,,,,,,,,,0.0%,,,,,,,,,,,
144,1995,1995-11-05,9,35.283,SFO,,CAR,L 7-13,,,,,,,,,,0.0%,,,,,,,,,,,
145,1995,1995-11-12,10,35.290,SFO,@,DAL,W 38-20,,,,,,,,,,0.0%,,,,,,,,,,,
146,1995,1995-11-20,11,35.298,SFO,@,MIA,W 44-20,,,,,,,,,,0.0%,,,,,,,,,,,
147,1995,1995-11-26,12,35.304,SFO,,STL,W 41-13,,,,,,,,,,0.0%,,,,,,,,,,,
148,1995,1995-12-03,13,35.311,SFO,,BUF,W 27-17,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
149,1995,1995-12-10,14,35.318,SFO,@,CAR,W 31-10,,,,,,,,,,0.0%,,,,,,,,,,,
150,1995,1995-12-18,15,35.326,SFO,,MIN,W 37-30,,,,,,,,,,0.0%,,,,,,,,,,,
151,1995,1995-12-24,16,35.332,SFO,@,ATL,L 27-28,,,,,,,,,,0.0%,,,,,,,,,,,
152,1996,1996-09-22,3,36.240,SFO,@,CAR,L 7-23,,,,,,,,,,0.0%,,,,,,,,,,,
153,1996,1996-09-29,4,36.247,SFO,,ATL,W 39-17,,,,,,,,,,0.0%,,,,,,,,,,,
154,1996,1996-10-06,5,36.254,SFO,@,STL,W 28-11,,,,,,,,,,0.0%,,,,,,,,,,,
155,1996,1996-10-14,6,36.262,SFO,@,GNB,L 20-23,,,,,,,,,,0.0%,,,,,,,,,,,
156,1996,1996-10-20,7,36.268,SFO,,CIN,W 28-21,,,,,,,,,,0.0%,,,,,,,,,,,
157,1996,1996-10-27,8,36.275,SFO,@,HOU,W 10-9,,,,,,,,,,0.0%,,,,,,,,,,,
158,1996,1996-11-03,9,36.282,SFO,@,NOR,W 24-17,,,,,,,,,,0.0%,,,,,,,,,,,
159,1996,1996-11-10,10,36.289,SFO,,DAL,L 17-20,,,,,,,,,,0.0%,,,,,,,,,,,
160,1996,1996-11-24,12,36.303,SFO,@,WAS,W 19-16,,,,,,,,,,0.0%,,,,,,,,,,,
161,1996,1996-12-02,13,36.311,SFO,@,ATL,W 34-10,,,,,,,,,,0.0%,,,,,,,,,,,
162,1996,1996-12-08,14,36.317,SFO,,CAR,L 24-30,,,,,,,,,,0.0%,,,,,,,,,,,
163,1996,1996-12-15,15,36.324,SFO,@,PIT,W 25-15,,,,,,,,,,0.0%,,,,,,,,,,,
164,1996,1996-12-23,16,36.332,SFO,,DET,W 24-14,,,,,,,,,,0.0%,,,,,,,,,,,
165,1997,1997-08-31,1,37.217,SFO,@,TAM,L 6-13,,,,,,,,,,0.0%,,,,,,,,,,,
166,1997,1997-09-07,2,37.224,SFO,@,STL,W 15-12,,,,,,,,,,0.0%,,,,,,,,,,,
167,1997,1997-09-14,3,37.231,SFO,,NOR,W 33-7,,,,,,,,,,0.0%,,,,,,,,,,,
168,1997,1997-09-21,4,37.238,SFO,,ATL,W 34-7,,,,,,,,,,0.0%,,,,,,,,,,,
169,1997,1997-09-29,5,37.246,SFO,@,CAR,W 34-21,,,,,,,,,,0.0%,,,,,,,,,,,
170,1997,1997-10-12,6,37.259,SFO,,STL,W 30-10,,,,,,,,,,0.0%,,,,,,,,,,,
171,1997,1997-10-19,7,37.266,SFO,@,ATL,W 35-28,,,,,,,,,,0.0%,,,,,,,,,,,
172,1997,1997-10-26,8,37.273,SFO,@,NOR,W 23-0,,,,,,,,,,0.0%,,,,,,,,,,,
173,1997,1997-11-02,9,37.280,SFO,,DAL,W 17-10,,,,,,,,,,0.0%,,,,,,,,,,,
174,1997,1997-11-10,10,37.288,SFO,@,PHI,W 24-12,,,,,,,,,,0.0%,,,,,,,,,,,
175,1997,1997-11-16,11,37.294,SFO,,CAR,W 27-19,,,,,,,,,,0.0%,,,,,,,,,,,
176,1997,1997-11-23,12,37.301,SFO,,SDG,W 17-10,,,,,,,,,,0.0%,,,,,,,,,,,
177,1997,1997-11-30,13,37.308,SFO,@,KAN,L 9-44,,,,,,,,,,0.0%,,,,,,,,,,,
178,1997,1997-12-07,14,37.315,SFO,,MIN,W 28-17,,,,,,,,,,0.0%,,,,,,,,,,,
179,1997,1997-12-15,15,37.323,SFO,,DEN,W 34-17,,,,,,,,,,0.0%,,,,,,,,,,,
180,1997,1997-12-21,16,37.329,SFO,@,SEA,L 9-38,,,,,,,,,,0.0%,,,,,,,,,,,
