ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
26,1988,1988-12-04,14,25.122,WAS,@,PHI,W 20-19,0,0,,0,3.0
27,1988,1988-12-11,15,25.129,WAS,,DAL,L 17-24,0,0,,0,
28,1988,1988-12-17,16,25.135,WAS,@,CIN,L 17-20,0,0,,0,
29,1989,1989-09-11,1,26.038,WAS,,NYG,L 24-27,,,,,
30,1989,1989-09-17,2,26.044,WAS,,PHI,L 37-42,,,,,
31,1989,1989-09-24,3,26.051,WAS,@,DAL,W 30-7,0,0,,0,1.0
32,1989,1989-10-01,4,26.058,WAS,@,NOR,W 16-14,,,,,
33,1989,1989-10-08,5,26.065,WAS,,PHO,W 30-28,,,,,
34,1989,1989-10-15,6,26.072,WAS,@,NYG,L 17-20,0,0,,0,1.0
35,1989,1989-10-22,7,26.079,WAS,,TAM,W 32-28,,,,,
36,1989,1989-10-29,8,26.086,WAS,@,RAI,L 24-37,,,,,
37,1989,1989-11-05,9,26.093,WAS,,DAL,L 3-13,0,0,,0,1.0
38,1989,1989-11-12,10,26.100,WAS,@,PHI,W 10-3,,,,,
39,1989,1989-11-20,11,26.108,WAS,,DEN,L 10-14,,,,,
40,1989,1989-11-26,12,26.114,WAS,,CHI,W 38-14,,,,,
41,1989,1989-12-03,13,26.121,WAS,@,PHO,W 29-10,,,,,
42,1989,1989-12-10,14,26.128,WAS,,SDG,W 26-21,,,,,
43,1989,1989-12-17,15,26.135,WAS,@,ATL,W 31-30,0,0,,0,0.5
44,1990,1990-09-09,1,27.036,WAS,,PHO,W 31-0,,,,,
45,1990,1990-09-16,2,27.043,WAS,@,SFO,L 13-26,,,,,
46,1990,1990-09-23,3,27.050,WAS,,DAL,W 19-15,,,,,
47,1990,1990-09-30,4,27.057,WAS,@,PHO,W 38-10,,,,,
48,1990,1990-10-14,5,27.071,WAS,,NYG,L 20-24,,,,,
49,1990,1990-10-21,6,27.078,WAS,,PHI,W 13-7,,,,,
50,1990,1990-10-28,7,27.085,WAS,@,NYG,L 10-21,,,,,
51,1990,1990-11-04,8,27.092,WAS,@,DET,W 41-38,,,,,
52,1990,1990-11-12,9,27.100,WAS,@,PHI,L 14-28,0,0,,0,1.0
53,1990,1990-11-18,10,27.106,WAS,,NOR,W 31-17,,,,,
54,1990,1990-11-22,11,27.110,WAS,@,DAL,L 17-27,,,,,
55,1990,1990-12-02,12,27.120,WAS,,MIA,W 42-20,,,,,
56,1990,1990-12-09,13,27.127,WAS,,CHI,W 10-9,,,,,
57,1990,1990-12-15,14,27.133,WAS,@,NWE,W 25-10,,,,,
58,1990,1990-12-22,15,27.140,WAS,@,IND,L 28-35,,,,,
59,1990,1990-12-30,16,27.148,WAS,,BUF,W 29-14,,,,,
60,1991,1991-09-01,1,28.028,WAS,,DET,W 45-0,,,,,
61,1991,1991-09-09,2,28.036,WAS,@,DAL,W 33-31,,,,,
62,1991,1991-09-15,3,28.042,WAS,,PHO,W 34-0,,,,,
63,1991,1991-09-22,4,28.049,WAS,@,CIN,W 34-27,,,,,
64,1991,1991-09-30,5,28.057,WAS,,PHI,W 23-0,,,,,
65,1991,1991-10-06,6,28.063,WAS,@,CHI,W 20-7,,,,,
66,1991,1991-10-13,7,28.070,WAS,,CLE,W 42-17,,,,,
67,1991,1991-10-27,8,28.084,WAS,@,NYG,W 17-13,,,,,
68,1991,1991-11-03,9,28.091,WAS,,HOU,W 16-13,,,,,
69,1991,1991-11-10,10,28.098,WAS,,ATL,W 56-17,,,,,
70,1991,1991-11-17,11,28.105,WAS,@,PIT,W 41-14,,,,,
71,1991,1991-11-24,12,28.112,WAS,,DAL,L 21-24,,,,,
72,1991,1991-12-01,13,28.119,WAS,@,RAM,W 27-6,,,,,
73,1991,1991-12-08,14,28.126,WAS,@,PHO,W 20-14,,,,,
74,1991,1991-12-15,15,28.133,WAS,,NYG,W 34-17,,,,,
75,1991,1991-12-22,16,28.140,WAS,@,PHI,L 22-24,,,,,
76,1992,1992-09-07,1,29.034,WAS,@,DAL,L 10-23,,,,,
77,1992,1992-09-13,2,29.040,WAS,,ATL,W 24-17,,,,,
78,1992,1992-09-20,3,29.047,WAS,,DET,W 13-10,,,,,
79,1992,1992-10-04,4,29.061,WAS,@,PHO,L 24-27,,,,,
