ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
11,2011,2011-10-30,8,23.236,CAR,,MIN,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,19,6.33,0
12,2011,2011-11-13,9,23.250,CAR,,TEN,L 3-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0
13,2011,2011-11-20,10,23.257,CAR,@,DET,L 35-49,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,25,12.50,0
14,2011,2011-11-27,11,23.264,CAR,@,IND,W 27-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,23,5.75,0
15,2011,2011-12-04,12,23.271,CAR,@,TAM,W 38-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,1,12,12.00,0
16,2011,2011-12-11,13,23.278,CAR,,ATL,L 23-31,,0,0,0,,0,0.0%,,1,5,5.00,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,4,11,2.75,0
17,2011,2011-12-18,14,23.285,CAR,@,HOU,W 28-13,,0,0,0,,0,0.0%,,0,0,,0,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,0,0,,0,1,1,1.00,0
18,2011,2011-12-24,15,23.291,CAR,,TAM,W 48-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0
19,2011,2012-01-01,16,23.299,CAR,@,NOR,L 17-45,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
20,2012,2012-09-09,1,24.185,CAR,@,TAM,L 10-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
21,2012,2012-09-16,2,24.192,CAR,,NOR,W 35-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
22,2012,2012-09-20,3,24.196,CAR,,NYG,L 7-36,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0
23,2012,2012-09-30,4,24.206,CAR,@,ATL,L 28-30,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0
24,2012,2012-10-07,5,24.213,CAR,,SEA,L 12-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
25,2012,2012-10-21,6,24.227,CAR,,DAL,L 14-19,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
26,2012,2012-10-28,7,24.234,CAR,@,CHI,L 22-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
27,2012,2012-11-04,8,24.241,CAR,@,WAS,W 21-13,,1,1,82,82.00,0,100.0%,82.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
28,2012,2012-11-11,9,24.248,CAR,,DEN,L 14-36,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,34,17.00,0,0,0,,0
29,2012,2012-11-18,10,24.255,CAR,,TAM,L 21-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,50,25.00,0,0,0,,0
30,2012,2012-11-26,11,24.263,CAR,@,PHI,W 30-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,5,114,22.80,0,0,0,,0
31,2012,2012-12-02,12,24.269,CAR,@,KAN,L 21-27,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,0,0,,0
32,2012,2012-12-09,13,24.276,CAR,,ATL,W 30-20,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
33,2012,2012-12-16,14,24.283,CAR,@,SDG,W 31-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
34,2012,2012-12-23,15,24.290,CAR,,OAK,W 17-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
35,2012,2012-12-30,16,24.297,CAR,@,NOR,W 44-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,77,38.50,0
36,2013,2013-09-08,1,25.184,CAR,,SEA,L 7-12,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
37,2013,2013-09-15,2,25.191,CAR,@,BUF,L 23-24,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
38,2013,2013-09-22,3,25.198,CAR,,NYG,W 38-0,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,
39,2013,2013-10-06,4,25.212,CAR,@,ARI,L 6-22,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
40,2013,2013-11-03,9,25.240,CLE,,BAL,W 24-18,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,14,7.00,0
41,2013,2013-11-17,10,25.254,CLE,@,CIN,L 20-41,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,14,7.00,0
