ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,punt,punt_yds,punt_yds_per_punt,punt_blocked
30,1990,1990-12-23,15,23.267,HOU,@,CIN,L 20-40,,,,,,3,138,46.00,
31,1990,1990-12-30,16,23.274,HOU,,PIT,W 34-14,,,,,,1,42,42.00,
32,1991,1991-09-01,1,24.154,HOU,,RAI,W 47-17,,,,,,,,,
33,1991,1991-09-08,2,24.161,HOU,@,CIN,W 30-7,,,,,,3,113,37.67,
34,1991,1991-09-16,3,24.169,HOU,,KAN,W 17-7,,,,,,2,75,37.50,
35,1991,1991-09-22,4,24.175,HOU,@,NWE,L 20-24,,,,,,5,224,44.80,
36,1991,1991-10-06,5,24.189,HOU,,DEN,W 42-14,,,,,,4,170,42.50,
37,1991,1991-10-13,6,24.196,HOU,@,NYJ,W 23-20,,,,,,1,49,49.00,
38,1991,1991-10-20,7,24.203,HOU,@,MIA,W 17-13,,,,,,4,181,45.25,
39,1991,1991-10-27,8,24.210,HOU,,CIN,W 35-3,,,,,,0,0,,
40,1991,1991-11-03,9,24.217,HOU,@,WAS,L 13-16,,,,,,5,210,42.00,
41,1991,1991-11-10,10,24.224,HOU,,DAL,W 26-23,,,,,,2,91,45.50,
42,1991,1991-11-17,11,24.231,HOU,,CLE,W 28-24,,,,,,1,48,48.00,
43,1991,1991-11-24,12,24.238,HOU,@,PIT,L 14-26,,,,,,3,126,42.00,
44,1991,1991-12-02,13,24.246,HOU,,PHI,L 6-13,,,,,,6,269,44.83,
45,1991,1991-12-08,14,24.252,HOU,,PIT,W 31-6,,,,,,4,187,46.75,
46,1991,1991-12-15,15,24.259,HOU,@,CLE,W 17-14,,,,,,4,186,46.50,
47,1991,1991-12-21,16,24.265,HOU,@,NYG,L 20-24,,,,,,4,176,44.00,
48,1992,1992-09-06,1,25.159,HOU,,PIT,L 24-29,0,0,,0,,2,97,48.50,
49,1992,1992-09-13,2,25.166,HOU,@,IND,W 20-10,0,0,,0,,2,104,52.00,
50,1992,1992-09-20,3,25.173,HOU,,KAN,W 23-20,0,0,,0,,2,111,55.50,
51,1992,1992-09-27,4,25.180,HOU,,SDG,W 27-0,0,0,,0,,3,136,45.33,
52,1992,1992-10-11,5,25.194,HOU,@,CIN,W 38-24,0,0,,0,,1,29,29.00,
53,1992,1992-10-18,6,25.201,HOU,@,DEN,L 21-27,0,0,,0,,4,166,41.50,
54,1992,1992-10-25,7,25.208,HOU,,CIN,W 26-10,0,0,,0,,2,83,41.50,
55,1992,1992-11-01,8,25.215,HOU,@,PIT,L 20-21,0,0,,0,,3,134,44.67,
56,1992,1992-11-08,9,25.222,HOU,,CLE,L 14-24,0,0,,0,,8,413,51.63,
57,1992,1992-11-15,10,25.229,HOU,@,MIN,W 17-13,0,0,,0,,4,195,48.75,
58,1992,1992-11-22,11,25.236,HOU,@,MIA,L 16-19,0,0,,0,,3,100,33.33,
59,1992,1992-11-26,12,25.240,HOU,@,DET,W 24-21,1,13,13.00,0,0.0,0,0,,0
60,1992,1992-12-07,13,25.251,HOU,,CHI,W 24-7,0,0,,0,0.5,0,0,,0
61,1992,1992-12-13,14,25.257,HOU,,GNB,L 14-16,0,0,,0,,3,143,47.67,
62,1992,1992-12-20,15,25.264,HOU,@,CLE,W 17-14,0,0,,0,,4,176,44.00,
63,1992,1992-12-27,16,25.271,HOU,,BUF,W 27-3,0,0,,0,,5,296,59.20,
64,1993,1993-09-05,1,26.158,HOU,@,NOR,L 21-33,,,,,,2,74,37.00,
65,1993,1993-09-12,2,26.165,HOU,,KAN,W 30-0,0,0,,0,1.0,0,0,,0
66,1993,1993-09-19,3,26.172,HOU,@,SDG,L 17-18,,,,,,5,288,57.60,
67,1993,1993-09-26,4,26.179,HOU,,RAM,L 13-28,,,,,,2,70,35.00,
68,1993,1993-10-11,5,26.194,HOU,@,BUF,L 7-35,,,,,,3,148,49.33,
69,1993,1993-10-17,6,26.200,HOU,@,NWE,W 28-14,,,,,,6,306,51.00,
70,1993,1993-10-24,7,26.207,HOU,,CIN,W 28-12,0,0,,0,1.0,0,0,,0
71,1993,1993-11-07,8,26.221,HOU,,SEA,W 24-14,,,,,,3,106,35.33,
72,1993,1993-11-14,9,26.228,HOU,@,CIN,W 38-3,0,0,,0,1.0,0,0,,0
73,1993,1993-11-21,10,26.235,HOU,@,CLE,W 27-20,,,,,,4,130,32.50,
74,1993,1993-11-28,11,26.242,HOU,,PIT,W 23-3,,,,,,5,233,46.60,
75,1993,1993-12-05,12,26.249,HOU,,ATL,W 33-17,,,,,,1,45,45.00,
76,1993,1993-12-12,13,26.256,HOU,,CLE,W 19-17,,,,,,4,188,47.00,
77,1993,1993-12-19,14,26.263,HOU,@,PIT,W 26-17,0,0,,0,1.0,0,0,,0
78,1993,1993-12-25,15,26.269,HOU,@,SFO,W 10-7,0,0,,0,1.0,0,0,,0
79,1993,1994-01-02,16,26.277,HOU,,NYJ,W 24-0,0,0,,0,1.0,0,0,,0
80,1994,1994-09-04,1,27.157,HOU,@,IND,L 21-45,0,0,,0,1.0,0,0,,0
81,1994,1994-09-11,2,27.164,HOU,@,DAL,L 17-20,,,,,,,,,
82,1994,1994-09-18,3,27.171,HOU,,BUF,L 7-15,0,0,,0,1.0,0,0,,0
83,1994,1994-09-25,4,27.178,HOU,,CIN,W 20-13,,,,,,,,,
84,1994,1994-10-03,5,27.186,HOU,@,PIT,L 14-30,,,,,,,,,
85,1994,1994-10-13,6,27.196,HOU,,CLE,L 8-11,,,,,,,,,
86,1994,1994-10-24,7,27.207,HOU,@,PHI,L 6-21,,,,,,,,,
87,1994,1994-10-30,8,27.213,HOU,@,RAI,L 14-17,,,,,,,,,
88,1994,1994-11-06,9,27.220,HOU,,PIT,L 9-12,,,,,,,,,
89,1994,1994-11-13,10,27.227,HOU,@,CIN,L 31-34,0,0,,0,1.0,0,0,,0
90,1994,1994-11-21,11,27.235,HOU,,NYG,L 10-13,,,,,,,,,
91,1994,1994-11-27,12,27.241,HOU,@,CLE,L 10-34,,,,,,,,,
92,1994,1994-12-04,13,27.248,HOU,,ARI,L 12-30,,,,,,,,,
93,1994,1994-12-11,14,27.255,HOU,,SEA,L 14-16,,,,,,,,,
94,1995,1995-09-03,1,28.156,HOU,@,JAX,W 10-3,,,,,,,,,
95,1995,1995-09-10,2,28.163,HOU,,PIT,L 17-34,,,,,,,,,
96,1995,1995-09-17,3,28.170,HOU,,CLE,L 7-14,,,,,,,,,
97,1995,1995-09-24,4,28.177,HOU,@,CIN,W 38-28,,,,,,,,,
98,1995,1995-10-01,5,28.184,HOU,,JAX,L 16-17,0,0,,0,1.0,0,0,,0
99,1995,1995-10-08,6,28.191,HOU,@,MIN,L 17-23,,,,,,,,,
100,1995,1995-10-22,7,28.205,HOU,@,CHI,L 32-35,,,,,,,,,
101,1995,1995-10-29,8,28.212,HOU,,TAM,W 19-7,,,,,,,,,
102,1995,1995-11-05,9,28.219,HOU,@,CLE,W 37-10,0,0,,0,1.0,0,0,,0
103,1995,1995-11-12,10,28.226,HOU,,CIN,L 25-32,,,,,,,,,
104,1995,1995-11-19,11,28.233,HOU,@,KAN,L 13-20,,,,,,,,,
105,1995,1995-11-26,12,28.240,HOU,,DEN,W 42-33,,,,,,,,,
106,1995,1995-12-03,13,28.247,HOU,@,PIT,L 7-21,,,,,,,,,
107,1995,1995-12-10,14,28.254,HOU,,DET,L 17-24,,,,,,,,,
108,1995,1995-12-17,15,28.261,HOU,,NYJ,W 23-6,,,,,,,,,
109,1996,1996-09-01,1,29.154,SEA,@,SDG,L 7-29,,,,,,,,,
110,1996,1996-09-08,2,29.161,SEA,,DEN,L 20-30,,,,,,,,,
111,1996,1996-09-15,3,29.168,SEA,,KAN,L 17-35,,,,,,,,,
112,1996,1996-09-22,4,29.175,SEA,@,TAM,W 17-13,,,,,,,,,
113,1996,1996-09-29,5,29.182,SEA,,GNB,L 10-31,,,,,,,,,
114,1996,1996-10-06,6,29.189,SEA,@,MIA,W 22-15,,,,,,,,,
115,1996,1996-10-17,7,29.200,SEA,@,KAN,L 16-34,,,,,,,,,
