ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
20,1972,1972-11-12,9,23.125,DAL,,STL,W 33-24,2,2,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
21,1972,1972-12-03,12,23.146,DAL,@,STL,W 27-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1972,1972-12-09,13,23.152,DAL,,WAS,W 34-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1972,1972-12-17,14,23.160,DAL,,NYG,L 3-23,2,-3,-1.50,0,2,4,2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,,0
24,1973,1973-09-24,2,24.076,DAL,,NOR,W 40-3,0,0,,0,3,37,12.33,1,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,1,6,0,0,,0
25,1973,1973-10-08,4,24.090,DAL,@,WAS,L 7-14,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,2,1.00,0,0,0,0,0,,0
26,1973,1973-10-14,5,24.096,DAL,@,RAM,L 31-37,0,0,,0,3,8,2.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,4,158,39.50,0
27,1973,1973-10-21,6,24.103,DAL,,NYG,W 45-28,0,0,,0,1,13,13.00,1,0,0,,0,0,0,,0,0,,,1,25,25.00,0,0,0,,0,1,6,0,0,,0
28,1973,1973-10-28,7,24.110,DAL,@,PHI,L 16-30,1,-10,-10.00,0,4,49,12.25,0,0,0,,0,0,0,,0,0,,,3,65,21.67,0,0,0,,0,0,0,0,0,,0
29,1973,1973-11-04,8,24.117,DAL,,CIN,W 38-10,0,0,,0,2,48,24.00,1,0,0,,0,0,0,,0,0,,,1,63,63.00,0,0,0,,0,1,6,0,0,,0
30,1973,1973-11-11,9,24.124,DAL,@,NYG,W 23-10,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
31,1973,1973-12-09,13,24.152,DAL,,WAS,W 27-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1973,1973-12-16,14,24.159,DAL,@,STL,W 30-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1974,1974-09-15,1,25.067,HOU,,SDG,W 21-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1974,1974-09-29,3,25.081,HOU,,KAN,L 7-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1974,1974-10-06,4,25.088,HOU,,PIT,L 7-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1974,1974-10-13,5,25.095,HOU,@,MIN,L 10-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1974,1974-10-20,6,25.102,HOU,,STL,L 27-31,0,0,,0,9,179,19.89,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
