ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
36,2010,2010-10-03,4,28.250,CLE,,CIN,W 23-20,,0,0,,0,0.0,0,0,4,187,46.75,0
37,2010,2010-10-10,5,28.257,CLE,,ATL,L 10-20,,0,0,,0,0.0,0,0,5,234,46.80,0
38,2010,2010-10-17,6,28.264,CLE,@,PIT,L 10-28,,0,0,,0,0.0,0,0,5,204,40.80,0
39,2010,2010-10-24,7,28.271,CLE,@,NOR,W 30-17,,1,68,68.00,0,0.0,0,0,4,168,42.00,0
40,2010,2010-11-07,8,28.285,CLE,,NWE,W 34-14,,0,0,,0,0.0,0,0,3,107,35.67,0
41,2010,2010-11-14,9,28.292,CLE,,NYJ,L 20-26,,0,0,,0,0.0,0,0,5,229,45.80,0
42,2010,2010-11-21,10,28.299,CLE,@,JAX,L 20-24,,0,0,,0,0.0,0,0,5,220,44.00,0
43,2010,2010-11-28,11,28.306,CLE,,CAR,W 24-23,,0,0,,0,0.0,0,0,3,109,36.33,0
44,2010,2010-12-05,12,28.313,CLE,@,MIA,W 13-10,,0,0,,0,0.0,0,0,9,438,48.67,0
45,2010,2010-12-12,13,28.320,CLE,@,BUF,L 6-13,,0,0,,0,0.0,0,0,4,199,49.75,0
46,2010,2010-12-19,14,28.327,CLE,@,CIN,L 17-19,,0,0,,0,0.0,0,0,5,185,37.00,0
47,2010,2010-12-26,15,28.334,CLE,,BAL,L 10-20,,0,0,,0,0.0,0,0,3,116,38.67,0
48,2010,2011-01-02,16,28.341,CLE,,PIT,L 9-41,,0,0,,0,0.0,0,0,3,131,43.67,0
49,2012,2012-09-09,1,30.227,CLE,,PHI,L 16-17,,0,0,,0,0.0,0,0,7,308,44.00,0
50,2012,2012-09-16,2,30.234,CLE,@,CIN,L 27-34,,0,0,,0,0.0,0,0,4,186,46.50,0
51,2012,2012-09-23,3,30.241,CLE,,BUF,L 14-24,,0,0,,0,0.0,0,1,8,336,42.00,0
52,2012,2012-09-27,4,30.245,CLE,@,BAL,L 16-23,,0,0,,0,0.0,0,0,7,290,41.43,0
53,2012,2012-10-07,5,30.255,CLE,@,NYG,L 27-41,,0,0,,0,0.0,0,0,3,144,48.00,0
54,2012,2012-10-14,6,30.262,CLE,,CIN,W 34-24,,0,0,,0,0.0,0,3,8,354,44.25,0
55,2012,2012-10-21,7,30.269,CLE,@,IND,L 13-17,,0,0,,0,0.0,0,0,5,207,41.40,0
56,2012,2012-10-28,8,30.276,CLE,,SDG,W 7-6,,0,0,,0,0.0,0,0,9,356,39.56,0
57,2012,2012-11-04,9,30.283,CLE,,BAL,L 15-25,,0,0,,0,0.0,0,0,4,170,42.50,0
58,2012,2012-11-18,10,30.297,CLE,@,DAL,L 20-23,,0,0,,0,0.0,0,0,5,223,44.60,0
59,2012,2012-11-25,11,30.304,CLE,,PIT,W 20-14,,0,0,,0,0.0,0,0,10,383,38.30,0
60,2012,2012-12-02,12,30.311,CLE,@,OAK,W 20-17,,0,0,,0,0.0,0,0,2,69,34.50,0
61,2012,2012-12-09,13,30.318,CLE,,KAN,W 30-7,,0,0,,0,0.0,0,0,5,204,40.80,0
62,2012,2012-12-16,14,30.325,CLE,,WAS,L 21-38,,0,0,,0,0.0,0,0,6,252,42.00,0
63,2012,2012-12-23,15,30.332,CLE,@,DEN,L 12-34,,0,0,,0,0.0,1,0,4,169,42.25,0
64,2012,2012-12-30,16,30.339,CLE,@,PIT,L 10-24,,0,0,,0,0.0,0,0,3,115,38.33,0
