ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
27,1980,1980-11-16,11,23.084,DAL,,STL,W 31-21,,,,,,,,,,,,,,,,,,
28,1980,1980-11-23,12,23.091,DAL,,WAS,W 14-10,,,,,,,,,,,,,,,,,,
29,1980,1980-11-27,13,23.095,DAL,,SEA,W 51-7,,,,,,,,,,,,,,,,,,
30,1980,1980-12-07,14,23.105,DAL,@,OAK,W 19-13,0,0,,0,1,34,34.00,0,0,0,,0,0,0,0.0,0,0,0
31,1980,1980-12-15,15,23.113,DAL,@,RAM,L 14-38,0,0,,0,3,56,18.67,0,0,0,,0,0,0,0.0,0,0,0
32,1980,1980-12-21,16,23.119,DAL,,PHI,W 35-27,0,0,,0,2,39,19.50,0,0,0,,0,0,0,0.0,0,0,0
33,1981,1981-09-06,1,24.013,DAL,@,WAS,W 26-10,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
34,1981,1981-09-13,2,24.020,DAL,,STL,W 30-17,,,,,0,0,,0,0,0,,0,,,,,,
35,1981,1981-09-21,3,24.028,DAL,@,NWE,W 35-21,,,,,0,0,,0,0,0,,0,,,,,,
36,1981,1981-09-27,4,24.034,DAL,,NYG,W 18-10,0,0,,0,1,17,17.00,0,0,0,,0,0,0,0.0,0,0,0
37,1981,1981-10-04,5,24.041,DAL,@,STL,L 17-20,,,,,0,0,,0,0,0,,0,,,,,,
38,1981,1981-10-11,6,24.048,DAL,@,SFO,L 14-45,,,,,0,0,,0,0,0,,0,,,,,,
39,1981,1981-10-18,7,24.055,DAL,,RAM,W 29-17,,,,,0,0,,0,0,0,,0,,,,,,
40,1981,1981-10-25,8,24.062,DAL,,MIA,W 28-27,,,,,0,0,,0,0,0,,0,,,,,,
41,1981,1981-11-01,9,24.069,DAL,@,PHI,W 17-14,,,,,0,0,,0,0,0,,0,,,,,,
42,1981,1981-11-09,10,24.077,DAL,,BUF,W 27-14,,,,,0,0,,0,0,0,,0,,,,,,
43,1981,1981-11-15,11,24.083,DAL,@,DET,L 24-27,,,,,0,0,,0,0,0,,0,,,,,,
44,1981,1981-11-22,12,24.090,DAL,,WAS,W 24-10,,,,,0,0,,0,0,0,,0,,,,,,
45,1981,1981-11-26,13,24.094,DAL,,CHI,W 10-9,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
46,1981,1981-12-06,14,24.104,DAL,@,BAL,W 37-13,0,0,,0,1,15,15.00,0,0,0,,0,0,0,0.0,0,0,0
47,1981,1981-12-13,15,24.111,DAL,,PHI,W 21-10,,,,,0,0,,0,0,0,,0,,,,,,
48,1981,1981-12-19,16,24.117,DAL,@,NYG,L 10-13,,,,,0,0,,0,0,0,,0,,,,,,
49,1982,1982-09-19,2,25.026,DEN,,SFO,W 24-21,,,,,0,0,,0,,,,,,,,,,
50,1982,1982-11-21,3,25.089,DEN,,SEA,L 10-17,,,,,0,0,,0,,,,,,,,,,
51,1982,1982-11-28,4,25.096,DEN,@,SDG,L 20-30,,,,,0,0,,0,,,,,,,,,,
52,1982,1982-12-05,5,25.103,DEN,,ATL,L 27-34,,,,,0,0,,0,,,,,,,,,,
53,1982,1982-12-12,6,25.110,DEN,@,RAM,W 27-24,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0.0,1,6,0
54,1982,1982-12-19,7,25.117,DEN,,KAN,L 16-37,0,0,,0,1,30,30.00,0,0,0,,0,0,0,0.0,0,0,0
55,1982,1982-12-26,8,25.124,DEN,@,RAI,L 10-27,0,0,,0,3,53,17.67,0,0,0,,0,0,0,0.0,1,16,0
56,1982,1983-01-02,9,25.131,DEN,@,SEA,L 11-13,,,,,0,0,,0,,,,,,,,,,
57,1983,1983-09-04,1,26.011,DEN,@,PIT,W 14-10,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0.0,0,0,0
58,1983,1983-09-11,2,26.018,DEN,@,BAL,W 17-10,0,0,,0,2,47,23.50,0,0,0,,0,0,0,0.0,0,0,0
59,1983,1983-09-18,3,26.025,DEN,,PHI,L 10-13,,,,,0,0,,0,,,,,,,,,,
60,1983,1983-09-25,4,26.032,DEN,,RAI,L 7-22,0,0,,0,2,33,16.50,0,0,0,,0,0,0,0.0,0,0,0
61,1983,1983-10-02,5,26.039,DEN,@,CHI,L 14-31,0,0,,0,4,112,28.00,0,0,0,,0,0,0,0.0,0,0,0
62,1983,1983-10-09,6,26.046,DEN,@,HOU,W 26-14,,,,,0,0,,0,,,,,,,,,,
63,1983,1983-10-16,7,26.053,DEN,,CIN,W 24-17,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0.0,0,0,0
64,1983,1983-10-23,8,26.060,DEN,,SDG,W 14-6,0,0,,0,2,32,16.00,0,0,0,,0,0,0,0.0,0,0,0
65,1983,1983-10-30,9,26.067,DEN,,KAN,W 27-24,0,0,,0,2,44,22.00,0,0,0,,0,0,0,0.0,0,0,0
66,1983,1983-11-06,10,26.074,DEN,@,SEA,L 19-27,0,0,,0,2,30,15.00,0,0,0,,0,0,0,0.0,0,0,0
67,1983,1983-11-13,11,26.081,DEN,@,RAI,L 20-22,,,,,0,0,,0,,,,,,,,,,
68,1983,1983-11-20,12,26.088,DEN,,SEA,W 38-27,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,55,0
69,1983,1983-11-27,13,26.095,DEN,@,SDG,L 7-31,0,0,,0,1,19,19.00,0,0,0,,0,0,0,0.0,1,0,0
70,1983,1983-12-04,14,26.102,DEN,,CLE,W 27-6,0,0,,0,2,41,20.50,0,0,0,,0,0,0,0.0,1,36,0
71,1983,1983-12-11,15,26.109,DEN,,BAL,W 21-19,0,0,,0,2,50,25.00,0,0,0,,0,0,0,0.0,0,0,0
72,1983,1983-12-18,16,26.116,DEN,@,KAN,L 17-48,0,0,,0,3,35,11.67,0,0,0,,0,0,0,0.0,0,0,0
73,1984,1984-09-02,1,27.009,DEN,,CIN,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,22,0
74,1984,1984-09-09,2,27.016,DEN,@,CHI,L 0-27,,,,,,,,,0,0,,0,,,,,,
75,1984,1984-09-16,3,27.023,DEN,@,CLE,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,20,0
76,1984,1984-09-23,4,27.030,DEN,,KAN,W 21-0,,,,,,,,,0,0,,0,,,,,,
77,1984,1984-09-30,5,27.037,DEN,,RAI,W 16-13,,,,,,,,,0,0,,0,,,,,,
78,1984,1984-10-07,6,27.044,DEN,@,DET,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,11,0
79,1984,1984-10-15,7,27.052,DEN,,GNB,W 17-14,,,,,,,,,0,0,,0,,,,,,
80,1984,1984-10-21,8,27.058,DEN,@,BUF,W 37-7,,,,,,,,,,,,,,,,0,6,0
81,1984,1984-10-28,9,27.065,DEN,@,RAI,W 22-19,0,0,,0,0,0,,0,0,0,,0,0,0,0.5,0,0,0
82,1984,1984-11-11,11,27.079,DEN,@,SDG,W 16-13,,,,,,,,,0,0,,0,,,,,,
83,1984,1984-11-18,12,27.086,DEN,,MIN,W 42-21,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
84,1984,1984-11-25,13,27.093,DEN,,SEA,L 24-27,,,,,,,,,0,0,,0,,,,,,
85,1984,1984-12-02,14,27.100,DEN,@,KAN,L 13-16,,,,,,,,,0,0,,0,,,,,,
86,1984,1984-12-09,15,27.107,DEN,,SDG,W 16-13,,,,,,,,,0,0,,0,,,,,,
87,1984,1984-12-15,16,27.113,DEN,@,SEA,W 31-14,,,,,,,,,0,0,,0,,,,,,
88,1985,1985-09-08,1,28.015,DEN,@,RAM,L 16-20,,,,,,,,,,,,,,,,,,
89,1985,1985-09-15,2,28.022,DEN,,NOR,W 34-23,,,,,,,,,,,,,,,,,,
90,1985,1985-09-22,3,28.029,DEN,@,ATL,W 44-28,,,,,,,,,,,,,,,,,,
91,1985,1985-09-29,4,28.036,DEN,,MIA,L 26-30,,,,,,,,,,,,,,,,,,
92,1985,1985-10-06,5,28.043,DEN,,HOU,W 31-20,,,,,,,,,,,,,,,,,,
93,1985,1985-10-27,8,28.064,DEN,@,KAN,W 30-10,,,,,,,,,,,,,,,,,,
94,1985,1985-11-03,9,28.071,DEN,@,SDG,L 10-30,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
95,1985,1985-11-11,10,28.079,DEN,,SFO,W 17-16,,,,,,,,,,,,,,,,,,
96,1985,1985-11-17,11,28.085,DEN,,SDG,W 30-24,,,,,,,,,,,,,,,,,,
97,1985,1985-11-24,12,28.092,DEN,@,RAI,L 28-31,,,,,,,,,,,,,,,,,,
98,1985,1985-12-01,13,28.099,DEN,@,PIT,W 31-23,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,8,0
99,1985,1985-12-08,14,28.106,DEN,,RAI,L 14-17,,,,,,,,,,,,,,,,,,
100,1985,1985-12-14,15,28.112,DEN,,KAN,W 14-13,,,,,,,,,,,,,,,,,,
101,1985,1985-12-20,16,28.118,DEN,@,SEA,W 27-24,,,,,,,,,,,,,,,,,,
102,1986,1986-09-07,1,29.014,DEN,,RAI,W 38-36,0,0,,0,,,,,,,,,,,,,,
103,1986,1986-09-15,2,29.022,DEN,@,PIT,W 21-10,0,0,,0,,,,,,,,,,,,,,
104,1986,1986-09-21,3,29.028,DEN,@,PHI,W 33-7,0,0,,0,,,,,,,,,,,,,,
105,1986,1986-09-28,4,29.035,DEN,,NWE,W 27-20,0,0,,0,,,,,,,,,,,,,,
106,1986,1986-10-05,5,29.042,DEN,,DAL,W 29-14,0,0,,0,,,,,,,,,,,,,,
107,1986,1986-10-12,6,29.049,DEN,@,SDG,W 31-14,0,0,,0,,,,,,,,,,,,,,
108,1986,1986-10-20,7,29.057,DEN,@,NYJ,L 10-22,0,0,,0,,,,,,,,,,,,,,
109,1986,1986-10-26,8,29.063,DEN,,SEA,W 20-13,0,0,,0,,,,,,,,,,,,,,
110,1986,1986-11-02,9,29.070,DEN,@,RAI,W 21-10,0,0,,0,,,,,,,,,,,,,,
111,1986,1986-11-09,10,29.077,DEN,,SDG,L 3-9,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,-5,0
112,1986,1986-11-16,11,29.084,DEN,,KAN,W 38-17,1,43,43.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0,0
113,1986,1986-11-23,12,29.091,DEN,@,NYG,L 16-19,0,0,,0,,,,,,,,,,,,,,
114,1986,1986-11-30,13,29.098,DEN,,CIN,W 34-28,0,0,,0,,,,,,,,,,,,,,
115,1986,1986-12-07,14,29.105,DEN,@,KAN,L 10-37,0,0,,0,,,,,,,,,,,,,,
116,1986,1986-12-13,15,29.111,DEN,,WAS,W 31-30,0,0,,0,,,,,,,,,,,,,,
117,1986,1986-12-20,16,29.118,DEN,@,SEA,L 16-41,0,0,,0,,,,,,,,,,,,,,
118,1987,1987-09-13,1,30.020,DEN,,SEA,W 40-17,,,,,,,,,,,,,,,,,,
119,1987,1987-09-20,2,30.027,DEN,@,GNB,T 17-17,,,,,,,,,,,,,,,,,,
120,1987,1987-10-26,6,30.063,DEN,@,MIN,L 27-34,,,,,,,,,,,,,,,,,,
121,1987,1987-11-01,7,30.069,DEN,,DET,W 34-0,,,,,,,,,,,,,,,,,,
122,1987,1987-11-08,8,30.076,DEN,@,BUF,L 14-21,,,,,,,,,,,,,,,,,,
123,1987,1987-11-22,10,30.090,DEN,@,RAI,W 23-17,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
124,1987,1987-11-29,11,30.097,DEN,@,SDG,W 31-17,,,,,,,,,,,,,,,,,,
125,1987,1987-12-06,12,30.104,DEN,,NWE,W 31-20,,,,,,,,,,,,,,,,,,
126,1987,1987-12-13,13,30.111,DEN,@,SEA,L 21-28,,,,,,,,,,,,,,,,,,
127,1987,1987-12-19,14,30.117,DEN,,KAN,W 20-17,,,,,,,,,,,,,,,,,,
128,1987,1987-12-27,15,30.125,DEN,,SDG,W 24-0,,,,,,,,,,,,,,,,,,
129,1988,1988-10-02,5,31.039,DEN,@,SDG,W 12-0,,,,,,,,,,,,,,,,,,
130,1988,1988-10-09,6,31.046,DEN,@,SFO,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,1,7,0
131,1988,1988-10-16,7,31.053,DEN,,ATL,W 30-14,,,,,,,,,,,,,,,,,,
132,1988,1988-10-23,8,31.060,DEN,@,PIT,L 21-39,,,,,,,,,,,,,,,,,,
133,1988,1988-10-31,9,31.068,DEN,@,IND,L 23-55,,,,,,,,,,,,,,,,,,
134,1988,1988-11-06,10,31.074,DEN,,KAN,W 17-11,,,,,,,,,,,,,,,,,,
135,1988,1988-11-13,11,31.081,DEN,,CLE,W 30-7,,,,,,,,,,,,,,,,,,
136,1988,1988-11-20,12,31.088,DEN,@,NOR,L 0-42,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
137,1988,1988-11-27,13,31.095,DEN,,RAM,W 35-24,,,,,,,,,,,,,,,,,,
138,1988,1988-12-04,14,31.102,DEN,@,RAI,L 20-21,,,,,,,,,,,,,,,,,,
139,1988,1988-12-11,15,31.109,DEN,@,SEA,L 14-42,,,,,,,,,,,,,,,,,,
140,1988,1988-12-17,16,31.115,DEN,,NWE,W 21-10,,,,,,,,,,,,,,,,,,
