ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
53,1993,1993-09-12,2,30.060,ATL,,NOR,L 31-34,,,,,,,,,,0.0%,
54,1993,1993-09-19,3,30.067,ATL,@,SFO,L 30-37,,,,,,,,,,0.0%,
55,1993,1993-09-27,4,30.075,ATL,,PIT,L 17-45,,,,,,,,,,0.0%,
56,1993,1993-10-03,5,30.081,ATL,@,CHI,L 0-6,,,,,,,,,,0.0%,
57,1993,1993-10-14,6,30.092,ATL,,RAM,W 30-24,,,,,,,,,,0.0%,
58,1993,1993-10-24,7,30.102,ATL,@,NOR,W 26-15,,,,,,,,,,0.0%,
59,1993,1993-10-31,8,30.109,ATL,,TAM,L 24-31,,,,,,,,,,0.0%,
60,1993,1993-11-14,9,30.123,ATL,@,RAM,W 13-0,,,,,,,,,,0.0%,
61,1993,1993-11-21,10,30.130,ATL,,DAL,W 27-14,,,,,,,,,,0.0%,
62,1993,1993-11-28,11,30.137,ATL,,CLE,W 17-14,,,,,,,,,,0.0%,
63,1993,1993-12-05,12,30.144,ATL,@,HOU,L 17-33,,,,,,,,,,0.0%,
64,1993,1993-12-11,13,30.150,ATL,,SFO,W 27-24,,,,,,,,,,0.0%,
65,1993,1993-12-19,14,30.158,ATL,@,WAS,L 17-30,,,,,,,,,,0.0%,
66,1993,1993-12-26,15,30.165,ATL,@,CIN,L 17-21,,,,,,,,,,0.0%,
67,1993,1994-01-02,16,30.172,ATL,,PHO,L 10-27,,,,,,,,,,0.0%,
68,1994,1994-09-04,1,31.052,ATL,@,DET,L 28-31,,,,,,,,,,0.0%,
69,1994,1994-09-11,2,31.059,ATL,,RAM,W 31-13,,,,,,,,,,0.0%,
70,1994,1994-09-18,3,31.066,ATL,,KAN,L 10-30,,,,,,,,,,0.0%,
71,1994,1994-09-25,4,31.073,ATL,@,WAS,W 27-20,,,,,,,,,,0.0%,
72,1994,1994-10-02,5,31.080,ATL,@,RAM,W 8-5,,,,,,,,,,0.0%,
73,1994,1994-10-09,6,31.087,ATL,,TAM,W 34-13,,,,,,,,,,0.0%,
74,1994,1994-10-16,7,31.094,ATL,,SFO,L 3-42,,,,,,,,,,0.0%,
75,1994,1994-10-23,8,31.101,ATL,@,RAI,L 17-30,,,,,,,,,,0.0%,
76,1994,1994-11-06,9,31.115,ATL,,SDG,W 10-9,,,,,,,,,,0.0%,
77,1994,1994-11-13,10,31.122,ATL,@,NOR,L 32-33,,,,,,,,,,0.0%,
78,1994,1994-11-20,11,31.129,ATL,@,DEN,L 28-32,,,,,,,,,,0.0%,
79,1994,1994-11-27,12,31.136,ATL,,PHI,W 28-21,,,,,,,,,,0.0%,
80,1994,1994-12-04,13,31.143,ATL,@,SFO,L 14-50,,,,,,,,,,0.0%,
81,1994,1994-12-11,14,31.150,ATL,,NOR,L 20-29,,,,,,,,,,0.0%,
82,1994,1994-12-18,15,31.157,ATL,@,GNB,L 17-21,,,,,,,,,,0.0%,
83,1994,1994-12-24,16,31.163,ATL,,ARI,W 10-6,,,,,,,,,,0.0%,
84,1995,1995-09-03,1,32.051,ATL,,CAR,W 23-20,,,,,,,,,,0.0%,
85,1995,1995-09-10,2,32.058,ATL,@,SFO,L 10-41,,,,,,,,,,0.0%,
86,1995,1995-09-17,3,32.065,ATL,@,NOR,W 27-24,,,,,,,,,,0.0%,
87,1995,1995-09-24,4,32.072,ATL,,NYJ,W 13-3,,,,,,,,,,0.0%,
88,1995,1995-10-01,5,32.079,ATL,,NWE,W 30-17,,,,,,,,,,0.0%,
89,1995,1995-10-12,6,32.090,ATL,@,STL,L 19-21,,,,,,,,,,0.0%,
90,1995,1995-10-22,7,32.100,ATL,@,TAM,W 24-21,,,,,,,,,,0.0%,
91,1995,1995-10-29,8,32.107,ATL,,DAL,L 13-28,,,,,,,,,,0.0%,
92,1995,1995-11-05,9,32.114,ATL,,DET,W 34-22,,,,,,,,,,0.0%,
93,1995,1995-11-12,10,32.121,ATL,@,BUF,L 17-23,,,,,,,,,,0.0%,
94,1995,1995-11-19,11,32.128,ATL,,STL,W 31-6,,,,,,,,,,0.0%,
95,1995,1995-11-26,12,32.135,ATL,@,ARI,L 37-40,,,,,,,,,,0.0%,
96,1995,1995-12-03,13,32.142,ATL,@,MIA,L 20-21,,,,,,,,,,0.0%,
97,1995,1995-12-10,14,32.149,ATL,,NOR,W 19-14,,,,,,,,,,0.0%,
98,1995,1995-12-17,15,32.156,ATL,@,CAR,L 17-21,,,,,,,,,,0.0%,
99,1995,1995-12-24,16,32.163,ATL,,SFO,W 28-27,,,,,,,,,,0.0%,
100,1996,1996-09-01,1,33.049,ATL,@,CAR,L 6-29,,,,,,,,,,0.0%,
101,1996,1996-09-08,2,33.056,ATL,,MIN,L 17-23,,,,,,,,,,0.0%,
102,1996,1996-09-22,3,33.070,ATL,,PHI,L 18-33,,,,,,,,,,0.0%,
103,1996,1996-09-29,4,33.077,ATL,@,SFO,L 17-39,,,,,,,,,,0.0%,
104,1996,1996-10-06,5,33.084,ATL,@,DET,L 24-28,,,,,,,,,,0.0%,
105,1996,1996-10-13,6,33.091,ATL,,HOU,L 13-23,,,,,,,,,,0.0%,
106,1996,1996-10-20,7,33.098,ATL,@,DAL,L 28-32,,,,,,,,,,0.0%,
107,1996,1996-10-27,8,33.105,ATL,,PIT,L 17-20,,,,,,,,,,0.0%,
108,1996,1996-11-03,9,33.112,ATL,,CAR,W 20-17,,,,,,,,,,0.0%,
109,1996,1996-11-10,10,33.119,ATL,@,STL,L 16-59,,,,,,,,,,0.0%,
110,1996,1996-11-17,11,33.126,ATL,,NOR,W 17-15,,,,,,,,,,0.0%,
111,1996,1996-11-24,12,33.133,ATL,@,CIN,L 31-41,,,,,,,,,,0.0%,
112,1996,1996-12-02,13,33.141,ATL,,SFO,L 10-34,,,,,,,,,,0.0%,
113,1996,1996-12-08,14,33.147,ATL,@,NOR,W 31-15,,,,,,,,,,0.0%,
114,1996,1996-12-15,15,33.154,ATL,,STL,L 27-34,,,,,,,,,,0.0%,
115,1996,1996-12-22,16,33.161,ATL,@,JAX,L 17-19,,,,,,,,,,0.0%,
116,1997,1997-09-01,1,34.049,CHI,@,GNB,L 24-38,0,0,,0,,,,,,0.0%,
117,1997,1997-09-07,2,34.055,CHI,,MIN,L 24-27,0,0,,0,0,,,,,0.0%,
118,1997,1997-09-14,3,34.062,CHI,,DET,L 7-32,0,0,,0,,,,,,0.0%,
119,1997,1997-09-21,4,34.069,CHI,@,NWE,L 3-31,0,0,,0,0,,,,,0.0%,
120,1997,1997-09-28,5,34.076,CHI,@,DAL,L 3-27,0,0,,0,,,,,,0.0%,
121,1997,1997-10-05,6,34.083,CHI,,NOR,L 17-20,0,0,,0,,,,,,0.0%,
122,1997,1997-10-12,7,34.090,CHI,,GNB,L 23-24,0,0,,0,,,,,,0.0%,
123,1997,1997-10-27,8,34.105,CHI,@,MIA,W 36-33,0,0,,0,,,,,,0.0%,
124,1997,1997-11-02,9,34.111,CHI,,WAS,L 8-31,0,0,,0,0,,,,,0.0%,
125,1997,1997-11-09,10,34.118,CHI,@,MIN,L 22-29,0,0,,0,,,,,,0.0%,
126,1997,1997-11-16,11,34.125,CHI,,NYJ,L 15-23,0,0,,0,,,,,,0.0%,
127,1997,1997-11-23,12,34.132,CHI,,TAM,W 13-7,0,0,,0,,,,,,0.0%,
128,1997,1997-11-27,13,34.136,CHI,@,DET,L 20-55,0,0,,0,,,,,,0.0%,
129,1997,1997-12-07,14,34.146,CHI,,BUF,W 20-3,0,0,,0,,,,,,0.0%,
130,1997,1997-12-14,15,34.153,CHI,@,STL,W 13-10,1,0,0.00,0,0,0,0,,0,0.0%,
131,1997,1997-12-21,16,34.160,CHI,@,TAM,L 15-31,0,0,,0,,,,,,0.0%,
132,1998,1998-09-06,1,35.054,BAL,,PIT,L 13-20,0,0,,0,,0,0,,0,0.0%,
133,1998,1998-09-13,2,35.061,BAL,@,NYJ,W 24-10,,,,,,,,,,0.0%,
134,1998,1998-09-20,3,35.068,BAL,@,JAX,L 10-24,,,,,,,,,,0.0%,
135,1998,1998-09-27,4,35.075,BAL,,CIN,W 31-24,,,,,,,,,,0.0%,
136,1998,1998-10-11,5,35.089,BAL,,TEN,L 8-12,,,,,,,,,,0.0%,
