ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
61,2007,2007-09-16,2,27.144,TEN,,IND,L 20-22,,,,,,,,,,,0.0%,,,,
62,2007,2007-09-24,3,27.152,TEN,@,NOR,W 31-14,,,,,,,,,,,0.0%,,,,
63,2007,2007-10-07,4,27.165,TEN,,ATL,W 20-13,,,,,,0,,,,,0.0%,,,,
64,2007,2007-10-14,5,27.172,TEN,@,TAM,L 10-13,,,,,,0,,,,,0.0%,,,,
65,2007,2007-10-21,6,27.179,TEN,@,HOU,W 38-36,,,,,,0,,,,,0.0%,,,,
66,2007,2007-10-28,7,27.186,TEN,,OAK,W 13-9,,,,,,,,,,,0.0%,,,,
67,2007,2007-11-04,8,27.193,TEN,,CAR,W 20-7,,,,,,,,,,,0.0%,,,,
68,2007,2007-11-11,9,27.200,TEN,,JAX,L 13-28,,,,,,,,,,,0.0%,,,,
69,2007,2007-11-19,10,27.208,TEN,@,DEN,L 20-34,,,,,,0,,,,,0.0%,,,,
70,2007,2007-11-25,11,27.214,TEN,@,CIN,L 6-35,,,,,,,,,,,0.0%,,,,
71,2007,2007-12-02,12,27.221,TEN,,HOU,W 28-20,,,,,,,,,,,0.0%,,,,
72,2007,2007-12-09,13,27.228,TEN,,SDG,L 17-23,,0,0,,0,0,0,0,,0,0.0%,,1.0,,
73,2007,2007-12-16,14,27.235,TEN,@,KAN,W 26-17,,,,,,0,,,,,0.0%,,,,
74,2007,2007-12-23,15,27.242,TEN,,NYJ,W 10-6,,,,,,,,,,,0.0%,,,,
75,2007,2007-12-30,16,27.249,TEN,@,IND,W 16-10,,,,,,,,,,,0.0%,,,,
76,2008,2008-09-07,1,28.135,TEN,,JAX,W 17-10,,,,,,,,,,,0.0%,,,,
77,2008,2008-09-14,2,28.142,TEN,@,CIN,W 24-7,,,,,,,,,,,0.0%,,,,
78,2008,2008-09-21,3,28.149,TEN,,HOU,W 31-12,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
79,2008,2008-09-28,4,28.156,TEN,,MIN,W 30-17,,,,,,,,,,,0.0%,,,,
80,2008,2008-10-05,5,28.163,TEN,@,BAL,W 13-10,,,,,,,,,,,0.0%,,,,
81,2008,2008-10-19,6,28.177,TEN,@,KAN,W 34-10,,,,,,,,,,,0.0%,,,,
82,2008,2008-10-27,7,28.185,TEN,,IND,W 31-21,,0,0,,0,,0,0,,0,0.0%,,0.0,0,1
83,2008,2008-11-02,8,28.191,TEN,,GNB,W 19-16,,,,,,,,,,,0.0%,,,,
84,2008,2008-11-09,9,28.198,TEN,@,CHI,W 21-14,,,,,,,,,,,0.0%,,,,
85,2008,2008-11-16,10,28.205,TEN,@,JAX,W 24-14,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
86,2008,2008-11-23,11,28.212,TEN,,NYJ,L 13-34,,,,,,,,,,,0.0%,,,,
87,2008,2008-11-27,12,28.216,TEN,@,DET,W 47-10,,,,,,,,,,,0.0%,,,,
88,2008,2008-12-07,13,28.226,TEN,,CLE,W 28-9,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
89,2008,2008-12-14,14,28.233,TEN,@,HOU,L 12-13,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
90,2008,2008-12-21,15,28.240,TEN,,PIT,W 31-14,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
91,2008,2008-12-28,16,28.247,TEN,@,IND,L 0-23,,0,0,,0,0,0,0,,0,0.0%,,0.0,3,2
92,2009,2009-09-10,1,29.138,TEN,@,PIT,L 10-13,,,,,,,,,,,0.0%,,,,
93,2009,2009-09-20,2,29.148,TEN,,HOU,L 31-34,,,,,,,,,,,0.0%,,,,
94,2009,2009-09-27,3,29.155,TEN,@,NYJ,L 17-24,,0,0,,0,,0,0,,0,0.0%,,0.0,0,1
95,2009,2009-10-04,4,29.162,TEN,@,JAX,L 17-37,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
96,2009,2009-10-11,5,29.169,TEN,,IND,L 9-31,*,,,,,,,,,,0.0%,,,,
97,2009,2009-10-18,6,29.176,TEN,@,NWE,L 0-59,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
98,2009,2009-11-01,7,29.190,TEN,,JAX,W 30-13,,0,0,,0,,0,0,,0,0.0%,,0.0,0,1
99,2009,2009-11-08,8,29.197,TEN,@,SFO,W 34-27,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1
100,2009,2009-11-15,9,29.204,TEN,,BUF,W 41-17,,,,,,0,,,,,0.0%,,,,
101,2009,2009-11-23,10,29.212,TEN,@,HOU,W 20-17,,,,,,,,,,,0.0%,,,,
102,2009,2009-11-29,11,29.218,TEN,,ARI,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
103,2009,2009-12-06,12,29.225,TEN,@,IND,L 17-27,,,,,,,,,,,0.0%,,,,
104,2009,2009-12-13,13,29.232,TEN,,STL,W 47-7,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0
105,2009,2009-12-20,14,29.239,TEN,,MIA,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
106,2009,2009-12-25,15,29.244,TEN,,SDG,L 17-42,,,,,,,,,,,0.0%,,,,
107,2009,2010-01-03,16,29.253,TEN,@,SEA,W 17-13,,,,,,,,,,,0.0%,,,,
108,2010,2010-09-12,1,30.140,TEN,,OAK,W 38-13,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
109,2010,2010-09-19,2,30.147,TEN,,PIT,L 11-19,,,,,,,,,,,0.0%,,,,
110,2010,2010-09-26,3,30.154,TEN,@,NYG,W 29-10,,,,,,,,,,,0.0%,,,,
111,2010,2010-10-03,4,30.161,TEN,,DEN,L 20-26,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,0
112,2010,2010-10-10,5,30.168,TEN,@,DAL,W 34-27,,,,,,,,,,,0.0%,,,,
113,2010,2010-10-18,6,30.176,TEN,@,JAX,W 30-3,,,,,,,,,,,0.0%,,,,
114,2010,2010-10-24,7,30.182,TEN,,PHI,W 37-19,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1
115,2010,2010-10-31,8,30.189,TEN,@,SDG,L 25-33,,0,0,,0,0,0,0,,0,0.0%,,0.0,0,1
116,2010,2010-11-14,9,30.203,TEN,@,MIA,L 17-29,,,,,,,,,,,0.0%,,,,
117,2010,2010-11-21,10,30.210,TEN,,WAS,L 16-19,,,,,,,,,,,0.0%,,,,
118,2010,2010-11-28,11,30.217,TEN,@,HOU,L 0-20,,,,,,,,,,,0.0%,,,,
119,2010,2010-12-05,12,30.224,TEN,,JAX,L 6-17,,,,,,,,,,,0.0%,,,,
120,2010,2010-12-09,13,30.228,TEN,,IND,L 28-30,,,,,,,,,,,0.0%,,,,
121,2010,2010-12-19,14,30.238,TEN,,HOU,W 31-17,,,,,,,,,,,0.0%,,,,
122,2010,2010-12-26,15,30.245,TEN,@,KAN,L 14-34,,0,0,,0,0,0,0,,0,0.0%,,0.0,1,0
123,2010,2011-01-02,16,30.252,TEN,@,IND,L 20-23,,,,,,,,,,,0.0%,,,,
