ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
65,1967,1967-09-17,1,30.352,DET,@,GNB,T 17-17,2,2,100.0,1,3,33.3,0,5,0,0,0
66,1967,1967-10-08,4,31.008,DET,,GNB,L 17-27,2,2,100.0,1,1,100.0,0,5,0,0,0
67,1967,1967-10-15,5,31.015,DET,@,CHI,L 3-14,,,,1,2,50.0,0,3,0,0,0
68,1967,1967-10-22,6,31.022,DET,,ATL,W 24-3,3,3,100.0,1,3,33.3,0,6,0,0,0
69,1967,1967-11-12,9,31.043,DET,@,MIN,T 10-10,1,1,100.0,1,2,50.0,0,4,0,0,0
70,1967,1967-11-19,10,31.050,DET,@,BAL,L 7-41,1,1,100.0,,3,0.0,0,1,0,0,0
71,1967,1967-11-23,11,31.054,DET,,RAM,L 7-31,1,1,100.0,,,,0,1,,,
72,1967,1967-12-03,12,31.064,DET,,PIT,L 14-24,1,1,100.0,,1,0.0,0,1,,,
73,1968,1968-09-15,1,31.351,DET,@,DAL,L 13-59,1,1,100.0,,,,0,1,,,
74,1968,1968-11-17,10,32.048,DET,,MIN,L 6-13,,,,2,3,66.7,0,6,0,0,0
75,1968,1968-11-24,11,32.055,DET,,NOR,T 20-20,2,2,100.0,2,5,40.0,0,8,1,0,0
76,1968,1968-12-08,13,32.069,DET,@,ATL,W 24-7,3,3,100.0,1,4,25.0,0,6,0,0,0
77,1968,1968-12-15,14,32.076,DET,@,WAS,L 3-14,,,,1,2,50.0,0,3,0,0,0
78,1969,1969-11-16,9,33.047,DET,,STL,W 20-0,,,,,,,0,0,1,0,0
79,1970,1970-09-20,1,33.355,DET,@,GNB,W 40-0,,,,,,,,,,,
80,1970,1970-09-27,2,33.362,DET,,CIN,W 38-3,,,,,,,,,,,
81,1970,1970-10-05,3,34.005,DET,,CHI,W 28-14,,,,,,,,,,,
82,1970,1970-10-11,4,34.011,DET,@,WAS,L 10-31,,,,,,,,,,,
83,1970,1970-10-18,5,34.018,DET,@,CLE,W 41-24,,,,,,,,,,,
84,1970,1970-10-25,6,34.025,DET,@,CHI,W 16-10,,,,,,,,,,,
85,1970,1970-11-01,7,34.032,DET,,MIN,L 17-30,,,,,,,,,,,
86,1970,1970-11-08,8,34.039,DET,@,NOR,L 17-19,,,,,,,,,,,
87,1970,1970-11-15,9,34.046,DET,@,MIN,L 20-24,,,,,,,,,,,
88,1970,1970-11-22,10,34.053,DET,,SFO,W 28-7,,,,,,,,,,,
89,1970,1970-11-26,11,34.057,DET,,OAK,W 28-14,,,,,,,,,,,
90,1970,1970-12-06,12,34.067,DET,,STL,W 16-3,,,,,,,,,,,
91,1970,1970-12-14,13,34.075,DET,@,RAM,W 28-23,,,,,,,,,,,
92,1970,1970-12-20,14,34.081,DET,,GNB,W 20-0,,,,,,,,,,,
93,1971,1971-09-20,1,34.355,DET,,MIN,L 13-16,,,,,,,,,,,
94,1971,1971-09-26,2,34.361,DET,@,NWE,W 34-7,2,2,100.0,,,,0,2,1,4,0
95,1971,1971-10-03,3,35.003,DET,,ATL,W 41-38,,,,,,,,,,,
96,1971,1971-10-10,4,35.010,DET,,GNB,W 31-28,,,,,,,,,,,
97,1971,1971-10-17,5,35.017,DET,@,HOU,W 31-7,,,,,,,,,,,
98,1971,1971-10-24,6,35.024,DET,,CHI,L 23-28,,,,,,,,,,,
99,1971,1971-11-01,7,35.032,DET,@,GNB,T 14-14,,,,,,,,,,,
100,1971,1971-11-07,8,35.038,DET,@,DEN,W 24-20,,,,,,,,,,,
101,1971,1971-11-14,9,35.045,DET,,RAM,L 13-21,,,,,,,,,,,
102,1971,1971-11-21,10,35.052,DET,@,CHI,W 28-3,,,,,,,,,,,
103,1971,1971-11-25,11,35.056,DET,,KAN,W 32-21,,,,,,,,,,,
104,1971,1971-12-05,12,35.066,DET,,PHI,L 20-23,,,,,,,,,,,
105,1971,1971-12-11,13,35.072,DET,@,MIN,L 10-29,,,,,,,,,,,
106,1971,1971-12-19,14,35.080,DET,@,SFO,L 27-31,,,,,,,,,,,
107,1972,1972-09-17,1,35.353,DET,,NYG,W 30-16,,,,,,,,,,,
108,1972,1972-09-24,2,35.360,DET,,MIN,L 10-34,,,,,,,,,,,
109,1972,1972-10-01,3,36.001,DET,@,CHI,W 38-24,,,,,,,,,,,
110,1972,1972-10-08,4,36.008,DET,@,ATL,W 26-23,,,,,,,,,,,
111,1972,1972-10-16,5,36.016,DET,,GNB,L 23-24,,,,,,,,,,,
112,1972,1972-10-22,6,36.022,DET,,SDG,W 34-20,,,,,,,,,,,
113,1972,1972-10-30,7,36.030,DET,@,DAL,L 24-28,,,,,,,,,,,
114,1972,1972-11-05,8,36.036,DET,,CHI,W 14-0,,,,,,,,,,,
115,1972,1972-11-12,9,36.043,DET,@,MIN,L 14-16,,,,,,,,,,,
116,1972,1972-11-19,10,36.050,DET,,NOR,W 27-14,,,,,,,,,,,
117,1972,1972-11-23,11,36.054,DET,,NYJ,W 37-20,,,,,,,,,,,
118,1972,1972-12-03,12,36.064,DET,@,GNB,L 7-33,,,,,,,,,,,
119,1972,1972-12-10,13,36.071,DET,@,BUF,T 21-21,,,,,,,,,,,
120,1972,1972-12-17,14,36.078,DET,@,RAM,W 34-17,,,,,,,,,,,
