ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
83,1990,1990-11-04,8,27.219,DET,,WAS,L 38-41,,,,,
84,1990,1990-11-11,9,27.226,DET,,MIN,L 7-17,,,,,
85,1990,1990-11-18,10,27.233,DET,@,NYG,L 0-20,,,,,
86,1990,1990-11-22,11,27.237,DET,,DEN,W 40-27,,,,,
87,1990,1990-12-02,12,27.247,DET,@,CHI,L 17-23,,,,,
88,1990,1990-12-10,13,27.255,DET,,RAI,L 31-38,,,,,
89,1990,1990-12-16,14,27.261,DET,,CHI,W 38-21,,,,,
90,1990,1990-12-22,15,27.267,DET,@,GNB,W 24-17,,,,,
91,1990,1990-12-30,16,27.275,DET,@,SEA,L 10-30,,,,,
92,1991,1991-09-01,1,28.155,DET,@,WAS,L 0-45,,,,,
93,1991,1991-09-08,2,28.162,DET,,GNB,W 23-14,,,,,
94,1991,1991-09-15,3,28.169,DET,,MIA,W 17-13,,,,,
95,1991,1991-09-22,4,28.176,DET,@,IND,W 33-24,,,,,
96,1991,1991-09-29,5,28.183,DET,,TAM,W 31-3,,,,,
97,1991,1991-10-06,6,28.190,DET,,MIN,W 24-20,,,,,
98,1991,1991-10-20,7,28.204,DET,@,SFO,L 3-35,,,,,
99,1991,1991-10-27,8,28.211,DET,,DAL,W 34-10,,,,,
100,1991,1991-11-03,9,28.218,DET,@,CHI,L 10-20,,,,,
101,1991,1991-11-10,10,28.225,DET,@,TAM,L 21-30,,,,,
102,1991,1991-11-24,12,28.239,DET,@,MIN,W 34-14,,,,,
103,1991,1991-11-28,13,28.243,DET,,CHI,W 16-6,,,,,
104,1991,1991-12-08,14,28.253,DET,,NYJ,W 34-20,,,,,
105,1991,1991-12-15,15,28.260,DET,@,GNB,W 21-17,,,,,
106,1991,1991-12-22,16,28.267,DET,@,BUF,W 17-14,,,,,
107,1992,1992-09-06,1,29.160,DET,@,CHI,L 24-27,,,,,
108,1992,1992-09-13,2,29.167,DET,,MIN,W 31-17,,,,,
109,1992,1992-09-20,3,29.174,DET,@,WAS,L 10-13,,,,,
110,1992,1992-09-27,4,29.181,DET,,TAM,L 23-27,,,,,
111,1992,1992-10-04,5,29.188,DET,,NOR,L 7-13,,,,,
112,1992,1992-10-15,6,29.199,DET,@,MIN,L 14-31,,,,,
113,1992,1992-10-25,7,29.209,DET,@,TAM,W 38-7,,,,,
114,1992,1992-11-01,8,29.216,DET,,GNB,L 13-27,,,,,
115,1992,1992-11-08,9,29.223,DET,,DAL,L 3-37,,,,,
116,1992,1992-11-15,10,29.230,DET,@,PIT,L 14-17,,,,,
117,1992,1992-11-22,11,29.237,DET,@,CIN,W 19-13,,,,,
118,1992,1992-11-26,12,29.241,DET,,HOU,L 21-24,,,,,
119,1992,1992-12-06,13,29.251,DET,@,GNB,L 10-38,,,,,
120,1992,1992-12-13,14,29.258,DET,,CLE,W 24-14,,,,,
121,1992,1992-12-20,15,29.265,DET,,CHI,W 16-3,,,,,
122,1992,1992-12-28,16,29.273,DET,@,SFO,L 6-24,,,,,
123,1993,1993-09-05,1,30.159,DET,,ATL,W 30-13,,,,,
124,1993,1993-10-17,6,30.201,DET,,SEA,W 30-10,,,,,
125,1993,1993-10-31,8,30.215,DET,@,MIN,W 30-27,,,,,
126,1993,1993-11-07,9,30.222,DET,,TAM,W 23-0,,,,,
127,1993,1993-11-21,10,30.236,DET,@,GNB,L 17-26,,,,,
128,1993,1993-11-25,11,30.240,DET,,CHI,L 6-10,,,,,
129,1993,1993-12-05,12,30.250,DET,,MIN,L 0-13,,,,,
130,1993,1993-12-12,13,30.257,DET,@,PHO,W 21-14,,,,,
131,1993,1993-12-19,14,30.264,DET,,SFO,L 17-55,,,,,
132,1993,1993-12-26,15,30.271,DET,@,CHI,W 20-14,,,,,
133,1993,1994-01-02,16,30.278,DET,,GNB,W 30-20,,,,,
134,1994,1994-09-04,1,31.158,DET,,ATL,W 31-28,,,,,
135,1994,1994-09-11,2,31.165,DET,@,MIN,L 3-10,,,,,
136,1994,1994-09-19,3,31.173,DET,@,DAL,W 20-17,,,,,
137,1994,1994-09-25,4,31.179,DET,,NWE,L 17-23,,,,,
138,1994,1994-10-02,5,31.186,DET,@,TAM,L 14-24,,,,,
139,1994,1994-10-09,6,31.193,DET,,SFO,L 21-27,,,,,
140,1994,1994-10-23,7,31.207,DET,,CHI,W 21-16,,,,,
141,1994,1994-10-30,8,31.214,DET,@,NYG,W 28-25,,,,,
142,1994,1994-11-06,9,31.221,DET,@,GNB,L 30-38,,,,,
143,1994,1994-11-13,10,31.228,DET,,TAM,W 14-9,,,,,
144,1994,1994-11-20,11,31.235,DET,@,CHI,L 10-20,,,,,
145,1994,1994-11-24,12,31.239,DET,,BUF,W 35-21,,,,,
146,1994,1994-12-04,13,31.249,DET,,GNB,W 34-31,,,,,
147,1994,1994-12-10,14,31.255,DET,@,NYJ,W 18-7,,,,,
148,1994,1994-12-17,15,31.262,DET,,MIN,W 41-19,,,,,
149,1994,1994-12-25,16,31.270,DET,@,MIA,L 20-27,,,,,
150,1995,1995-09-10,2,32.164,DET,@,MIN,L 10-20,,,,,
151,1995,1995-09-17,3,32.171,DET,,ARI,L 17-20,,,,,
152,1995,1995-09-25,4,32.179,DET,,SFO,W 27-24,,,,,
153,1995,1995-10-08,5,32.192,DET,,CLE,W 38-20,,,,,
154,1995,1995-10-15,6,32.199,DET,@,GNB,L 21-30,,,,,
155,1995,1995-10-22,7,32.206,DET,@,WAS,L 30-36,,,,,
156,1995,1995-10-29,8,32.213,DET,,GNB,W 24-16,,,,,
157,1995,1995-11-05,9,32.220,DET,@,ATL,L 22-34,,,,,
158,1995,1995-11-12,10,32.227,DET,,TAM,W 27-24,,,,,
159,1995,1995-11-19,11,32.234,DET,@,CHI,W 24-17,,,,,
160,1995,1995-11-23,12,32.238,DET,,MIN,W 44-38,,,,,
161,1995,1995-12-04,13,32.249,DET,,CHI,W 27-7,,,,,
162,1995,1995-12-10,14,32.255,DET,@,HOU,W 24-17,,,,,
163,1995,1995-12-17,15,32.262,DET,,JAX,W 44-0,,,,,
164,1995,1995-12-23,16,32.268,DET,@,TAM,W 37-10,,,,,
165,1996,1996-09-01,1,33.155,ARI,@,IND,L 13-20,,,,,
166,1996,1996-09-08,2,33.162,ARI,,MIA,L 10-38,,,,,
167,1996,1996-09-15,3,33.169,ARI,@,NWE,L 0-31,,,,,
168,1996,1996-09-22,4,33.176,ARI,@,NOR,W 28-14,,,,,
169,1996,1996-09-29,5,33.183,ARI,,STL,W 31-28,,,,,
170,1996,1996-10-13,6,33.197,ARI,@,DAL,L 3-17,,,,,
171,1996,1996-10-20,7,33.204,ARI,,TAM,W 13-9,,,,,
172,1996,1996-10-27,8,33.211,ARI,,NYJ,L 21-31,,,,,
173,1996,1996-11-03,9,33.218,ARI,@,NYG,L 8-16,,,,,
174,1996,1996-11-10,10,33.225,ARI,@,WAS,W 37-34,,,,,
175,1996,1996-11-17,11,33.232,ARI,,NYG,W 31-23,,,,,
176,1996,1996-11-24,12,33.239,ARI,,PHI,W 36-30,,,,,
177,1996,1996-12-01,13,33.246,ARI,@,MIN,L 17-41,,,,,
178,1996,1996-12-08,14,33.253,ARI,,DAL,L 6-10,,,,,
179,1996,1996-12-15,15,33.260,ARI,,WAS,W 27-26,,,,,
180,1996,1996-12-22,16,33.267,ARI,@,PHI,L 19-29,,,,,
181,1997,1997-08-31,1,34.154,ARI,@,CIN,L 21-24,,,,,
182,1997,1997-09-07,2,34.161,ARI,,DAL,W 25-22,,,,,
183,1997,1997-09-14,3,34.168,ARI,@,WAS,L 13-19,,,,,
184,1997,1997-09-28,4,34.182,ARI,@,TAM,L 18-19,,,,,
185,1997,1997-10-05,5,34.189,ARI,,MIN,L 19-20,,,,,
186,1997,1997-10-12,6,34.196,ARI,,NYG,L 13-27,,,,,
187,1997,1997-10-19,7,34.203,ARI,@,PHI,L 10-13,,,,,
188,1997,1997-10-26,8,34.210,ARI,,TEN,L 14-41,,,,,
189,1997,1997-11-02,9,34.217,ARI,,PHI,W 31-21,,,,,
190,1997,1997-11-23,12,34.238,DET,,IND,W 32-10,,,,,
191,1997,1997-11-30,13,34.245,ARI,,PIT,L 20-26,,,,,
192,1997,1997-12-07,14,34.252,ARI,,WAS,L 28-38,,,,,
193,1997,1997-12-14,15,34.259,ARI,@,NOR,L 10-27,,,,,
194,1997,1997-12-21,16,34.266,ARI,,ATL,W 29-26,,,,,
195,1998,1998-09-06,1,35.160,ARI,@,DAL,L 10-38,,,,,
196,1998,1998-09-13,2,35.167,ARI,@,SEA,L 14-33,,,,,
197,1998,1998-09-20,3,35.174,ARI,,PHI,W 17-3,,,,,
198,1998,1998-09-27,4,35.181,ARI,@,STL,W 20-17,,,,,
199,1998,1998-10-04,5,35.188,ARI,,OAK,L 20-23,,,,,
200,1998,1998-10-11,6,35.195,ARI,,CHI,W 20-7,,,,,
201,1998,1998-10-18,7,35.202,ARI,@,NYG,L 7-34,,,,,
202,1998,1998-11-01,8,35.216,ARI,@,DET,W 17-15,,,,,
203,1998,1998-11-08,9,35.223,ARI,,WAS,W 29-27,,,,,
204,1998,1998-11-15,10,35.230,ARI,,DAL,L 28-35,,,,,
205,1998,1998-11-22,11,35.237,ARI,@,WAS,W 45-42,,,,,
206,1998,1998-11-29,12,35.244,ARI,@,KAN,L 24-34,,,,,
207,1998,1998-12-06,13,35.251,ARI,,NYG,L 19-23,,,,,
208,1998,1998-12-13,14,35.258,ARI,@,PHI,W 20-17,,,,,
209,1998,1998-12-20,15,35.265,ARI,,NOR,W 19-17,,,,,
210,1998,1998-12-27,16,35.272,ARI,,SDG,W 16-13,,,,,
211,1999,1999-09-12,1,36.166,CLE,,PIT,L 0-43,*,,,,
212,1999,1999-09-19,2,36.173,CLE,@,TEN,L 9-26,*,,,,
213,1999,1999-09-26,3,36.180,CLE,@,BAL,L 10-17,*,,,,
214,1999,1999-10-03,4,36.187,CLE,,NWE,L 7-19,*,,,,
215,1999,1999-10-10,5,36.194,CLE,,CIN,L 17-18,*,,,,
216,1999,1999-10-17,6,36.201,CLE,@,JAX,L 7-24,*,,,,
217,1999,1999-10-24,7,36.208,CLE,@,STL,L 3-34,*,,,,
218,1999,1999-10-31,8,36.215,CLE,@,NOR,W 21-16,*,,,,
219,1999,1999-11-07,9,36.222,CLE,,BAL,L 9-41,*,,,,
220,1999,1999-11-14,10,36.229,CLE,@,PIT,W 16-15,*,,,,
221,2000,2000-09-03,1,37.157,NYG,,ARI,W 21-16,,,,,
222,2000,2000-09-10,2,37.164,NYG,@,PHI,W 33-18,*,,,,
223,2000,2000-09-17,3,37.171,NYG,@,CHI,W 14-7,*,,,,
224,2000,2000-09-24,4,37.178,NYG,,WAS,L 6-16,*,,,,
225,2000,2000-10-01,5,37.185,NYG,@,TEN,L 14-28,*,,,,
226,2000,2000-10-08,6,37.192,NYG,@,ATL,W 13-6,*,,,,
227,2000,2000-10-15,7,37.199,NYG,,DAL,W 19-14,*,,,,
228,2000,2000-10-29,8,37.213,NYG,,PHI,W 24-7,*,,,,
229,2000,2000-11-05,9,37.220,NYG,@,CLE,W 24-3,*,,,,
230,2000,2000-11-12,10,37.227,NYG,,STL,L 24-38,*,,,,
231,2000,2000-11-19,11,37.234,NYG,,DET,L 21-31,,,,,
232,2000,2000-11-26,12,37.241,NYG,@,ARI,W 31-7,*,,,,
233,2000,2000-12-03,13,37.248,NYG,@,WAS,W 9-7,*,,,,
234,2000,2000-12-10,14,37.255,NYG,,PIT,W 30-10,,,,,
235,2000,2000-12-17,15,37.262,NYG,@,DAL,W 17-13,*,,,,
236,2000,2000-12-23,16,37.268,NYG,,JAX,W 28-25,,,,,
237,2001,2001-09-10,1,38.164,NYG,@,DEN,L 20-31,*,,,,
238,2001,2001-09-23,2,38.177,NYG,@,KAN,W 13-3,*,,,,
239,2001,2001-09-30,3,38.184,NYG,,NOR,W 21-13,*,,,,
240,2001,2001-10-07,4,38.191,NYG,,WAS,W 23-9,*,,,,
241,2001,2001-10-14,5,38.198,NYG,@,STL,L 14-15,*,,,,
242,2001,2001-10-22,6,38.206,NYG,,PHI,L 9-10,*,,,,
243,2001,2001-10-28,7,38.212,NYG,@,WAS,L 21-35,*,,,,
244,2001,2001-11-04,8,38.219,NYG,,DAL,W 27-24,*,,,,
245,2001,2001-11-11,9,38.226,NYG,@,ARI,W 17-10,*,,,,
246,2001,2001-11-19,10,38.234,NYG,@,MIN,L 16-28,*,,,,
247,2001,2001-11-25,11,38.240,NYG,,OAK,L 10-28,*,,,,
248,2001,2001-12-09,12,38.254,NYG,@,DAL,L 13-20,*,,,,
249,2001,2001-12-15,13,38.260,NYG,,ARI,W 17-13,*,,,,
250,2001,2001-12-23,14,38.268,NYG,,SEA,W 27-24,*,,,,
251,2001,2001-12-30,15,38.275,NYG,@,PHI,L 21-24,*,,,,
252,2001,2002-01-06,16,38.282,NYG,,GNB,L 25-34,*,,,,
253,2002,2002-09-08,1,39.162,TAM,,NOR,L 20-26,,,,,
254,2002,2002-10-20,7,39.204,TAM,@,PHI,L 10-20,,,,,
255,2002,2002-10-27,8,39.211,TAM,@,CAR,W 12-9,,,,,
256,2002,2002-11-03,9,39.218,TAM,,MIN,W 38-24,,,,,
257,2002,2002-11-17,10,39.232,TAM,,CAR,W 23-10,,,,,
258,2002,2002-11-24,11,39.239,TAM,,GNB,W 21-7,,,,,
259,2002,2002-12-01,12,39.246,TAM,@,NOR,L 20-23,,,,,
260,2002,2002-12-08,13,39.253,TAM,,ATL,W 34-10,,,,,
261,2002,2002-12-15,14,39.260,TAM,@,DET,W 23-20,,,,,
262,2002,2002-12-23,15,39.268,TAM,,PIT,L 7-17,,,,,
263,2002,2002-12-29,16,39.274,TAM,@,CHI,W 15-0,,,,,
