ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
57,1993,1993-11-14,9,25.200,CHI,@,SDG,W 16-13,,,,,,,,,,
58,1993,1993-11-21,10,25.207,CHI,@,KAN,W 19-17,,,,,,,,,,
59,1993,1993-11-25,11,25.211,CHI,@,DET,W 10-6,,,,,,,,,,
60,1993,1993-12-05,12,25.221,CHI,,GNB,W 30-17,,0,0,,0,1,6,1,34,1
61,1993,1993-12-12,13,25.228,CHI,@,TAM,L 10-13,,,,,,,,,,
62,1993,1993-12-18,14,25.234,CHI,,DEN,L 3-13,,,,,,,,,,
63,1993,1993-12-26,15,25.242,CHI,,DET,L 14-20,,,,,,,,,,
64,1993,1994-01-02,16,25.249,CHI,@,RAM,L 6-20,,,,,,,,,,
65,1994,1994-09-04,1,26.129,CHI,,TAM,W 21-9,,,,,,,,,,
66,1994,1994-09-12,2,26.137,CHI,@,PHI,L 22-30,,,,,,,,,,
67,1994,1994-09-18,3,26.143,CHI,,MIN,L 14-42,,,,,,,,,,
68,1994,1994-09-25,4,26.150,CHI,@,NYJ,W 19-7,,,,,,,,,,
69,1994,1994-10-02,5,26.157,CHI,,BUF,W 20-13,,,,,,,,,,
70,1994,1994-10-09,6,26.164,CHI,,NOR,W 17-7,,,,,,,,,,
71,1994,1994-10-23,7,26.178,CHI,@,DET,L 16-21,,,,,,,,,,
72,1994,1994-10-31,8,26.186,CHI,,GNB,L 6-33,,,,,,,,,,
73,1994,1994-11-06,9,26.192,CHI,@,TAM,W 20-6,,0,0,,0,0,0,1,7,0
74,1994,1994-11-13,10,26.199,CHI,@,MIA,W 17-14,,,,,,,,,,
75,1994,1994-11-20,11,26.206,CHI,,DET,W 20-10,,,,,,,,,,
76,1994,1994-11-27,12,26.213,CHI,@,ARI,W 19-16,,,,,,,,,,
77,1994,1994-12-01,13,26.217,CHI,@,MIN,L 27-33,,,,,,,,,,
78,1994,1994-12-11,14,26.227,CHI,@,GNB,L 3-40,,,,,,,,,,
79,1994,1994-12-18,15,26.234,CHI,,RAM,W 27-13,,,,,,,,,,
80,1994,1994-12-24,16,26.240,CHI,,NWE,L 3-13,,0,0,,0,0,0,1,3,0
81,1995,1995-09-03,1,27.128,CHI,,MIN,W 31-14,,,,,,,,,,
82,1995,1995-09-11,2,27.136,CHI,,GNB,L 24-27,,,,,,,,,,
83,1995,1995-09-17,3,27.142,CHI,@,TAM,W 25-6,,,,,,,,,,
84,1995,1995-09-24,4,27.149,CHI,@,STL,L 28-34,,,,,,,,,,
85,1995,1995-10-08,5,27.163,CHI,,CAR,W 31-27,,,,,,,,,,
86,1995,1995-10-15,6,27.170,CHI,@,JAX,W 30-27,,,,,,,,,,
87,1995,1995-10-22,7,27.177,CHI,,HOU,W 35-32,,,,,,,,,,
88,1995,1995-10-30,8,27.185,CHI,@,MIN,W 14-6,,,,,,,,,,
89,1995,1995-11-05,9,27.191,CHI,,PIT,L 34-37,,,,,,,,,,
90,1995,1995-11-12,10,27.198,CHI,@,GNB,L 28-35,,,,,,,,,,
91,1995,1995-11-19,11,27.205,CHI,,DET,L 17-24,,,,,,,,,,
92,1995,1995-11-26,12,27.212,CHI,@,NYG,W 27-24,,,,,,,,,,
93,1995,1995-12-04,13,27.220,CHI,@,DET,L 7-27,,,,,,,,,,
94,1995,1995-12-10,14,27.226,CHI,@,CIN,L 10-16,,,,,,,,,,
95,1995,1995-12-17,15,27.233,CHI,,TAM,W 31-10,,,,,,,,,,
96,1995,1995-12-24,16,27.240,CHI,,PHI,W 20-14,,,,,,,,,,
97,1996,1996-09-02,1,28.127,CHI,,DAL,W 22-6,,,,,,,,,,
98,1996,1996-09-08,2,28.133,CHI,@,WAS,L 3-10,,,,,,,,,,
99,1996,1996-09-15,3,28.140,CHI,,MIN,L 14-20,,,,,,,,,,
100,1996,1996-09-22,4,28.147,CHI,@,DET,L 16-35,,,,,,,,,,
101,1996,1996-09-29,5,28.154,CHI,,OAK,W 19-17,,,,,,,,,,
102,1996,1996-10-06,6,28.161,CHI,,GNB,L 6-37,,,,,,,,,,
103,1996,1996-10-13,7,28.168,CHI,@,NOR,L 24-27,,,,,,,,,,
104,1996,1996-10-28,8,28.183,CHI,@,MIN,W 15-13,,0,0,,0,0,0,1,0,0
105,1996,1996-11-03,9,28.189,CHI,,TAM,W 13-10,,0,0,,0,0,0,1,0,0
106,1996,1996-11-10,10,28.196,CHI,@,DEN,L 12-17,,,,,,,,,,
107,1996,1996-11-17,11,28.203,CHI,@,KAN,L 10-14,,,,,,,,,,
108,1996,1996-11-24,12,28.210,CHI,,DET,W 31-14,,,,,,,,,,
109,1996,1996-12-22,16,28.238,CHI,@,TAM,L 19-34,,,,,,,,,,
110,1997,1997-08-31,1,29.125,DET,,ATL,W 28-17,,0,0,,0,,,,,
111,1997,1997-09-07,2,29.132,DET,,TAM,L 17-24,,0,0,,0,,,,,
112,1997,1997-09-14,3,29.139,DET,@,CHI,W 32-7,,0,0,,0,0,0,1,0,0
113,1997,1997-09-21,4,29.146,DET,@,NOR,L 17-35,,0,0,,0,,,,,
114,1997,1997-09-28,5,29.153,DET,,GNB,W 26-15,,0,0,,0,0,0,1,0,0
115,1997,1997-10-05,6,29.160,DET,@,BUF,L 13-22,,0,0,,0,,,,,
116,1997,1997-10-12,7,29.167,DET,@,TAM,W 27-9,,0,0,,0,,,,,
117,1997,1997-10-19,8,29.174,DET,,NYG,L 20-26,,0,0,,0,,,,,
118,1997,1997-11-02,9,29.188,DET,@,GNB,L 10-20,,0,0,,0,0,0,1,17,0
119,1997,1997-11-09,10,29.195,DET,@,WAS,L 7-30,,0,0,,0,,,,,
120,1997,1997-11-16,11,29.202,DET,,MIN,W 38-15,,0,0,,0,0,0,1,66,0
121,1997,1997-11-23,12,29.209,DET,,IND,W 32-10,,0,0,,0,,,,,
122,1997,1997-11-27,13,29.213,DET,,CHI,W 55-20,,0,0,,0,,,,,
123,1997,1997-12-07,14,29.223,DET,@,MIA,L 30-33,,1,0,0.00,0,0,0,0,0,0
124,1997,1997-12-14,15,29.230,DET,@,MIN,W 14-13,,0,0,,0,,,,,
125,1997,1997-12-21,16,29.237,DET,,NYJ,W 13-10,,0,0,,0,0,0,1,11,0
126,1998,1998-09-06,1,30.131,DET,@,GNB,L 19-38,,,,,,,,,,
127,1998,1998-09-13,2,30.138,DET,,CIN,L 28-34,,,,,,,,,,
128,1998,1998-09-20,3,30.145,DET,@,MIN,L 6-29,,,,,,,,,,
129,1998,1998-09-28,4,30.153,DET,,TAM,W 27-6,,,,,,,,,,
130,1998,1998-10-15,6,30.170,DET,,GNB,W 27-20,,0,0,,0,0,0,2,33,0
131,1998,1998-10-25,7,30.180,DET,,MIN,L 13-34,,0,0,,0,0,0,1,0,0
132,1998,1998-11-01,8,30.187,DET,,ARI,L 15-17,,,,,,,,,,
133,1998,1998-11-08,9,30.194,DET,@,PHI,L 9-10,,,,,,,,,,
134,1998,1998-11-15,10,30.201,DET,,CHI,W 26-3,,,,,,,,,,
135,1998,1998-11-22,11,30.208,DET,@,TAM,W 28-25,,,,,,,,,,
136,1998,1998-11-26,12,30.212,DET,,PIT,W 19-16,,,,,,,,,,
137,1998,1998-12-14,14,30.230,DET,@,SFO,L 13-35,,,,,,,,,,
138,1998,1998-12-20,15,30.236,DET,,ATL,L 17-24,,,,,,,,,,
139,1999,1999-09-12,1,31.137,DET,@,SEA,W 28-20,*,,,,,,,,,
140,1999,1999-09-19,2,31.144,DET,,GNB,W 23-15,*,,,,,,,,,
141,1999,1999-09-26,3,31.151,DET,@,KAN,L 21-31,*,,,,,,,,,
142,1999,1999-10-10,4,31.165,DET,,SDG,L 10-20,*,,,,,,,,,
143,1999,1999-10-17,5,31.172,DET,,MIN,W 25-23,*,,,,,,,,,
144,1999,1999-10-24,6,31.179,DET,@,CAR,W 24-9,*,0,0,,0,0,0,1,0,0
145,1999,1999-10-31,7,31.186,DET,,TAM,W 20-3,*,,,,,,,,,
146,1999,1999-11-07,8,31.193,DET,,STL,W 31-27,*,,,,,,,,,
147,1999,1999-11-14,9,31.200,DET,@,ARI,L 19-23,*,,,,,,,,,
148,1999,1999-11-21,10,31.207,DET,@,GNB,L 17-26,*,,,,,,,,,
149,1999,1999-12-05,12,31.221,DET,,WAS,W 33-17,*,,,,,,,,,
150,1999,1999-12-12,13,31.228,DET,@,TAM,L 16-23,*,0,0,,0,0,0,1,0,0
151,1999,1999-12-19,14,31.235,DET,@,CHI,L 10-28,*,,,,,,,,,
152,1999,1999-12-25,15,31.241,DET,,DEN,L 7-17,*,0,0,,0,0,0,1,16,0
153,1999,2000-01-02,16,31.249,DET,@,MIN,L 17-24,*,,,,,,,,,
154,2000,2000-09-03,1,32.128,WAS,,CAR,W 20-17,*,,,,,,,,,
155,2000,2000-09-10,2,32.135,WAS,@,DET,L 10-15,,,,,,,,,,
156,2000,2000-09-18,3,32.143,WAS,,DAL,L 21-27,*,,,,,,,,,
157,2000,2000-09-24,4,32.149,WAS,@,NYG,W 16-6,*,,,,,,,,,
158,2000,2000-10-01,5,32.156,WAS,,TAM,W 20-17,*,,,,,,,,,
159,2000,2000-10-08,6,32.163,WAS,@,PHI,W 17-14,*,,,,,,,,,
160,2000,2000-10-15,7,32.170,WAS,,BAL,W 10-3,,,,,,,,,,
161,2000,2000-10-22,8,32.177,WAS,@,JAX,W 35-16,,,,,,,,,,
162,2000,2000-10-30,9,32.185,WAS,,TEN,L 21-27,*,,,,,,,,,
163,2000,2000-11-05,10,32.191,WAS,@,ARI,L 15-16,*,,,,,,,,,
164,2000,2000-11-20,11,32.206,WAS,@,STL,W 33-20,*,,,,,,,,,
165,2000,2000-11-26,12,32.212,WAS,,PHI,L 20-23,,,,,,,,,,
166,2000,2000-12-03,13,32.219,WAS,,NYG,L 7-9,*,,,,,,,,,
167,2000,2000-12-10,14,32.226,WAS,@,DAL,L 13-32,,,,,,,,,,
168,2000,2000-12-16,15,32.232,WAS,@,PIT,L 3-24,*,,,,,,,,,
169,2000,2000-12-24,16,32.240,WAS,,ARI,W 20-3,,0,0,,0,0,0,1,30,0
