ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
59,1983,1983-10-02,5,27.230,GNB,,TAM,W 55-14,0,0,,0,,,,,,,1,6,0.5,1,27,1
60,1983,1983-10-09,6,27.237,GNB,@,DET,L 14-38,,,,,,,,,,,,,,,,
61,1983,1983-10-17,7,27.245,GNB,,WAS,W 48-47,0,0,,0,,,,,,,0,0,2.0,0,0,0
62,1983,1983-10-23,8,27.251,GNB,,MIN,L 17-20,,,,,,,,,,,,,,,,
63,1983,1983-10-30,9,27.258,GNB,@,CIN,L 14-34,,,,,,,,,,,,,,,,
64,1983,1983-11-06,10,27.265,GNB,,CLE,W 35-21,,,,,,,,,,,,,,,,
65,1983,1983-11-13,11,27.272,GNB,@,MIN,W 29-21,0,0,,0,,,,,,,0,0,1.0,1,5,0
66,1983,1983-11-20,12,27.279,GNB,,DET,L 20-23,0,0,,0,,,,,,,0,0,1.0,1,2,0
67,1983,1983-11-27,13,27.286,GNB,@,ATL,L 41-47,,,,,,,,,,,,,,,,
68,1983,1983-12-04,14,27.293,GNB,,CHI,W 31-28,0,0,,0,,,,,,,0,0,0.0,1,6,0
69,1983,1983-12-12,15,27.301,GNB,@,TAM,W 12-9,,,,,,,,,,,,,,,,
70,1983,1983-12-18,16,27.307,GNB,@,CHI,L 21-23,,,,,,,,,,,,,,,,
71,1984,1984-09-02,1,28.201,GNB,,STL,W 24-23,,,,,,,,,,,,,,,,
72,1984,1984-09-09,2,28.208,GNB,@,RAI,L 7-28,0,0,,0,,,,,,,0,0,1.0,0,0,0
73,1984,1984-09-16,3,28.215,GNB,,CHI,L 7-9,,,,,,,,,,,,,,,,
74,1984,1984-09-23,4,28.222,GNB,@,DAL,L 6-20,,,,,,,,,,,,,,,,
75,1984,1984-09-30,5,28.229,GNB,@,TAM,L 27-30,0,0,,0,,,,,,,0,0,0.0,1,22,0
76,1984,1984-10-07,6,28.236,GNB,,SDG,L 28-34,,,,,,,,,,,,,,,,
77,1984,1984-10-15,7,28.244,GNB,@,DEN,L 14-17,,,,,,,,,,,,,,,,
78,1984,1984-10-21,8,28.250,GNB,,SEA,L 24-30,0,0,,0,,,,,,,0,0,1.0,0,0,0
79,1984,1984-10-28,9,28.257,GNB,,DET,W 41-9,,,,,,,,,,,,,,,,
80,1984,1984-11-04,10,28.264,GNB,@,NOR,W 23-13,,,,,,,,,,,,,,,,
81,1984,1984-11-11,11,28.271,GNB,,MIN,W 45-17,0,0,,0,,,,,,,0,0,0.5,0,0,0
82,1984,1984-11-18,12,28.278,GNB,,RAM,W 31-6,0,0,,0,,,,,,,0,0,0.0,1,0,0
83,1984,1984-11-22,13,28.282,GNB,@,DET,L 28-31,,,,,,,,,,,,,,,,
84,1984,1984-12-02,14,28.292,GNB,,TAM,W 27-14,0,0,,0,,,,,,,0,0,0.0,1,2,0
85,1984,1984-12-09,15,28.299,GNB,@,CHI,W 20-14,,,,,,,,,,,,,,,,
86,1984,1984-12-16,16,28.306,GNB,@,MIN,W 38-14,0,0,,0,,,,,,,0,0,1.0,0,0,0
87,1985,1985-09-08,1,29.206,GNB,@,NWE,L 20-26,0,0,,0,,,,,,,,,,,,
88,1985,1985-09-15,2,29.213,GNB,,NYG,W 23-20,0,0,,0,,,,,,,,,,,,
89,1985,1985-09-22,3,29.220,GNB,,NYJ,L 3-24,0,0,,0,,,,,,,,,,,,
90,1985,1985-09-29,4,29.227,GNB,@,STL,L 28-43,0,0,,0,,,,,,,0,0,1.0,0,0,0
91,1985,1985-10-06,5,29.234,GNB,,DET,W 43-10,0,0,,0,,,,,,,,,,,,
92,1985,1985-10-13,6,29.241,GNB,,MIN,W 20-17,0,0,,0,,,,,,,0,0,0.0,1,2,0
93,1985,1985-10-21,7,29.249,GNB,@,CHI,L 7-23,0,0,,0,,,,,,,0,0,1.0,0,0,0
94,1985,1985-10-27,8,29.255,GNB,@,IND,L 10-37,0,0,,0,,,,,,,0,0,1.0,0,0,0
95,1985,1985-11-03,9,29.262,GNB,,CHI,L 10-16,0,0,,0,,,,,,,0,0,1.0,0,0,0
96,1985,1985-11-10,10,29.269,GNB,@,MIN,W 27-17,0,0,,0,,,,,,,,,,,,
97,1985,1985-11-17,11,29.276,GNB,,NOR,W 38-14,0,0,,0,,,,,,,0,0,2.0,0,0,0
98,1985,1985-11-24,12,29.283,GNB,@,RAM,L 17-34,1,14,14.00,0,,,,,,,0,0,0.0,0,0,0
99,1985,1985-12-01,13,29.290,GNB,,TAM,W 21-0,0,0,,0,,,,,,,,,,,,
100,1985,1985-12-08,14,29.297,GNB,,MIA,L 24-34,0,0,,0,,,,,,,,,,,,
101,1985,1985-12-15,15,29.304,GNB,@,DET,W 26-23,0,0,,0,,,,,,,0,0,0.0,1,0,0
102,1985,1985-12-22,16,29.311,GNB,@,TAM,W 20-17,0,0,,0,,,,,,,,,,,,
103,1986,1986-09-07,1,30.205,GNB,,HOU,L 3-31,,,,,,,,,,,,,,,,
104,1986,1986-09-14,2,30.212,GNB,@,NOR,L 10-24,0,0,,0,,,,,,,0,0,0.0,1,3,0
105,1986,1986-09-22,3,30.220,GNB,,CHI,L 12-25,,,,,,,,,,,,,,,,
106,1986,1986-09-28,4,30.226,GNB,@,MIN,L 7-42,,,,,,,,,,,,,,,,
107,1987,1987-09-13,1,31.211,GNB,,RAI,L 0-20,0,0,,0,,,,,,,0,0,1.0,0,0,0
108,1987,1987-09-20,2,31.218,GNB,,DEN,T 17-17,0,0,,0,,,,,,,0,0,0.0,1,9,0
109,1987,1987-10-25,6,31.253,GNB,@,DET,W 34-33,,,,,,,,,,,,,,,,
110,1987,1987-11-01,7,31.260,GNB,,TAM,L 17-23,,,,,,,,,,,,,,,,
111,1987,1987-11-08,8,31.267,GNB,,CHI,L 24-26,,,,,,,,,,,,,,,,
112,1987,1987-11-15,9,31.274,GNB,@,SEA,L 13-24,,,,,,,,,,,,,,,,
113,1987,1987-11-22,10,31.281,GNB,@,KAN,W 23-3,0,0,,0,,,,,,,0,0,1.0,0,0,0
114,1987,1987-11-29,11,31.288,GNB,@,CHI,L 10-23,,,,,,,,,,,,,,,,
115,1987,1987-12-06,12,31.295,GNB,,SFO,L 12-23,,,,,,,,,,,,,,,,
116,1987,1987-12-13,13,31.302,GNB,,MIN,W 16-10,,,,,,,,,,,,,,,,
117,1987,1987-12-19,14,31.308,GNB,@,NYG,L 10-20,0,0,,0,,,,,,,0,0,2.0,0,0,0
118,1987,1987-12-27,15,31.316,GNB,@,NOR,L 24-33,0,0,,0,,,,,,,0,0,0.0,1,13,0
119,1988,1988-09-04,1,32.203,GNB,,RAM,L 7-34,,,,,,,,,,,,,,,,
120,1988,1988-09-11,2,32.210,GNB,,TAM,L 10-13,,,,,,,,,,,,,,,,
121,1988,1988-09-18,3,32.217,GNB,@,MIA,L 17-24,,,,,,,,,,,,,,,,
122,1988,1988-09-25,4,32.224,GNB,,CHI,L 6-24,,,,,,,,,,,,,,,,
123,1988,1988-10-02,5,32.231,GNB,@,TAM,L 24-27,,,,,,,,,,,,,,,,
124,1988,1988-10-09,6,32.238,GNB,,NWE,W 45-3,,,,,,,,,,,,,,,,
125,1988,1988-10-16,7,32.245,GNB,@,MIN,W 34-14,,,,,,,,,,,,,,,,
126,1988,1988-10-23,8,32.252,GNB,,WAS,L 17-20,,,,,,,,,,,,,,,,
127,1988,1988-10-30,9,32.259,GNB,@,BUF,L 0-28,,,,,,,,,,,,,,,,
128,1988,1988-11-06,10,32.266,GNB,@,ATL,L 0-20,,,,,,,,,,,,,,,,
129,1988,1988-11-13,11,32.273,GNB,,IND,L 13-20,,,,,,,,,,,,,,,,
130,1988,1988-11-20,12,32.280,GNB,,DET,L 9-19,,,,,,,,,,,,,,,,
131,1988,1988-11-27,13,32.287,GNB,@,CHI,L 0-16,0,0,,0,,,,,,,0,0,1.0,0,0,0
132,1988,1988-12-11,15,32.301,GNB,,MIN,W 18-6,,,,,,,,,,,,,,,,
133,1989,1989-09-10,1,33.208,GNB,,TAM,L 21-23,,,,,,,,,,,,,,,,
134,1989,1989-09-17,2,33.215,GNB,,NOR,W 35-34,,,,,,,,,,,,,,,,
135,1989,1989-09-24,3,33.222,GNB,@,RAM,L 38-41,,,,,,,,,,,,,,,,
136,1989,1989-10-01,4,33.229,GNB,,ATL,W 23-21,,,,,,,,,,,,,,,,
137,1989,1989-10-08,5,33.236,GNB,,DAL,W 31-13,,,,,,,,,,,,,,,,
138,1989,1989-10-15,6,33.243,GNB,@,MIN,L 14-26,,,,,,,,,,,,,,,,
139,1989,1989-10-22,7,33.250,GNB,@,MIA,L 20-23,,,,,,,,,,,,,,,,
140,1989,1989-10-29,8,33.257,GNB,,DET,W 23-20,,,,,,,,,,,,,,,,
141,1989,1989-11-05,9,33.264,GNB,,CHI,W 14-13,,,,,,,,,,,,,,,,
142,1989,1989-11-12,10,33.271,GNB,@,DET,L 22-31,,,,,,,,,,,,,,,,
143,1989,1989-11-19,11,33.278,GNB,@,SFO,W 21-17,,,,,,,,,,,,,,,,
144,1989,1989-11-26,12,33.285,GNB,,MIN,W 20-19,,,,,,,,,,,,,,,,
145,1989,1989-12-10,14,33.299,GNB,,KAN,L 3-21,,,,,,,,,,,,,,,,
146,1989,1989-12-24,16,33.313,GNB,@,DAL,W 20-10,0,0,,0,,,,,,,0,0,0.0,1,1,0
