ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
55,1973,1973-11-11,9,29.223,WAS,,SFO,W 33-9,,,,,,,,,,
56,1973,1973-11-18,10,29.230,WAS,,BAL,W 22-14,,,,,,,,,,
57,1973,1973-11-22,11,29.234,WAS,@,DET,W 20-0,,,,,,,,,,
58,1973,1973-12-02,12,29.244,WAS,,NYG,W 27-24,,,,,,,,,,
59,1973,1973-12-09,13,29.251,WAS,@,DAL,L 7-27,,,,,,,,,,
60,1973,1973-12-16,14,29.258,WAS,,PHI,W 38-20,,,,,,,,,,
61,1974,1974-09-15,1,30.166,WAS,@,NYG,W 13-10,,,,,,,,,,
62,1974,1974-09-22,2,30.173,WAS,,STL,L 10-17,,,,,,,,,,
63,1974,1974-09-30,3,30.181,WAS,,DEN,W 30-3,,,,,,,,,,
64,1974,1974-10-06,4,30.187,WAS,@,CIN,L 17-28,,,,,,,,,,
65,1974,1974-10-13,5,30.194,WAS,,MIA,W 20-17,,,,,,,,,,
66,1974,1974-10-20,6,30.201,WAS,,NYG,W 24-3,,,,,,,,,,
67,1974,1974-10-27,7,30.208,WAS,@,STL,L 20-23,,,,,,,,,,
68,1974,1974-11-03,8,30.215,WAS,@,GNB,W 17-6,,,,,,,,,,
69,1974,1974-11-17,10,30.229,WAS,,DAL,W 28-21,,,,,,,,,,
70,1974,1974-11-24,11,30.236,WAS,,PHI,W 26-7,,,,,,,,,,
71,1974,1974-11-28,12,30.240,WAS,@,DAL,L 23-24,,,,,,,,,,
72,1974,1974-12-09,13,30.251,WAS,@,RAM,W 23-17,,,,,,,,,,
73,1974,1974-12-15,14,30.257,WAS,,CHI,W 42-0,,,,,,,,,,
74,1976,1976-11-28,12,32.240,WAS,,PHI,W 24-0,,,,,,,,,,
75,1976,1976-12-05,13,32.247,WAS,@,NYJ,W 37-16,1,12,12.00,0,0,0,0,0,,0
76,1976,1976-12-12,14,32.254,WAS,@,DAL,W 27-14,,,,,,,,,,
