ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td
34,1976,1976-10-17,6,24.039,DET,@,WAS,L 7-20,,,,,,,,,,,,,
35,1976,1976-10-24,7,24.046,DET,@,SEA,W 41-14,,,,,,,,,,,,,
36,1976,1976-10-31,8,24.053,DET,,GNB,W 27-6,,,,,,,,,,,,,
37,1976,1976-11-07,9,24.060,DET,@,MIN,L 23-31,,,,,,,,,,,,,
38,1976,1976-11-14,10,24.067,DET,@,NOR,L 16-17,,,,,,,,,,,,,
39,1976,1976-11-21,11,24.074,DET,,CHI,W 14-10,,,,,,,,,,,,,
40,1976,1976-11-25,12,24.078,DET,,BUF,W 27-14,,,,,,,,,,,,,
41,1976,1976-12-05,13,24.088,DET,@,NYG,L 10-24,,,,,,,,,,,,,
42,1976,1976-12-11,14,24.094,DET,,RAM,L 17-20,,,,,,,,,,,,,
43,1977,1977-09-18,1,25.010,DET,@,CHI,L 20-30,,,,,,,,,,,,,
44,1977,1977-09-25,2,25.017,DET,,NOR,W 23-19,,,,,,,,,,,,,
45,1977,1977-10-02,3,25.024,DET,,PHI,W 17-13,,,,,,,,,,,,,
46,1977,1977-10-09,4,25.031,DET,@,MIN,L 7-14,,,,,,,,,,,,,
47,1977,1977-10-16,5,25.038,DET,,GNB,W 10-6,,,,,,,,,,,,,
48,1977,1977-10-23,6,25.045,DET,@,SFO,L 7-28,,,,,,,,,,,,,
49,1977,1977-10-30,7,25.052,DET,@,DAL,L 0-37,,,,,,,,,,,,,
50,1977,1977-11-06,8,25.059,DET,,SDG,W 20-0,,,,,,,,,,,,,
51,1977,1977-11-13,9,25.066,DET,@,ATL,L 6-17,,,,,,,,,,,,,
52,1977,1977-11-20,10,25.073,DET,,TAM,W 16-7,,,,,,,,,,,,,
53,1977,1977-11-24,11,25.077,DET,,CHI,L 14-31,,,,,,,,,,,,,
54,1977,1977-12-04,12,25.087,DET,@,GNB,L 9-10,,,,,,,,,,,,,
55,1977,1977-12-11,13,25.094,DET,@,BAL,W 13-10,,,,,,,,,,,,,
56,1977,1977-12-17,14,25.100,DET,,MIN,L 21-30,,,,,,,,,,,,,
57,1978,1978-09-03,1,25.360,DET,,GNB,L 7-13,,,,,,,,,,,,,
58,1978,1978-09-09,2,26.001,DET,@,TAM,W 15-7,,,,,,,,,,,,,
59,1978,1978-09-17,3,26.009,DET,,CHI,L 0-19,,,,,,,,,,,,,
60,1978,1978-09-24,4,26.016,DET,@,SEA,L 16-28,,,,,,,,,,,,,
61,1978,1978-10-01,5,26.023,DET,@,GNB,L 14-35,0,0,,0,0,0,,0,0,0,1,6,0
62,1978,1978-10-08,6,26.030,DET,,WAS,L 19-21,0,0,,0,0,0,,0,0,0,1,31,0
63,1978,1978-10-15,7,26.037,DET,@,ATL,L 0-14,,,,,,,,,,,,,
64,1978,1978-10-22,8,26.044,DET,,SDG,W 31-14,,,,,,,,,,,,,
65,1978,1978-10-29,9,26.051,DET,@,CHI,W 21-17,,,,,,,,,,,,,
66,1978,1978-11-05,10,26.058,DET,@,MIN,L 7-17,0,0,,0,0,0,,0,0,0,1,2,0
67,1978,1978-11-12,11,26.065,DET,,TAM,W 34-23,1,25,25.00,0,0,0,,0,0,0,0,0,0
68,1978,1978-11-19,12,26.072,DET,@,OAK,L 17-29,,,,,,,,,,,,,
69,1978,1978-11-23,13,26.076,DET,,DEN,W 17-14,,,,,,,,,,,,,
70,1978,1978-12-03,14,26.086,DET,@,STL,L 14-21,,,,,,,,,,,,,
71,1978,1978-12-09,15,26.092,DET,,MIN,W 45-14,,,,,,,,,,,,,
72,1978,1978-12-17,16,26.100,DET,,SFO,W 33-14,0,0,,0,0,0,,0,0,0,1,10,0
73,1979,1979-09-01,1,26.358,DET,@,TAM,L 16-31,,,,,,,,,,,,,
74,1979,1979-09-09,2,27.001,DET,,WAS,L 24-27,,,,,,,,,,,,,
75,1979,1979-09-16,3,27.008,DET,@,NYJ,L 10-31,,,,,,,,,,,,,
76,1979,1979-09-23,4,27.015,DET,,ATL,W 24-23,,,,,,,,,,,,,
77,1979,1979-09-30,5,27.022,DET,,MIN,L 10-13,,,,,,,,,,,,,
78,1979,1979-10-07,6,27.029,DET,@,NWE,L 17-24,,,,,,,,,,,,,
79,1979,1979-10-14,7,27.036,DET,@,GNB,L 16-24,,,,,,,,,,,,,
80,1979,1979-10-21,8,27.043,DET,@,NOR,L 7-17,,,,,,,,,,,,,
81,1979,1979-10-28,9,27.050,DET,,BUF,L 17-20,,,,,,,,,,,,,
82,1979,1979-11-04,10,27.057,DET,@,CHI,L 7-35,,,,,,,,,,,,,
83,1979,1979-11-11,11,27.064,DET,,TAM,L 14-16,,,,,,,,,,,,,
84,1979,1979-11-18,12,27.071,DET,@,MIN,L 7-14,,,,,,,,,,,,,
85,1979,1979-11-22,13,27.075,DET,,CHI,W 20-0,1,0,0.00,0,0,0,,0,0,0,0,0,0
86,1979,1979-12-02,14,27.085,DET,@,PHI,L 7-44,,,,,,,,,,,,,
87,1979,1979-12-09,15,27.092,DET,,MIA,L 10-28,,,,,,,,,,,,,
88,1979,1979-12-15,16,27.098,DET,,GNB,L 13-18,,,,,,,,,,,,,
89,1980,1980-09-07,1,27.365,GNB,,CHI,W 12-6,,,,,,,,,,,,,
90,1980,1980-09-14,2,28.006,GNB,,DET,L 7-29,,,,,,,,,,,,,
91,1980,1980-09-21,3,28.013,GNB,@,RAM,L 21-51,,,,,,,,,,,,,
92,1980,1980-09-28,4,28.020,GNB,,DAL,L 7-28,,,,,,,,,,,,,
93,1980,1980-10-05,5,28.027,GNB,,CIN,W 14-9,,,,,,,,,,,,,
94,1980,1980-10-12,6,28.034,GNB,@,TAM,T 14-14,,,,,,,,,,,,,
95,1980,1980-10-19,7,28.041,GNB,@,CLE,L 21-26,,,,,,,,,,,,,
96,1980,1980-10-26,8,28.048,GNB,,MIN,W 16-3,,,,,,,,,,,,,
97,1980,1980-11-16,11,28.069,GNB,@,NYG,L 21-27,,,,,,,,,,,,,
98,1980,1980-11-23,12,28.076,GNB,@,MIN,W 25-13,,,,,,,,,,,,,
99,1980,1980-11-30,13,28.083,GNB,,TAM,L 17-20,,,,,,,,,,,,,
100,1980,1980-12-07,14,28.090,GNB,@,CHI,L 7-61,,,,,,,,,,,,,
