ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
26,1993,1993-11-21,10,23.340,KAN,,CHI,L 17-19,,,,,,0,0,,0,,,,,
27,1993,1993-11-28,11,23.347,KAN,,BUF,W 23-7,,,,,,0,0,,0,,,,,
28,1993,1993-12-05,12,23.354,KAN,@,SEA,W 31-16,,0,0,,0,0,0,,0,0,0,1,8,0
29,1993,1993-12-12,13,23.361,KAN,@,DEN,L 21-27,,0,0,,0,0,0,,0,0,0,1,1,0
30,1993,1993-12-19,14,24.003,KAN,,SDG,W 28-24,,0,0,,0,1,9,9.00,0,0,0,0,0,0
31,1993,1993-12-26,15,24.010,KAN,@,MIN,L 10-30,,0,0,,0,1,0,0.00,0,0,0,0,0,0
32,1993,1994-01-02,16,24.017,KAN,,SEA,W 34-24,,,,,,0,0,,0,,,,,
33,1994,1994-09-04,1,24.262,KAN,@,NOR,W 30-17,,,,,,,,,,,,,,
34,1994,1994-09-11,2,24.269,KAN,,SFO,W 24-17,,0,0,,0,0,0,,0,0,0,1,31,0
35,1994,1994-09-18,3,24.276,KAN,@,ATL,W 30-10,,,,,,,,,,,,,,
36,1994,1994-09-25,4,24.283,KAN,,RAM,L 0-16,,,,,,,,,,,,,,
37,1994,1994-10-09,5,24.297,KAN,@,SDG,L 6-20,,,,,,,,,,,,,,
38,1994,1994-10-17,6,24.305,KAN,@,DEN,W 31-28,,,,,,,,,,,,,,
39,1994,1994-10-23,7,24.311,KAN,,SEA,W 38-23,,,,,,,,,,,,,,
40,1994,1994-10-30,8,24.318,KAN,@,BUF,L 10-44,,,,,,,,,,,,,,
41,1994,1994-11-06,9,24.325,KAN,,RAI,W 13-3,,0,0,,0,0,0,,0,0,0,1,13,0
42,1994,1994-11-13,10,24.332,KAN,,SDG,L 13-14,,,,,,,,,,,,,,
43,1994,1994-11-20,11,24.339,KAN,,CLE,W 20-13,,,,,,,,,,,,,,
44,1994,1994-11-27,12,24.346,KAN,@,SEA,L 9-10,,,,,,,,,,,,,,
45,1994,1994-12-04,13,24.353,KAN,,DEN,L 17-20,,,,,,,,,,,,,,
46,1994,1994-12-12,14,24.361,KAN,@,MIA,L 28-45,,,,,,,,,,,,,,
47,1994,1994-12-18,15,25.002,KAN,,HOU,W 31-9,,0,0,,0,0,0,,0,0,0,1,5,0
48,1994,1994-12-24,16,25.008,KAN,@,RAI,W 19-9,,,,,,,,,,,,,,
49,1995,1995-09-03,1,25.261,MIN,@,CHI,L 14-31,,,,,,0,0,,0,,,,,
50,1995,1995-09-10,2,25.268,MIN,,DET,W 20-10,,,,,,0,0,,0,,,,,
51,1995,1995-09-17,3,25.275,MIN,,DAL,L 17-23,,,,,,0,0,,0,,,,,
52,1995,1995-09-24,4,25.282,MIN,@,PIT,W 44-24,,0,0,,0,0,0,,0,0,0,1,20,0
53,1995,1995-10-08,5,25.296,MIN,,HOU,W 23-17,,,,,,0,0,,0,,,,,
54,1995,1995-10-15,6,25.303,MIN,@,TAM,L 17-20,,0,0,,0,1,0,0.00,0,0,0,0,0,0
55,1995,1995-10-22,7,25.310,MIN,@,GNB,L 21-38,,0,0,,0,2,14,7.00,0,0,0,0,0,0
56,1995,1995-10-30,8,25.318,MIN,,CHI,L 6-14,,0,0,,0,1,8,8.00,0,0,0,0,0,0
57,1995,1995-11-05,9,25.324,MIN,,GNB,W 27-24,,0,0,,0,0,0,,0,0,0,1,17,0
58,1995,1995-11-12,10,25.331,MIN,@,ARI,W 30-24,,,,,,0,0,,0,,,,,
59,1995,1995-11-19,11,25.338,MIN,,NOR,W 43-24,,,,,,0,0,,0,,,,,
60,1995,1995-11-23,12,25.342,MIN,@,DET,L 38-44,,,,,,0,0,,0,,,,,
61,1995,1995-12-03,13,25.352,MIN,,TAM,W 31-17,,,,,,0,0,,0,,,,,
62,1995,1995-12-09,14,25.358,MIN,,CLE,W 27-11,,0,0,,0,0,0,,0,0,0,1,0,0
63,1995,1995-12-18,15,26.002,MIN,@,SFO,L 30-37,,,,,,0,0,,0,,,,,
64,1995,1995-12-24,16,26.008,MIN,@,CIN,L 24-27,,,,,,0,0,,0,,,,,
65,1996,1996-12-15,15,26.365,TAM,@,MIN,L 10-21,,,,,,,,,,,,,,
66,1996,1996-12-22,16,27.006,TAM,,CHI,W 34-19,,0,0,,0,0,0,,0,0,0,1,26,0
67,1997,1997-08-31,1,27.258,TAM,,SFO,W 13-6,,,,,,,,,,,,,,
68,1997,1997-09-07,2,27.265,TAM,@,DET,W 24-17,,0,0,,0,0,0,,0,0,0,1,14,0
69,1997,1997-09-14,3,27.272,TAM,@,MIN,W 28-14,,,,,,,,,,,,,,
70,1997,1997-09-21,4,27.279,TAM,,MIA,W 31-21,,,,,,,,,,,,,,
71,1997,1997-09-28,5,27.286,TAM,,ARI,W 19-18,,,,,,,,,,,,,,
72,1997,1997-10-05,6,27.293,TAM,@,GNB,L 16-21,,,,,,,,,,,,,,
73,1997,1997-10-12,7,27.300,TAM,,DET,L 9-27,,,,,,,,,,,,,,
74,1997,1997-10-26,8,27.314,TAM,,MIN,L 6-10,,,,,,,,,,,,,,
75,1997,1997-11-02,9,27.321,TAM,@,IND,W 31-28,,,,,,,,,,,,,,
76,1997,1997-11-09,10,27.328,TAM,@,ATL,W 31-10,,,,,,,,,,,,,,
77,1997,1997-11-16,11,27.335,TAM,,NWE,W 27-7,,,,,,,,,,,,,,
78,1997,1997-11-23,12,27.342,TAM,@,CHI,L 7-13,,,,,,,,,,,,,,
79,1997,1997-11-30,13,27.349,TAM,@,NYG,W 20-8,,,,,,,,,,,,,,
80,1997,1997-12-07,14,27.356,TAM,,GNB,L 6-17,,,,,,,,,,,,,,
81,1997,1997-12-14,15,27.363,TAM,@,NYJ,L 0-31,,,,,,,,,,,,,,
82,1997,1997-12-21,16,28.005,TAM,,CHI,W 31-15,,,,,,,,,,,,,,
83,1998,1998-09-06,1,28.264,TAM,@,MIN,L 7-31,,0,0,,0,0,0,,0,0,0,1,22,0
84,1998,1998-09-13,2,28.271,TAM,@,GNB,L 15-23,,,,,,,,,,,,,,
85,1998,1998-09-20,3,28.278,TAM,,CHI,W 27-15,,,,,,,,,,,,,,
86,1998,1998-09-28,4,28.286,TAM,@,DET,L 6-27,,,,,,,,,,,,,,
87,1998,1998-10-04,5,28.292,TAM,,NYG,W 20-3,,0,0,,0,0,0,,0,1,6,1,22,1
88,1998,1998-10-18,6,28.306,TAM,,CAR,W 16-13,,,,,,,,,,,,,,
89,1998,1998-10-25,7,28.313,TAM,@,NOR,L 3-9,,,,,,,,,,,,,,
90,1998,1998-11-01,8,28.320,TAM,,MIN,W 27-24,,,,,,,,,,,,,,
91,1998,1998-11-08,9,28.327,TAM,,TEN,L 22-31,,,,,,,,,,,,,,
92,1998,1998-11-15,10,28.334,TAM,@,JAX,L 24-29,,,,,,,,,,,,,,
93,1998,1998-11-22,11,28.341,TAM,,DET,L 25-28,,,,,,,,,,,,,,
94,1998,1998-11-29,12,28.348,TAM,@,CHI,W 31-17,,,,,,,,,,,,,,
95,1998,1998-12-07,13,28.356,TAM,,GNB,W 24-22,,,,,,,,,,,,,,
96,1998,1998-12-13,14,28.362,TAM,,PIT,W 16-3,,,,,,,,,,,,,,
97,1998,1998-12-19,15,29.003,TAM,@,WAS,L 16-20,,0,0,,0,0,0,,0,0,0,1,9,0
98,1998,1998-12-27,16,29.011,TAM,@,CIN,W 35-0,,0,0,,0,0,0,,0,0,0,1,5,0
99,1999,1999-09-12,1,29.270,OAK,@,GNB,L 24-28,,,,,,,,,,,,,,
100,1999,1999-09-19,2,29.277,OAK,@,MIN,W 22-17,,,,,,,,,,,,,,
101,1999,1999-09-26,3,29.284,OAK,,CHI,W 24-17,,,,,,,,,,,,,,
102,1999,1999-10-03,4,29.291,OAK,@,SEA,L 21-22,,,,,,,,,,,,,,
103,1999,1999-10-10,5,29.298,OAK,,DEN,L 13-16,,,,,,,,,,,,,,
104,1999,1999-10-17,6,29.305,OAK,@,BUF,W 20-14,,,,,,,,,,,,,,
105,1999,1999-10-24,7,29.312,OAK,,NYJ,W 24-23,,,,,,,,,,,,,,
106,1999,1999-10-31,8,29.319,OAK,,MIA,L 9-16,,,,,,,,,,,,,,
107,1999,1999-11-14,9,29.333,OAK,,SDG,W 28-9,,,,,,,,,,,,,,
108,1999,1999-11-22,10,29.341,OAK,@,DEN,L 21-27,,1,0,0.00,0,0,0,,0,0,0,0,0,0
109,1999,1999-11-28,11,29.347,OAK,,KAN,L 34-37,*,,,,,,,,,,,,,
110,1999,1999-12-05,12,29.354,OAK,,SEA,W 30-21,*,0,0,,0,0,0,,0,0,0,1,21,0
111,1999,1999-12-09,13,29.358,OAK,@,TEN,L 14-21,*,,,,,,,,,,,,,
112,1999,1999-12-19,14,30.003,OAK,,TAM,W 45-0,*,0,0,,0,0,0,,0,0,0,1,2,0
113,1999,1999-12-26,15,30.010,OAK,@,SDG,L 20-23,*,,,,,,,,,,,,,
114,1999,2000-01-02,16,30.017,OAK,@,KAN,W 41-38,*,,,,,,,,,,,,,
