ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
37,2010,2010-12-05,12,24.231,BAL,,PIT,L 10-13,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
38,2010,2010-12-13,13,24.239,BAL,@,HOU,W 34-28,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
39,2010,2010-12-19,14,24.245,BAL,,NOR,W 30-24,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
40,2010,2010-12-26,15,24.252,BAL,@,CLE,W 20-10,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
41,2010,2011-01-02,16,24.259,BAL,,CIN,W 13-7,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
42,2011,2011-09-11,1,25.146,BAL,,PIT,W 35-7,,,,,,,,,,,,,,,
43,2011,2011-09-18,2,25.153,BAL,@,TEN,L 13-26,,,,,,,,,,,,,,,
44,2011,2011-09-25,3,25.160,BAL,@,STL,W 37-7,,,,,,,,,,,,,,,
45,2011,2011-10-16,5,25.181,BAL,,HOU,W 29-14,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
46,2011,2011-10-24,6,25.189,BAL,@,JAX,L 7-12,,,,,,,,,,,,,,,
47,2011,2011-10-30,7,25.195,BAL,,ARI,W 30-27,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
48,2011,2011-11-06,8,25.202,BAL,@,PIT,W 23-20,,,,,,,,,,,,,,,
49,2011,2011-11-13,9,25.209,BAL,@,SEA,L 17-22,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
50,2011,2011-11-20,10,25.216,BAL,,CIN,W 31-24,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
51,2011,2011-11-24,11,25.220,BAL,,SFO,W 16-6,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
52,2011,2011-12-04,12,25.230,BAL,@,CLE,W 24-10,,0,0,,0,1,8,8.00,0,0.0,0,1,0,0,0
53,2011,2011-12-11,13,25.237,BAL,,IND,W 24-10,,,,,,,,,,,,,,,
54,2011,2011-12-18,14,25.244,BAL,@,SDG,L 14-34,,,,,,,,,,,,,,,
55,2011,2011-12-24,15,25.250,BAL,,CLE,W 20-14,,,,,,,,,,,,,,,
56,2011,2012-01-01,16,25.258,BAL,@,CIN,W 24-16,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
57,2012,2012-09-09,1,26.144,CAR,@,TAM,L 10-16,*,0,0,,0,0,0,,0,0.0,2,2,0,0,0
58,2012,2012-09-16,2,26.151,CAR,,NOR,W 35-27,*,0,0,,0,0,0,,0,0.0,4,1,0,0,0
59,2012,2012-09-20,3,26.155,CAR,,NYG,L 7-36,*,0,0,,0,0,0,,0,0.0,3,1,0,0,0
60,2012,2012-09-30,4,26.165,CAR,@,ATL,L 28-30,*,0,0,,0,0,0,,0,0.0,4,0,1,21,0
61,2012,2012-10-07,5,26.172,CAR,,SEA,L 12-16,*,0,0,,0,0,0,,0,0.0,1,4,0,0,0
62,2012,2012-10-21,6,26.186,CAR,,DAL,L 14-19,*,0,0,,0,0,0,,0,0.0,1,1,0,0,0
63,2012,2012-10-28,7,26.193,CAR,@,CHI,L 22-23,*,0,0,,0,0,0,,0,0.0,2,0,0,0,0
64,2012,2012-11-04,8,26.200,CAR,@,WAS,W 21-13,*,0,0,,0,0,0,,0,0.0,2,3,0,0,0
65,2012,2012-11-11,9,26.207,CAR,,DEN,L 14-36,*,0,0,,0,0,0,,0,0.0,0,0,0,0,0
66,2012,2012-11-18,10,26.214,CAR,,TAM,L 21-27,*,1,-4,-4.00,0,0,0,,0,0.0,3,2,1,18,0
67,2012,2012-11-26,11,26.222,CAR,@,PHI,W 30-22,*,0,0,,0,0,0,,0,0.0,0,1,0,0,0
68,2012,2012-12-02,12,26.228,CAR,@,KAN,L 21-27,*,0,0,,0,0,0,,0,0.0,5,0,0,0,0
69,2012,2012-12-09,13,26.235,CAR,,ATL,W 30-20,*,0,0,,0,0,0,,0,0.0,1,2,0,0,0
