ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
30,1980,1980-09-07,1,25.018,DET,@,RAM,W 41-20,0,0,,0,0,0,,0,1,17,17.00,0,0,0,,0
31,1980,1980-09-14,2,25.025,DET,@,GNB,W 29-7,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0
32,1980,1980-09-21,3,25.032,DET,,STL,W 20-7,,,,,,,,,,,,,,,,
33,1980,1980-09-28,4,25.039,DET,,MIN,W 27-7,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0
34,1980,1980-10-05,5,25.046,DET,@,ATL,L 28-43,0,0,,0,0,0,,0,2,52,26.00,0,0,0,,0
35,1980,1980-10-12,6,25.053,DET,,NOR,W 24-13,,,,,,,,,,,,,,,,
36,1980,1980-10-19,7,25.060,DET,@,CHI,L 7-24,0,0,,0,0,0,,0,3,34,11.33,0,0,0,,0
37,1980,1980-10-26,8,25.067,DET,@,KAN,L 17-20,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0
38,1980,1980-11-02,9,25.074,DET,,SFO,W 17-13,1,19,19.00,0,0,0,,0,3,65,21.67,0,0,0,,0
39,1980,1980-11-09,10,25.081,DET,@,MIN,L 0-34,0,0,,0,0,0,,0,4,73,18.25,0,0,0,,0
40,1980,1980-11-16,11,25.088,DET,,BAL,L 9-10,,,,,,,,,,,,,,,,
41,1980,1980-11-23,12,25.095,DET,@,TAM,W 24-10,,,,,,,,,,,,,,,,
42,1980,1980-11-27,13,25.099,DET,,CHI,L 17-23,,,,,,,,,,,,,,,,
43,1981,1981-09-06,1,26.017,DET,,SFO,W 24-17,0,0,,0,,,,,0,0,,0,,,,
44,1981,1981-09-13,2,26.024,DET,@,SDG,L 23-28,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0
45,1981,1981-09-20,3,26.031,DET,@,MIN,L 24-26,0,0,,0,0,0,,0,1,11,11.00,0,0,0,,0
46,1981,1981-09-27,4,26.038,DET,,OAK,W 16-0,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0
47,1981,1981-10-04,5,26.045,DET,@,TAM,L 10-28,0,0,,0,,,,,0,0,,0,,,,
48,1981,1981-10-11,6,26.052,DET,@,DEN,L 21-27,0,0,,0,,,,,0,0,,0,,,,
49,1981,1981-10-19,7,26.060,DET,,CHI,W 48-17,0,0,,0,,,,,0,0,,0,,,,
50,1981,1981-10-25,8,26.066,DET,,GNB,W 31-27,0,0,,0,,,,,0,0,,0,,,,
51,1981,1981-11-01,9,26.073,DET,@,RAM,L 13-20,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0
52,1981,1981-11-08,10,26.080,DET,@,WAS,L 31-33,0,0,,0,,,,,0,0,,0,,,,
53,1981,1981-11-15,11,26.087,DET,,DAL,W 27-24,0,0,,0,,,,,0,0,,0,,,,
54,1981,1981-11-22,12,26.094,DET,@,CHI,W 23-7,0,0,,0,,,,,0,0,,0,,,,
55,1981,1981-11-26,13,26.098,DET,,KAN,W 27-10,0,0,,0,,,,,0,0,,0,,,,
56,1981,1981-12-06,14,26.108,DET,@,GNB,L 17-31,0,0,,0,,,,,0,0,,0,,,,
57,1981,1981-12-12,15,26.114,DET,,MIN,W 45-7,0,0,,0,,,,,0,0,,0,,,,
58,1981,1981-12-20,16,26.122,DET,,TAM,L 17-20,0,0,,0,,,,,0,0,,0,,,,
59,1982,1982-09-12,1,27.023,DET,,CHI,W 17-10,,,,,,,,,,,,,,,,
60,1982,1982-09-19,2,27.030,DET,@,RAM,W 19-14,,,,,,,,,,,,,,,,
61,1982,1982-11-21,3,27.093,DET,@,CHI,L 17-20,,,,,,,,,,,,,,,,
62,1982,1982-11-25,4,27.097,DET,,NYG,L 6-13,,,,,,,,,,,,,,,,
63,1982,1982-12-06,5,27.108,DET,,NYJ,L 13-28,,,,,,,,,,,,,,,,
64,1982,1982-12-12,6,27.114,DET,@,GNB,W 30-10,,,,,,,,,,,,,,,,
65,1982,1982-12-19,7,27.121,DET,,MIN,L 31-34,,,,,,,,,,,,,,,,
66,1982,1982-12-26,8,27.128,DET,@,TAM,L 21-23,,,,,,,,,,,,,,,,
