ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
11,1960,1960-09-10,1,28.285,DTX,@,LAC,L 20-21,*,22,40,55.00,230,2,1,78.1,0,0,5.75,5.63,3,3,1.00,0,0,0,,0,,,,,,,0,0,5,237,47.40,0
12,1960,1960-09-16,2,28.291,DTX,@,OAK,W 34-16,*,14,25,56.00,196,2,0,108.1,0,0,7.84,9.44,0,0,,0,1,-1,-1.00,0,,,,,,,0,0,5,196,39.20,0
13,1960,1960-09-25,3,28.300,DTX,,LAC,W 17-0,*,17,37,45.95,167,1,2,45.7,0,0,4.51,2.62,2,4,2.00,0,0,0,,0,2,2,100.0,1,1,100.0,0,5,4,163,40.75,0
14,1960,1960-10-02,4,28.307,DTX,,NYT,L 35-37,*,19,31,61.29,333,1,1,95.2,0,0,10.74,9.94,1,1,1.00,1,0,0,,0,,,,,,,1,6,5,196,39.20,0
15,1960,1960-10-09,5,28.314,DTX,,OAK,L 19-20,*,13,30,43.33,166,1,2,44.6,0,0,5.53,3.20,0,0,,0,0,0,,0,,,,,,,0,0,6,231,38.50,0
16,1960,1960-10-16,6,28.321,DTX,@,HOU,L 10-20,*,16,34,47.06,230,0,5,29.9,0,0,6.76,0.15,3,13,4.33,0,0,0,,0,,,,,,,0,0,3,101,33.67,0
17,1960,1960-10-30,7,28.335,DTX,@,DEN,W 17-14,*,12,23,52.17,187,0,2,43.2,0,0,8.13,4.22,0,0,,0,0,0,,0,,,,,,,0,0,5,223,44.60,0
18,1960,1960-11-06,8,28.342,DTX,@,BUF,W 45-28,*,9,23,39.13,57,2,0,76.2,0,0,2.48,4.22,0,0,,0,0,0,,0,,,,,,,0,0,4,160,40.00,0
19,1960,1960-11-13,9,28.349,DTX,,DEN,W 34-7,*,7,18,38.89,115,1,0,79.6,0,0,6.39,7.50,1,7,7.00,0,0,0,,0,,,,,,,0,0,3,105,35.00,0
20,1960,1960-11-18,10,28.354,DTX,@,BOS,L 14-42,*,9,23,39.13,100,0,0,52.8,0,0,4.35,4.35,1,2,2.00,0,0,0,,0,,,,,,,0,0,4,136,34.00,0
21,1960,1960-11-24,11,28.360,DTX,@,NYT,L 35-41,*,14,37,37.84,226,2,1,65.8,0,0,6.11,5.97,0,0,,0,0,0,,0,,,,,,,0,0,4,143,35.75,0
22,1960,1960-12-04,12,29.004,DTX,,HOU,W 24-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,5,183,36.60,0
23,1960,1960-12-11,13,29.011,DTX,,BOS,W 34-0,,9,21,42.86,133,1,2,40.5,0,0,6.33,3.00,2,3,1.50,0,0,0,,0,,,,,,,0,0,2,69,34.50,0
24,1960,1960-12-18,14,29.018,DTX,,BUF,W 24-7,*,18,37,48.65,334,2,0,98.3,0,0,9.03,10.11,1,3,3.00,0,0,0,,0,,,,,,,0,0,3,144,48.00,0
25,1961,1961-09-10,1,29.284,DTX,,SDG,L 10-26,*,7,16,43.75,78,0,3,19.3,0,0,4.88,-3.56,1,1,1.00,0,0,0,,0,,,,,,,0,0,3,112,37.33,0
26,1961,1961-09-24,2,29.298,DTX,@,OAK,W 42-35,,11,23,47.83,247,2,1,97.6,0,0,10.74,10.52,0,0,,0,0,0,,0,,,,,,,0,0,3,115,38.33,0
27,1961,1961-10-01,3,29.305,DTX,,HOU,W 26-21,*,8,21,38.10,130,0,0,59.6,0,0,6.19,6.19,2,11,5.50,0,0,0,,0,,,,,1,0.0,0,0,7,286,40.86,0
28,1961,1961-10-08,4,29.312,DTX,@,DEN,W 19-12,*,5,17,29.41,44,1,1,34.7,0,0,2.59,1.12,1,2,2.00,0,0,0,,0,,,,,,,0,0,3,146,48.67,0
29,1961,1961-10-15,5,29.319,DTX,@,BUF,L 24-27,*,9,26,34.62,166,1,2,38.3,0,0,6.38,3.69,0,0,,0,0,0,,0,,,,,,,0,0,6,237,39.50,0
30,1961,1961-10-22,6,29.326,DTX,@,HOU,L 7-38,*,6,21,28.57,98,1,1,42.6,0,0,4.67,3.48,3,63,21.00,0,0,0,,0,,,,,,,0,0,6,233,38.83,0
31,1961,1961-10-29,7,29.333,DTX,,BOS,L 17-18,,10,16,62.50,148,2,0,132.3,0,0,9.25,11.75,0,0,,0,0,0,,0,,,,,,,0,0,4,208,52.00,0
32,1961,1961-11-03,8,29.338,DTX,@,BOS,L 21-28,*,18,33,54.55,313,2,2,82.0,0,0,9.48,7.97,1,1,1.00,0,0,0,,0,,,,,,,0,0,5,198,39.60,0
33,1961,1961-11-12,9,29.347,DTX,,BUF,L 20-30,*,18,34,52.94,236,2,4,55.1,0,0,6.94,2.82,1,-2,-2.00,0,0,0,,0,,,,,,,0,0,5,152,30.40,0
34,1961,1961-11-19,10,29.354,DTX,@,SDG,L 14-24,*,14,33,42.42,165,1,3,30.5,0,0,5.00,1.52,4,11,2.75,1,0,0,,0,,,,,,,1,6,6,277,46.17,0
35,1961,1961-11-26,11,29.361,DTX,,OAK,W 43-11,*,5,14,35.71,147,2,1,85.4,0,0,10.50,10.14,1,12,12.00,0,0,0,,0,5,5,100.0,,1,0.0,0,5,2,83,41.50,0
36,1961,1961-12-03,12,30.003,DTX,@,NYT,L 7-28,*,13,34,38.24,272,1,4,37.5,0,0,8.00,3.29,3,5,1.67,0,0,0,,0,1,1,100.0,,2,0.0,0,1,4,174,43.50,0
37,1961,1961-12-10,13,30.010,DTX,,DEN,W 49-21,*,18,27,66.67,275,2,0,124.8,0,0,10.19,11.67,2,16,8.00,0,0,0,,0,,,,,,,0,0,5,123,24.60,1
38,1961,1961-12-17,14,30.017,DTX,,NYT,W 35-24,*,9,15,60.00,126,0,1,59.3,0,0,8.40,5.40,2,3,1.50,0,0,0,,0,,,,,,,0,0,3,135,45.00,0
39,1962,1962-09-08,1,30.282,DTX,,BOS,W 42-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0,3,117,39.00,0
40,1962,1962-09-09,1,30.283,OAK,,NYT,L 17-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1962,1962-09-23,2,30.297,OAK,,DTX,L 16-26,*,20,41,48.78,248,0,4,28.4,0,0,6.05,1.66,1,10,10.00,1,0,0,,0,,,,,,,1,6,0,0,,0
42,1962,1962-09-30,3,30.304,OAK,,SDG,L 33-42,*,10,24,41.67,95,0,2,18.6,0,0,3.96,0.21,2,9,4.50,0,0,0,,0,,,,,,,0,0,0,0,,0
43,1962,1962-10-05,4,30.309,OAK,@,DEN,L 7-44,*,5,17,29.41,103,0,1,27.8,0,0,6.06,3.41,4,1,0.25,1,0,0,,0,,,,,,,1,6,3,95,31.67,0
44,1962,1962-10-14,5,30.318,OAK,,DEN,L 6-23,*,2,10,20.00,22,0,1,0.0,0,0,2.20,-2.30,1,19,19.00,0,0,0,,0,,,,,,,0,0,0,0,,0
45,1962,1962-10-20,6,30.324,OAK,@,BUF,L 6-14,*,9,28,32.14,143,0,2,20.4,0,0,5.11,1.89,3,10,3.33,0,0,0,,0,,,,,,,0,0,2,47,23.50,1
46,1962,1962-10-26,7,30.330,OAK,@,BOS,L 16-26,*,11,26,42.31,206,1,1,67.1,0,0,7.92,6.96,3,8,2.67,0,0,0,,0,1,2,50.0,1,1,100.0,0,4,4,145,36.25,0
47,1962,1962-11-04,8,30.339,OAK,@,NYT,L 21-31,*,12,34,35.29,176,1,2,38.4,0,0,5.18,3.12,1,-17,-17.00,0,0,0,,0,3,3,100.0,,,,0,3,1,38,38.00,0
48,1962,1962-11-11,9,30.346,OAK,,HOU,L 20-28,*,9,29,31.03,222,2,3,43.2,0,0,7.66,4.38,3,2,0.67,0,0,0,,0,,,,,,,0,0,7,256,36.57,0
49,1962,1962-11-18,10,30.353,OAK,,BUF,L 6-10,*,5,20,25.00,25,0,2,0.0,0,0,1.25,-3.25,2,-5,-2.50,0,0,0,,0,,,,,,,0,0,7,310,44.29,0
50,1962,1962-11-25,11,30.360,OAK,@,DTX,L 7-35,*,6,12,50.00,86,0,0,73.6,0,0,7.17,7.17,2,15,7.50,0,0,0,,0,,,,,,,0,0,0,0,,0
51,1962,1962-12-02,12,31.002,OAK,@,SDG,L 21-31,,10,25,40.00,273,2,2,74.2,0,0,10.92,8.92,1,0,0.00,0,0,0,,0,,,,,,,0,0,0,0,,0
52,1962,1962-12-09,13,31.009,OAK,@,HOU,L 17-32,*,11,32,34.38,148,0,2,24.0,0,0,4.63,1.81,1,1,1.00,1,0,0,,0,,,,,,,1,6,7,300,42.86,0
53,1962,1962-12-16,14,31.016,OAK,,BOS,W 20-0,*,9,23,39.13,230,1,1,72.7,0,0,10.00,8.91,1,1,1.00,0,0,0,,0,,,,,,,0,0,7,261,37.29,0
54,1963,1963-09-07,1,31.281,OAK,@,HOU,W 24-13,*,6,25,24.00,57,0,2,6.2,0,0,2.28,-1.32,0,0,,0,0,0,,0,,,,,,,0,0,0,0,,0
55,1963,1963-09-15,2,31.289,OAK,,BUF,W 35-17,*,14,29,48.28,315,2,1,96.2,0,0,10.86,10.69,3,2,0.67,1,0,0,,0,,,,,,,1,6,0,0,,0
56,1963,1963-09-22,3,31.296,OAK,,BOS,L 14-20,*,5,17,29.41,63,0,1,18.0,0,0,3.71,1.06,0,0,,0,0,0,,0,,,,,,,0,0,0,0,,0
57,1963,1963-09-28,4,31.302,OAK,@,NYJ,L 7-10,*,10,22,45.45,132,0,2,27.1,0,0,6.00,1.91,3,23,7.67,1,0,0,,0,,,,,,,1,6,0,0,,0
58,1963,1963-10-05,5,31.309,OAK,@,BUF,L 0-12,*,7,24,29.17,113,0,2,12.0,0,0,4.71,0.96,0,0,,0,0,0,,0,,,,,,,0,0,0,0,,0
59,1963,1963-10-11,6,31.315,OAK,@,BOS,L 14-20,,0,0,,0,0,0,,,0,,,1,11,11.00,1,0,0,,0,,,,,,,1,6,0,0,,0
60,1963,1963-10-20,7,31.324,OAK,,NYJ,W 49-26,,9,15,60.00,160,3,1,108.3,0,0,10.67,11.67,1,3,3.00,0,0,0,,0,,,,,,,0,0,0,0,,0
61,1963,1963-10-27,8,31.331,OAK,@,SDG,W 34-33,,5,10,50.00,115,3,1,91.7,0,0,11.50,13.00,5,27,5.40,0,0,0,,0,,,,,,,0,0,0,0,,0
62,1963,1963-11-03,9,31.338,OAK,,KAN,W 10-7,,10,19,52.63,136,0,0,75.8,0,0,7.16,7.16,2,9,4.50,0,0,0,,0,,,,,,,0,0,0,0,,0
63,1963,1963-11-28,11,31.363,OAK,@,DEN,W 26-10,,5,16,31.25,90,1,0,72.4,0,0,5.63,6.88,2,17,8.50,0,0,0,,0,,,,,,,0,0,0,0,,0
64,1963,1963-12-08,12,32.008,OAK,,SDG,W 41-27,,6,17,35.29,95,2,0,94.0,0,0,5.59,7.94,7,41,5.86,1,0,0,,0,,,,,,,1,6,0,0,,0
65,1964,1964-09-19,2,32.294,OAK,@,HOU,L 28-42,,11,22,50.00,176,2,1,88.4,0,0,8.00,7.77,2,42,21.00,0,0,0,,0,,,,,,,0,0,0,0,,0
66,1964,1964-09-27,3,32.302,OAK,,KAN,L 9-21,,9,19,47.37,135,0,1,49.2,0,0,7.11,4.74,5,29,5.80,0,0,0,,0,,,,,,,0,0,0,0,,0
67,1964,1964-10-03,4,32.308,OAK,@,BUF,L 20-23,,14,24,58.33,175,1,2,60.2,0,0,7.29,4.38,5,23,4.60,1,0,0,,0,,,,,,,1,6,0,0,,0
68,1964,1964-10-10,5,32.315,OAK,@,NYJ,L 13-35,,15,33,45.45,282,1,2,60.4,0,0,8.55,6.42,3,-3,-1.00,0,0,0,,0,,,,,,,0,0,0,0,,0
69,1964,1964-10-16,6,32.321,OAK,@,BOS,T 43-43,*,16,34,47.06,337,4,1,109.6,0,0,9.91,10.94,2,1,0.50,0,0,0,,0,,,,,,,0,0,0,0,,0
70,1964,1964-10-25,7,32.330,OAK,,DEN,W 40-7,*,23,36,63.89,427,5,1,132.8,0,0,11.86,13.39,0,0,,0,0,0,,0,,,,,,,0,0,0,0,,0
71,1964,1964-11-01,8,32.337,OAK,@,SDG,L 17-31,*,19,45,42.22,317,2,6,41.9,0,0,7.04,1.93,1,-3,-3.00,0,0,0,,0,,,,,,,0,0,0,0,,0
72,1964,1964-11-08,9,32.344,OAK,@,KAN,L 7-42,*,15,32,46.88,133,1,1,55.9,0,0,4.16,3.38,2,8,4.00,0,0,0,,0,,,,,,,0,0,0,0,,0
73,1964,1964-11-15,10,32.351,OAK,,HOU,W 20-10,*,9,30,30.00,109,2,1,50.6,0,0,3.63,3.47,3,44,14.67,0,0,0,,0,,,,,,,0,0,0,0,,0
74,1964,1964-11-22,11,32.358,OAK,,NYJ,W 35-26,*,20,35,57.14,358,3,3,85.2,0,0,10.23,8.09,4,15,3.75,1,0,0,,0,,,,,,,1,6,0,0,,0
75,1964,1964-12-06,13,33.006,OAK,,BUF,W 16-13,*,4,11,36.36,48,0,0,50.6,0,0,4.36,4.36,1,19,19.00,0,0,0,,0,,,,,,,0,0,0,0,,0
76,1965,1965-10-08,5,33.312,OAK,@,BOS,W 24-10,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,0,0,,0,0,0,,0,,,,,,,0,0,0,0,,0
77,1966,1966-09-02,1,34.276,OAK,@,MIA,W 23-14,*,7,19,36.84,80,0,3,10.7,0,0,4.21,-2.89,2,-4,-2.00,0,0,0,,0,,,,,,,0,0,0,0,,0
78,1966,1966-09-10,2,34.284,OAK,@,HOU,L 0-31,*,18,34,52.94,197,0,1,58.1,0,0,5.79,4.47,1,5,5.00,0,0,0,,0,,,,,,,0,0,0,0,,0
79,1966,1966-09-18,3,34.292,OAK,,KAN,L 10-32,*,18,42,42.86,200,1,2,45.7,0,0,4.76,3.10,0,0,,0,0,0,,0,,,,,,,0,0,0,0,,0
80,1966,1966-09-25,4,34.299,OAK,,SDG,L 20-29,*,5,14,35.71,96,0,3,20.8,0,0,6.86,-2.79,0,0,,0,0,0,,0,,,,,,,0,0,0,0,,0
81,1966,1966-10-30,8,34.334,OAK,@,BOS,L 21-24,,11,30,36.67,197,1,2,43.3,0,0,6.57,4.23,3,-12,-4.00,0,0,0,,0,,,,,,,0,0,0,0,,0
82,1968,1968-11-10,9,36.346,OAK,@,DEN,W 43-7,,1,2,50.00,4,0,0,56.2,0,0,2.00,2.00,0,0,,0,0,0,,0,,,,,,,0,0,0,0,,0
