ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
74,1992,1992-09-27,4,27.201,PIT,@,GNB,L 3-17,,0,0,,0,3,48,16.00,0,2,7,3.50,0,0,0,0.0,0,0,0
75,1992,1992-10-11,5,27.215,PIT,@,CLE,L 9-17,,0,0,,0,3,61,20.33,0,3,28,9.33,0,0,0,0.0,0,0,0
76,1992,1992-10-19,6,27.223,PIT,,CIN,W 20-0,,0,0,,0,0,0,,0,3,11,3.67,0,0,0,1.0,0,0,0
77,1992,1992-10-25,7,27.229,PIT,@,KAN,W 27-3,,0,0,,0,0,0,,0,2,83,41.50,1,1,6,0.0,1,0,0
78,1992,1992-11-01,8,27.236,PIT,,HOU,W 21-20,,0,0,,0,2,29,14.50,0,3,17,5.67,0,0,0,1.0,0,0,0
79,1992,1992-11-08,9,27.243,PIT,@,BUF,L 20-28,,0,0,,0,2,32,16.00,0,1,0,0.00,0,0,0,0.0,0,0,0
80,1992,1992-11-15,10,27.250,PIT,,DET,W 17-14,,0,0,,0,3,67,22.33,0,4,32,8.00,0,0,0,1.0,0,0,0
81,1992,1992-11-22,11,27.257,PIT,,IND,W 30-14,,0,0,,0,1,12,12.00,0,2,36,18.00,0,0,0,0.0,0,0,0
82,1992,1992-11-29,12,27.264,PIT,@,CIN,W 21-9,,0,0,,0,1,23,23.00,0,3,22,7.33,0,0,0,0.0,0,0,0
83,1992,1992-12-06,13,27.271,PIT,,SEA,W 20-14,,0,0,,0,2,27,13.50,0,1,9,9.00,0,0,0,0.0,0,0,0
84,1992,1992-12-13,14,27.278,PIT,@,CHI,L 6-30,,0,0,,0,3,69,23.00,0,3,30,10.00,0,0,0,2.0,0,0,0
85,1992,1992-12-20,15,27.285,PIT,,MIN,L 3-6,,0,0,,0,2,53,26.50,0,0,0,,0,0,0,0.0,0,0,0
86,1992,1992-12-27,16,27.292,PIT,,CLE,W 23-13,,0,0,,0,3,48,16.00,0,1,28,28.00,0,0,0,0.0,1,17,0
87,1993,1993-09-05,1,28.179,PIT,,SFO,L 13-24,,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,2,4,0
88,1993,1993-09-12,2,28.186,PIT,@,RAM,L 0-27,,0,0,,0,0,0,,0,1,9,9.00,0,0,0,1.0,1,0,0
89,1993,1993-09-19,3,28.193,PIT,,CIN,W 34-7,,0,0,,0,0,0,,0,4,54,13.50,0,0,0,0.0,0,0,0
90,1993,1993-09-27,4,28.201,PIT,@,ATL,W 45-17,,1,0,0.00,0,2,62,31.00,0,2,42,21.00,0,0,0,0.0,2,17,0
91,1993,1993-10-10,5,28.214,PIT,,SDG,W 16-3,,0,0,,0,0,0,,0,6,33,5.50,0,0,0,0.0,0,0,0
92,1993,1993-10-17,6,28.221,PIT,,NOR,W 37-14,,0,0,,0,1,24,24.00,0,3,16,5.33,0,1,6,0.0,2,63,1
93,1993,1993-10-24,7,28.228,PIT,@,CLE,L 23-28,,0,0,,0,2,38,19.00,0,3,22,7.33,0,0,0,1.0,0,0,0
94,1993,1993-11-07,8,28.242,PIT,@,CIN,W 24-16,,0,0,,0,1,16,16.00,0,4,19,4.75,0,0,0,0.0,0,0,0
95,1993,1993-11-15,9,28.250,PIT,,BUF,W 23-0,,0,0,,0,1,22,22.00,0,5,40,8.00,0,0,0,0.0,0,0,0
96,1993,1993-11-21,10,28.256,PIT,@,DEN,L 13-37,,0,0,,0,4,65,16.25,0,0,0,,0,0,0,0.0,0,0,0
97,1993,1993-11-28,11,28.263,PIT,@,HOU,L 3-23,,0,0,,0,1,5,5.00,0,2,14,7.00,0,0,0,0.0,0,0,0
98,1993,1993-12-05,12,28.270,PIT,,NWE,W 17-14,,0,0,,0,1,20,20.00,0,2,22,11.00,0,0,0,0.0,0,0,0
99,1993,1993-12-13,13,28.278,PIT,@,MIA,W 21-20,,0,0,,0,2,42,21.00,0,1,16,16.00,0,0,0,0.0,1,54,0
100,1993,1993-12-19,14,28.284,PIT,,HOU,L 17-26,,0,0,,0,0,0,,0,2,20,10.00,0,0,0,0.0,0,0,0
101,1993,1993-12-26,15,28.291,PIT,@,SEA,L 6-16,,0,0,,0,0,0,,0,3,12,4.00,0,0,0,0.0,0,0,0
102,1993,1994-01-02,16,28.298,PIT,,CLE,W 16-9,,0,0,,0,0,0,,0,3,17,5.67,0,0,0,0.0,0,0,0
103,1994,1994-09-04,1,29.178,PIT,,DAL,L 9-26,,0,0,,0,3,61,20.33,0,1,18,18.00,0,0,0,0.0,0,0,0
104,1994,1994-09-11,2,29.185,PIT,@,CLE,W 17-10,,0,0,,0,2,72,36.00,0,0,0,,0,0,0,0.0,1,20,0
105,1994,1994-09-18,3,29.192,PIT,,IND,W 31-21,,0,0,,0,3,88,29.33,0,5,40,8.00,0,0,0,0.0,0,0,0
106,1994,1994-09-25,4,29.199,PIT,@,SEA,L 13-30,,0,0,,0,3,53,17.67,0,1,4,4.00,0,0,0,0.0,0,0,0
107,1994,1994-10-03,5,29.207,PIT,,HOU,W 30-14,,0,0,,0,1,18,18.00,0,5,28,5.60,0,0,0,0.0,0,0,0
108,1994,1994-10-16,6,29.220,PIT,,CIN,W 14-10,,0,0,,0,1,27,27.00,0,5,64,12.80,0,0,0,0.0,0,0,0
109,1994,1994-10-23,7,29.227,PIT,@,NYG,W 10-6,,0,0,,0,1,26,26.00,0,4,34,8.50,0,0,0,0.0,1,25,0
110,1994,1994-10-30,8,29.234,PIT,@,ARI,L 17-20,,0,0,,0,1,20,20.00,0,3,29,9.67,0,0,0,0.0,0,0,0
111,1994,1994-11-06,9,29.241,PIT,@,HOU,W 12-9,,0,0,,0,0,0,,0,4,29,7.25,0,0,0,0.0,0,0,0
112,1994,1994-11-14,10,29.249,PIT,,BUF,W 23-10,,0,0,,0,0,0,,0,3,13,4.33,0,1,6,1.0,1,37,1
113,1994,1994-11-20,11,29.255,PIT,,MIA,W 16-13,,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0.0,0,0,0
114,1994,1994-11-27,12,29.262,PIT,@,RAI,W 21-3,,0,0,,0,0,0,,0,4,45,11.25,0,0,0,0.0,0,0,0
115,1994,1994-12-04,13,29.269,PIT,@,CIN,W 38-15,,0,0,,0,0,0,,0,1,10,10.00,0,1,6,1.0,1,27,1
116,1994,1994-12-11,14,29.276,PIT,,PHI,W 14-3,,0,0,,0,0,0,,0,1,-4,-4.00,0,0,0,0.0,0,0,0
117,1994,1994-12-18,15,29.283,PIT,,CLE,W 17-7,,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
118,1995,1995-09-03,1,30.177,PIT,,DET,W 23-20,,,,,,,,,,,,,,,,,,,
119,1996,1996-09-01,1,31.175,PIT,@,JAX,L 9-24,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,28,0
120,1996,1996-09-08,2,31.182,PIT,,BAL,W 31-17,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,43,1
121,1996,1996-09-08,2,31.182,NYJ,,IND,L 7-21,,,,,,,,,,,,,,,,,,,
122,1996,1996-09-16,3,31.190,PIT,,BUF,W 24-6,,,,,,,,,,,,,,,,,0,14,0
123,1996,1996-09-29,4,31.203,PIT,,HOU,W 30-16,,,,,,,,,,,,,,,,,,,
124,1996,1996-10-07,5,31.211,PIT,@,KAN,W 17-7,,,,,,,,,,,,,,,,,,,
125,1996,1996-10-13,6,31.217,PIT,,CIN,W 20-10,,,,,,,,,,,,,,,,,,,
126,1996,1996-10-20,7,31.224,PIT,@,HOU,L 13-23,,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
127,1996,1996-10-27,8,31.231,PIT,@,ATL,W 20-17,,,,,,,,,,,,,,,,,,,
128,1996,1996-11-03,9,31.238,PIT,,STL,W 42-6,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
129,1996,1996-11-10,10,31.245,PIT,@,CIN,L 24-34,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,32,0
130,1996,1996-11-17,11,31.252,PIT,,JAX,W 28-3,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,4,0
131,1996,1996-11-25,12,31.260,PIT,@,MIA,W 24-17,,,,,,,,,,,,,,,,,,,
132,1996,1996-12-01,13,31.266,BUF,@,IND,L 10-13,,,,,,,,,,,,,,,,,,,
133,1996,1996-12-08,14,31.273,PIT,,SDG,W 16-3,,,,,,,,,,,,,,,,,,,
134,1996,1996-12-15,15,31.280,PIT,,SFO,L 15-25,,,,,,,,,,,,,,,,,,,
135,1996,1996-12-22,16,31.287,PIT,@,CAR,L 14-18,,,,,,,,,,,,,,,,,,,
136,1997,1997-08-31,1,32.174,SFO,@,TAM,L 6-13,,,,,,,,,,0,0,,0,,,,,,
137,1997,1997-09-07,2,32.181,SFO,@,STL,W 15-12,,,,,,,,,,0,0,,0,,,,,,
138,1997,1997-09-14,3,32.188,SFO,,NOR,W 33-7,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,81,0
139,1997,1997-09-29,5,32.203,SFO,@,CAR,W 34-21,,,,,,,,,,0,0,,0,,,,,,
140,1997,1997-10-12,6,32.216,SFO,,STL,W 30-10,,,,,,,,,,0,0,,0,,,,,,
141,1997,1997-10-19,7,32.223,SFO,@,ATL,W 35-28,,,,,,,,,,0,0,,0,,,,,,
142,1997,1997-10-26,8,32.230,SFO,@,NOR,W 23-0,,,,,,,,,,0,0,,0,,,,,,
143,1997,1997-11-02,9,32.237,SFO,,DAL,W 17-10,,,,,,,,,,0,0,,0,,,,,,
144,1997,1997-11-10,10,32.245,SFO,@,PHI,W 24-12,,,,,,,,,,0,0,,0,,,,,,
145,1997,1997-11-16,11,32.251,SFO,,CAR,W 27-19,,,,,,,,,,0,0,,0,,,,,,
146,1997,1997-11-23,12,32.258,SFO,,SDG,W 17-10,,,,,,,,,,0,0,,0,,,,,,
147,1997,1997-11-30,13,32.265,SFO,@,KAN,L 9-44,,,,,,,,,,0,0,,0,,,,,,
148,1997,1997-12-07,14,32.272,SFO,,MIN,W 28-17,,,,,,,,,,0,0,,0,,,,,,
149,1997,1997-12-15,15,32.280,SFO,,DEN,W 34-17,,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
150,1998,1998-09-06,1,33.180,BAL,,PIT,L 13-20,,,,,,,,,,,,,,,,,,,
151,1998,1998-09-13,2,33.187,BAL,@,NYJ,W 24-10,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,2,76,1
152,1998,1998-09-20,3,33.194,BAL,@,JAX,L 10-24,,,,,,,,,,,,,,,,,,,
153,1998,1998-09-27,4,33.201,BAL,,CIN,W 31-24,,,,,,,,,,,,,,,,,,,
154,1998,1998-10-11,5,33.215,BAL,,TEN,L 8-12,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,2,0
155,1998,1998-10-18,6,33.222,BAL,@,PIT,L 6-16,,,,,,,,,,,,,,,,,,,
156,1998,1998-10-25,7,33.229,BAL,@,GNB,L 10-28,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,10,0
157,1998,1998-11-01,8,33.236,BAL,,JAX,L 19-45,,,,,,,,,,,,,,,,,,,
158,1998,1998-11-08,9,33.243,BAL,,OAK,W 13-10,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,18,1
159,1998,1998-11-15,10,33.250,BAL,@,SDG,L 13-14,,,,,,,,,,,,,,,,,,,
160,1998,1998-11-22,11,33.257,BAL,@,CIN,W 20-13,,,,,,,,,,,,,,,,,,,
161,1998,1998-11-29,12,33.264,BAL,,IND,W 38-31,,,,,,,,,,,,,,,,,,,
162,1998,1998-12-06,13,33.271,BAL,@,TEN,L 14-16,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,2,0
163,1998,1998-12-13,14,33.278,BAL,,MIN,L 28-38,,,,,,,,,,,,,,,,,,,
164,1998,1998-12-20,15,33.285,BAL,@,CHI,L 3-24,,,,,,,,,,,,,,,,,,,
165,1998,1998-12-27,16,33.292,BAL,,DET,W 19-10,,,,,,,,,,,,,,,,,,,
166,1999,1999-09-12,1,34.186,BAL,@,STL,L 10-27,*,,,,,,,,,,,,,,,,,,
167,1999,1999-09-19,2,34.193,BAL,,PIT,L 20-23,*,,,,,,,,,,,,,,,,,,
168,1999,1999-09-26,3,34.200,BAL,,CLE,W 17-10,*,,,,,,,,,,,,,,,,,,
169,1999,1999-10-03,4,34.207,BAL,@,ATL,W 19-13,*,,,,,,,,,,,,,,,,,,
170,1999,1999-10-10,5,34.214,BAL,@,TEN,L 11-14,*,,,,,,,,,,,,,,,,,,
171,1999,1999-10-21,6,34.225,BAL,,KAN,L 8-35,*,,,,,,,,,,,,,,,,,,
172,1999,1999-10-31,7,34.235,BAL,,BUF,L 10-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,5,0
173,1999,1999-11-07,8,34.242,BAL,@,CLE,W 41-9,*,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,66,1
174,1999,1999-11-14,9,34.249,BAL,@,JAX,L 3-6,*,,,,,,,,,,,,,,,,,,
175,1999,1999-11-21,10,34.256,BAL,@,CIN,W 34-31,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
176,1999,1999-11-28,11,34.263,BAL,,JAX,L 23-30,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,2,0
177,1999,1999-12-05,12,34.270,BAL,,TEN,W 41-14,*,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,47,1
178,1999,1999-12-12,13,34.277,BAL,@,PIT,W 31-24,*,0,0,,0,0,0,,0,2,0,0.00,0,0,0,0.0,0,0,0
179,1999,1999-12-19,14,34.284,BAL,,NOR,W 31-8,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,31,0
180,1999,1999-12-26,15,34.291,BAL,,CIN,W 22-0,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,44,0
181,1999,2000-01-02,16,34.298,BAL,@,NWE,L 3-20,*,,,,,,,,,,,,,,,,,,
182,2000,2000-09-03,1,35.177,BAL,@,PIT,W 16-0,,,,,,,,,,,,,,,,,,,
183,2000,2000-09-10,2,35.184,BAL,,JAX,W 39-36,*,,,,,,,,,,,,,,,,,,
184,2000,2000-09-17,3,35.191,BAL,@,MIA,L 6-19,*,,,,,,,,,,,,,,,,,,
185,2000,2000-09-24,4,35.198,BAL,,CIN,W 37-0,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,2,0
186,2000,2000-10-01,5,35.205,BAL,@,CLE,W 12-0,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
187,2000,2000-10-08,6,35.212,BAL,@,JAX,W 15-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,18,0
188,2000,2000-10-15,7,35.219,BAL,@,WAS,L 3-10,,,,,,,,,,,,,,,,,,,
189,2000,2000-10-22,8,35.226,BAL,,TEN,L 6-14,*,,,,,,,,,,,,,,,,,,
190,2000,2000-10-29,9,35.233,BAL,,PIT,L 6-9,*,,,,,,,,,,,,,,,,,,
191,2000,2000-11-05,10,35.240,BAL,@,CIN,W 27-7,*,,,,,,,,,,,,,,,,,,
192,2000,2000-11-12,11,35.247,BAL,@,TEN,W 24-23,*,,,,,,,,,,,,,,,,,,
193,2000,2000-11-19,12,35.254,BAL,,DAL,W 27-0,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
194,2000,2000-11-26,13,35.261,BAL,,CLE,W 44-7,*,,,,,,,,,,,,,,,,,,
195,2000,2000-12-10,14,35.275,BAL,,SDG,W 24-3,*,,,,,,,,,,,,,,,,,,
196,2000,2000-12-17,15,35.282,BAL,@,ARI,W 13-7,,,,,,,,,,,,,,,,,,,
197,2000,2000-12-24,16,35.289,BAL,,NYJ,W 34-20,,,,,,,,,,,,,,,,,,,
198,2001,2001-09-09,1,36.183,BAL,,CHI,W 17-6,*,,,,,,,,,,,,,,,,,,
199,2001,2001-09-23,2,36.197,BAL,@,CIN,L 10-21,*,,,,,,,,,,,,,,,,,,
200,2001,2001-09-30,3,36.204,BAL,@,DEN,W 20-13,*,,,,,,,,,,,,,,,,,,
201,2001,2001-10-07,4,36.211,BAL,,TEN,W 26-7,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
202,2001,2001-10-14,5,36.218,BAL,@,GNB,L 23-31,*,,,,,,,,,,,,,,,,,,
