ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
106,2006,2006-11-19,10,28.110,ARI,,DET,W 17-10,*,22,96,4.36,0,4,2,16,8.00,0,50.0%,4.00,,0,0
107,2006,2006-11-26,11,28.117,ARI,@,MIN,L 26-31,*,4,15,3.75,0,2,2,10,5.00,0,100.0%,5.00,,0,0
108,2006,2006-12-03,12,28.124,ARI,@,STL,W 34-20,*,26,115,4.42,0,1,0,0,,0,0.0%,0.00,,0,0
109,2006,2006-12-10,13,28.131,ARI,,SEA,W 27-21,*,26,115,4.42,1,2,2,6,3.00,0,100.0%,3.00,,1,6
110,2006,2006-12-17,14,28.138,ARI,,DEN,L 20-37,*,14,63,4.50,1,3,2,9,4.50,0,66.7%,3.00,,1,6
111,2006,2006-12-24,15,28.145,ARI,@,SFO,W 26-20,*,29,105,3.62,0,3,1,3,3.00,0,33.3%,1.00,,0,0
112,2006,2006-12-31,16,28.152,ARI,@,SDG,L 20-27,*,16,66,4.13,1,0,0,0,,0,0.0%,,,1,6
113,2007,2007-09-10,1,29.040,ARI,@,SFO,L 17-20,*,26,92,3.54,1,3,2,20,10.00,0,66.7%,6.67,,1,6
114,2007,2007-09-16,2,29.046,ARI,,SEA,W 23-20,*,24,128,5.33,1,2,2,22,11.00,0,100.0%,11.00,,1,6
115,2007,2007-09-23,3,29.053,ARI,@,BAL,L 23-26,*,10,57,5.70,0,1,1,10,10.00,0,100.0%,10.00,,0,0
116,2007,2007-09-30,4,29.060,ARI,,PIT,W 21-14,*,21,77,3.67,1,2,1,7,7.00,0,50.0%,3.50,,1,6
117,2007,2007-10-07,5,29.067,ARI,@,STL,W 34-31,*,26,88,3.38,0,4,1,9,9.00,0,25.0%,2.25,,0,0
118,2007,2007-10-14,6,29.074,ARI,,CAR,L 10-25,*,21,78,3.71,1,2,0,0,,0,0.0%,0.00,,1,6
119,2007,2007-10-21,7,29.081,ARI,@,WAS,L 19-21,*,27,83,3.07,0,1,0,0,,0,0.0%,0.00,,0,0
120,2007,2007-11-04,8,29.095,ARI,@,TAM,L 10-17,*,9,15,1.67,1,1,0,0,,0,0.0%,0.00,,1,6
121,2007,2007-11-11,9,29.102,ARI,,DET,W 31-21,*,18,60,3.33,0,3,3,18,6.00,0,100.0%,6.00,,0,0
122,2007,2007-11-18,10,29.109,ARI,@,CIN,W 35-27,*,22,52,2.36,1,1,1,9,9.00,0,100.0%,9.00,,1,6
123,2007,2007-11-25,11,29.116,ARI,,SFO,L 31-37,*,17,78,4.59,0,2,2,11,5.50,0,100.0%,5.50,,0,0
124,2007,2007-12-02,12,29.123,ARI,,CLE,W 27-21,*,24,114,4.75,0,2,0,0,,0,0.0%,0.00,,0,0
125,2007,2007-12-09,13,29.130,ARI,@,SEA,L 21-42,*,13,46,3.54,0,3,3,24,8.00,0,100.0%,8.00,,0,0
126,2007,2007-12-16,14,29.137,ARI,@,NOR,L 24-31,*,16,84,5.25,0,3,1,11,11.00,0,33.3%,3.67,,0,0
127,2007,2007-12-23,15,29.144,ARI,,ATL,W 30-27,*,26,68,2.62,0,5,4,29,7.25,0,80.0%,5.80,,0,0
128,2007,2007-12-30,16,29.151,ARI,,STL,W 48-19,*,24,102,4.25,1,4,3,34,11.33,0,75.0%,8.50,,1,6
129,2008,2008-09-07,1,30.037,ARI,@,SFO,W 23-13,*,26,100,3.85,0,1,0,0,,0,0.0%,0.00,,0,0
130,2008,2008-09-14,2,30.044,ARI,,MIA,W 31-10,*,18,55,3.06,0,1,1,0,0.00,0,100.0%,0.00,,0,0
131,2008,2008-09-21,3,30.051,ARI,@,WAS,L 17-24,*,18,93,5.17,0,2,2,15,7.50,0,100.0%,7.50,,0,0
132,2008,2008-09-28,4,30.058,ARI,@,NYJ,L 35-56,*,9,29,3.22,2,6,5,37,7.40,0,83.3%,6.17,1,2,14
133,2008,2008-10-05,5,30.065,ARI,,BUF,W 41-17,*,21,57,2.71,1,2,2,21,10.50,0,100.0%,10.50,,1,6
134,2008,2008-10-12,6,30.072,ARI,,DAL,W 30-24,*,9,29,3.22,0,1,0,0,,0,0.0%,0.00,,0,0
135,2008,2008-10-26,7,30.086,ARI,@,CAR,L 23-27,*,7,17,2.43,0,1,0,0,,0,0.0%,0.00,,0,0
136,2008,2008-11-10,9,30.101,ARI,,SFO,W 29-24,,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0
137,2008,2008-11-16,10,30.107,ARI,@,SEA,W 26-20,,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0
138,2008,2008-11-23,11,30.114,ARI,,NYG,L 29-37,,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0
139,2008,2008-12-07,13,30.128,ARI,,STL,W 34-10,,3,11,3.67,0,0,0,0,,0,0.0%,,,0,0
140,2008,2008-12-21,15,30.142,ARI,@,NWE,L 7-47,,4,19,4.75,0,3,1,6,6.00,0,33.3%,2.00,,0,0
141,2008,2008-12-28,16,30.149,ARI,,SEA,W 34-21,,14,100,7.14,0,1,1,6,6.00,0,100.0%,6.00,,0,0
142,2009,2009-09-13,1,31.043,SEA,,STL,W 28-0,,11,30,2.73,0,0,0,0,,0,0.0%,,,0,0
143,2009,2009-09-20,2,31.050,SEA,@,SFO,L 10-23,,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0
144,2009,2009-09-27,3,31.057,SEA,,CHI,L 19-25,,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0
145,2009,2009-10-04,4,31.064,SEA,@,IND,L 17-34,,4,16,4.00,0,1,1,6,6.00,0,100.0%,6.00,,0,0
146,2009,2009-10-11,5,31.071,SEA,,JAX,W 41-0,,16,46,2.88,0,1,1,7,7.00,0,100.0%,7.00,,0,0
147,2009,2009-10-18,6,31.078,SEA,,ARI,L 3-27,,3,3,1.00,0,0,0,0,,0,0.0%,,,0,0
148,2009,2009-11-01,7,31.092,SEA,@,DAL,L 17-38,,6,17,2.83,0,1,1,6,6.00,0,100.0%,6.00,,0,0
