ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
72,1983,1983-10-09,6,27.250,SEA,@,SDG,L 21-28,5,15,3.00,0,3,16,5.33,0,0,0,,0,0,0,0,0,,0
73,1983,1983-10-16,7,27.257,SEA,,RAI,W 38-36,4,8,2.00,1,2,-6,-3.00,0,0,0,,0,1,6,0,0,,0
74,1983,1983-10-23,8,27.264,SEA,,PIT,L 21-27,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
75,1983,1983-10-30,9,27.271,SEA,@,RAI,W 34-21,2,2,1.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
76,1983,1983-11-06,10,27.278,SEA,,DEN,W 27-19,1,0,0.00,0,2,54,27.00,0,0,0,,0,0,0,0,0,,0
77,1983,1983-11-13,11,27.285,SEA,@,STL,L 28-33,0,0,,0,1,34,34.00,0,0,0,,0,0,0,0,0,,0
78,1983,1983-11-20,12,27.292,SEA,@,DEN,L 27-38,0,0,,0,2,41,20.50,0,0,0,,0,0,0,0,0,,0
79,1983,1983-11-27,13,27.299,SEA,,KAN,W 51-48,0,0,,0,3,56,18.67,1,0,0,,0,1,6,0,0,,0
80,1983,1983-12-04,14,27.306,SEA,,DAL,L 10-35,0,0,,0,1,38,38.00,0,0,0,,0,0,0,0,0,,0
81,1983,1983-12-11,15,27.313,SEA,@,NYG,W 17-12,0,0,,0,0,0,,0,,,,,0,,,,,
82,1983,1983-12-18,16,27.320,SEA,,NWE,W 24-6,3,14,4.67,0,2,23,11.50,1,0,0,,0,1,6,0,0,,0
83,1984,1984-09-03,1,28.215,SEA,,CLE,W 33-0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,,0
84,1984,1984-09-09,2,28.221,SEA,,SDG,W 31-17,1,1,1.00,0,1,5,5.00,0,0,0,,0,0,0,0,0,,0
85,1984,1984-09-16,3,28.228,SEA,@,NWE,L 23-38,0,0,,0,0,0,,0,,,,,0,,,,,
86,1984,1984-09-23,4,28.235,SEA,,CHI,W 38-9,1,2,2.00,0,1,25,25.00,0,0,0,,0,0,0,0,0,,0
87,1984,1984-09-30,5,28.242,SEA,@,MIN,W 20-12,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0,0,,0
88,1984,1984-10-07,6,28.249,SEA,@,RAI,L 14-28,0,0,,0,1,13,13.00,0,0,0,,0,0,0,0,0,,0
89,1984,1984-10-14,7,28.256,SEA,,BUF,W 31-28,0,0,,0,1,15,15.00,0,0,0,,0,0,0,0,0,,0
90,1984,1984-10-21,8,28.263,SEA,@,GNB,W 30-24,0,0,,0,2,35,17.50,0,0,0,,0,0,0,0,0,,0
91,1984,1984-10-29,9,28.271,SEA,@,SDG,W 24-0,0,0,,0,1,32,32.00,0,0,0,,0,0,0,0,0,,0
92,1984,1984-11-04,10,28.277,SEA,,KAN,W 45-0,13,51,3.92,0,3,36,12.00,1,0,0,,0,1,6,0,0,,0
93,1984,1984-11-12,11,28.285,SEA,,RAI,W 17-14,10,41,4.10,0,2,20,10.00,0,0,0,,0,0,0,0,0,,0
94,1984,1984-11-18,12,28.291,SEA,@,CIN,W 26-6,17,67,3.94,0,1,26,26.00,0,0,0,,0,0,0,0,0,,0
95,1984,1984-11-25,13,28.298,SEA,@,DEN,W 27-24,9,32,3.56,0,7,55,7.86,0,0,0,,0,0,0,0,0,,0
96,1984,1984-12-02,14,28.305,SEA,,DET,W 38-17,6,21,3.50,0,3,22,7.33,0,0,0,,0,0,0,0,0,,0
97,1984,1984-12-09,15,28.312,SEA,@,KAN,L 7-34,0,0,,0,0,0,,0,,,,,0,,,,,
98,1984,1984-12-15,16,28.318,SEA,,DEN,L 14-31,0,0,,0,6,72,12.00,1,0,0,,0,1,6,0,0,,0
99,1985,1985-09-08,1,29.219,SEA,@,CIN,W 28-24,3,1,0.33,0,0,0,,0,0,0,,0,0,0,0,0,,0
100,1985,1985-09-15,2,29.226,SEA,@,SDG,W 49-35,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
101,1985,1985-09-23,3,29.234,SEA,,RAM,L 24-35,0,0,,0,2,22,11.00,0,0,0,,0,0,0,0,0,,0
102,1985,1985-09-29,4,29.240,SEA,@,KAN,L 7-28,0,0,,0,1,6,6.00,0,0,0,,0,0,0,0,0,,0
103,1985,1985-10-06,5,29.247,SEA,,SDG,W 26-21,0,0,,0,2,15,7.50,0,0,0,,0,0,0,0,0,,0
104,1985,1985-11-10,10,29.282,SEA,@,NOR,W 27-3,0,0,,0,3,9,3.00,0,0,0,,0,0,0,0,0,,0
