ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
15,1971,1971-10-03,3,24.274,NWE,,BAL,L 3-23,3,7,2.33,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0
16,1971,1971-10-10,4,24.281,NWE,,NYJ,W 20-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0
17,1971,1971-10-17,5,24.288,NWE,@,MIA,L 3-41,3,3,1.00,0,2,15,7.50,0,0,0,,0,0,0,,0,0,,,2,31,15.50,0,0,0,,0
18,1971,1971-10-24,6,24.295,NWE,@,DAL,L 21-44,2,1,0.50,0,1,25,25.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
19,1971,1971-10-31,7,24.302,NWE,@,SFO,L 10-27,5,38,7.60,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0
20,1971,1971-11-07,8,24.309,NWE,,HOU,W 28-20,3,12,4.00,0,0,0,,0,1,1,100.00,48,0,0,118.7,0,0,48.00,48.00,0,0,,0,0,0,,0
21,1971,1971-11-14,9,24.316,NWE,,BUF,W 38-33,4,48,12.00,0,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
22,1971,1971-11-21,10,24.323,NWE,@,CLE,L 7-27,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1971,1971-11-28,11,24.330,NWE,@,BUF,L 20-27,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0
24,1971,1971-12-05,12,24.337,NWE,,MIA,W 34-13,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
25,1971,1971-12-12,13,24.344,NWE,@,NYJ,L 6-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0
26,1971,1971-12-19,14,24.351,NWE,@,BAL,W 21-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0
27,1972,1972-09-17,1,25.259,NWE,,CIN,L 7-31,5,-1,-0.20,0,4,30,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
28,1972,1972-09-24,2,25.266,NWE,,ATL,W 21-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1972,1972-10-01,3,25.273,NWE,,WAS,W 24-23,6,17,2.83,0,4,47,11.75,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0
30,1972,1972-10-08,4,25.280,NWE,@,BUF,L 14-38,0,0,,0,1,22,22.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-6,-6.00,0
31,1972,1972-10-15,5,25.287,NWE,,NYJ,L 13-41,1,10,10.00,0,5,41,8.20,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
32,1972,1972-10-22,6,25.294,NWE,@,PIT,L 3-33,3,7,2.33,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
33,1972,1972-10-29,7,25.301,NWE,@,NYJ,L 10-34,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
34,1972,1972-11-06,8,25.309,NWE,,BAL,L 17-24,1,1,1.00,0,1,17,17.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
35,1972,1972-11-12,9,25.315,NWE,@,MIA,L 0-52,4,4,1.00,0,2,26,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
36,1972,1972-11-19,10,25.322,NWE,,BUF,L 24-27,2,1,0.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0
37,1972,1972-11-26,11,25.329,NWE,@,BAL,L 0-31,0,0,,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
