ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
20,1986,1986-09-28,4,22.242,BUF,,KAN,L 17-20,,,5,55,11.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
21,1986,1986-10-05,5,22.249,BUF,@,NYJ,L 13-14,,,3,17,5.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
22,1986,1986-10-12,6,22.256,BUF,@,MIA,L 14-27,,,1,6,6.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
23,1986,1986-10-19,7,22.263,BUF,,IND,W 24-13,,,3,33,11.00,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
24,1986,1986-11-02,9,22.277,BUF,@,TAM,L 28-34,,,3,38,12.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
25,1986,1986-11-09,10,22.284,BUF,,PIT,W 16-12,,,3,34,11.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
26,1986,1986-11-16,11,22.291,BUF,,MIA,L 24-34,,,3,51,17.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
27,1986,1986-11-23,12,22.298,BUF,@,NWE,L 19-22,,,5,65,13.00,0,,,1,-4,-4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,1986,1986-11-30,13,22.305,BUF,@,KAN,W 17-14,,,7,95,13.57,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
29,1986,1986-12-07,14,22.312,BUF,,CLE,L 17-21,,,3,51,17.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
30,1986,1986-12-14,15,22.319,BUF,@,IND,L 14-24,,,6,87,14.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
31,1986,1986-12-21,16,22.326,BUF,@,HOU,L 7-16,,,5,93,18.60,0,,,1,-8,-8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
32,1987,1987-09-13,1,23.227,BUF,,NYJ,L 28-31,,,3,47,15.67,0,,,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
33,1987,1987-09-20,2,23.234,BUF,,HOU,W 34-30,,,6,62,10.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
34,1987,1987-10-25,6,23.269,BUF,@,MIA,W 34-31,,,4,63,15.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
35,1987,1987-11-01,7,23.276,BUF,,WAS,L 7-27,,,8,108,13.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
36,1987,1987-11-08,8,23.283,BUF,,DEN,W 21-14,,,5,60,12.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
37,1987,1987-11-15,9,23.290,BUF,@,CLE,L 21-27,,,4,36,9.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
38,1987,1987-11-22,10,23.297,BUF,@,NYJ,W 17-14,,,4,21,5.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
39,1987,1987-11-29,11,23.304,BUF,,MIA,W 27-0,,,4,96,24.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
40,1987,1987-12-06,12,23.311,BUF,@,RAI,L 21-34,,,7,153,21.86,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
41,1987,1987-12-13,13,23.318,BUF,@,IND,W 27-3,,,3,41,13.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
42,1987,1987-12-20,14,23.325,BUF,,NWE,L 7-13,,,4,19,4.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
43,1987,1987-12-27,15,23.332,BUF,@,PHI,L 7-17,,,5,46,9.20,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
44,1988,1988-09-04,1,24.219,BUF,,MIN,W 13-10,,,8,78,9.75,0,,,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
45,1988,1988-09-11,2,24.226,BUF,,MIA,W 9-6,,,8,122,15.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
46,1988,1988-09-18,3,24.233,BUF,@,NWE,W 16-14,,,2,13,6.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
47,1988,1988-09-25,4,24.240,BUF,,PIT,W 36-28,,,3,48,16.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
48,1988,1988-10-02,5,24.247,BUF,@,CHI,L 3-24,,,7,98,14.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
49,1988,1988-10-09,6,24.254,BUF,,IND,W 34-23,,,7,124,17.71,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
50,1988,1988-10-17,7,24.262,BUF,@,NYJ,W 37-14,,,7,132,18.86,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
51,1988,1988-10-23,8,24.268,BUF,,NWE,W 23-20,,,1,3,3.00,0,,,1,36,36.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
52,1988,1988-10-30,9,24.275,BUF,,GNB,W 28-0,,,2,26,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
53,1988,1988-11-06,10,24.282,BUF,@,SEA,W 13-3,,,3,39,13.00,0,,,1,10,10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
54,1988,1988-11-14,11,24.290,BUF,@,MIA,W 31-6,,,5,65,13.00,0,,,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
55,1988,1988-11-20,12,24.296,BUF,,NYJ,W 9-6,,,5,56,11.20,0,,,2,11,5.50,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
56,1988,1988-11-27,13,24.303,BUF,@,CIN,L 21-35,,,4,53,13.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
57,1988,1988-12-04,14,24.310,BUF,@,TAM,L 5-10,,,2,12,6.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
58,1988,1988-12-18,16,24.324,BUF,@,IND,L 14-17,,,7,99,14.14,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
59,1989,1989-09-10,1,25.224,BUF,@,MIA,W 27-24,,,6,58,9.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
60,1989,1989-09-18,2,25.232,BUF,,DEN,L 14-28,,,13,157,12.08,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
61,1989,1989-09-24,3,25.238,BUF,@,HOU,W 47-41,,,5,135,27.00,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
62,1989,1989-10-01,4,25.245,BUF,,NWE,W 31-10,,,4,114,28.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
63,1989,1989-10-08,5,25.252,BUF,@,IND,L 14-37,,,7,75,10.71,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
64,1989,1989-10-16,6,25.260,BUF,,RAM,W 23-20,,,8,106,13.25,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
65,1989,1989-10-22,7,25.266,BUF,,NYJ,W 34-3,,,5,58,11.60,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
66,1989,1989-10-29,8,25.273,BUF,,MIA,W 31-17,,,0,0,,0,,,0,0,,0,,,,,,,,,,,,,,,,0,
67,1989,1989-11-05,9,25.280,BUF,@,ATL,L 28-30,,,5,100,20.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
68,1989,1989-11-12,10,25.287,BUF,,IND,W 30-7,,,6,76,12.67,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
69,1989,1989-11-19,11,25.294,BUF,@,NWE,L 24-33,,,6,107,17.83,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
70,1989,1989-11-26,12,25.301,BUF,,CIN,W 24-7,,,1,19,19.00,1,,,1,23,23.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
71,1989,1989-12-04,13,25.309,BUF,@,SEA,L 16-17,,,2,77,38.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
72,1989,1989-12-10,14,25.315,BUF,,NOR,L 19-22,,,4,35,8.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
73,1989,1989-12-17,15,25.322,BUF,@,SFO,L 10-21,,,10,115,11.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
74,1989,1989-12-23,16,25.328,BUF,@,NYJ,W 37-0,,,6,80,13.33,0,,,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
75,1990,1990-09-09,1,26.223,BUF,,IND,W 26-10,,,5,62,12.40,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
76,1990,1990-09-16,2,26.230,BUF,@,MIA,L 7-30,,,5,42,8.40,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
77,1990,1990-09-24,3,26.238,BUF,@,NYJ,W 30-7,,,3,47,15.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
78,1990,1990-09-30,4,26.244,BUF,,DEN,W 29-28,,,2,35,17.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
79,1990,1990-10-07,5,26.251,BUF,,RAI,W 38-24,,,6,55,9.17,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
80,1990,1990-10-21,6,26.265,BUF,,NYJ,W 30-27,,,8,116,14.50,2,,,2,38,19.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
81,1990,1990-10-28,7,26.272,BUF,@,NWE,W 27-10,,,4,41,10.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
82,1990,1990-11-04,8,26.279,BUF,@,CLE,W 42-0,,,7,122,17.43,0,,,1,-15,-15.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
83,1990,1990-11-11,9,26.286,BUF,,PHO,W 45-14,,,0,0,,0,,,0,0,,0,,,,,,,,,,,,,,,,0,
84,1990,1990-11-18,10,26.293,BUF,,NWE,W 14-0,,,3,70,23.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
85,1990,1990-11-26,11,26.301,BUF,@,HOU,L 24-27,,,6,54,9.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
86,1990,1990-12-02,12,26.307,BUF,,PHI,W 30-23,,,7,95,13.57,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
87,1990,1990-12-09,13,26.314,BUF,@,IND,W 31-7,,,7,95,13.57,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
88,1990,1990-12-15,14,26.320,BUF,@,NYG,W 17-13,,,4,54,13.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
89,1990,1990-12-23,15,26.328,BUF,,MIA,W 24-14,,,4,57,14.25,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
90,1990,1990-12-30,16,26.335,BUF,@,WAS,L 14-29,,,0,0,,0,,,0,0,,0,,,,,,,,,,,,,,,,0,
91,1991,1991-09-01,1,27.215,BUF,,MIA,W 35-31,,,11,154,14.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
92,1991,1991-09-08,2,27.222,BUF,,PIT,W 52-34,,,9,118,13.11,1,,,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
93,1991,1991-09-15,3,27.229,BUF,@,NYJ,W 23-20,,,3,26,8.67,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
94,1991,1991-09-22,4,27.236,BUF,@,TAM,W 17-10,,,3,69,23.00,0,,,2,61,30.50,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
95,1991,1991-09-29,5,27.243,BUF,,CHI,W 35-20,,,4,33,8.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
96,1991,1991-10-07,6,27.251,BUF,@,KAN,L 6-33,,,5,84,16.80,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
97,1991,1991-10-13,7,27.257,BUF,,IND,W 42-6,,,2,34,17.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
98,1991,1991-10-21,8,27.265,BUF,,CIN,W 35-16,,,5,80,16.00,1,,,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
99,1991,1991-11-03,9,27.278,BUF,,NWE,W 22-17,,,5,121,24.20,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
100,1991,1991-11-10,10,27.285,BUF,@,GNB,W 34-24,,,4,32,8.00,1,,,2,7,3.50,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
101,1991,1991-11-18,11,27.293,BUF,@,MIA,W 41-27,,,8,80,10.00,2,,,1,19,19.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
102,1991,1991-11-24,12,27.299,BUF,@,NWE,L 13-16,,,7,63,9.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
103,1991,1991-12-01,13,27.306,BUF,,NYJ,W 24-13,,,1,16,16.00,1,,,3,15,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
104,1991,1991-12-08,14,27.313,BUF,@,RAI,W 30-27,,,8,107,13.38,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
105,1991,1991-12-15,15,27.320,BUF,@,IND,W 35-7,,,4,65,16.25,1,,,2,22,11.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
106,1991,1991-12-22,16,27.327,BUF,,DET,L 14-17,,,2,31,15.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
107,1992,1992-09-06,1,28.221,BUF,,RAM,W 40-7,,3,2,29,14.50,0,66.7%,9.67,1,24,24.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
108,1992,1992-09-13,2,28.228,BUF,@,SFO,W 34-31,,13,10,144,14.40,0,76.9%,11.08,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
109,1992,1992-09-20,3,28.235,BUF,,IND,W 38-0,,6,5,77,15.40,0,83.3%,12.83,2,17,8.50,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
110,1992,1992-09-27,4,28.242,BUF,@,NWE,W 41-7,,11,9,168,18.67,1,81.8%,15.27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
111,1992,1992-10-04,5,28.249,BUF,,MIA,L 10-37,,11,6,94,15.67,1,54.5%,8.55,1,-7,-7.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
112,1992,1992-10-11,6,28.256,BUF,@,RAI,L 3-20,,9,6,85,14.17,0,66.7%,9.44,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
113,1992,1992-10-26,7,28.271,BUF,@,NYJ,W 24-20,,6,3,55,18.33,0,50.0%,9.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
114,1992,1992-11-01,8,28.277,BUF,,NWE,W 16-7,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
115,1992,1992-11-08,9,28.284,BUF,,PIT,W 28-20,,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
116,1992,1992-11-16,10,28.292,BUF,@,MIA,W 26-20,,5,3,38,12.67,0,60.0%,7.60,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
117,1992,1992-11-22,11,28.298,BUF,,ATL,W 41-14,,9,4,70,17.50,1,44.4%,7.78,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
118,1992,1992-11-29,12,28.305,BUF,@,IND,L 13-16,,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
119,1992,1992-12-06,13,28.312,BUF,,NYJ,L 17-24,,5,3,40,13.33,0,60.0%,8.00,1,14,14.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
120,1992,1992-12-12,14,28.318,BUF,,DEN,W 27-17,,3,1,6,6.00,0,33.3%,2.00,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
121,1992,1992-12-20,15,28.326,BUF,@,NOR,W 20-16,,5,2,19,9.50,0,40.0%,3.80,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
122,1992,1992-12-27,16,28.333,BUF,@,HOU,L 3-27,,8,5,43,8.60,0,62.5%,5.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
123,1993,1993-09-05,1,29.219,BUF,,NWE,W 38-14,,7,6,110,18.33,3,85.7%,15.71,1,15,15.00,0,0,0,,0,0,0,,,,,,0,0,,0,3,18
124,1993,1993-09-12,2,29.226,BUF,@,DAL,W 13-10,,1,1,10,10.00,0,100.0%,10.00,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
125,1993,1993-09-26,3,29.240,BUF,,MIA,L 13-22,,3,0,0,,0,0.0%,0.00,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
126,1993,1993-10-03,4,29.247,BUF,,NYG,W 17-14,,6,3,41,13.67,0,50.0%,6.83,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
127,1993,1993-10-11,5,29.255,BUF,,HOU,W 35-7,,6,4,85,21.25,2,66.7%,14.17,1,-4,-4.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
128,1993,1993-10-24,6,29.268,BUF,@,NYJ,W 19-10,,7,5,56,11.20,0,71.4%,8.00,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
129,1993,1993-11-01,7,29.276,BUF,,WAS,W 24-10,,8,7,159,22.71,1,87.5%,19.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
130,1993,1993-11-07,8,29.282,BUF,@,NWE,W 13-10,,7,3,56,18.67,0,42.9%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
131,1993,1993-11-15,9,29.290,BUF,@,PIT,L 0-23,,8,4,72,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
132,1993,1993-11-21,10,29.296,BUF,,IND,W 23-9,,6,4,64,16.00,0,66.7%,10.67,1,-2,-2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
133,1993,1993-11-28,11,29.303,BUF,@,KAN,L 7-23,,9,4,28,7.00,0,44.4%,3.11,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
134,1993,1993-12-05,12,29.310,BUF,,RAI,L 24-25,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
135,1993,1993-12-19,14,29.324,BUF,@,MIA,W 47-34,,6,3,65,21.67,0,50.0%,10.83,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
136,1993,1993-12-26,15,29.331,BUF,,NYJ,W 16-14,,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
137,1993,1994-01-02,16,29.338,BUF,@,IND,W 30-10,,8,4,51,12.75,0,50.0%,6.38,1,-2,-2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
138,1994,1994-09-04,1,30.218,BUF,,NYJ,L 3-23,,9,6,77,12.83,0,66.7%,8.56,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
139,1994,1994-09-11,2,30.225,BUF,@,NWE,W 38-35,,11,7,142,20.29,1,63.6%,12.91,1,5,5.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
140,1994,1994-09-18,3,30.232,BUF,@,HOU,W 15-7,,10,6,89,14.83,0,60.0%,8.90,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
141,1994,1994-09-26,4,30.240,BUF,,DEN,W 27-20,,7,5,83,16.60,0,71.4%,11.86,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
142,1994,1994-10-02,5,30.246,BUF,@,CHI,L 13-20,,9,3,25,8.33,0,33.3%,2.78,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
143,1994,1994-10-09,6,30.253,BUF,,MIA,W 21-11,,10,7,82,11.71,0,70.0%,8.20,1,19,19.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
144,1994,1994-10-16,7,30.260,BUF,,IND,L 17-27,,10,6,88,14.67,0,60.0%,8.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
145,1994,1994-10-30,8,30.274,BUF,,KAN,W 44-10,,6,5,106,21.20,2,83.3%,17.67,1,9,9.00,0,0,0,,0,0,0,,0,,,,0,0,,0,2,12
146,1994,1994-11-06,9,30.281,BUF,@,NYJ,L 17-22,,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
147,1994,1994-11-14,10,30.289,BUF,@,PIT,L 10-23,,13,6,63,10.50,1,46.2%,4.85,2,29,14.50,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
148,1994,1994-11-20,11,30.295,BUF,,GNB,W 29-20,,19,15,191,12.73,2,78.9%,10.05,1,4,4.00,0,0,0,,0,0,0,,0,,,,0,0,,0,2,12
149,1994,1994-11-24,12,30.299,BUF,@,DET,L 21-35,,9,8,58,7.25,0,88.9%,6.44,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
150,1994,1994-12-04,13,30.309,BUF,@,MIA,W 42-31,,5,3,106,35.33,2,60.0%,21.20,1,3,3.00,0,1,1,100.00,32,0,0,118.7,0,0,32.00,32.00,0,0,,0,2,12
151,1994,1994-12-11,14,30.316,BUF,,MIN,L 17-21,,5,2,19,9.50,0,40.0%,3.80,2,17,8.50,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
152,1994,1994-12-18,15,30.323,BUF,,NWE,L 17-41,,9,6,112,18.67,0,66.7%,12.44,1,1,1.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
153,1994,1994-12-24,16,30.329,BUF,@,IND,L 9-10,,9,3,40,13.33,0,33.3%,4.44,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
154,1995,1995-09-03,1,31.217,BUF,@,DEN,L 7-22,,6,4,67,16.75,1,66.7%,11.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
155,1995,1995-09-10,2,31.224,BUF,,CAR,W 31-9,,2,0,0,,0,0.0%,0.00,4,27,6.75,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
156,1995,1995-09-17,3,31.231,BUF,,IND,W 20-14,,11,6,95,15.83,0,54.5%,8.64,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
157,1995,1995-10-02,4,31.246,BUF,@,CLE,W 22-19,,11,9,97,10.78,1,81.8%,8.82,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
158,1995,1995-10-08,5,31.252,BUF,,NYJ,W 29-10,,5,2,15,7.50,0,40.0%,3.00,1,14,14.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
159,1995,1995-12-24,16,31.329,BUF,,HOU,L 17-28,,8,3,38,12.67,1,37.5%,4.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
