ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
58,2011,2011-09-11,1,25.142,SEA,@,SFO,L 17-33,*,13,33,2.54,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
59,2011,2011-09-18,2,25.149,SEA,@,PIT,L 0-24,*,6,11,1.83,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
60,2011,2011-09-25,3,25.156,SEA,,ARI,W 13-10,*,19,73,3.84,0,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
61,2011,2011-10-02,4,25.163,SEA,,ATL,L 28-30,*,8,24,3.00,1,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
62,2011,2011-10-09,5,25.170,SEA,@,NYG,W 36-25,*,12,98,8.17,1,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,1,0
63,2011,2011-10-30,7,25.191,SEA,,CIN,L 12-34,*,16,24,1.50,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
64,2011,2011-11-06,8,25.198,SEA,@,DAL,L 13-23,*,23,135,5.87,1,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
65,2011,2011-11-13,9,25.205,SEA,,BAL,W 22-17,*,32,109,3.41,1,7,5,58,11.60,0,71.4%,8.29,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
66,2011,2011-11-20,10,25.212,SEA,@,STL,W 24-7,*,27,88,3.26,1,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
67,2011,2011-11-27,11,25.219,SEA,,WAS,L 17-23,*,24,111,4.63,0,3,1,20,20.00,1,33.3%,6.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
68,2011,2011-12-01,12,25.223,SEA,,PHI,W 31-14,*,22,148,6.73,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
69,2011,2011-12-12,13,25.234,SEA,,STL,W 30-13,*,23,115,5.00,1,2,2,8,4.00,0,100.0%,4.00,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,,1,6,0.0,0,0
70,2011,2011-12-18,14,25.240,SEA,@,CHI,W 38-14,*,20,42,2.10,2,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
71,2011,2011-12-24,15,25.246,SEA,,SFO,L 17-19,*,21,107,5.10,1,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
72,2011,2012-01-01,16,25.254,SEA,@,ARI,L 20-23,*,19,86,4.53,0,4,2,5,2.50,0,50.0%,1.25,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
73,2012,2012-09-09,1,26.140,SEA,@,ARI,L 16-20,*,21,85,4.05,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
74,2012,2012-09-16,2,26.147,SEA,,DAL,W 27-7,*,26,122,4.69,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
75,2012,2012-09-24,3,26.155,SEA,,GNB,W 14-12,*,25,98,3.92,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
76,2012,2012-09-30,4,26.161,SEA,@,STL,L 13-19,*,20,118,5.90,1,4,4,37,9.25,0,100.0%,9.25,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
77,2012,2012-10-07,5,26.168,SEA,@,CAR,W 16-12,*,21,85,4.05,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
78,2012,2012-10-14,6,26.175,SEA,,NWE,W 24-23,*,15,41,2.73,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
79,2012,2012-10-18,7,26.179,SEA,@,SFO,L 6-13,*,19,103,5.42,0,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
80,2012,2012-10-28,8,26.189,SEA,@,DET,L 24-28,*,12,105,8.75,1,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
81,2012,2012-11-04,9,26.196,SEA,,MIN,W 30-20,,26,124,4.77,1,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
82,2012,2012-11-11,10,26.203,SEA,,NYJ,W 28-7,*,27,124,4.59,1,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
83,2012,2012-11-25,11,26.217,SEA,@,MIA,L 21-24,*,19,46,2.42,0,3,2,1,0.50,0,66.7%,0.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
84,2012,2012-12-02,12,26.224,SEA,@,CHI,W 23-17,*,19,87,4.58,1,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
85,2012,2012-12-09,13,26.231,SEA,,ARI,W 58-0,*,11,128,11.64,3,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,3,18,0.0,0,0
86,2012,2012-12-16,14,26.238,SEA,@,BUF,W 50-17,*,10,113,11.30,1,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
87,2012,2012-12-23,15,26.245,SEA,,SFO,W 42-13,*,26,111,4.27,1,2,2,19,9.50,1,100.0%,9.50,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
88,2012,2012-12-30,16,26.252,SEA,,STL,W 20-13,*,18,100,5.56,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
89,2013,2013-09-08,1,27.139,SEA,@,CAR,W 12-7,*,17,43,2.53,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
90,2013,2013-09-15,2,27.146,SEA,,SFO,W 29-3,*,28,98,3.50,2,3,3,37,12.33,1,100.0%,12.33,0,0,,0,0,0,,0,0,,,,3,18,0.0,0,0
91,2013,2013-09-22,3,27.153,SEA,,JAX,W 45-17,*,17,69,4.06,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
92,2013,2013-09-29,4,27.160,SEA,@,HOU,W 23-20,*,17,98,5.76,1,3,3,45,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,1,0
93,2013,2013-10-06,5,27.167,SEA,@,IND,L 28-34,*,17,102,6.00,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
94,2013,2013-10-13,6,27.174,SEA,,TEN,W 20-13,*,21,77,3.67,2,5,4,78,19.50,0,80.0%,15.60,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
95,2013,2013-10-17,7,27.178,SEA,@,ARI,W 34-22,*,21,91,4.33,1,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,1,0
96,2013,2013-10-28,8,27.189,SEA,@,STL,W 14-9,*,8,23,2.88,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
97,2013,2013-11-03,9,27.195,SEA,,TAM,W 27-24,*,21,125,5.95,0,5,4,16,4.00,0,80.0%,3.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
98,2013,2013-11-10,10,27.202,SEA,@,ATL,W 33-10,*,24,145,6.04,1,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
99,2013,2013-11-17,11,27.209,SEA,,MIN,W 41-20,*,17,54,3.18,2,2,2,9,4.50,1,100.0%,4.50,0,0,,0,0,0,,0,0,,,,3,18,0.0,0,0
100,2013,2013-12-02,12,27.224,SEA,,NOR,W 34-7,*,16,45,2.81,0,4,3,12,4.00,0,75.0%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
101,2013,2013-12-08,13,27.230,SEA,@,SFO,L 17-19,*,20,72,3.60,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
102,2013,2013-12-15,14,27.237,SEA,@,NYG,W 23-0,*,16,47,2.94,1,6,6,73,12.17,0,100.0%,12.17,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
103,2013,2013-12-22,15,27.244,SEA,,ARI,L 10-17,*,18,71,3.94,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
104,2013,2013-12-29,16,27.251,SEA,,STL,W 27-9,*,23,97,4.22,1,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
105,2014,2014-09-04,1,28.135,SEA,,GNB,W 36-16,*,20,110,5.50,2,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
106,2014,2014-09-14,2,28.145,SEA,@,SDG,L 21-30,*,6,36,6.00,0,4,4,27,6.75,1,100.0%,6.75,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
