ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
137,2013,2013-12-22,15,33.360,ARI,@,SEA,W 17-10,*,13,25,52.00,178,1,4,48.8,2,10,7.12,0.72,5,-3,-0.60,0,,0,0,0.0,0,0
138,2013,2013-12-29,16,34.002,ARI,,SFO,L 20-23,*,28,49,57.14,407,2,1,89.4,1,8,8.31,8.20,1,-1,-1.00,0,,0,0,0.0,0,0
139,2014,2014-09-08,1,34.255,ARI,,SDG,W 18-17,*,24,37,64.86,304,2,0,108.4,2,10,8.22,9.30,4,29,7.25,0,,0,0,0.0,0,0
140,2014,2014-10-12,5,34.289,ARI,,WAS,W 30-20,*,28,44,63.64,250,2,0,93.9,1,7,5.68,6.59,1,-3,-3.00,0,,0,0,0.0,0,0
141,2014,2014-10-19,6,34.296,ARI,@,OAK,W 24-13,*,22,31,70.97,253,2,1,103.3,1,11,8.16,8.00,0,0,,0,,0,0,0.0,1,0
142,2014,2014-10-26,7,34.303,ARI,,PHI,W 24-20,*,20,42,47.62,329,2,0,90.3,0,0,7.83,8.79,0,0,,0,,0,0,0.0,0,0
143,2014,2014-11-02,8,34.310,ARI,@,DAL,W 28-17,*,22,34,64.71,249,3,1,103.7,2,12,7.32,7.76,2,-2,-1.00,0,,0,0,0.0,0,0
144,2014,2014-11-09,9,34.317,ARI,,STL,W 31-14,*,25,36,69.44,241,0,1,76.3,3,19,6.69,5.44,1,1,1.00,0,,0,0,0.0,1,0
145,2015,2015-09-13,1,35.260,ARI,,NOR,W 31-19,*,19,32,59.38,307,3,0,122.8,0,0,9.59,11.47,3,14,4.67,0,,0,0,0.0,0,0
146,2015,2015-09-20,2,35.267,ARI,@,CHI,W 48-23,*,17,24,70.83,185,4,1,115.5,0,0,7.71,9.17,2,-2,-1.00,0,,0,0,0.0,0,0
147,2015,2015-09-27,3,35.274,ARI,,SFO,W 47-7,*,20,32,62.50,311,2,1,102.5,1,4,9.72,9.56,1,1,1.00,0,,0,0,0.0,0,0
148,2015,2015-10-04,4,35.281,ARI,,STL,L 22-24,*,29,46,63.04,352,1,1,84.7,4,18,7.65,7.11,1,-1,-1.00,0,,0,0,0.0,0,0
149,2015,2015-10-11,5,35.288,ARI,@,DET,W 42-17,*,11,14,78.57,161,3,0,154.2,2,13,11.50,15.79,1,-1,-1.00,0,,0,0,0.0,0,0
150,2015,2015-10-18,6,35.295,ARI,@,PIT,L 13-25,*,29,45,64.44,421,1,2,83.7,1,7,9.36,7.80,2,-1,-0.50,0,,0,0,0.0,0,0
151,2015,2015-10-26,7,35.303,ARI,,BAL,W 26-18,*,20,29,68.97,275,2,0,122.1,2,11,9.48,10.86,2,2,1.00,0,,0,0,0.0,0,0
