ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
43,1965,1965-09-11,1,30.109,DEN,@,SDG,L 31-34,17,49,2.88,0,1,29,29.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
44,1965,1965-09-19,2,30.117,DEN,,BUF,L 15-30,12,26,2.17,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
45,1965,1965-09-24,3,30.122,DEN,@,BOS,W 27-10,32,142,4.44,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
46,1965,1965-10-03,4,30.131,DEN,,NYJ,W 16-13,22,67,3.05,0,4,24,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
47,1965,1965-10-10,5,30.138,DEN,,KAN,L 23-31,20,63,3.15,2,2,-4,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,2,12
48,1965,1965-10-17,6,30.145,DEN,,HOU,W 28-17,21,67,3.19,1,2,3,1.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
49,1965,1965-10-24,7,30.152,DEN,@,BUF,L 13-31,21,87,4.14,0,3,55,18.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
50,1965,1965-10-31,8,30.159,DEN,@,NYJ,L 10-45,11,37,3.36,0,3,19,6.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
51,1965,1965-11-07,9,30.166,DEN,,SDG,L 21-35,14,27,1.93,1,2,28,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
52,1965,1965-11-14,10,30.173,DEN,@,HOU,W 31-21,16,119,7.44,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
53,1965,1965-11-21,11,30.180,DEN,,OAK,L 20-28,12,53,4.42,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
54,1965,1965-12-05,12,30.194,DEN,@,OAK,L 13-24,18,59,3.28,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
55,1965,1965-12-12,13,30.201,DEN,,BOS,L 20-28,19,73,3.84,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
56,1965,1965-12-19,14,30.208,DEN,@,KAN,L 35-45,17,85,5.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,2,12
57,1966,1966-10-23,7,31.151,MIA,@,HOU,W 20-13,10,32,3.20,0,1,13,13.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
58,1966,1966-11-06,8,31.165,MIA,,BUF,L 0-29,6,10,1.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
59,1966,1966-11-13,9,31.172,MIA,@,KAN,L 16-34,6,33,5.50,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
60,1966,1966-11-20,10,31.179,MIA,@,NYJ,L 13-30,13,56,4.31,0,2,13,6.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
61,1966,1966-11-27,11,31.186,MIA,,BOS,L 14-20,9,31,3.44,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
62,1966,1966-12-04,12,31.193,MIA,@,DEN,L 7-17,5,11,2.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
63,1966,1966-12-11,13,31.200,MIA,,KAN,L 18-19,14,65,4.64,0,3,23,7.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
64,1966,1966-12-18,14,31.207,MIA,,HOU,W 29-28,9,24,2.67,0,6,60,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
65,1967,1967-09-03,1,32.101,DEN,,BOS,W 26-21,10,21,2.10,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
