ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
39,1973,1973-10-07,4,25.290,MIN,@,DET,W 23-9,0,0,,0,0,0,,0,0,0,,0,1,0,0
40,1973,1973-10-14,5,25.297,MIN,@,SFO,W 17-13,,,,,,,,,,,,,,,
41,1973,1973-10-21,6,25.304,MIN,,PHI,W 28-21,,,,,,,,,,,,,,,
42,1973,1973-10-28,7,25.311,MIN,,RAM,W 10-9,0,0,,0,0,0,,0,0,0,,0,1,0,0
43,1973,1973-11-04,8,25.318,MIN,,CLE,W 26-3,,,,,,,,,,,,,,,
44,1973,1973-11-11,9,25.325,MIN,,DET,W 28-7,0,0,,0,0,0,,0,0,0,,0,1,6,0
45,1973,1973-11-19,10,25.333,MIN,@,ATL,L 14-20,,,,,,,,,,,,,,,
46,1973,1973-11-25,11,25.339,MIN,,CHI,W 31-13,,,,,,,,,,,,,,,
47,1973,1973-12-02,12,25.346,MIN,@,CIN,L 0-27,,,,,,,,,,,,,,,
48,1973,1973-12-08,13,25.352,MIN,@,GNB,W 31-7,,,,,,,,,,,,,,,
49,1973,1973-12-16,14,25.360,MIN,@,NYG,W 31-7,,,,,,,,,,,,,,,
50,1974,1974-09-15,1,26.268,MIN,@,GNB,W 32-17,0,0,,0,0,0,,0,0,0,,0,2,62,0
51,1974,1974-09-22,2,26.275,MIN,@,DET,W 7-6,,,,,,,,,,,,,,,
52,1974,1974-09-29,3,26.282,MIN,,CHI,W 11-7,0,0,,0,0,0,,0,0,0,,0,1,0,0
53,1974,1974-10-06,4,26.289,MIN,@,DAL,W 23-21,0,0,,0,0,0,,0,0,0,,0,2,2,0
54,1974,1974-10-13,5,26.296,MIN,,HOU,W 51-10,1,6,6.00,0,0,0,,0,0,0,,0,1,27,0
55,1974,1974-10-20,6,26.303,MIN,,DET,L 16-20,,,,,,,,,,,,,,,
56,1974,1974-10-27,7,26.310,MIN,,NWE,L 14-17,,,,,,,,,,,,,,,
57,1974,1974-11-03,8,26.317,MIN,@,CHI,W 17-0,,,,,,,,,,,,,,,
58,1974,1974-11-11,9,26.325,MIN,@,STL,W 28-24,,,,,,,,,,,,,,,
59,1974,1974-11-17,10,26.331,MIN,,GNB,L 7-19,,,,,,,,,,,,,,,
60,1974,1974-11-24,11,26.338,MIN,@,RAM,L 17-20,,,,,,,,,,,,,,,
61,1974,1974-12-01,12,26.345,MIN,,NOR,W 29-9,,,,,,,,,,,,,,,
62,1974,1974-12-07,13,26.351,MIN,,ATL,W 23-10,,,,,,,,,,,,,,,
63,1974,1974-12-14,14,26.358,MIN,@,KAN,W 35-15,,,,,,,,,,,,,,,
64,1975,1975-09-21,1,27.274,MIN,,SFO,W 27-17,,,,,,,,,,,,,,,
65,1975,1975-09-28,2,27.281,MIN,@,CLE,W 42-10,,,,,,,,,,,,,,,
66,1975,1975-10-05,3,27.288,MIN,,CHI,W 28-3,,,,,,,,,,,,,,,
67,1975,1975-10-12,4,27.295,MIN,,NYJ,W 29-21,,,,,,,,,,,,,,,
68,1975,1975-10-19,5,27.302,MIN,,DET,W 25-19,,,,,,,,,,,,,,,
69,1975,1975-10-27,6,27.310,MIN,@,CHI,W 13-9,,,,,,,,,,,,,,,
70,1975,1975-11-02,7,27.316,MIN,@,GNB,W 28-17,,,,,,,,,,,,,,,
71,1975,1975-11-09,8,27.323,MIN,,ATL,W 38-0,,,,,,,,,,,,,,,
72,1975,1975-11-16,9,27.330,MIN,@,NOR,W 20-7,,,,,,,,,,,,,,,
73,1975,1975-11-23,10,27.337,MIN,,SDG,W 28-13,,,,,,,,,,,,,,,
74,1975,1975-11-30,11,27.344,MIN,@,WAS,L 30-31,,,,,,,,,,,,,,,
75,1975,1975-12-07,12,27.351,MIN,,GNB,W 24-3,,,,,,,,,,,,,,,
76,1975,1975-12-14,13,27.358,MIN,@,DET,L 10-17,,,,,,,,,,,,,,,
77,1975,1975-12-20,14,27.364,MIN,@,BUF,W 35-13,,,,,,,,,,,,,,,
78,1976,1976-09-12,1,28.266,MIN,@,NOR,W 40-9,,,,,,,,,,,,,,,
79,1976,1976-09-19,2,28.273,MIN,,RAM,T 10-10,,,,,,,,,,,,,,,
80,1976,1976-09-26,3,28.280,MIN,@,DET,W 10-9,,,,,,,,,,,,,,,
81,1976,1976-10-04,4,28.288,MIN,,PIT,W 17-6,0,0,,0,0,0,,0,0,0,,0,1,0,0
82,1976,1976-10-10,5,28.294,MIN,,CHI,W 20-19,0,0,,0,0,0,,0,0,0,,0,1,21,0
83,1976,1976-10-17,6,28.301,MIN,,NYG,W 24-7,0,0,,0,0,0,,0,0,0,,0,1,-3,0
84,1976,1976-10-24,7,28.308,MIN,@,PHI,W 31-12,,,,,,,,,,,,,,,
85,1976,1976-10-31,8,28.315,MIN,@,CHI,L 13-14,,,,,,,,,,,,,,,
86,1976,1976-11-07,9,28.322,MIN,,DET,W 31-23,,,,,,,,,,,,,,,
87,1976,1976-11-14,10,28.329,MIN,,SEA,W 27-21,0,0,,0,0,0,,0,0,0,,0,2,14,0
88,1976,1976-11-21,11,28.336,MIN,@,GNB,W 17-10,0,0,,0,0,0,,0,0,0,,0,2,15,0
89,1976,1976-11-29,12,28.344,MIN,@,SFO,L 16-20,,,,,,,,,,,,,,,
90,1976,1976-12-05,13,28.350,MIN,,GNB,W 20-9,,,,,,,,,,,,,,,
91,1976,1976-12-11,14,28.356,MIN,@,MIA,W 29-7,,,,,,,,,,,,,,,
92,1977,1977-09-18,1,29.271,MIN,,DAL,L 10-16,,,,,,,,,,,,,,,
93,1977,1977-09-24,2,29.277,MIN,@,TAM,W 9-3,,,,,,,,,,,,,,,
94,1977,1977-10-02,3,29.285,MIN,,GNB,W 19-7,,,,,,,,,,,,,,,
95,1977,1977-10-09,4,29.292,MIN,,DET,W 14-7,,,,,,,,,,,,,,,
96,1977,1977-10-16,5,29.299,MIN,,CHI,W 22-16,,,,,,,,,,,,,,,
97,1977,1977-10-24,6,29.307,MIN,@,RAM,L 3-35,,,,,,,,,,,,,,,
98,1977,1977-10-30,7,29.313,MIN,@,ATL,W 14-7,,,,,,,,,,,,,,,
99,1977,1977-11-06,8,29.320,MIN,,STL,L 7-27,,,,,,,,,,,,,,,
100,1977,1977-11-13,9,29.327,MIN,,CIN,W 42-10,0,0,,0,0,0,,0,0,0,,0,1,0,0
101,1977,1977-11-20,10,29.334,MIN,@,CHI,L 7-10,0,0,,0,0,0,,0,0,0,,0,1,0,0
102,1977,1977-11-27,11,29.341,MIN,@,GNB,W 13-6,,,,,,,,,,,,,,,
103,1977,1977-12-04,12,29.348,MIN,,SFO,W 28-27,,,,,,,,,,,,,,,
104,1977,1977-12-11,13,29.355,MIN,@,OAK,L 13-35,,,,,,,,,,,,,,,
105,1977,1977-12-17,14,29.361,MIN,@,DET,W 30-21,0,0,,0,0,0,,0,0,0,,0,1,0,0
106,1978,1978-09-03,1,30.256,MIN,@,NOR,L 24-31,,,,,,,,,,,,,,,
107,1978,1978-09-11,2,30.264,MIN,,DEN,W 12-9,0,0,,0,0,0,,0,0,0,,0,1,28,0
108,1978,1978-09-17,3,30.270,MIN,,TAM,L 10-16,,,,,,,,,,,,,,,
109,1978,1978-09-25,4,30.278,MIN,@,CHI,W 24-20,,,,,,,,,,,,,,,
110,1978,1978-10-01,5,30.284,MIN,@,TAM,W 24-7,,,,,,,,,,,,,,,
111,1978,1978-10-08,6,30.291,MIN,@,SEA,L 28-29,0,0,,0,0,0,,0,0,0,,0,1,0,0
112,1978,1978-10-15,7,30.298,MIN,,RAM,L 17-34,0,0,,0,0,0,,0,0,0,,0,1,30,0
113,1978,1978-10-22,8,30.305,MIN,,GNB,W 21-7,,,,,,,,,,,,,,,
114,1978,1978-10-26,9,30.309,MIN,@,DAL,W 21-10,,,,,,,,,,,,,,,
115,1978,1978-11-05,10,30.319,MIN,,DET,W 17-7,,,,,,,,,,,,,,,
116,1978,1978-11-12,11,30.326,MIN,,CHI,W 17-14,0,0,,0,0,0,,0,0,0,,0,1,0,0
117,1978,1978-11-19,12,30.333,MIN,,SDG,L 7-13,0,0,,0,0,0,,0,0,0,,0,1,0,0
118,1978,1978-11-26,13,30.340,MIN,@,GNB,T 10-10,,,,,,,,,,,,,,,
119,1978,1978-12-03,14,30.347,MIN,,PHI,W 28-27,,,,,,,,,,,,,,,
120,1978,1978-12-09,15,30.353,MIN,@,DET,L 14-45,,,,,,,,,,,,,,,
121,1978,1978-12-17,16,30.361,MIN,@,OAK,L 20-27,,,,,,,,,,,,,,,
122,1979,1979-09-09,2,31.262,MIN,@,CHI,L 7-26,,,,,,,,,,,,,,,
123,1979,1979-09-16,3,31.269,MIN,,MIA,L 12-27,,,,,,,,,,,,,,,
124,1979,1979-09-23,4,31.276,MIN,,GNB,W 27-21,,,,,,,,,,,,,,,
125,1979,1979-09-30,5,31.283,MIN,@,DET,W 13-10,,,,,,,,,,,,,,,
126,1979,1979-10-07,6,31.290,MIN,,DAL,L 20-36,,,,,,,,,,,,,,,
127,1979,1979-10-15,7,31.298,MIN,@,NYJ,L 7-14,,,,,,,,,,,,,,,
128,1979,1979-10-21,8,31.304,MIN,,CHI,W 30-27,0,0,,0,0,0,,0,0,0,,0,1,32,0
129,1979,1979-10-28,9,31.311,MIN,,TAM,L 10-12,,,,,,,,,,,,,,,
130,1979,1979-11-04,10,31.318,MIN,@,STL,L 7-37,0,0,,0,0,0,,0,0,0,,0,2,5,0
131,1979,1979-11-11,11,31.325,MIN,@,GNB,L 7-19,0,0,,0,0,0,,0,0,0,,0,1,7,0
132,1980,1980-09-07,1,32.261,MIN,,ATL,W 24-23,,,,,,,,,,,,,,,
133,1980,1980-09-14,2,32.268,MIN,,PHI,L 7-42,,,,,,,,,,,,,,,
134,1980,1980-09-21,3,32.275,MIN,@,CHI,W 34-14,,,,,,,,,,,,,,,
135,1980,1980-09-28,4,32.282,MIN,@,DET,L 7-27,,,,,,,,,,,,,,,
136,1980,1980-10-05,5,32.289,MIN,,PIT,L 17-23,,,,,,,,,,,,,,,
137,1980,1980-10-12,6,32.296,MIN,,CHI,W 13-7,0,0,,0,0,0,,0,0,0,,0,1,10,0
138,1980,1980-10-19,7,32.303,MIN,@,CIN,L 0-14,,,,,,,,,,,,,,,
139,1980,1980-10-26,8,32.310,MIN,@,GNB,L 3-16,0,0,,0,0,0,,0,0,0,,0,1,6,0
140,1980,1980-11-02,9,32.317,MIN,@,WAS,W 39-14,,,,,,,,,,,,,,,
141,1980,1980-11-09,10,32.324,MIN,,DET,W 34-0,,,,,,,,,,,,,,,
142,1980,1980-11-16,11,32.331,MIN,,TAM,W 38-30,,,,,,,,,,,,,,,
143,1980,1980-11-23,12,32.338,MIN,,GNB,L 13-25,,,,,,,,,,,,,,,
144,1980,1980-11-30,13,32.345,MIN,@,NOR,W 23-20,,,,,,,,,,,,,,,
145,1980,1980-12-07,14,32.352,MIN,@,TAM,W 21-10,,,,,,,,,,,,,,,
146,1980,1980-12-14,15,32.359,MIN,,CLE,W 28-23,,,,,,,,,,,,,,,
147,1980,1980-12-21,16,33.000,MIN,@,HOU,L 16-20,,,,,,,,,,,,,,,
