ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
78,1995,1995-12-10,14,26.307,DEN,,SEA,L 27-31,,,,,,,,,,,0.0%,,,,,,,
79,1995,1995-12-17,15,26.314,DEN,@,KAN,L 17-20,,,,,,,,,,,0.0%,,,,,,,
80,1995,1995-12-24,16,26.321,DEN,@,OAK,W 31-28,,,,,,,,,,,0.0%,,,,,,,
81,1996,1996-09-01,1,27.208,BAL,,OAK,W 19-14,,,,,,,0,0,,0,0.0%,,,,,,,
82,1996,1996-09-08,2,27.215,BAL,@,PIT,L 17-31,,,,,,,0,0,,0,0.0%,,,,,,,
83,1996,1996-09-15,3,27.222,BAL,@,HOU,L 13-29,,,,,,0,0,0,,0,0.0%,,,,,,,
84,1996,1996-09-29,4,27.236,BAL,,NOR,W 17-10,,,,,,0,0,0,,0,0.0%,,,,,,,
85,1996,1996-10-06,5,27.243,BAL,,NWE,L 38-46,,,,,,0,0,0,,0,0.0%,,,,,,,
86,1996,1996-10-13,6,27.250,BAL,@,IND,L 21-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
87,1996,1996-10-20,7,27.257,BAL,@,DEN,L 34-45,,,,,,0,0,0,,0,0.0%,,,,,,,
88,1996,1996-10-27,8,27.264,BAL,,STL,W 37-31,,,,,,0,0,0,,0,0.0%,,,,,,,
89,1996,1996-11-03,9,27.271,BAL,,CIN,L 21-24,,,,,,0,0,0,,0,0.0%,,,,,,,
90,1996,1996-11-10,10,27.278,BAL,@,JAX,L 27-30,,,,,,,0,0,,0,0.0%,,,,,,,
91,1996,1996-11-17,11,27.285,BAL,@,SFO,L 20-38,,0,0,,0,1,1,2,2.00,1,100.0%,2.00,1,6,0.0,0,0,0
92,1996,1996-11-24,12,27.292,BAL,,JAX,L 25-28,,,,,,0,0,0,,0,0.0%,,,,,,,
93,1996,1996-12-01,13,27.299,BAL,,PIT,W 31-17,,,,,,0,0,0,,0,0.0%,,,,,,,
94,1996,1996-12-08,14,27.306,BAL,@,CIN,L 14-21,,,,,,0,0,0,,0,0.0%,,,,,,,
95,1996,1996-12-15,15,27.313,BAL,@,CAR,L 16-27,,,,,,0,0,0,,0,0.0%,,,,,,,
96,1996,1996-12-22,16,27.320,BAL,,HOU,L 21-24,,,,,,,0,0,,0,0.0%,,,,,,,
97,1997,1997-08-31,1,28.206,BAL,,JAX,L 27-28,,,,,,,,,,,0.0%,,,,,,,
98,1997,1997-09-07,2,28.213,BAL,,CIN,W 23-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
99,1997,1997-09-14,3,28.220,BAL,@,NYG,W 24-23,,,,,,,,,,,0.0%,,,,,,,
100,1997,1997-09-21,4,28.227,BAL,@,TEN,W 36-10,,,,,,,,,,,0.0%,,,,,,,
101,1997,1997-09-28,5,28.234,BAL,@,SDG,L 17-21,,,,,,,,,,,0.0%,,,,,,,
102,1997,1997-10-05,6,28.241,BAL,,PIT,L 34-42,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
103,1997,1997-10-19,7,28.255,BAL,,MIA,L 13-24,,,,,,,,,,,0.0%,,,,,,,
104,1997,1997-10-26,8,28.262,BAL,@,WAS,W 20-17,,,,,,,,,,,0.0%,,,,,,,
105,1997,1997-11-02,9,28.269,BAL,@,NYJ,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
106,1997,1997-11-09,10,28.276,BAL,@,PIT,L 0-37,,,,,,,,,,,0.0%,,,,,,,
107,1997,1997-11-16,11,28.283,BAL,,PHI,T 10-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,2.0,0,0,0
108,1997,1997-11-23,12,28.290,BAL,,ARI,L 13-16,,,,,,,,,,,0.0%,,,,,,,
109,1997,1997-11-30,13,28.297,BAL,@,JAX,L 27-29,,,,,,,,,,,0.0%,,,,,,,
110,1997,1997-12-07,14,28.304,BAL,,SEA,W 31-24,,,,,,,,,,,0.0%,,,,,,,
111,1997,1997-12-14,15,28.311,BAL,,TEN,W 21-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
112,1997,1997-12-21,16,28.318,BAL,@,CIN,L 14-16,,,,,,,,,,,0.0%,,,,,,,
113,1998,1998-09-06,1,29.212,BAL,,PIT,L 13-20,,,,,,,,,,,0.0%,,,,,,,
114,1998,1998-09-13,2,29.219,BAL,@,NYJ,W 24-10,,,,,,,,,,,0.0%,,,,,,,
115,1998,1998-09-20,3,29.226,BAL,@,JAX,L 10-24,,0,0,,0,,0,0,,0,0.0%,,0,0,1.0,0,0,0
116,1998,1998-09-27,4,29.233,BAL,,CIN,W 31-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
117,1998,1998-10-11,5,29.247,BAL,,TEN,L 8-12,,,,,,,,,,,0.0%,,,,,,,
118,1998,1998-10-18,6,29.254,BAL,@,PIT,L 6-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,2.0,0,0,0
119,1998,1998-10-25,7,29.261,BAL,@,GNB,L 10-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.5,0,0,0
120,1998,1998-11-01,8,29.268,BAL,,JAX,L 19-45,,,,,,,,,,,0.0%,,,,,,,
121,1998,1998-11-08,9,29.275,BAL,,OAK,W 13-10,,,,,,,,,,,0.0%,,,,,,,
122,1998,1998-11-15,10,29.282,BAL,@,SDG,L 13-14,,,,,,,,,,,0.0%,,,,,,,
123,1998,1998-11-22,11,29.289,BAL,@,CIN,W 20-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
124,1998,1998-11-29,12,29.296,BAL,,IND,W 38-31,,,,,,,,,,,0.0%,,,,,,,
125,1998,1998-12-06,13,29.303,BAL,@,TEN,L 14-16,,,,,,,,,,,0.0%,,,,,,,
126,1998,1998-12-13,14,29.310,BAL,,MIN,L 28-38,,,,,,,,,,,0.0%,,,,,,,
127,1998,1998-12-20,15,29.317,BAL,@,CHI,L 3-24,,,,,,,,,,,0.0%,,,,,,,
128,1998,1998-12-27,16,29.324,BAL,,DET,W 19-10,,,,,,,,,,,0.0%,,,,,,,
129,1999,1999-09-12,1,30.218,DET,@,SEA,W 28-20,*,,,,,0,,,,,0.0%,,,,,,,
130,1999,1999-09-19,2,30.225,DET,,GNB,W 23-15,*,,,,,0,,,,,0.0%,,,,,,,
131,1999,1999-09-26,3,30.232,DET,@,KAN,L 21-31,*,,,,,0,,,,,0.0%,,,,,,,
132,1999,1999-10-10,4,30.246,DET,,SDG,L 10-20,*,,,,,0,,,,,0.0%,,,,,,,
133,1999,1999-10-17,5,30.253,DET,,MIN,W 25-23,*,0,0,,0,0,0,0,,0,0.0%,,0,0,1.5,0,0,0
134,1999,1999-10-24,6,30.260,DET,@,CAR,W 24-9,*,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
135,1999,1999-10-31,7,30.267,DET,,TAM,W 20-3,*,,,,,,,,,,0.0%,,,,,,,
136,1999,1999-11-07,8,30.274,DET,,STL,W 31-27,*,0,0,,0,0,0,0,,0,0.0%,,0,0,1.5,0,0,0
137,1999,1999-11-14,9,30.281,DET,@,ARI,L 19-23,*,,,,,0,,,,,0.0%,,,,,,,
138,1999,1999-11-21,10,30.288,DET,@,GNB,L 17-26,*,,,,,0,,,,,0.0%,,,,,,,
139,1999,1999-11-25,11,30.292,DET,,CHI,W 21-17,*,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
140,1999,1999-12-05,12,30.302,DET,,WAS,W 33-17,*,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
141,1999,1999-12-12,13,30.309,DET,@,TAM,L 16-23,*,,,,,0,,,,,0.0%,,,,,,,
142,1999,1999-12-19,14,30.316,DET,@,CHI,L 10-28,*,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
143,1999,1999-12-25,15,30.322,DET,,DEN,L 7-17,*,,,,,,,,,,0.0%,,,,,,,
144,1999,2000-01-02,16,30.330,DET,@,MIN,L 17-24,*,,,,,0,,,,,0.0%,,,,,,,
145,2000,2000-09-03,1,31.210,DET,@,NOR,W 14-10,*,,,,,0,,,,,0.0%,,,,,,,
146,2000,2000-09-10,2,31.217,DET,,WAS,W 15-10,*,,,,,0,,,,,0.0%,,,,,,,
147,2000,2000-09-17,3,31.224,DET,,TAM,L 10-31,,,,,,0,,,,,0.0%,,,,,,,
148,2000,2000-09-24,4,31.231,DET,@,CHI,W 21-14,*,,,,,0,,,,,0.0%,,,,,,,
149,2000,2000-10-01,5,31.238,DET,,MIN,L 24-31,*,,,,,0,,,,,0.0%,,,,,,,
150,2000,2000-10-08,6,31.245,DET,,GNB,W 31-24,,,,,,0,,,,,0.0%,,,,,,,
151,2000,2000-10-19,7,31.256,DET,@,TAM,W 28-14,*,,,,,,,,,,0.0%,,,,,,,
152,2000,2000-10-29,8,31.266,DET,@,IND,L 18-30,*,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
153,2000,2000-11-05,9,31.273,DET,,MIA,L 8-23,*,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
154,2000,2000-11-12,10,31.280,DET,,ATL,W 13-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,1.0,0,0,0
155,2000,2000-11-19,11,31.287,DET,@,NYG,W 31-21,,,,,,0,,,,,0.0%,,,,,,,
156,2000,2000-11-23,12,31.291,DET,,NWE,W 34-9,*,,,,,,,,,,0.0%,,,,,,,
157,2000,2000-11-30,13,31.298,DET,@,MIN,L 17-24,*,,,,,0,,,,,0.0%,,,,,,,
158,2000,2000-12-10,14,31.308,DET,@,GNB,L 13-26,*,,,,,0,,,,,0.0%,,,,,,,
159,2000,2000-12-17,15,31.315,DET,@,NYJ,W 10-7,,,,,,0,,,,,0.0%,,,,,,,
160,2000,2000-12-24,16,31.322,DET,,CHI,L 20-23,*,,,,,0,,,,,0.0%,,,,,,,
