ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
97,1995,1995-10-01,5,30.090,OAK,@,NYJ,W 47-10,,,,,,,,,,,
98,1995,1995-10-08,6,30.097,OAK,,SEA,W 34-14,,,,,,,,,,,
99,1995,1995-10-16,7,30.105,OAK,@,DEN,L 0-27,,,,,,,,,,,
100,1995,1995-10-22,8,30.111,OAK,,IND,W 30-17,,,,,,,,,,,
101,1995,1995-11-05,9,30.125,OAK,@,CIN,W 20-17,,,,,,,,,,,
102,1995,1995-11-12,10,30.132,OAK,@,NYG,W 17-13,,,,,,,,,,,
103,1995,1995-11-19,11,30.139,OAK,,DAL,L 21-34,,,,,,,,,,,
104,1995,1995-11-27,12,30.147,OAK,@,SDG,L 6-12,,,,,,,,,,,
105,1995,1995-12-03,13,30.153,OAK,,KAN,L 23-29,,,,,,,,,,,
106,1995,1995-12-10,14,30.160,OAK,,PIT,L 10-29,,,,,,,,,,,
107,1995,1995-12-17,15,30.167,OAK,@,SEA,L 10-44,,,,,,,,,,,
108,1995,1995-12-24,16,30.174,OAK,,DEN,L 28-31,,,,,,,,,,,
109,1996,1996-09-01,1,31.060,ARI,@,IND,L 13-20,,,,,,,,,,,
110,1996,1996-09-08,2,31.067,OAK,@,KAN,L 3-19,,,,,,,,,,,
111,1996,1996-09-15,3,31.074,OAK,,JAX,W 17-3,,,,,,,,,,,
112,1996,1996-09-22,4,31.081,OAK,,SDG,L 34-40,,,,,,,,,,,
113,1996,1996-09-29,5,31.088,OAK,@,CHI,L 17-19,,,,,,,,,,,
114,1996,1996-10-06,6,31.095,OAK,@,NYJ,W 34-13,,,,,,,,,,,
115,1996,1996-10-13,7,31.102,OAK,,DET,W 37-21,,,,,,,,,,,
116,1996,1996-10-21,8,31.110,OAK,@,SDG,W 23-14,,,,,,,,,,,
117,1996,1996-11-04,9,31.124,OAK,,DEN,L 21-22,,,,,,,,,,,
118,1996,1996-11-10,10,31.130,OAK,@,TAM,L 17-20,,,,,,,,,,,
119,1996,1996-11-17,11,31.137,OAK,,MIN,L 13-16,,,,,,,,,,,
120,1996,1996-11-24,12,31.144,OAK,@,SEA,W 27-21,,,,,,,,,,,
121,1996,1996-12-01,13,31.151,OAK,,MIA,W 17-7,,,,,,,,,,,
122,1996,1996-12-09,14,31.159,OAK,,KAN,W 26-7,,,,,,,,,,,
123,1996,1996-12-15,15,31.165,OAK,@,DEN,L 19-24,,,,,,,,,,,
124,1996,1996-12-22,16,31.172,OAK,,SEA,L 21-28,,,,,,,,,,,
125,1997,1997-08-31,1,32.059,OAK,@,TEN,L 21-24,,,,,,,,,,,
126,1997,1997-09-08,2,32.067,OAK,,KAN,L 27-28,,,,,,,,,,,
127,1997,1997-09-14,3,32.073,OAK,@,ATL,W 36-31,,,,,,,,,,,
128,1997,1997-09-21,4,32.080,OAK,@,NYJ,L 22-23,,,,,,,,,,,
129,1997,1997-09-28,5,32.087,OAK,,STL,W 35-17,,,,,,,,,,,
130,1997,1997-10-05,6,32.094,OAK,,SDG,L 10-25,,,,,,,,,,,
131,1997,1997-10-19,7,32.108,OAK,,DEN,W 28-25,,,,,,,,,,,
132,1997,1997-10-26,8,32.115,OAK,@,SEA,L 34-45,,,,,,,,,,,
133,1997,1997-11-02,9,32.122,OAK,@,CAR,L 14-38,,,,,,,,,,,
134,1997,1997-11-09,10,32.129,OAK,,NOR,L 10-13,0,0,,0,0,0,,0,1,13,0
135,1997,1997-11-16,11,32.136,OAK,@,SDG,W 38-13,,,,,,,,,,,
136,1997,1997-11-24,12,32.144,OAK,@,DEN,L 3-31,,,,,,,,,,,
137,1997,1997-11-30,13,32.150,OAK,,MIA,L 16-34,,,,,,,,,,,
138,1997,1997-12-07,14,32.157,OAK,@,KAN,L 0-30,,,,,,,,,,,
139,1997,1997-12-14,15,32.164,OAK,,SEA,L 21-22,,,,,,,,,,,
140,1997,1997-12-21,16,32.171,OAK,,JAX,L 9-20,,,,,,,,,,,
