ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
54,1980,1980-10-26,8,25.270,RAM,@,ATL,L 10-13,,,,,,,,,,,,,,,,,,
55,1980,1980-11-02,9,25.277,RAM,,NOR,W 45-31,,,,,,,,,,,,,,,,,,
56,1980,1980-11-09,10,25.284,RAM,,MIA,L 14-35,,,,,,,,,,,,,,,,,,
57,1980,1980-11-16,11,25.291,RAM,@,NWE,W 17-14,,,,,,,,,,,,,,,,,,
58,1980,1980-11-24,12,25.299,RAM,@,NOR,W 27-7,,,,,,,,,,,,,,,,,,
59,1980,1980-11-30,13,25.305,RAM,,NYJ,W 38-13,,,,,,,,,,,,,,,,,,
60,1980,1980-12-07,14,25.312,RAM,@,BUF,L 7-10,,,,,,,,,,,,,,,,,,
61,1980,1980-12-15,15,25.320,RAM,,DAL,W 38-14,,,,,,,,,,,,,,,,,,
62,1980,1980-12-21,16,25.326,RAM,,ATL,W 20-17,,,,,,,,,,,,,,,,,,
63,1981,1981-09-06,1,26.219,RAM,,HOU,L 20-27,0,0,,0,,,,,,,,,,,,,,
64,1981,1981-09-13,2,26.226,RAM,@,NOR,L 17-23,0,0,,0,,,,,,,,,,,,,,
65,1981,1981-09-20,3,26.233,RAM,,GNB,W 35-23,0,0,,0,,,,,,,,,,,,,,
66,1981,1981-09-28,4,26.241,RAM,@,CHI,W 24-7,0,0,,0,,,,,,,,,,,,,,
67,1981,1981-10-04,5,26.247,RAM,,CLE,W 27-16,0,0,,0,,,,,,,,,,,,,,
68,1981,1981-10-11,6,26.254,RAM,@,ATL,W 37-35,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
69,1981,1981-10-18,7,26.261,RAM,@,DAL,L 17-29,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0
70,1981,1981-10-25,8,26.268,RAM,@,SFO,L 17-20,0,0,,0,,,,,,,,,,,,,,
71,1981,1981-11-01,9,26.275,RAM,,DET,W 20-13,0,0,,0,,,,,,,,,,,,,,
72,1981,1981-11-08,10,26.282,RAM,,NOR,L 13-21,0,0,,0,,,,,,,,,,,,,,
73,1981,1981-11-15,11,26.289,RAM,@,CIN,L 10-24,1,17,17.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0
74,1981,1981-11-22,12,26.296,RAM,,SFO,L 31-33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
75,1981,1981-11-29,13,26.303,RAM,@,PIT,L 0-24,0,0,,0,,,,,,,,,,,,,,
76,1981,1981-12-06,14,26.310,RAM,@,NYG,L 7-10,0,0,,0,,,,,,,,,,,,,,
77,1981,1981-12-14,15,26.318,RAM,,ATL,W 21-16,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,94,0
78,1981,1981-12-20,16,26.324,RAM,,WAS,L 7-30,0,0,,0,,,,,,,,,,,,,,
79,1982,1982-09-12,1,27.225,RAM,@,GNB,L 23-35,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,3,0
80,1982,1982-09-19,2,27.232,RAM,,DET,L 14-19,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,21,0
81,1982,1982-11-21,3,27.295,RAM,@,ATL,L 17-34,0,0,,0,,,,,,,,,,,,,,
82,1982,1982-11-28,4,27.302,RAM,,KAN,W 20-14,0,0,,0,,,,,,,,,,,,,,
83,1982,1982-12-02,5,27.306,RAM,,SFO,L 24-30,0,0,,0,,,,,,,,,,,,,,
84,1982,1982-12-12,6,27.316,RAM,,DEN,L 24-27,1,17,17.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0,0
85,1982,1982-12-18,7,27.322,RAM,@,RAI,L 31-37,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,9,0
86,1982,1982-12-26,8,27.330,RAM,,CHI,L 26-34,0,0,,0,,,,,,,,,,,,,,
87,1982,1983-01-02,9,27.337,RAM,@,SFO,W 21-20,0,0,,0,,,,,,,,,,,,,,
88,1983,1983-09-04,1,28.217,RAM,@,NYG,W 16-6,0,0,,0,,,,,,,,,,,,,,
89,1983,1983-09-11,2,28.224,RAM,,NOR,W 30-27,0,0,,0,,,,,,,,,,,,,,
90,1983,1983-09-18,3,28.231,RAM,@,GNB,L 24-27,0,0,,0,,,,,,,,,,,,,,
91,1983,1983-09-25,4,28.238,RAM,@,NYJ,L 24-27,0,0,,0,,,,,,,,,,,,,,
92,1983,1983-10-02,5,28.245,RAM,,DET,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,2,0
93,1983,1983-10-09,6,28.252,RAM,@,SFO,W 10-7,0,0,,0,,,,,,,,,,,,,,
94,1983,1983-10-16,7,28.259,RAM,,ATL,W 27-21,0,0,,0,,,,,,,,,,,,,,
95,1983,1983-10-23,8,28.266,RAM,,SFO,L 35-45,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0
96,1983,1983-10-30,9,28.273,RAM,@,MIA,L 14-30,0,0,,0,,,,,,,,,,,,,,
97,1983,1983-11-06,10,28.280,RAM,,CHI,W 21-14,0,0,,0,,,,,,,,,,,,,,
98,1983,1983-11-14,11,28.288,RAM,@,ATL,W 36-13,0,0,,0,,,,,,,,,,,,,,
99,1983,1983-11-20,12,28.294,RAM,,WAS,L 20-42,0,0,,0,,,,,,,,,,,,,,
100,1983,1983-11-27,13,28.301,RAM,,BUF,W 41-17,0,0,,0,,,,,,,,,,,,,,
101,1983,1983-12-04,14,28.308,RAM,@,PHI,L 9-13,0,0,,0,,,,,,,,,,,,,,
102,1983,1983-12-11,15,28.315,RAM,,NWE,L 7-21,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,31,0
103,1983,1983-12-18,16,28.322,RAM,@,NOR,W 26-24,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,43,1
104,1984,1984-09-03,1,29.217,RAM,,DAL,L 13-20,,,,,,,,,,,,,,,,,,
105,1984,1984-09-09,2,29.223,RAM,,CLE,W 20-17,,,,,,,,,,,,,,,,,,
106,1984,1984-09-16,3,29.230,RAM,@,PIT,L 14-24,,,,,,,,,,,,,,,,,,
107,1984,1984-09-23,4,29.237,RAM,@,CIN,W 24-14,,,,,,,,,,,,,,,,,,
108,1984,1984-09-30,5,29.244,RAM,,NYG,W 33-12,,,,,,,,,,,,,,,,,,
109,1984,1984-10-07,6,29.251,RAM,,ATL,L 28-30,,,,,,,,,,,,,,,,,,
110,1984,1984-10-14,7,29.258,RAM,@,NOR,W 28-10,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,2,54,1
111,1984,1984-10-22,8,29.266,RAM,@,ATL,W 24-10,,,,,,,,,,,,,,,,,,
112,1984,1984-10-28,9,29.272,RAM,,SFO,L 0-33,,,,,,,,,,,,,,,,,,
113,1984,1984-11-04,10,29.279,RAM,@,STL,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
114,1984,1984-11-11,11,29.286,RAM,,CHI,W 29-13,,,,,,,,,,,,,,,,,,
115,1985,1985-09-08,1,30.221,RAM,,DEN,W 20-16,,,,,0,0,,0,,,,,,,,,,
116,1985,1985-09-15,2,30.228,RAM,@,PHI,W 17-6,,,,,0,0,,0,,,,,,,,,,
117,1985,1985-09-23,3,30.236,RAM,@,SEA,W 35-24,0,0,,0,1,3,3.00,0,0,0,,0,0,0,0.0,0,0,0
118,1985,1985-09-29,4,30.242,RAM,,ATL,W 17-6,,,,,0,0,,0,,,,,,,,,,
119,1985,1985-10-06,5,30.249,RAM,,MIN,W 13-10,,,,,0,0,,0,,,,,,,,,,
120,1985,1985-10-13,6,30.256,RAM,@,TAM,W 31-27,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,5,0
121,1985,1985-10-20,7,30.263,RAM,@,KAN,W 16-0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
122,1985,1985-10-27,8,30.270,RAM,,SFO,L 14-28,,,,,0,0,,0,,,,,,,,,,
123,1985,1985-11-03,9,30.277,RAM,,NOR,W 28-10,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
124,1985,1985-11-10,10,30.284,RAM,@,NYG,L 19-24,,,,,0,0,,0,,,,,,,,,,
125,1985,1985-11-17,11,30.291,RAM,@,ATL,L 14-30,,,,,0,0,,0,,,,,,,,,,
126,1985,1985-11-24,12,30.298,RAM,,GNB,W 34-17,,,,,0,0,,0,,,,,,,,,,
127,1985,1985-12-01,13,30.305,RAM,@,NOR,L 3-29,,,,,0,0,,0,,,,,,,,,,
128,1985,1985-12-09,14,30.313,RAM,@,SFO,W 27-20,,,,,0,0,,0,,,,,,,,,,
129,1985,1985-12-15,15,30.319,RAM,,STL,W 46-14,,,,,0,0,,0,,,,,,,,,,
130,1985,1985-12-23,16,30.327,RAM,,RAI,L 6-16,,,,,0,0,,0,,,,,,,,,,
131,1986,1986-09-07,1,31.220,RAM,@,STL,W 16-10,,,,,,,,,,,,,,,,,,
132,1986,1986-09-14,2,31.227,RAM,,SFO,W 16-13,,,,,,,,,,,,,,,,,,
133,1986,1986-09-21,3,31.234,RAM,@,IND,W 24-7,,,,,,,,,,,,,,,,,,
134,1986,1986-09-28,4,31.241,RAM,@,PHI,L 20-34,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
135,1986,1986-10-05,5,31.248,RAM,,TAM,W 26-20,,,,,,,,,,,,,,,,,,
136,1986,1986-10-12,6,31.255,RAM,@,ATL,L 14-26,,,,,,,,,,,,,,,,,,
137,1986,1986-10-19,7,31.262,RAM,,DET,W 14-10,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,80,1
138,1986,1986-10-26,8,31.269,RAM,,ATL,W 14-7,,,,,,,,,,,,,,,,,,
139,1986,1986-11-03,9,31.277,RAM,@,CHI,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
140,1986,1986-11-09,10,31.283,RAM,@,NOR,L 0-6,,,,,,,,,,,,,,,,,,
141,1986,1986-11-16,11,31.290,RAM,,NWE,L 28-30,,,,,,,,,,,,,,,,,,
142,1986,1986-11-23,12,31.297,RAM,,NOR,W 26-13,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,21,0
143,1986,1986-11-30,13,31.304,RAM,@,NYJ,W 17-3,,,,,,,,,,,,,,,,,,
144,1986,1986-12-07,14,31.311,RAM,,DAL,W 29-10,,,,,,,,,,,,,,,,,,
145,1986,1986-12-14,15,31.318,RAM,,MIA,L 31-37,,,,,,,,,,,,,,,,,,
146,1986,1986-12-19,16,31.323,RAM,@,SFO,L 14-24,,,,,,,,,,,,,,,,,,
147,1987,1987-09-13,1,32.226,RAM,@,HOU,L 16-20,,,,,,,,,,,,,,,,,,
148,1987,1987-09-20,2,32.233,RAM,,MIN,L 16-21,,,,,,,,,,,,,,,,,,
149,1987,1987-10-04,3,32.247,RAM,@,NOR,L 10-37,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
150,1987,1987-10-11,4,32.254,RAM,,PIT,W 31-21,,,,,,,,,,,,,,,,,,
151,1987,1987-10-18,5,32.261,RAM,@,ATL,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
152,1987,1987-10-26,6,32.269,RAM,@,CLE,L 17-30,,,,,,,,,,,,,,,,,,
153,1987,1987-11-01,7,32.275,RAM,,SFO,L 10-31,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,28,0
154,1987,1987-11-08,8,32.282,RAM,,NOR,L 14-31,,,,,,,,,,,,,,,,,,
155,1987,1987-11-15,9,32.289,RAM,@,STL,W 27-24,,,,,,,,,,,,,,,,,,
156,1987,1987-11-23,10,32.297,RAM,@,WAS,W 30-26,,,,,,,,,,,,,,,,,,
157,1987,1987-11-29,11,32.303,RAM,,TAM,W 35-3,,,,,,,,,,,,,,,,,,
158,1987,1987-12-06,12,32.310,RAM,@,DET,W 37-16,,,,,,,,,,,,,,,,,,
159,1987,1987-12-13,13,32.317,RAM,,ATL,W 33-0,,,,,,,,,,,,,,,,,,
160,1987,1987-12-21,14,32.325,RAM,,DAL,L 21-29,,,,,,,,,,,,,,,,,,
161,1987,1987-12-27,15,32.331,RAM,@,SFO,L 0-48,,,,,,,,,,,,,,,,,,
