ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
13,1976,1976-10-24,7,26.219,KAN,,DEN,L 26-35,,3,6,50.00,44,0,1,34.7,0,0,7.33,-0.17,1,4,4.00,0,0,0,,0
14,1976,1976-10-31,8,26.226,KAN,@,TAM,W 28-19,,,,,,,,,,,,,,,,,,,,
15,1976,1976-11-07,9,26.233,KAN,,PIT,L 0-45,,,,,,,,,,,,,,,,,,,,
16,1976,1976-11-14,10,26.240,KAN,@,OAK,L 10-21,,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,0,0,,0,0,0,,0
17,1976,1976-11-21,11,26.247,KAN,,CIN,L 24-27,,,,,,,,,,,,,,,,,,,,
18,1976,1976-11-28,12,26.254,KAN,@,SDG,W 23-20,,,,,,,,,,,,,,,,,,,,
19,1976,1976-12-05,13,26.261,KAN,@,DEN,L 16-17,,,,,,,,,,,,,,,,,,,,
20,1976,1976-12-12,14,26.268,KAN,,CLE,W 39-14,,15,29,51.72,201,1,0,85.6,0,0,6.93,7.62,2,13,6.50,0,0,0,,0
21,1977,1977-09-18,1,27.183,KAN,@,NWE,L 17-21,,,,,,,,,,,,,,,,,,,,
22,1977,1977-09-25,2,27.190,KAN,,SDG,L 7-23,,1,2,50.00,14,0,0,72.9,0,0,7.00,7.00,0,0,,0,0,0,,0
23,1977,1977-10-03,3,27.198,KAN,,OAK,L 28-37,,,,,,,,,,,,,,,,,,,,
24,1977,1977-10-09,4,27.204,KAN,@,DEN,L 7-23,,10,18,55.56,81,0,2,27.5,0,0,4.50,-0.50,0,0,,0,0,0,,0
25,1977,1977-10-16,5,27.211,KAN,,BAL,L 6-17,,,,,,,,,,,,,,,,,,,,
26,1977,1977-10-23,6,27.218,KAN,@,SDG,W 21-16,*,15,26,57.69,215,1,0,97.4,0,0,8.27,9.04,2,8,4.00,0,0,0,,0
27,1977,1977-10-30,7,27.225,KAN,@,CLE,L 7-44,*,2,10,20.00,31,0,2,0.4,0,0,3.10,-5.90,1,0,0.00,0,0,0,,0
28,1977,1977-11-06,8,27.232,KAN,,GNB,W 20-10,,,,,,,,,,,,,,,,,,,,
29,1977,1977-11-13,9,27.239,KAN,@,CHI,L 27-28,,,,,,,,,,,,,,,,,,,,
30,1977,1977-11-20,10,27.246,KAN,,DEN,L 7-14,,,,,,,,,,,,,,,,,,,,
31,1977,1977-11-27,11,27.253,KAN,@,HOU,L 20-34,,2,4,50.00,84,1,1,95.8,0,0,21.00,14.75,0,0,,0,0,0,,0
32,1977,1977-12-04,12,27.260,KAN,,CIN,L 7-27,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,5,5.00,0,0,0,,0
33,1977,1977-12-11,13,27.267,KAN,,SEA,L 31-34,,7,13,53.85,135,0,2,50.6,0,0,10.38,3.46,0,0,,0,0,0,,0
34,1977,1977-12-18,14,27.274,KAN,@,OAK,L 20-21,*,10,18,55.56,131,0,4,39.1,0,0,7.28,-2.72,1,8,8.00,0,0,0,,0
35,1978,1978-09-03,1,28.168,KAN,@,CIN,W 24-23,,6,10,60.00,66,0,0,79.6,0,0,6.60,6.60,3,4,1.33,0,0,0,,0
36,1978,1978-09-10,2,28.175,KAN,,HOU,L 17-20,,,,,,,,,,,,,,,,,,,,
37,1978,1978-09-17,3,28.182,KAN,@,NYG,L 10-26,,,,,,,,,,,,,,,,,,,,
38,1978,1978-09-24,4,28.189,KAN,,DEN,L 17-23,,,,,,,,,,,,,,,,,,,,
39,1978,1978-10-01,5,28.196,KAN,@,BUF,L 13-28,,7,12,58.33,80,0,0,78.5,0,0,6.67,6.67,0,0,,0,0,0,,0
40,1978,1978-10-08,6,28.203,KAN,,TAM,L 13-30,*,15,28,53.57,136,1,2,49.1,0,0,4.86,2.36,4,10,2.50,0,0,0,,0
41,1978,1978-10-15,7,28.210,KAN,@,OAK,L 6-28,*,16,29,55.17,133,1,1,64.3,0,0,4.59,3.72,2,1,0.50,0,0,0,,0
42,1978,1978-10-22,8,28.217,KAN,,CLE,W 17-3,,,,,,,,,,,,,,,,,,,,
43,1978,1978-10-29,9,28.224,KAN,@,PIT,L 24-27,,,,,,,,,,,,,,,,,,,,
44,1978,1978-11-05,10,28.231,KAN,,OAK,L 10-20,,,,,,,,,,,,,,,,,,,,
45,1978,1978-11-12,11,28.238,KAN,@,SDG,L 23-29,,,,,,,,,,,,,,,,,,,,
46,1978,1978-11-19,12,28.245,KAN,,SEA,L 10-13,,,,,,,,,,,,,,,,,,,,
47,1978,1978-11-26,13,28.252,KAN,,SDG,W 23-0,,,,,,,,,,,,,,,,,,,,
48,1978,1978-12-03,14,28.259,KAN,,BUF,W 14-10,,,,,,,,,,,,,,,,,,,,
49,1978,1978-12-10,15,28.266,KAN,@,DEN,L 3-24,,,,,,,,,,,,,,,,,,,,
50,1978,1978-12-17,16,28.273,KAN,@,SEA,L 19-23,,,,,,,,,,,,,,,,,,,,
51,1987,1987-10-04,3,37.199,MIN,,GNB,L 16-23,*,14,23,60.87,234,1,1,91.6,3,17,10.17,9.09,5,19,3.80,0,0,0,,0
52,1987,1987-10-11,4,37.206,MIN,@,CHI,L 7-27,*,15,29,51.72,178,1,0,82.3,8,60,6.14,6.83,4,10,2.50,0,0,0,,0
53,1987,1987-10-18,5,37.213,MIN,@,TAM,L 10-20,*,20,37,54.05,195,1,4,38.5,7,43,5.27,0.95,2,2,1.00,0,0,0,,0
