ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
57,2000,2000-12-10,14,27.123,TEN,,CIN,W 35-3,*,,,,,,,,,
58,2000,2000-12-17,15,27.130,TEN,@,CLE,W 24-0,*,,,,,,,,,
59,2000,2000-12-25,16,27.138,TEN,,DAL,W 31-0,*,1,0,0.00,0,0,0,1,0,0
60,2001,2001-09-10,1,28.032,DEN,,NYG,W 31-20,*,,,,,,,,,
61,2001,2001-09-23,2,28.045,DEN,@,ARI,W 38-17,*,0,0,,0,0,0,1,21,0
62,2001,2001-09-30,3,28.052,DEN,,BAL,L 13-20,*,,,,,,,,,
63,2001,2001-10-07,4,28.059,DEN,,KAN,W 20-6,*,,,,,,,,,
64,2001,2001-10-14,5,28.066,DEN,@,SEA,L 21-34,*,,,,,,,,,
65,2001,2001-10-21,6,28.073,DEN,@,SDG,L 10-27,*,,,,,,,,,
66,2001,2001-10-28,7,28.080,DEN,,NWE,W 31-20,*,0,0,,0,1,6,2,39,1
67,2001,2001-11-05,8,28.088,DEN,@,OAK,L 28-38,*,,,,,,,,,
68,2001,2001-11-11,9,28.094,DEN,,SDG,W 26-16,*,,,,,,,,,
69,2001,2001-11-18,10,28.101,DEN,,WAS,L 10-17,*,,,,,,,,,
70,2001,2001-11-22,11,28.105,DEN,@,DAL,W 26-24,*,,,,,,,,,
71,2001,2001-12-02,12,28.115,DEN,@,MIA,L 10-21,*,,,,,,,,,
72,2001,2001-12-09,13,28.122,DEN,,SEA,W 20-7,*,,,,,,,,,
73,2001,2001-12-16,14,28.129,DEN,@,KAN,L 23-26,*,,,,,,,,,
74,2001,2001-12-30,15,28.143,DEN,,OAK,W 23-17,,,,,,,,,,
75,2001,2002-01-06,16,28.150,DEN,@,IND,L 10-29,*,,,,,,,,,
76,2002,2002-09-08,1,29.030,DEN,,STL,W 23-16,*,,,,,,,,,
77,2002,2002-09-15,2,29.037,DEN,@,SFO,W 24-14,*,,,,,,,,,
78,2002,2002-09-22,3,29.044,DEN,,BUF,W 28-23,*,,,,,,,,,
79,2002,2002-09-30,4,29.052,DEN,@,BAL,L 23-34,*,,,,,,,,,
80,2002,2002-10-06,5,29.058,DEN,,SDG,W 26-9,*,,,,,,,,,
81,2002,2002-10-13,6,29.065,DEN,,MIA,L 22-24,*,,,,,,,,,
82,2002,2002-10-20,7,29.072,DEN,@,KAN,W 37-34,*,,,,,,,,,
83,2002,2002-10-27,8,29.079,DEN,@,NWE,W 24-16,*,,,,,,,,,
84,2002,2002-11-11,9,29.094,DEN,,OAK,L 10-34,*,,,,,,,,,
85,2002,2002-11-17,10,29.100,DEN,@,SEA,W 31-9,*,0,0,,0,0,0,1,8,0
86,2002,2002-11-24,11,29.107,DEN,,IND,L 20-23,*,,,,,,,,,
87,2002,2002-12-01,12,29.114,DEN,@,SDG,L 27-30,*,,,,,,,,,
88,2002,2002-12-08,13,29.121,DEN,@,NYJ,L 13-19,*,,,,,,,,,
89,2002,2002-12-15,14,29.128,DEN,,KAN,W 31-24,*,,,,,,,,,
90,2002,2002-12-22,15,29.135,DEN,@,OAK,L 16-28,*,,,,,,,,,
91,2002,2002-12-29,16,29.142,DEN,,ARI,W 37-7,*,,,,,,,,,
92,2003,2003-09-07,1,30.029,MIN,@,GNB,W 30-25,*,,,,,,,,,
93,2003,2003-09-14,2,30.036,MIN,,CHI,W 24-13,*,,,,,,,,,
94,2003,2003-09-21,3,30.043,MIN,@,DET,W 23-13,*,0,0,,0,0,0,1,0,0
95,2003,2003-09-28,4,30.050,MIN,,SFO,W 35-7,*,,,,,,,,,
96,2003,2003-10-05,5,30.057,MIN,@,ATL,W 39-26,*,,,,,,,,,
97,2003,2003-10-19,6,30.071,MIN,,DEN,W 28-20,*,,,,,,,,,
98,2003,2003-10-26,7,30.078,MIN,,NYG,L 17-29,*,,,,,,,,,
99,2003,2003-11-02,8,30.085,MIN,,GNB,L 27-30,*,,,,,,,,,
100,2003,2003-11-09,9,30.092,MIN,@,SDG,L 28-42,,,,,,,,,,
101,2003,2003-11-16,10,30.099,MIN,@,OAK,L 18-28,,,,,,,,,,
102,2003,2003-11-23,11,30.106,MIN,,DET,W 24-14,,,,,,,,,,
103,2003,2003-11-30,12,30.113,MIN,@,STL,L 17-48,,,,,,,,,,
104,2003,2003-12-07,13,30.120,MIN,,SEA,W 34-7,,,,,,,,,,
105,2003,2003-12-14,14,30.127,MIN,@,CHI,L 10-13,,,,,,,,,,
106,2003,2003-12-20,15,30.133,MIN,,KAN,W 45-20,,,,,,,,,,
107,2003,2003-12-28,16,30.141,MIN,@,ARI,L 17-18,,,,,,,,,,
108,2004,2004-09-12,1,31.034,OAK,@,PIT,L 21-24,,,,,,,,,,
109,2004,2004-09-19,2,31.041,OAK,,BUF,W 13-10,,,,,,,,,,
110,2004,2004-09-26,3,31.048,OAK,,TAM,W 30-20,*,,,,,,,,,
111,2004,2004-10-03,4,31.055,OAK,@,HOU,L 17-30,*,,,,,,,,,
112,2004,2004-10-10,5,31.062,OAK,@,IND,L 14-35,,,,,,,,,,
113,2004,2004-10-17,6,31.069,OAK,,DEN,L 3-31,,,,,,,,,,
114,2004,2004-10-24,7,31.076,OAK,,NOR,L 26-31,,,,,,,,,,
115,2004,2004-10-31,8,31.083,OAK,@,SDG,L 14-42,,,,,,,,,,
116,2004,2004-11-07,9,31.090,OAK,@,CAR,W 27-24,,,,,,,,,,
117,2004,2004-11-21,10,31.104,OAK,,SDG,L 17-23,,,,,,,,,,
118,2004,2004-11-28,11,31.111,OAK,@,DEN,W 25-24,*,,,,,,,,,
119,2004,2004-12-05,12,31.118,OAK,,KAN,L 27-34,,,,,,,,,,
120,2004,2004-12-12,13,31.125,OAK,@,ATL,L 10-35,,,,,,,,,,
121,2004,2004-12-19,14,31.132,OAK,,TEN,W 40-35,,0,0,,0,0,0,1,45,0
122,2004,2004-12-25,15,31.138,OAK,@,KAN,L 30-31,*,,,,,,,,,
123,2004,2005-01-02,16,31.146,OAK,,JAX,L 6-13,*,,,,,,,,,
124,2005,2005-10-30,7,32.082,OAK,@,TEN,W 34-25,,,,,,,,,,
125,2005,2005-11-06,8,32.089,OAK,@,KAN,L 23-27,,,,,,,,,,
126,2005,2005-11-13,9,32.096,OAK,,DEN,L 17-31,,,,,,,,,,
127,2005,2005-11-27,11,32.110,OAK,,MIA,L 21-33,,,,,,,,,,
128,2005,2005-12-04,12,32.117,OAK,@,SDG,L 10-34,,,,,,,,,,
129,2005,2005-12-11,13,32.124,OAK,@,NYJ,L 10-26,,,,,,,,,,
130,2005,2005-12-18,14,32.131,OAK,,CLE,L 7-9,,,,,,,,,,
131,2005,2005-12-24,15,32.137,OAK,@,DEN,L 3-22,,,,,,,,,,
132,2005,2005-12-31,16,32.144,OAK,,NYG,L 21-30,,,,,,,,,,
