ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
12,2008,2008-11-30,12,23.197,ATL,@,SDG,W 22-16,*,17,23,73.91,207,2,0,130.2,0,0,9.00,10.74,4,-3,-0.75,0,,0,0,0.0,0,0
13,2008,2008-12-07,13,23.204,ATL,@,NOR,L 25-29,*,24,33,72.73,315,1,1,99.9,0,0,9.55,8.79,4,13,3.25,1,1,1,8,0.0,0,0
14,2008,2008-12-14,14,23.211,ATL,,TAM,W 13-10,*,15,23,65.22,206,0,2,57.5,1,8,8.96,5.04,6,19,3.17,0,,0,0,0.0,0,0
15,2008,2008-12-21,15,23.218,ATL,@,MIN,W 24-17,*,13,24,54.17,134,1,0,84.4,2,10,5.58,6.42,3,2,0.67,0,,0,0,0.0,0,0
16,2008,2008-12-28,16,23.225,ATL,,STL,W 31-27,*,10,21,47.62,160,1,2,49.8,1,6,7.62,4.29,4,-1,-0.25,0,,0,0,0.0,0,0
17,2009,2009-09-13,1,24.119,ATL,,MIA,W 19-7,*,22,36,61.11,229,2,0,98.0,2,16,6.36,7.47,3,-4,-1.33,0,,0,0,0.0,0,0
18,2009,2009-09-20,2,24.126,ATL,,CAR,W 28-20,*,21,27,77.78,220,3,1,122.2,0,0,8.15,8.70,2,3,1.50,0,,0,0,0.0,0,0
19,2009,2009-09-27,3,24.133,ATL,@,NWE,L 10-26,*,17,28,60.71,199,0,0,82.3,0,0,7.11,7.11,1,-1,-1.00,0,,0,0,0.0,0,0
20,2009,2009-10-11,4,24.147,ATL,@,SFO,W 45-10,*,22,32,68.75,329,2,1,110.0,0,0,10.28,10.13,2,3,1.50,1,,1,6,0.0,0,0
21,2009,2009-10-18,5,24.154,ATL,,CHI,W 21-14,*,19,33,57.58,185,2,2,68.4,0,0,5.61,4.09,3,8,2.67,0,,0,0,0.0,0,0
22,2009,2009-10-25,6,24.161,ATL,@,DAL,L 21-37,*,19,35,54.29,198,2,2,66.1,4,24,5.66,4.23,1,6,6.00,0,,0,0,0.0,0,0
23,2009,2009-11-02,7,24.169,ATL,@,NOR,L 27-35,*,19,42,45.24,289,1,3,46.6,3,8,6.88,4.14,3,9,3.00,0,,0,0,0.0,0,0
24,2009,2009-11-08,8,24.175,ATL,,WAS,W 31-17,*,17,24,70.83,135,1,1,81.1,3,10,5.63,4.58,5,6,1.20,0,,0,0,0.0,0,0
25,2009,2009-11-15,9,24.182,ATL,@,CAR,L 19-28,*,22,41,53.66,224,1,2,57.4,0,0,5.46,3.76,2,4,2.00,0,,0,0,0.0,0,0
26,2009,2009-11-22,10,24.189,ATL,@,NYG,L 31-34,*,26,46,56.52,268,2,0,88.0,2,6,5.83,6.70,5,14,2.80,0,,0,0,0.0,0,0
