ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
36,1996,1996-10-13,6,25.283,CIN,@,PIT,L 10-20,,14,51,3.64,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
37,1996,1996-10-20,7,25.290,CIN,@,SFO,L 21-28,,21,88,4.19,0,2,2,25,12.50,1,100.0%,12.50,0,0,,0,0,0,,,,,,1,6
38,1996,1996-10-27,8,25.297,CIN,,JAX,W 28-21,,8,18,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
39,1996,1996-11-03,9,25.304,CIN,@,BAL,W 24-21,,23,80,3.48,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
40,1996,1996-11-10,10,25.311,CIN,,PIT,W 34-24,,19,61,3.21,0,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0,,,,,,0,0
41,1996,1996-11-17,11,25.318,CIN,@,BUF,L 17-31,,11,55,5.00,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,,,,,0,0
42,1996,1996-11-24,12,25.325,CIN,,ATL,W 41-31,,23,67,2.91,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
43,1996,1996-12-01,13,25.332,CIN,@,JAX,L 27-30,,18,78,4.33,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,,,,,0,0
44,1996,1996-12-08,14,25.339,CIN,,BAL,W 21-14,,20,50,2.50,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0
45,1996,1996-12-15,15,25.346,CIN,@,HOU,W 21-13,,11,24,2.18,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0
46,1996,1996-12-22,16,25.353,CIN,,IND,W 31-24,,17,93,5.47,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
47,1997,1997-08-31,1,26.239,SFO,@,TAM,L 6-13,,18,84,4.67,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,,,,,0,0
48,1997,1997-09-07,2,26.246,SFO,@,STL,W 15-12,,16,92,5.75,1,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,,,,,1,6
49,1997,1997-09-14,3,26.253,SFO,,NOR,W 33-7,,14,29,2.07,0,4,4,23,5.75,1,100.0%,5.75,0,0,,0,0,0,,,,,,1,6
50,1997,1997-09-21,4,26.260,SFO,,ATL,W 34-7,,10,33,3.30,0,3,2,83,41.50,0,66.7%,27.67,0,0,,0,0,0,,,,,,0,0
51,1997,1997-09-29,5,26.268,SFO,@,CAR,W 34-21,,28,141,5.04,1,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,,,,,,1,6
52,1997,1997-10-12,6,26.281,SFO,,STL,W 30-10,,18,81,4.50,0,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,,,,,0,0
53,1997,1997-10-19,7,26.288,SFO,@,ATL,W 35-28,,18,105,5.83,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
54,1997,1997-10-26,8,26.295,SFO,@,NOR,W 23-0,,17,53,3.12,0,3,2,24,12.00,1,66.7%,8.00,0,0,,0,0,0,,,,,,1,6
55,1997,1997-11-02,9,26.302,SFO,,DAL,W 17-10,,22,104,4.73,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,1,6
56,1997,1997-11-10,10,26.310,SFO,@,PHI,W 24-12,,26,77,2.96,1,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0,,,,,,1,6
57,1997,1997-11-16,11,26.316,SFO,,CAR,W 27-19,,18,48,2.67,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,0,0
58,1997,1997-11-23,12,26.323,SFO,,SDG,W 17-10,,22,87,3.95,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,,,,,0,0
59,1997,1997-11-30,13,26.330,SFO,@,KAN,L 9-44,,7,85,12.14,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
60,1998,1998-09-06,1,27.245,SFO,,NYJ,W 36-30,,20,187,9.35,2,7,2,38,19.00,0,28.6%,5.43,0,0,,0,0,0,,0,0,,,2,12
61,1998,1998-09-14,2,27.253,SFO,@,WAS,W 45-10,,22,138,6.27,1,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,1,6
62,1998,1998-09-27,3,27.266,SFO,,ATL,W 31-20,,18,57,3.17,0,4,4,105,26.25,0,100.0%,26.25,0,0,,0,0,0,,0,0,,,0,0
63,1998,1998-10-04,4,27.273,SFO,@,BUF,L 21-26,,12,28,2.33,0,7,5,38,7.60,0,71.4%,5.43,0,0,,0,0,0,,0,0,,,0,0
64,1998,1998-10-11,5,27.280,SFO,@,NOR,W 31-0,,22,71,3.23,0,2,2,66,33.00,1,100.0%,33.00,0,0,,0,0,0,,0,0,,,1,6
65,1998,1998-10-18,6,27.287,SFO,,IND,W 34-31,,15,65,4.33,0,7,6,33,5.50,0,85.7%,4.71,0,0,,0,0,0,,0,0,,,0,0
66,1998,1998-10-25,7,27.294,SFO,@,STL,W 28-10,,20,58,2.90,0,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,,,0,0
67,1998,1998-11-01,8,27.301,SFO,@,GNB,L 22-36,,17,99,5.82,1,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,,,1,6
68,1998,1998-11-08,9,27.308,SFO,,CAR,W 25-23,,22,90,4.09,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,,,0,0
69,1998,1998-11-15,10,27.315,SFO,@,ATL,L 19-31,,16,56,3.50,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,0,0,,,0,0
70,1998,1998-11-22,11,27.322,SFO,,NOR,W 31-20,,25,90,3.60,0,4,4,103,25.75,1,100.0%,25.75,0,0,,0,0,0,,0,0,,,1,6
71,1998,1998-11-30,12,27.330,SFO,,NYG,W 31-7,,20,166,8.30,1,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,,,1,6
72,1998,1998-12-06,13,27.336,SFO,@,CAR,W 31-28,,20,139,6.95,1,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,,,1,6
73,1998,1998-12-14,14,27.344,SFO,,DET,W 35-13,,24,198,8.25,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,1,6
74,1998,1998-12-20,15,27.350,SFO,@,NWE,L 21-24,,27,107,3.96,0,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,,0,0,,,0,0
75,1998,1998-12-27,16,27.357,SFO,,STL,W 38-19,,10,21,2.10,0,3,3,58,19.33,0,100.0%,19.33,0,0,,0,0,0,,0,0,,,0,0
76,2001,2001-09-09,1,30.248,SFO,,ATL,W 16-13,*,14,48,3.43,0,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0
77,2001,2001-09-23,2,30.262,SFO,,STL,L 26-30,*,4,10,2.50,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0
78,2001,2001-10-01,3,30.270,SFO,@,NYJ,W 19-17,*,20,95,4.75,0,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0,,,,,,0,0
79,2001,2001-10-07,4,30.276,SFO,,CAR,W 24-14,*,18,74,4.11,0,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,,,,,0,0
80,2001,2001-10-14,5,30.283,SFO,@,ATL,W 37-31,*,12,78,6.50,0,5,5,35,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0
81,2001,2001-10-28,6,30.297,SFO,@,CHI,L 31-37,*,12,46,3.83,0,4,4,105,26.25,1,100.0%,26.25,0,0,,0,0,0,,,,,,1,6
82,2001,2001-11-04,7,30.304,SFO,,DET,W 21-13,*,21,82,3.90,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0
83,2001,2001-11-11,8,30.311,SFO,,NOR,W 28-27,*,17,145,8.53,0,7,3,15,5.00,0,42.9%,2.14,0,0,,0,0,0,,,,,,0,0
84,2001,2001-11-18,9,30.318,SFO,@,CAR,W 25-22,*,17,92,5.41,0,7,6,21,3.50,0,85.7%,3.00,0,0,,0,0,0,,,,,,0,0
85,2001,2001-11-25,10,30.325,SFO,@,IND,W 40-21,*,12,106,8.83,2,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,,,,,2,12
86,2001,2001-12-02,11,30.332,SFO,,BUF,W 35-0,*,25,124,4.96,1,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,,,,,1,6
87,2001,2001-12-09,12,30.339,SFO,@,STL,L 14-27,*,11,39,3.55,1,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,,,,,1,6
88,2001,2001-12-16,13,30.346,SFO,,MIA,W 21-0,*,26,103,3.96,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,,,,,0,0
89,2001,2001-12-22,14,30.352,SFO,,PHI,W 13-3,*,17,72,4.24,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0
90,2001,2001-12-30,15,30.360,SFO,@,DAL,L 21-27,*,11,35,3.18,0,3,2,3,1.50,0,66.7%,1.00,0,0,,0,0,0,,,,,,0,0
91,2001,2002-01-06,16,31.002,SFO,@,NOR,W 38-0,*,15,57,3.80,0,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,,,,,0,0
92,2002,2002-09-05,1,31.244,SFO,@,NYG,W 16-13,*,12,40,3.33,0,3,2,10,5.00,1,66.7%,3.33,0,0,,0,0,0,,,,,,1,6
93,2002,2002-09-15,2,31.254,SFO,,DEN,L 14-24,*,5,5,1.00,0,8,6,30,5.00,0,75.0%,3.75,0,0,,0,0,0,,,,,,0,0
94,2002,2002-09-22,3,31.261,SFO,,WAS,W 20-10,*,19,97,5.11,0,6,3,25,8.33,0,50.0%,4.17,0,0,,0,0,0,,,,,,0,0
95,2002,2002-10-06,4,31.275,SFO,,STL,W 37-13,*,13,116,8.92,1,4,4,17,4.25,0,100.0%,4.25,0,0,,0,0,0,,,,,,1,6
96,2002,2002-10-14,5,31.283,SFO,@,SEA,W 28-21,*,10,41,4.10,0,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,,,,,0,0
97,2002,2002-10-20,6,31.289,SFO,@,NOR,L 27-35,*,14,87,6.21,2,6,4,43,10.75,0,66.7%,7.17,0,0,,0,0,0,,,,,,2,12
98,2002,2002-10-27,7,31.296,SFO,,ARI,W 38-28,*,5,35,7.00,0,5,3,16,5.33,0,60.0%,3.20,0,0,,0,0,0,,,,,,0,0
99,2002,2002-11-03,8,31.303,SFO,@,OAK,W 23-20,*,18,36,2.00,0,5,3,12,4.00,0,60.0%,2.40,0,0,,0,0,0,,,,,,0,0
100,2002,2002-11-10,9,31.310,SFO,,KAN,W 17-13,*,15,69,4.60,1,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,1,6
101,2002,2002-11-17,10,31.317,SFO,@,SDG,L 17-20,*,12,66,5.50,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,,,,,0,0
102,2002,2002-11-25,11,31.325,SFO,,PHI,L 17-38,*,10,65,6.50,0,6,4,31,7.75,0,66.7%,5.17,0,0,,0,0,0,,,,,,0,0
103,2002,2002-12-01,12,31.331,SFO,,SEA,W 31-24,*,31,124,4.00,3,5,2,28,14.00,0,40.0%,5.60,0,0,,0,0,0,,,,,,3,18
104,2002,2002-12-08,13,31.338,SFO,@,DAL,W 31-27,*,9,35,3.89,0,4,2,-2,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,,,,,0,0
105,2002,2002-12-15,14,31.345,SFO,,GNB,L 14-20,*,12,51,4.25,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0
106,2002,2002-12-21,15,31.351,SFO,@,ARI,W 17-14,*,11,38,3.45,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,1,6
107,2002,2002-12-30,16,31.360,SFO,@,STL,L 20-31,*,19,67,3.53,0,4,4,16,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0
108,2003,2003-09-07,1,32.246,SFO,,CHI,W 49-7,*,11,56,5.09,1,3,3,41,13.67,1,100.0%,13.67,0,0,,0,0,0,,,,,,2,12
109,2003,2003-09-14,2,32.253,SFO,@,STL,L 24-27,*,11,89,8.09,0,4,1,15,15.00,0,25.0%,3.75,0,0,,0,0,0,,,,,,0,0
110,2003,2003-09-21,3,32.260,SFO,,CLE,L 12-13,*,9,18,2.00,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0
111,2003,2003-09-28,4,32.267,SFO,@,MIN,L 7-35,*,13,56,4.31,0,6,6,31,5.17,0,100.0%,5.17,0,0,,0,0,0,,,,,,0,0
112,2003,2003-10-05,5,32.274,SFO,,DET,W 24-17,*,19,74,3.89,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0
113,2003,2003-10-12,6,32.281,SFO,@,SEA,L 19-20,*,16,62,3.88,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,1,6
114,2003,2003-10-19,7,32.288,SFO,,TAM,W 24-7,*,20,117,5.85,1,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,,,,,1,6
115,2003,2003-10-26,8,32.295,SFO,@,ARI,L 13-16,*,14,43,3.07,0,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,,,,,0,0
116,2003,2003-11-02,9,32.302,SFO,,STL,W 30-10,*,17,80,4.71,0,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,,,,,0,0
117,2003,2003-11-17,10,32.317,SFO,,PIT,W 30-14,*,20,67,3.35,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0
118,2003,2003-11-23,11,32.323,SFO,@,GNB,L 10-20,*,16,59,3.69,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,,,,,0,0
119,2003,2003-11-30,12,32.330,SFO,@,BAL,L 6-44,*,12,47,3.92,0,4,2,3,1.50,0,50.0%,0.75,0,0,,0,0,0,,,,,,0,0
120,2004,2004-09-12,1,33.252,DEN,,KAN,W 34-24,,2,5,2.50,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0
121,2004,2004-09-26,3,33.266,DEN,,SDG,W 23-13,,3,13,4.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
122,2004,2004-11-07,9,33.308,DEN,,HOU,W 31-13,,5,13,2.60,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
123,2004,2004-11-21,10,33.322,DEN,@,NOR,W 34-13,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
124,2004,2004-11-28,11,33.329,DEN,,OAK,L 24-25,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
125,2004,2004-12-19,14,33.350,DEN,@,KAN,L 17-45,,5,26,5.20,1,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,1,6
126,2004,2004-12-25,15,33.356,DEN,@,TEN,W 37-16,,4,22,5.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
