ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
39,1971,1971-10-03,3,26.023,BUF,@,MIN,L 0-19,,0,0,,0,0,0,,0,0,,,2,14,7.00,0,0,0,,0,0,0,,0,0,0
40,1971,1971-10-10,4,26.030,BUF,,BAL,L 0-43,,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,0,0,,0,0,0
41,1971,1971-10-17,5,26.037,BUF,@,NYJ,L 17-28,,1,1,100.00,36,0,0,118.7,0,0,36.00,36.00,1,12,12.00,1,0,0,,0,0,0,,0,1,6
42,1971,1971-10-23,6,26.043,BUF,@,SDG,L 3-20,,0,0,,0,0,0,,0,0,,,1,12,12.00,0,0,0,,0,0,0,,0,0,0
43,1971,1971-10-31,7,26.051,BUF,,STL,L 23-28,,0,0,,0,0,0,,0,0,,,3,56,18.67,0,0,0,,0,0,0,,0,0,0
44,1971,1971-11-07,8,26.058,BUF,@,MIA,L 0-34,,0,0,,0,0,0,,0,0,,,7,68,9.71,0,0,0,,0,0,0,,0,0,0
45,1971,1971-11-14,9,26.065,BUF,@,NWE,L 33-38,,0,0,,0,0,0,,0,0,,,6,44,7.33,1,0,0,,0,0,0,,0,1,6
46,1971,1971-11-21,10,26.072,BUF,,NYJ,L 7-20,,0,0,,0,0,0,,0,0,,,4,76,19.00,1,0,0,,0,0,0,,0,1,6
47,1971,1971-11-28,11,26.079,BUF,,NWE,W 27-20,,0,0,,0,0,0,,0,0,,,3,46,15.33,0,0,0,,0,0,0,,0,0,0
48,1971,1971-12-05,12,26.086,BUF,@,BAL,L 0-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,35,8.75,0,0,0,,0,0,0,,0,0,0
49,1971,1971-12-12,13,26.093,BUF,,HOU,L 14-20,,0,0,,0,0,0,,0,0,,,4,38,9.50,0,0,0,,0,0,0,,0,0,0
50,1971,1971-12-19,14,26.100,BUF,@,KAN,L 9-22,,0,0,,0,0,0,,0,0,,,3,40,13.33,0,0,0,,0,0,0,,0,0,0
51,1972,1972-09-17,1,27.007,MIA,@,KAN,W 20-10,,0,0,,0,0,0,,0,0,,,3,31,10.33,1,0,0,,0,0,0,,0,1,6
52,1972,1972-09-24,2,27.014,MIA,,HOU,W 34-13,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1972,1972-10-01,3,27.021,MIA,@,MIN,W 16-14,,1,1,100.00,22,0,0,118.7,0,0,22.00,22.00,3,20,6.67,0,0,0,,0,0,0,,0,0,0
54,1972,1972-10-29,7,27.049,MIA,@,BAL,W 23-0,,1,1,100.00,26,0,0,118.7,0,0,26.00,26.00,0,0,,0,0,0,,0,0,0,,0,0,0
55,1972,1972-11-05,8,27.056,MIA,@,BUF,W 30-16,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1972,1972-11-12,9,27.063,MIA,,NWE,W 52-0,,0,0,,0,0,0,,0,0,,,4,128,32.00,2,0,0,,0,0,0,,0,2,12
57,1972,1972-11-19,10,27.070,MIA,,NYJ,W 28-24,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1972,1972-11-27,11,27.078,MIA,,STL,W 31-10,,1,1,100.00,24,0,0,118.7,0,0,24.00,24.00,4,67,16.75,0,0,0,,0,0,0,,0,0,0
59,1972,1972-12-03,12,27.084,MIA,@,NWE,W 37-21,,0,0,,0,0,0,,0,0,,,2,33,16.50,1,0,0,,0,1,0,0.00,0,1,6
60,1972,1972-12-10,13,27.091,MIA,@,NYG,W 23-13,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1973,1973-09-16,1,28.006,MIA,,SFO,W 21-13,,0,0,,0,0,0,,0,0,,,2,32,16.00,0,0,0,,0,0,0,,0,0,0
62,1973,1973-09-23,2,28.013,MIA,@,OAK,L 7-12,,0,0,,0,0,0,,0,0,,,2,14,7.00,0,0,0,,0,0,0,,0,0,0
63,1973,1973-09-30,3,28.020,MIA,,NWE,W 44-23,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1973,1973-10-07,4,28.027,MIA,,NYJ,W 31-3,,0,0,,0,0,0,,0,0,,,6,98,16.33,1,0,0,,0,0,0,,0,1,6
65,1973,1973-10-15,5,28.035,MIA,@,CLE,W 17-9,,0,0,,0,0,0,,0,0,,,1,14,14.00,0,1,2,2.00,0,0,0,,0,0,0
66,1973,1973-10-21,6,28.041,MIA,,BUF,W 27-6,,0,0,,0,0,0,,0,0,,,1,12,12.00,0,0,0,,0,0,0,,0,0,0
67,1973,1973-10-28,7,28.048,MIA,@,NWE,W 30-14,,0,0,,0,0,0,,0,0,,,1,11,11.00,1,0,0,,0,0,0,,0,1,6
68,1973,1973-11-04,8,28.055,MIA,@,NYJ,W 24-14,,0,0,,0,0,0,,0,0,,,5,78,15.60,0,1,-7,-7.00,0,0,0,,0,0,0
69,1973,1973-11-11,9,28.062,MIA,,BAL,W 44-0,,0,0,,0,0,0,,0,0,,,3,48,16.00,0,0,0,,0,0,0,,0,0,0
70,1973,1973-11-18,10,28.069,MIA,@,BUF,W 17-0,,0,0,,0,0,0,,0,0,,,1,6,6.00,0,0,0,,0,0,0,,0,0,0
71,1973,1973-11-22,11,28.073,MIA,@,DAL,W 14-7,,0,0,,0,0,0,,0,0,,,4,54,13.50,0,0,0,,0,0,0,,0,0,0
72,1973,1973-12-03,12,28.084,MIA,,PIT,W 30-26,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1973,1973-12-09,13,28.090,MIA,@,BAL,L 3-16,,0,0,,0,0,0,,0,0,,,3,73,24.33,0,0,0,,0,0,0,,0,0,0
74,1973,1973-12-15,14,28.096,MIA,,DET,W 34-7,,0,0,,0,0,0,,0,0,,,1,7,7.00,0,0,0,,0,0,0,,0,0,0
75,1974,1974-09-15,1,29.005,MIA,@,NWE,L 24-34,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,9,113,12.56,1,1,17,17.00,0,0,0,,0,1,6
76,1974,1974-10-07,4,29.027,MIA,,NYJ,W 21-17,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1974,1974-10-13,5,29.033,MIA,@,WAS,L 17-20,,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,0,0,,0,0,0
78,1974,1974-10-20,6,29.040,MIA,,KAN,W 9-3,,0,0,,0,0,0,,0,0,,,1,4,4.00,0,0,0,,0,0,0,,0,0,0
79,1975,1975-09-21,1,30.011,SDG,,PIT,L 0-37,,0,0,,0,0,0,,0,0,,,1,11,11.00,0,0,0,,0,0,0,,0,0,0
80,1975,1975-09-28,2,30.018,SDG,@,HOU,L 17-33,,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,,0,0,0,,0,0,0
81,1975,1975-10-05,3,30.025,SDG,,OAK,L 0-6,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1975,1975-10-26,6,30.046,DET,@,HOU,L 8-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,39,13.00,0,1,6,6.00,0,0,0,,0,0,0
83,1975,1975-11-02,7,30.053,DET,@,SFO,W 28-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,11,11.00,0,0,0,,0,0,0,,0,0,0
84,1975,1975-11-09,8,30.060,DET,,CLE,W 21-10,,0,0,,0,0,0,,0,0,,,4,51,12.75,0,1,-9,-9.00,0,0,0,,0,0,0
85,1975,1975-11-16,9,30.067,DET,,GNB,W 13-10,,0,0,,0,0,0,,0,0,,,1,8,8.00,0,0,0,,0,0,0,,0,0,0
86,1975,1975-11-27,11,30.078,DET,,RAM,L 0-20,,0,0,,0,0,0,,0,0,,,2,36,18.00,0,0,0,,0,0,0,,0,0,0
87,1975,1975-12-07,12,30.088,DET,@,CHI,L 21-25,,0,0,,0,0,0,,0,0,,,5,119,23.80,2,0,0,,0,0,0,,0,2,12
88,1975,1975-12-14,13,30.095,DET,,MIN,W 17-10,,0,0,,0,0,0,,0,0,,,4,45,11.25,1,0,0,,0,0,0,,0,1,6
89,1975,1975-12-21,14,30.102,DET,,STL,L 13-24,,0,0,,0,0,0,,0,0,,,2,38,19.00,1,0,0,,0,0,0,,0,1,6
90,1976,1976-09-12,1,31.002,NWE,,BAL,L 13-27,,0,0,,0,0,0,,0,0,,,2,37,18.50,0,0,0,,0,0,0,,0,0,0
91,1976,1976-09-19,2,31.009,NWE,,MIA,W 30-14,,0,0,,0,0,0,,0,0,,,3,27,9.00,0,0,0,,0,0,0,,0,0,0
92,1976,1976-09-26,3,31.016,NWE,@,PIT,W 30-27,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1976,1976-10-03,4,31.023,NWE,,OAK,W 48-17,,0,0,,0,0,0,,0,0,,,1,16,16.00,1,0,0,,0,0,0,,0,1,6
94,1976,1976-10-10,5,31.030,NWE,@,DET,L 10-30,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1976,1976-10-18,6,31.038,NWE,,NYJ,W 41-7,,0,0,,0,0,0,,0,0,,,1,13,13.00,0,0,0,,0,0,0,,0,0,0
96,1976,1976-10-24,7,31.044,NWE,@,BUF,W 26-22,,0,0,,0,0,0,,0,0,,,1,11,11.00,0,0,0,,0,0,0,,0,0,0
97,1976,1976-10-31,8,31.051,NWE,@,MIA,L 3-10,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1976,1976-11-07,9,31.058,NWE,,BUF,W 20-10,,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,,0,0,0,,0,0,0
99,1976,1976-11-14,10,31.065,NWE,@,BAL,W 21-14,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1976,1976-11-21,11,31.072,NWE,@,NYJ,W 38-24,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1976,1976-11-28,12,31.079,NWE,,DEN,W 38-14,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1976,1976-12-05,13,31.086,NWE,,NOR,W 27-6,,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,,0,0,0,,0,0,0
103,1976,1976-12-12,14,31.093,NWE,@,TAM,W 31-14,,,,,,,,,,,,,,,,,,,,,,,,,,
