ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
33,1998,1998-09-07,1,28.076,NWE,@,DEN,L 21-27,,,,,,,0.0%,,,,,,,,,,,,,,
34,1998,1998-09-13,2,28.082,NWE,,IND,W 29-6,,1,,,,,0.0%,,,,,,,,,,,,,,
35,1998,1998-09-20,3,28.089,NWE,,TEN,W 27-16,,,,,,,0.0%,,,,,,,,,,,,,,
36,1998,1998-10-04,4,28.103,NWE,@,NOR,W 30-27,,,,,,,0.0%,,,,,,,,,,,,,,
37,1998,1998-10-11,5,28.110,NWE,,KAN,W 40-10,,,,,,,0.0%,,,,,,,,,,,,,,
38,1998,1998-10-19,6,28.118,NWE,,NYJ,L 14-24,,,,,,,0.0%,,,,,,,,,,,,,,
39,1998,1998-10-25,7,28.124,NWE,@,MIA,L 9-12,,,,,,,0.0%,,,,,,,,,,,,,,
40,1998,1998-11-01,8,28.131,NWE,@,IND,W 21-16,,,,,,,0.0%,,,,,,,,,,,,,,
41,1998,1998-11-08,9,28.138,NWE,,ATL,L 10-41,,,,,,,0.0%,,,,,,,,,,,,,,
42,1998,1998-11-15,10,28.145,NWE,@,BUF,L 10-13,,,,,,,0.0%,,,,,,,,,,,,,,
43,1998,1998-11-23,11,28.153,NWE,,MIA,W 26-23,,,,,,,0.0%,,,,,,,,,,,,,,
44,1998,1998-11-29,12,28.159,NWE,,BUF,W 25-21,,,,,,,0.0%,,,,,,,,,,,,,,
45,1998,1998-12-06,13,28.166,NWE,@,PIT,W 23-9,,,,,,,0.0%,,,,,,,,,,,,,,
46,1998,1998-12-13,14,28.173,NWE,@,STL,L 18-32,,,,,,,0.0%,,,,,,,,,,,,,,
47,1998,1998-12-20,15,28.180,NWE,,SFO,W 24-21,,,,,,,0.0%,,,,,,,,,,,,,,
48,1998,1998-12-27,16,28.187,NWE,@,NYJ,L 10-31,,,,,,,0.0%,,,,,,,,,,,,,,
49,1999,1999-09-12,1,29.081,NWE,@,NYJ,W 30-28,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
50,1999,1999-09-19,2,29.088,NWE,,IND,W 31-28,,,,,,,0.0%,,,,,,,,,,,,,,
51,1999,1999-09-26,3,29.095,NWE,,NYG,W 16-14,,,,,,,0.0%,,,,,,,,,,,,,,
52,1999,1999-10-03,4,29.102,NWE,@,CLE,W 19-7,,,,,,,0.0%,,,,,,,,,,,,,,
53,1999,1999-10-10,5,29.109,NWE,@,KAN,L 14-16,,,,,,,0.0%,,,,,,,,,,,,,,
54,1999,1999-10-17,6,29.116,NWE,,MIA,L 30-31,,,,,,,0.0%,,,,,,,,,,,,,,
55,1999,1999-10-24,7,29.123,NWE,,DEN,W 24-23,,0,,,,,0.0%,,,,,,,,,,,,,,
56,1999,1999-10-31,8,29.130,NWE,@,ARI,W 27-3,,,,,,,0.0%,,,,,,,,,,,,,,
57,1999,1999-11-15,9,29.145,NWE,,NYJ,L 17-24,,,,,,,0.0%,,,,,,,,,,,,,,
58,1999,1999-11-21,10,29.151,NWE,@,MIA,L 17-27,,,,,,,0.0%,,,,,,,,,,,,,,
59,1999,1999-11-28,11,29.158,NWE,@,BUF,L 7-17,,,,,,,0.0%,,,,,,,,,,,,,,
60,1999,1999-12-05,12,29.165,NWE,,DAL,W 13-6,,,,,,,0.0%,,,,,,,,,,,,,,
61,1999,1999-12-12,13,29.172,NWE,@,IND,L 15-20,,0,,,,,0.0%,,,,,,,,,,,,,,
62,1999,1999-12-19,14,29.179,NWE,@,PHI,L 9-24,,,,,,,0.0%,,,,,,,,,,,,,,
63,1999,1999-12-26,15,29.186,NWE,,BUF,L 10-13,,,,,,,0.0%,,,,,,,,,,,,,,
64,1999,2000-01-02,16,29.193,NWE,,BAL,W 20-3,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,,,,,1,6
65,2000,2000-09-03,1,30.072,PHI,@,DAL,W 41-14,,,,,,,0.0%,,,,,,,,,,,,,,
66,2000,2000-09-10,2,30.079,PHI,,NYG,L 18-33,,0,,,,,0.0%,,,,,,,,,,,,,,
67,2000,2000-09-17,3,30.086,PHI,@,GNB,L 3-6,,,,,,,0.0%,,,,,,,,,,,,,,
68,2000,2000-09-24,4,30.093,PHI,@,NOR,W 21-7,,,,,,,0.0%,,,,,,,,,,,,,,
69,2000,2000-10-01,5,30.100,PHI,,ATL,W 38-10,,,,,,,0.0%,,,,,,,,,,,,,,
70,2000,2000-10-08,6,30.107,PHI,,WAS,L 14-17,,,,,,,0.0%,,,,,,,,,,,,,,
71,2000,2000-10-15,7,30.114,PHI,@,ARI,W 33-14,,,,,,,0.0%,,,,,,,,,,,,,,
72,2000,2000-10-22,8,30.121,PHI,,CHI,W 13-9,,,,,,,0.0%,,,,,,,,,,,,,,
73,2000,2000-10-29,9,30.128,PHI,@,NYG,L 7-24,,0,,,,,0.0%,,,,,,,,,,,,,,
74,2000,2000-11-05,10,30.135,PHI,,DAL,W 16-13,,,,,,,0.0%,,,,,,,,,,,,,,
75,2000,2000-11-12,11,30.142,PHI,@,PIT,W 26-23,,,,,,,0.0%,,,,,,,,,,,,,,
76,2000,2000-11-19,12,30.149,PHI,,ARI,W 34-9,,,,,,,0.0%,,,,,,,,,,,,,,
77,2000,2000-11-26,13,30.156,PHI,@,WAS,W 23-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
78,2000,2000-12-03,14,30.163,PHI,,TEN,L 13-15,,,,,,,0.0%,,,,,,,,,,,,,,
79,2000,2000-12-10,15,30.170,PHI,@,CLE,W 35-24,,,,,,,0.0%,,,,,,,,,,,,,,
80,2000,2000-12-24,16,30.184,PHI,,CIN,W 16-7,,0,,,,,0.0%,,,,,,,,,,,,,,
81,2001,2001-09-09,1,31.078,PHI,,STL,L 17-20,,0,,,,,0.0%,,,,,,,,,,,,,,
82,2001,2001-09-23,2,31.092,PHI,@,SEA,W 27-3,,,,,,,0.0%,,,,,,,,,,,,,,
83,2001,2001-09-30,3,31.099,PHI,,DAL,W 40-18,,,,,,,0.0%,,,,,,,,,,,,,,
84,2001,2001-10-07,4,31.106,PHI,,ARI,L 20-21,,,,,,,0.0%,,,,,,,,,,,,,,
85,2001,2001-10-22,5,31.121,PHI,@,NYG,W 10-9,,0,,,,,0.0%,,,,,,,,,,,,,,
86,2001,2001-10-28,6,31.127,PHI,,OAK,L 10-20,,,,,,,0.0%,,,,,,,,,,,,,,
87,2001,2001-11-04,7,31.134,PHI,@,ARI,W 21-7,,,,,,,0.0%,,,,,,,,,,,,,,
88,2001,2001-11-11,8,31.141,PHI,,MIN,W 48-17,,1,1,4,4.00,1,100.0%,4.00,0,0,,0,0,0,,,,,,1,6
89,2001,2001-11-18,9,31.148,PHI,@,DAL,W 36-3,,,,,,,0.0%,,,,,,,,,,,,,,
90,2001,2001-11-25,10,31.155,PHI,,WAS,L 3-13,,,,,,,0.0%,,,,,,,,,,,,,,
91,2001,2001-11-29,11,31.159,PHI,@,KAN,W 23-10,,1,,,,,0.0%,,,,,,,,,,,,,,
92,2001,2001-12-09,12,31.169,PHI,,SDG,W 24-14,,,,,,,0.0%,,,,,,,,,,,,,,
93,2001,2001-12-16,13,31.176,PHI,@,WAS,W 20-6,,,,,,,0.0%,,,,,,,,,,,,,,
94,2001,2001-12-22,14,31.182,PHI,@,SFO,L 3-13,,0,,,,,0.0%,,,,,,,,,,,,,,
95,2001,2001-12-30,15,31.190,PHI,,NYG,W 24-21,,0,,,,,0.0%,,,,,,,,,,,,,,
96,2001,2002-01-06,16,31.197,PHI,@,TAM,W 17-13,,0,,,,,0.0%,,,,,,,,,,,,,,
97,2002,2002-09-08,1,32.077,PHI,@,TEN,L 24-27,,,,,,,0.0%,,,,,,,,,,,,,,
98,2002,2002-09-16,2,32.085,PHI,@,WAS,W 37-7,,1,,,,,0.0%,,,,,,,,,,,,,,
99,2002,2002-09-22,3,32.091,PHI,,DAL,W 44-13,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0
100,2002,2002-09-29,4,32.098,PHI,,HOU,W 35-17,,0,,,,,0.0%,,,,,,,,,,,,,,
101,2002,2002-10-06,5,32.105,PHI,@,JAX,L 25-28,,0,,,,,0.0%,,,,,,,,,,,,,,
102,2002,2002-10-20,6,32.119,PHI,,TAM,W 20-10,,0,,,,,0.0%,,,,,,,,,,,,,,
103,2002,2002-10-28,7,32.127,PHI,,NYG,W 17-3,,,,,,,0.0%,,,,,,,,,,,,,,
104,2002,2002-11-03,8,32.133,PHI,@,CHI,W 19-13,,,,,,,0.0%,,,,,,,,,,,,,,
105,2002,2002-11-10,9,32.140,PHI,,IND,L 13-35,,,,,,,0.0%,,,,,,,,,,,,,,
106,2002,2002-11-17,10,32.147,PHI,,ARI,W 38-14,,,,,,,0.0%,,,,,,,,,,,,,,
107,2002,2002-11-25,11,32.155,PHI,@,SFO,W 38-17,,,,,,,0.0%,,,,,,,,,,,,,,
108,2002,2002-12-01,12,32.161,PHI,,STL,W 10-3,,,,,,,0.0%,,,,,,,,,,,,,,
109,2002,2002-12-08,13,32.168,PHI,@,SEA,W 27-20,,,,,,,0.0%,,,,,,,,,,,,,,
110,2002,2002-12-15,14,32.175,PHI,,WAS,W 34-21,,,,,,,0.0%,,,,,,,,,,,,,,
111,2002,2002-12-21,15,32.181,PHI,@,DAL,W 27-3,,,,,,,0.0%,,,,,,,,,,,,,,
112,2002,2002-12-28,16,32.188,PHI,@,NYG,L 7-10,,0,,,,,0.0%,,,,,,,,,,,,,,
113,2003,2003-09-08,1,33.077,PHI,,TAM,L 0-17,,,,,,,0.0%,,,,,,,,,,,,,,
114,2003,2003-09-14,2,33.083,PHI,,NWE,L 10-31,,,,,,,0.0%,,,,,,,,,,,,,,
115,2003,2003-09-28,3,33.097,PHI,@,BUF,W 23-13,,0,,,,,0.0%,,,,,,,,,,,,,,
116,2003,2003-10-05,4,33.104,PHI,,WAS,W 27-25,,,,,,,0.0%,,,,,,,,,,,,,,
117,2003,2003-10-12,5,33.111,PHI,@,DAL,L 21-23,,,,,,,0.0%,,,,,,,,,,,,,,
118,2003,2003-10-19,6,33.118,PHI,@,NYG,W 14-10,,,,,,,0.0%,,,,,,,,,,,,,,
119,2003,2003-10-26,7,33.125,PHI,,NYJ,W 24-17,,1,,,,,0.0%,,,,,,,,,,,,,,
120,2003,2003-11-02,8,33.132,PHI,@,ATL,W 23-16,,,,,,,0.0%,,,,,,,,,,,,,,
121,2003,2003-11-10,9,33.140,PHI,@,GNB,W 17-14,,,,,,,0.0%,,,,,,,,,,,,,,
122,2003,2003-11-16,10,33.146,PHI,,NYG,W 28-10,,,,,,,0.0%,,,,,,,,,,,,,,
123,2003,2003-11-23,11,33.153,PHI,,NOR,W 33-20,,,,,,,0.0%,,,,,,,,,,,,,,
124,2003,2003-11-30,12,33.160,PHI,@,CAR,W 25-16,,,,,,,0.0%,,,,,,,,,,,,,,
125,2003,2003-12-07,13,33.167,PHI,,DAL,W 36-10,,,,,,,0.0%,,,,,,,,,,,,,,
126,2003,2003-12-15,14,33.175,PHI,@,MIA,W 34-27,,,,,,,0.0%,,,,,,,,,,,,,,
127,2003,2003-12-21,15,33.181,PHI,,SFO,L 28-31,,0,,,,,0.0%,,,,,,,,,,,,,,
128,2003,2003-12-27,16,33.187,PHI,@,WAS,W 31-7,,,,,,,0.0%,,,,,,,,,,,,,,
129,2004,2004-09-12,1,34.081,PHI,,NYG,W 31-17,,,,,,,0.0%,,,,,,,,,0,,,,,
130,2004,2004-09-20,2,34.089,PHI,,MIN,W 27-16,,,,,,,0.0%,,,,,,,,,0,,,,,
131,2004,2004-09-26,3,34.095,PHI,@,DET,W 30-13,,2,2,18,9.00,1,100.0%,9.00,0,0,,0,0,0,,0,,,,1,6
132,2004,2004-10-03,4,34.102,PHI,@,CHI,W 19-9,,,,,,,0.0%,,,,,,,,,0,,,,,
133,2004,2004-10-17,5,34.116,PHI,,CAR,W 30-8,,1,,,,,0.0%,,,,,,,,,0,,,,,
134,2004,2004-10-24,6,34.123,PHI,@,CLE,W 34-31,,,,,,,0.0%,,,,,,,,,0,,,,,
135,2004,2004-10-31,7,34.130,PHI,,BAL,W 15-10,,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
136,2004,2004-11-07,8,34.137,PHI,@,PIT,L 3-27,,,,,,,0.0%,,,,,,,,,0,,,,,
137,2004,2004-11-15,9,34.145,PHI,@,DAL,W 49-21,,,,,,,0.0%,,,,,,,,,0,,,,,
138,2004,2004-11-21,10,34.151,PHI,,WAS,W 28-6,,,,,,,0.0%,,,,,,,,,0,,,,,
139,2004,2004-11-28,11,34.158,PHI,@,NYG,W 27-6,,,,,,,0.0%,,,,,,,,,0,,,,,
140,2004,2004-12-05,12,34.165,PHI,,GNB,W 47-17,,,,,,,0.0%,,,,,,,,,0,,,,,
141,2004,2004-12-12,13,34.172,PHI,@,WAS,W 17-14,,,,,,,0.0%,,,,,,,,,0,,,,,
142,2004,2004-12-19,14,34.179,PHI,,DAL,W 12-7,,,,,,,0.0%,,,,,,,,,0,,,,,
143,2004,2004-12-27,15,34.187,PHI,@,STL,L 7-20,,,,,,,0.0%,,,,,,,,,0,,,,,
144,2004,2005-01-02,16,34.193,PHI,,CIN,L 10-38,,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,,,,0,0
145,2005,2005-09-12,1,35.081,PHI,@,ATL,L 10-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
146,2005,2005-09-18,2,35.087,PHI,,SFO,W 42-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
147,2005,2005-09-25,3,35.094,PHI,,OAK,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
148,2005,2005-10-02,4,35.101,PHI,@,KAN,W 37-31,,1,1,3,3.00,1,100.0%,3.00,0,0,,0,0,0,,,,,,1,6
149,2005,2005-10-09,5,35.108,PHI,@,DAL,L 10-33,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
150,2005,2005-10-23,6,35.122,PHI,,SDG,W 20-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
151,2005,2005-10-30,7,35.129,PHI,@,DEN,L 21-49,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
152,2005,2005-11-06,8,35.136,PHI,@,WAS,L 10-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
153,2005,2005-11-14,9,35.144,PHI,,DAL,L 20-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
154,2005,2005-11-20,10,35.150,PHI,@,NYG,L 17-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
155,2005,2005-11-27,11,35.157,PHI,,GNB,W 19-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
156,2005,2005-12-05,12,35.165,PHI,,SEA,L 0-42,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
157,2005,2005-12-11,13,35.171,PHI,,NYG,L 23-26,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
158,2005,2005-12-18,14,35.178,PHI,@,STL,W 17-16,,1,1,3,3.00,1,100.0%,3.00,0,0,,0,0,0,,,,,,1,6
159,2005,2005-12-24,15,35.184,PHI,@,ARI,L 21-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
160,2005,2006-01-01,16,35.192,PHI,,WAS,L 20-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
161,2006,2006-09-10,1,36.079,PHI,@,HOU,W 24-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
162,2006,2006-09-17,2,36.086,PHI,,NYG,L 24-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
163,2006,2006-09-24,3,36.093,PHI,@,SFO,W 38-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
164,2006,2006-10-02,4,36.101,PHI,,GNB,W 31-9,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
165,2006,2006-10-08,5,36.107,PHI,,DAL,W 38-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
166,2006,2006-10-15,6,36.114,PHI,@,NOR,L 24-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
167,2006,2006-10-22,7,36.121,PHI,@,TAM,L 21-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
168,2006,2006-10-29,8,36.128,PHI,,JAX,L 6-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
169,2006,2006-11-12,9,36.142,PHI,,WAS,W 27-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
170,2006,2006-11-19,10,36.149,PHI,,TEN,L 13-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
171,2006,2006-11-26,11,36.156,PHI,@,IND,L 21-45,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
