ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
19,1991,1991-11-17,11,24.270,CHI,@,IND,W 31-17,,2,21,10.50,0,,,0,0,,0,0,0
20,1991,1991-11-24,12,24.277,CHI,,MIA,L 13-16,,3,25,8.33,0,,,2,10,5.00,0,0,0
21,1991,1991-11-28,13,24.281,CHI,@,DET,L 6-16,,8,85,10.63,0,,,0,0,,0,0,0
22,1991,1991-12-08,14,24.291,CHI,,GNB,W 27-13,,2,12,6.00,0,,,0,0,,0,0,0
23,1991,1991-12-14,15,24.297,CHI,,TAM,W 27-0,,3,45,15.00,0,,,1,4,4.00,0,0,0
24,1991,1991-12-23,16,24.306,CHI,@,SFO,L 14-52,,5,49,9.80,1,,,0,0,,0,1,6
25,1992,1992-09-06,1,25.199,CHI,,DET,W 27-24,4,2,9,4.50,1,50.0%,2.25,0,0,,0,1,6
26,1992,1992-09-13,2,25.206,CHI,@,NOR,L 6-28,9,5,53,10.60,0,55.6%,5.89,0,0,,0,0,0
27,1992,1992-09-21,3,25.214,CHI,,NYG,L 14-27,1,0,0,,0,0.0%,0.00,0,0,,0,,
28,1992,1992-09-27,4,25.220,CHI,,ATL,W 41-31,5,3,62,20.67,1,60.0%,12.40,0,0,,0,1,6
29,1992,1992-10-04,5,25.227,CHI,@,MIN,L 20-21,9,5,64,12.80,1,55.6%,7.11,1,13,13.00,0,1,6
30,1992,1992-10-18,6,25.241,CHI,,TAM,W 31-14,7,3,114,38.00,0,42.9%,16.29,1,3,3.00,0,0,0
31,1992,1992-10-25,7,25.248,CHI,@,GNB,W 30-10,9,6,65,10.83,0,66.7%,7.22,0,0,,0,0,0
32,1992,1992-11-02,8,25.256,CHI,,MIN,L 10-38,4,2,17,8.50,0,50.0%,4.25,1,1,1.00,0,0,0
33,1992,1992-11-08,9,25.262,CHI,,CIN,L 28-31,11,7,78,11.14,0,63.6%,7.09,1,1,1.00,0,0,0
34,1992,1992-11-15,10,25.269,CHI,@,TAM,L 17-20,6,4,50,12.50,0,66.7%,8.33,0,0,,0,0,0
35,1992,1992-11-22,11,25.276,CHI,,GNB,L 3-17,10,5,62,12.40,0,50.0%,6.20,2,8,4.00,0,0,0
36,1992,1992-11-29,12,25.283,CHI,@,CLE,L 14-27,5,4,100,25.00,1,80.0%,20.00,2,2,1.00,0,1,6
37,1993,1993-09-05,1,26.197,CHI,,NYG,L 20-26,5,3,62,20.67,0,60.0%,12.40,0,0,,0,0,0
38,1993,1993-09-12,2,26.204,CHI,@,MIN,L 7-10,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0
39,1993,1993-09-26,3,26.218,CHI,,TAM,W 47-17,7,5,46,9.20,1,71.4%,6.57,0,0,,0,1,6
40,1993,1993-10-03,4,26.225,CHI,,ATL,W 6-0,4,4,55,13.75,0,100.0%,13.75,0,0,,0,0,0
41,1993,1993-10-10,5,26.232,CHI,@,PHI,W 17-6,7,4,51,12.75,0,57.1%,7.29,0,0,,0,0,0
42,1993,1993-10-25,6,26.247,CHI,,MIN,L 12-19,3,2,43,21.50,0,66.7%,14.33,0,0,,0,0,0
43,1993,1993-10-31,7,26.253,CHI,@,GNB,L 3-17,7,3,46,15.33,0,42.9%,6.57,0,0,,0,0,0
44,1993,1993-11-07,8,26.260,CHI,,RAI,L 14-16,6,4,69,17.25,0,66.7%,11.50,0,0,,0,0,0
45,1993,1993-11-14,9,26.267,CHI,@,SDG,W 16-13,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0
46,1993,1993-11-21,10,26.274,CHI,@,KAN,W 19-17,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0
47,1993,1993-11-25,11,26.278,CHI,@,DET,W 10-6,5,3,46,15.33,0,60.0%,9.20,0,0,,0,0,0
48,1993,1993-12-05,12,26.288,CHI,,GNB,W 30-17,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0
49,1993,1993-12-12,13,26.295,CHI,@,TAM,L 10-13,4,3,41,13.67,0,75.0%,10.25,0,0,,0,0,0
50,1993,1993-12-18,14,26.301,CHI,,DEN,L 3-13,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0
51,1993,1994-01-02,16,26.316,CHI,@,RAM,L 6-20,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0
52,1994,1994-09-04,1,27.196,CHI,,TAM,W 21-9,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0
53,1994,1994-09-12,2,27.204,CHI,@,PHI,L 22-30,1,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0
54,1994,1994-09-18,3,27.210,CHI,,MIN,L 14-42,8,8,82,10.25,1,100.0%,10.25,0,0,,0,1,6
55,1994,1994-09-25,4,27.217,CHI,@,NYJ,W 19-7,2,2,32,16.00,0,100.0%,16.00,2,8,4.00,0,0,0
56,1994,1994-10-02,5,27.224,CHI,,BUF,W 20-13,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
57,1994,1994-10-31,8,27.253,CHI,,GNB,L 6-33,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0
58,1994,1994-11-06,9,27.259,CHI,@,TAM,W 20-6,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0
59,1994,1994-12-18,15,27.301,CHI,,RAM,W 27-13,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0
60,1994,1994-12-24,16,27.307,CHI,,NWE,L 3-13,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0
