ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
30,1961,1961-10-22,6,25.339,STL,@,WAS,W 24-0,4,63,15.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,,,,,,,0,0
31,1961,1961-10-29,7,25.346,STL,,CLE,L 10-21,3,62,20.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
32,1961,1961-11-05,8,25.353,STL,@,DAL,W 31-17,0,0,,0,2,5,2.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
33,1961,1961-11-12,9,25.360,STL,,DET,L 14-45,4,71,17.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
34,1961,1961-11-19,10,26.002,STL,@,BAL,L 0-16,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
35,1961,1961-11-26,11,26.009,STL,@,PIT,L 27-30,2,34,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
36,1961,1961-12-03,12,26.016,STL,,WAS,W 38-24,4,128,32.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,2,12
37,1961,1961-12-10,13,26.023,STL,,DAL,W 31-13,2,12,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
38,1961,1961-12-17,14,26.030,STL,,PIT,W 20-0,2,34,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
39,1962,1962-09-16,1,26.303,STL,@,PHI,W 27-21,2,31,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
40,1962,1962-09-23,2,26.310,STL,@,GNB,L 0-17,7,76,10.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
41,1962,1962-09-30,3,26.317,STL,@,WAS,L 14-24,4,49,12.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
42,1962,1962-10-07,4,26.324,STL,,NYG,L 14-31,6,105,17.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
43,1962,1962-10-14,5,26.331,STL,,WAS,T 17-17,4,54,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
44,1962,1962-10-21,6,26.338,STL,,CLE,L 7-34,3,35,11.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
45,1962,1962-10-28,7,26.345,STL,@,DAL,W 28-24,2,41,20.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,,,,,,1,6
46,1962,1962-11-04,8,26.352,STL,@,NYG,L 28-31,5,42,8.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
47,1962,1962-11-11,9,26.359,STL,,PIT,L 17-26,4,101,25.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
48,1962,1962-11-18,10,27.001,STL,@,CLE,L 14-38,3,39,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
49,1962,1962-11-25,11,27.008,STL,,SFO,L 17-24,5,94,18.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
50,1962,1962-12-02,12,27.015,STL,@,PIT,L 7-19,7,106,15.14,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
51,1962,1962-12-09,13,27.022,STL,,DAL,W 52-20,6,128,21.33,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,,,,,,2,12
52,1962,1962-12-16,14,27.029,STL,,PHI,W 45-35,4,53,13.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
53,1963,1963-09-14,1,27.301,STL,@,DAL,W 34-7,5,45,9.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
54,1963,1963-09-22,2,27.309,STL,@,PHI,W 28-24,5,79,15.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
55,1963,1963-09-29,3,27.316,STL,@,PIT,L 10-23,6,85,14.17,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
56,1963,1963-10-06,4,27.323,STL,@,MIN,W 56-14,7,69,9.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
57,1963,1963-10-13,5,27.330,STL,,PIT,W 24-23,6,93,15.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
58,1963,1963-10-20,6,27.337,STL,,GNB,L 7-30,8,112,14.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
59,1963,1963-10-27,7,27.344,STL,@,WAS,W 21-7,7,64,9.14,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
60,1963,1963-11-03,8,27.351,STL,,NYG,L 21-38,3,30,10.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
61,1963,1963-11-10,9,27.358,STL,,WAS,W 24-20,4,56,14.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
62,1963,1963-11-17,10,28.000,STL,@,CLE,W 20-14,5,59,11.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
63,1963,1963-11-24,11,28.007,STL,@,NYG,W 24-17,2,51,25.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,,,,,,,1,6
64,1963,1963-12-01,12,28.014,STL,,CLE,L 10-24,2,20,10.00,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
65,1963,1963-12-08,13,28.021,STL,,PHI,W 38-14,6,122,20.33,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,2,12
66,1963,1963-12-15,14,28.028,STL,,DAL,L 24-28,7,82,11.71,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
67,1964,1964-09-12,1,28.300,STL,@,DAL,W 16-6,2,39,19.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
68,1964,1964-09-20,2,28.308,STL,@,CLE,T 33-33,3,31,10.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
69,1964,1964-09-27,3,28.315,STL,@,SFO,W 23-13,8,84,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
70,1964,1964-10-04,4,28.322,STL,@,WAS,W 23-17,3,41,13.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
71,1964,1964-10-12,5,28.330,STL,@,BAL,L 27-47,5,56,11.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
72,1964,1964-10-18,6,28.336,STL,,WAS,W 38-24,5,52,10.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
73,1964,1964-10-25,7,28.343,STL,,DAL,L 13-31,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
74,1964,1964-11-01,8,28.350,STL,@,NYG,L 17-34,6,124,20.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
75,1964,1964-11-08,9,28.357,STL,,PIT,W 34-30,6,54,9.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
76,1964,1964-11-15,10,28.364,STL,,NYG,T 10-10,3,40,13.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,,,,,,,1,6
77,1964,1964-11-22,11,29.005,STL,@,PHI,W 38-13,5,110,22.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,2,12
78,1964,1964-11-29,12,29.012,STL,@,PIT,W 21-20,2,24,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
79,1964,1964-12-06,13,29.019,STL,,CLE,W 28-19,3,19,6.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
80,1964,1964-12-13,14,29.026,STL,,PHI,W 36-34,8,88,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
81,1965,1965-09-19,1,29.306,STL,@,PHI,L 27-34,5,87,17.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
82,1965,1965-09-26,2,29.313,STL,@,CLE,W 49-13,3,42,14.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
83,1965,1965-10-04,3,29.321,STL,,DAL,W 20-13,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
84,1965,1965-10-10,4,29.327,STL,@,WAS,W 37-16,6,121,20.17,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
85,1965,1965-10-17,5,29.334,STL,@,PIT,W 20-7,3,96,32.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
86,1965,1965-10-24,6,29.341,STL,,WAS,L 20-24,4,53,13.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
87,1965,1965-10-31,7,29.348,STL,@,NYG,L 10-14,7,90,12.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
88,1965,1965-11-07,8,29.355,STL,,PIT,W 21-17,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
89,1965,1965-11-14,9,29.362,STL,@,CHI,L 13-34,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
90,1965,1965-11-21,10,30.004,STL,,NYG,L 15-28,5,92,18.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
91,1965,1965-11-28,11,30.011,STL,,PHI,L 24-28,7,75,10.71,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
92,1965,1965-12-05,12,30.018,STL,,RAM,L 3-27,3,44,14.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
93,1965,1965-12-11,13,30.024,STL,@,DAL,L 13-27,8,126,15.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
94,1965,1965-12-19,14,30.032,STL,,CLE,L 24-27,3,26,8.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
95,1966,1966-09-11,1,30.298,STL,,PHI,W 16-13,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
96,1966,1966-09-18,2,30.305,STL,,WAS,W 23-7,5,75,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
97,1966,1966-09-25,3,30.312,STL,@,CLE,W 34-28,4,65,16.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
98,1966,1966-10-02,4,30.319,STL,@,PHI,W 41-10,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
99,1966,1966-10-09,5,30.326,STL,,NYG,W 24-19,2,47,23.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
100,1966,1966-10-16,6,30.333,STL,,DAL,T 10-10,3,20,6.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
101,1966,1966-10-23,7,30.340,STL,@,WAS,L 20-26,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
102,1966,1966-10-31,8,30.348,STL,,CHI,W 24-17,2,11,5.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
103,1966,1966-11-06,9,30.354,STL,@,NYG,W 20-17,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
104,1966,1966-11-13,10,30.361,STL,@,PIT,L 9-30,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
105,1966,1966-11-27,11,31.010,STL,,PIT,W 6-3,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
106,1966,1966-12-04,12,31.017,STL,@,DAL,L 17-31,4,48,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
107,1966,1966-12-11,13,31.024,STL,@,ATL,L 10-16,4,37,9.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
108,1966,1966-12-17,14,31.030,STL,,CLE,L 10-38,4,35,8.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
109,1967,1967-09-17,1,31.304,STL,,NYG,L 20-37,5,57,11.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
110,1967,1967-09-24,2,31.311,STL,@,PIT,W 28-14,2,35,17.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
111,1967,1967-10-01,3,31.318,STL,,DET,W 38-28,4,40,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
112,1967,1967-10-08,4,31.325,STL,@,MIN,W 34-24,3,79,26.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
113,1967,1967-10-15,5,31.332,STL,@,CLE,L 16-20,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
114,1967,1967-10-22,6,31.339,STL,,PHI,W 48-14,8,115,14.38,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
115,1967,1967-10-30,7,31.347,STL,,GNB,L 23-31,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
116,1967,1967-11-05,8,31.353,STL,@,WAS,W 27-21,4,68,17.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
117,1967,1967-11-12,9,31.360,STL,,PIT,T 14-14,6,85,14.17,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
118,1967,1967-11-19,10,32.002,STL,@,CHI,L 3-30,2,15,7.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
119,1967,1967-11-23,11,32.006,STL,@,DAL,L 21-46,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
120,1967,1967-12-03,12,32.016,STL,,NOR,W 31-20,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
121,1967,1967-12-10,13,32.023,STL,,CLE,L 16-20,5,46,9.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
122,1967,1967-12-17,14,32.030,STL,@,NYG,L 14-37,4,67,16.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
123,1968,1968-09-16,1,32.304,STL,,RAM,L 13-24,5,42,8.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
124,1968,1968-09-22,2,32.310,STL,@,SFO,L 17-35,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
125,1968,1968-09-29,3,32.317,STL,@,NOR,W 21-20,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
126,1968,1968-10-06,4,32.324,STL,,DAL,L 10-27,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
127,1968,1968-10-20,6,32.338,STL,,WAS,W 41-14,2,38,19.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
128,1968,1968-11-03,8,32.352,STL,@,PHI,W 45-17,3,28,9.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
129,1968,1968-11-10,9,32.359,STL,,PIT,T 28-28,5,133,26.60,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
130,1968,1968-11-17,10,33.000,STL,@,BAL,L 0-27,4,44,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
131,1968,1968-12-01,12,33.014,STL,@,PIT,W 20-10,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
132,1968,1968-12-08,13,33.021,STL,@,NYG,W 28-21,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
133,1968,1968-12-14,14,33.027,STL,,CLE,W 27-16,4,71,17.75,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,2,12
134,1969,1969-09-21,1,33.308,DAL,,STL,W 24-3,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
135,1969,1969-10-19,5,33.336,DAL,,PHI,W 49-14,1,34,34.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
136,1969,1969-11-02,7,33.350,DAL,@,CLE,L 10-42,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
137,1969,1969-12-13,13,34.026,DAL,,BAL,W 27-10,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
