ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
22,2004,2004-11-28,11,23.164,BAL,@,NWE,L 3-24,*,15,35,42.86,93,0,1,38.4,4,46,2.66,1.37,2,10,5.00,0,0,0,0.0,,,0,0,,0
23,2004,2004-12-05,12,23.171,BAL,,CIN,L 26-27,*,19,33,57.58,172,0,1,59.2,1,8,5.21,3.85,2,10,5.00,0,0,0,0.0,,,0,0,,0
24,2004,2004-12-12,13,23.178,BAL,,NYG,W 37-14,*,18,34,52.94,219,4,0,112.3,4,35,6.44,8.79,4,19,4.75,0,0,0,0.0,,,0,0,,0
25,2004,2004-12-19,14,23.185,BAL,@,IND,L 10-20,*,19,40,47.50,210,1,2,51.0,2,16,5.25,3.50,1,2,2.00,0,0,0,0.0,,,0,0,,0
26,2004,2004-12-26,15,23.192,BAL,@,PIT,L 7-20,*,18,32,56.25,177,0,1,59.0,0,0,5.53,4.13,4,28,7.00,0,0,0,0.0,,,0,0,,0
27,2004,2005-01-02,16,23.199,BAL,,MIA,W 30-23,*,14,27,51.85,142,1,0,79.6,0,0,5.26,6.00,4,22,5.50,0,0,0,0.0,,,0,0,,0
28,2005,2005-09-11,1,24.086,BAL,,IND,L 7-24,*,15,23,65.22,141,0,1,63.9,1,10,6.13,4.17,1,2,2.00,0,0,0,0.0,,,0,0,,0
29,2005,2005-11-13,9,24.149,BAL,@,JAX,L 3-30,*,19,33,57.58,142,0,3,30.1,4,32,4.30,0.21,2,9,4.50,0,0,0,0.0,,,0,0,,0
30,2005,2005-11-20,10,24.156,BAL,,PIT,W 16-13,*,21,36,58.33,163,1,1,67.2,5,26,4.53,3.83,6,17,2.83,0,0,0,0.0,,,0,0,,0
31,2005,2005-11-27,11,24.163,BAL,@,CIN,L 29-42,*,18,32,56.25,211,3,2,81.6,3,22,6.59,5.66,4,10,2.50,0,0,0,0.0,,,0,0,,0
32,2005,2005-12-04,12,24.170,BAL,,HOU,W 16-15,*,17,33,51.52,198,0,0,70.0,4,33,6.00,6.00,3,11,3.67,1,1,6,0.0,,,0,0,,0
33,2005,2005-12-11,13,24.177,BAL,@,DEN,L 10-12,*,23,39,58.97,251,1,2,65.2,2,0,6.44,4.64,2,3,1.50,0,0,0,0.0,,,0,0,,0
34,2005,2005-12-19,14,24.185,BAL,,GNB,W 48-3,*,19,27,70.37,253,3,0,136.8,0,0,9.37,11.59,1,9,9.00,0,0,0,0.0,,,0,0,,0
35,2005,2005-12-25,15,24.191,BAL,,MIN,W 30-23,*,24,34,70.59,289,3,1,113.5,2,10,8.50,8.94,2,1,0.50,0,0,0,0.0,,,0,0,,0
36,2005,2006-01-01,16,24.198,BAL,@,CLE,L 16-20,*,15,36,41.67,151,0,2,31.1,2,13,4.19,1.69,2,4,2.00,0,0,0,0.0,,,0,0,,0
37,2006,2006-09-10,1,25.085,BAL,@,TAM,W 27-0,,0,0,,0,0,0,,0,,,,4,-2,-0.50,0,0,0,0.0,,,0,0,,0
38,2006,2006-10-15,6,25.120,BAL,,CAR,L 21-23,,17,31,54.84,226,3,1,97.0,2,9,7.29,7.77,6,27,4.50,0,0,0,0.0,,,0,0,,0
39,2006,2006-11-26,11,25.162,BAL,,PIT,W 27-0,,3,3,100.00,21,0,0,95.8,0,0,7.00,7.00,3,-3,-1.00,0,0,0,0.0,,,0,0,,0
40,2006,2006-12-17,14,25.183,BAL,,CLE,W 27-17,,13,21,61.90,238,2,1,112.8,1,7,11.33,11.10,9,12,1.33,0,0,0,0.0,,,0,0,,0
41,2006,2006-12-24,15,25.190,BAL,@,PIT,W 31-7,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,0,0,,0
42,2007,2007-09-10,1,26.085,BAL,@,CIN,L 20-27,,2,6,33.33,19,0,1,3.5,0,0,3.17,-4.33,0,0,,0,0,0,0.0,,,0,0,,0
43,2007,2007-09-16,2,26.091,BAL,,NYJ,W 20-13,*,23,35,65.71,185,2,0,97.9,0,0,5.29,6.43,3,7,2.33,0,0,0,0.0,,,0,0,,0
44,2007,2007-09-23,3,26.098,BAL,,ARI,W 26-23,,8,10,80.00,83,0,0,101.2,2,7,8.30,8.30,1,2,2.00,0,0,0,0.0,,,0,0,,0
45,2007,2007-09-30,4,26.105,BAL,@,CLE,L 13-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,,0,0,,0
46,2007,2007-10-14,6,26.119,BAL,,STL,W 22-3,*,18,30,60.00,184,0,1,63.8,2,13,6.13,4.63,2,6,3.00,0,0,0,0.0,,,0,0,,0
47,2007,2007-10-21,7,26.126,BAL,@,BUF,L 14-19,*,21,36,58.33,191,1,0,82.1,1,10,5.31,5.86,1,7,7.00,0,0,0,0.0,,,0,0,,0
48,2007,2007-11-05,8,26.141,BAL,@,PIT,L 7-38,,3,9,33.33,21,0,0,42.4,1,7,2.33,2.33,0,0,,0,0,0,0.0,,,0,0,,0
49,2007,2007-11-11,9,26.147,BAL,,CIN,L 7-21,,6,8,75.00,89,0,1,71.4,0,0,11.13,5.50,0,0,,0,0,0,0.0,,,0,0,,0
50,2007,2007-11-18,10,26.154,BAL,,CLE,L 30-33,*,22,41,53.66,279,1,2,63.0,6,39,6.80,5.10,2,19,9.50,0,0,0,0.0,,,0,0,,0
51,2007,2007-11-25,11,26.161,BAL,@,SDG,L 14-32,*,21,33,63.64,191,1,0,89.3,4,37,5.79,6.39,0,0,,0,0,0,0.0,,,0,0,,0
52,2007,2007-12-03,12,26.169,BAL,,NWE,L 24-27,*,15,23,65.22,210,2,1,105.3,0,0,9.13,8.91,1,4,4.00,0,0,0,0.0,,,0,0,,0
53,2007,2007-12-09,13,26.175,BAL,,IND,L 20-44,*,19,25,76.00,132,1,3,61.2,4,20,5.28,0.68,8,33,4.13,0,0,0,0.0,,,0,0,,0
54,2007,2007-12-16,14,26.182,BAL,@,MIA,L 16-22,*,10,19,52.63,159,1,1,76.4,4,26,8.37,7.05,1,11,11.00,0,0,0,0.0,,,0,0,,0
55,2009,2009-09-27,3,28.102,STL,,GNB,L 17-36,,16,31,51.61,164,2,1,75.2,0,0,5.29,5.13,4,31,7.75,0,0,0,0.0,0,0,0,0,,0
56,2009,2009-10-04,4,28.109,STL,@,SFO,L 0-35,*,13,24,54.17,108,0,1,48.6,5,26,4.50,2.63,2,5,2.50,0,0,0,0.0,0,0,0,0,,0
57,2009,2009-10-11,5,28.116,STL,,MIN,L 10-38,*,20,31,64.52,209,0,1,70.5,2,19,6.74,5.29,3,1,0.33,0,0,0,0.0,1,0,0,0,,0
58,2009,2009-11-29,11,28.165,STL,,SEA,L 17-27,*,28,46,60.87,282,1,2,67.5,4,31,6.13,4.61,3,26,8.67,0,0,0,0.0,0,0,0,0,,0
59,2009,2009-12-06,12,28.172,STL,@,CHI,L 9-17,*,17,32,53.13,113,0,1,48.0,3,15,3.53,2.13,0,0,,0,0,0,0.0,0,0,0,0,,0
60,2009,2009-12-27,15,28.193,STL,@,ARI,L 10-31,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,0,0,0,0,,0
61,2009,2010-01-03,16,28.200,STL,,SFO,L 6-28,,4,11,36.36,23,0,0,44.9,3,26,2.09,2.09,1,13,13.00,0,0,0,0.0,0,0,0,0,,0
62,2010,2010-10-24,7,29.129,OAK,@,DEN,W 59-14,,0,0,,0,0,0,,,,,,6,11,1.83,0,0,0,0.0,0,0,0,0,,0
63,2010,2010-12-05,12,29.171,OAK,@,SDG,W 28-13,,,,,,,,,0,,,,,,,,,,,,,,,,
64,2010,2010-12-12,13,29.178,OAK,@,JAX,L 31-38,,1,3,33.33,20,0,1,18.1,0,0,6.67,-8.33,1,7,7.00,0,0,0,0.0,0,0,0,0,,0
65,2010,2010-12-19,14,29.185,OAK,,DEN,W 39-23,,,,,,,,,0,,,,,,,,,,,,,,,,
66,2010,2011-01-02,16,29.199,OAK,@,KAN,W 31-10,,1,1,100.00,5,0,0,87.5,1,6,5.00,5.00,0,0,,0,0,0,0.0,0,0,0,0,,0
67,2011,2011-10-16,6,30.121,OAK,,CLE,W 24-17,,8,14,57.14,100,0,0,79.5,2,9,7.14,7.14,5,9,1.80,0,0,0,0.0,0,0,0,0,,0
68,2011,2011-10-23,7,30.128,OAK,,KAN,L 0-28,*,7,14,50.00,61,0,3,22.3,1,10,4.36,-5.29,4,29,7.25,0,0,0,0.0,0,0,0,0,,0
