ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
33,2017,2017-09-17,2,23.119,CAR,,BUF,W 9-3,*,6,4,68,17.00,0,66.7%,11.33,,0,0
34,2017,2017-09-24,3,23.126,CAR,,NOR,L 13-34,*,10,4,58,14.50,0,40.0%,5.80,,0,0
35,2017,2017-10-01,4,23.133,CAR,@,NWE,W 33-30,*,9,7,70,10.00,2,77.8%,7.78,,2,12
36,2017,2017-10-08,5,23.140,CAR,@,DET,W 27-24,*,8,7,53,7.57,1,87.5%,6.63,,1,6
37,2017,2017-10-12,6,23.144,CAR,,PHI,L 23-28,*,9,3,36,12.00,0,33.3%,4.00,,0,0
38,2017,2017-10-22,7,23.154,CAR,@,CHI,L 3-17,*,8,4,41,10.25,0,50.0%,5.13,,0,0
39,2017,2017-10-29,8,23.161,CAR,@,TAM,W 17-3,*,6,2,11,5.50,0,33.3%,1.83,,0,0
40,2017,2017-11-05,9,23.168,CAR,,ATL,W 20-17,*,7,5,86,17.20,0,71.4%,12.29,,0,0
41,2017,2017-11-13,10,23.176,CAR,,MIA,W 45-21,*,6,5,92,18.40,2,83.3%,15.33,,2,12
42,2017,2017-11-26,11,23.189,CAR,@,NYJ,W 35-27,*,12,7,108,15.43,0,58.3%,9.00,,0,0
43,2017,2017-12-03,12,23.196,CAR,@,NOR,L 21-31,*,7,4,60,15.00,1,57.1%,8.57,,1,6
44,2017,2017-12-10,13,23.203,CAR,,MIN,W 31-24,*,7,3,59,19.67,1,42.9%,8.43,,1,6
45,2017,2017-12-17,14,23.210,CAR,,GNB,W 31-24,*,4,1,19,19.00,0,25.0%,4.75,,0,0
46,2017,2017-12-24,15,23.217,CAR,,TAM,W 22-19,*,4,3,11,3.67,0,75.0%,2.75,,0,0
47,2017,2017-12-31,16,23.224,CAR,@,ATL,L 10-22,*,6,2,48,24.00,1,33.3%,8.00,,1,6
48,2018,2018-09-09,1,24.111,CAR,,DAL,W 16-8,*,5,3,41,13.67,0,60.0%,8.20,,0,0
49,2018,2018-09-16,2,24.118,CAR,@,ATL,L 24-31,*,9,7,77,11.00,0,77.8%,8.56,,0,0
50,2018,2018-09-23,3,24.125,CAR,,CIN,W 31-21,*,7,4,67,16.75,1,57.1%,9.57,,1,6
