ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
25,1979,1979-10-28,9,25.240,PHI,@,CIN,L 13-37,,,,,,,,,,,,,,,,,,,,,,,,
26,1979,1979-11-04,10,25.247,PHI,,CLE,L 19-24,0,0,,0,0,0,,0,0,0,,0,0,,,3,50,16.67,0,0,0,0,0,0
27,1979,1979-11-12,11,25.255,PHI,@,DAL,W 31-21,0,0,,0,0,0,,0,0,0,,0,0,,,6,83,13.83,0,0,0,0,0,0
28,1979,1979-11-18,12,25.261,PHI,,STL,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,,,3,17,5.67,0,0,0,0,0,0
29,1979,1979-11-25,13,25.268,PHI,@,GNB,W 21-10,,,,,,,,,,,,,,,,,,,,,,,,
30,1979,1979-12-02,14,25.275,PHI,,DET,W 44-7,0,0,,0,0,0,,0,0,0,,0,0,,,4,32,8.00,0,0,0,0,0,0
31,1979,1979-12-08,15,25.281,PHI,,DAL,L 17-24,,,,,,,,,,,,,,,,,,,,,,,,
32,1979,1979-12-16,16,25.289,PHI,@,HOU,W 26-20,,,,,,,,,,,,,,,,,,,,,,,,
33,1980,1980-09-07,1,26.189,PHI,,DEN,W 27-6,,,,,,,,,,,,,,,,,,,,,,,,
34,1980,1980-09-14,2,26.196,PHI,@,MIN,W 42-7,0,0,,0,0,0,,0,0,0,,0,0,,,4,34,8.50,0,0,0,0,0,0
35,1980,1980-09-22,3,26.204,PHI,,NYG,W 35-3,,,,,,,,,,,,,,,,,,,,,,,,
36,1980,1980-09-28,4,26.210,PHI,@,STL,L 14-24,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
37,1980,1980-10-05,5,26.217,PHI,,WAS,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,0,0,0
38,1980,1980-10-12,6,26.224,PHI,@,NYG,W 31-16,,,,,,,,,,,,,,,,,,,,,,,,
39,1980,1980-10-19,7,26.231,PHI,,DAL,W 17-10,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
40,1980,1980-10-26,8,26.238,PHI,,CHI,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,6.00,0,0,0,0,0,0
41,1980,1980-11-02,9,26.245,PHI,@,SEA,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,,,2,29,14.50,0,0,0,0,0,0
42,1980,1980-11-09,10,26.252,PHI,@,NOR,W 34-21,0,0,,0,0,0,,0,0,0,,0,0,,,4,52,13.00,0,0,0,0,0,0
43,1980,1980-11-16,11,26.259,PHI,@,WAS,W 24-0,0,0,,0,0,0,,0,0,0,,0,0,,,5,47,9.40,0,0,0,0,0,0
44,1980,1980-11-23,12,26.266,PHI,,OAK,W 10-7,0,0,,0,0,0,,0,0,0,,0,0,,,7,56,8.00,0,0,0,0,0,0
45,1980,1980-11-30,13,26.273,PHI,@,SDG,L 21-22,0,0,,0,0,0,,0,0,0,,0,0,,,3,46,15.33,0,0,0,0,0,0
46,1980,1980-12-07,14,26.280,PHI,,ATL,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,,,3,31,10.33,0,0,0,0,0,0
47,1980,1980-12-14,15,26.287,PHI,,STL,W 17-3,1,9,9.00,0,0,0,,0,0,0,,0,0,,,5,24,4.80,0,0,0,0,0,0
48,1980,1980-12-21,16,26.294,PHI,@,DAL,L 27-35,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0,0,0
49,1981,1981-09-06,1,27.188,PHI,@,NYG,W 24-10,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,
50,1981,1981-10-25,8,27.237,PHI,,TAM,W 20-10,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,
51,1981,1981-11-01,9,27.244,PHI,,DAL,L 14-17,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,
52,1981,1981-11-08,10,27.251,PHI,@,STL,W 52-10,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,
53,1981,1981-11-15,11,27.258,PHI,,BAL,W 38-13,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,
54,1981,1981-11-22,12,27.265,PHI,,NYG,L 10-20,0,0,,0,0,0,,0,0,0,,,,,,3,26,8.67,0,0,0,0,0,0
55,1981,1981-11-30,13,27.273,PHI,@,MIA,L 10-13,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,
56,1981,1981-12-06,14,27.279,PHI,@,WAS,L 13-15,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,0,0
57,1981,1981-12-13,15,27.286,PHI,@,DAL,L 10-21,0,0,,0,0,0,,0,0,0,,,,,,1,0,0.00,0,0,0,0,0,0
58,1981,1981-12-20,16,27.293,PHI,,STL,W 38-0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,1,0,0
59,1982,1982-09-12,1,28.194,PHI,,WAS,L 34-37,0,0,,0,0,0,,0,0,0,,,,,,2,5,2.50,0,0,0,0,0,0
60,1982,1982-11-21,3,28.264,PHI,,CIN,L 14-18,,,,,,,,,,,,,,,,0,0,,0,,,,,
61,1982,1982-11-28,4,28.271,PHI,@,WAS,L 9-13,,,,,,,,,,,,,,,,0,0,,0,,,,,
62,1982,1982-12-05,5,28.278,PHI,,STL,L 20-23,,,,,,,,,,,,,,,,0,0,,0,,,,,
63,1982,1982-12-11,6,28.284,PHI,@,NYG,L 7-23,,,,,,,,,,,,,,,,0,0,,0,,,,,
64,1982,1982-12-19,7,28.292,PHI,,HOU,W 35-14,,,,,,,,,,,,,,,,0,0,,0,,,,,
65,1982,1982-12-26,8,28.299,PHI,@,DAL,W 24-20,,,,,,,,,,,,,,,,0,0,,0,,,,,
66,1982,1983-01-02,9,28.306,PHI,,NYG,L 24-26,,,,,,,,,,,,,,,,0,0,,0,,,,,
67,1983,1983-09-03,1,29.185,PHI,@,SFO,W 22-17,0,0,,0,0,0,,0,0,0,,,,,,2,11,5.50,0,0,0,0,0,0
68,1983,1983-09-11,2,29.193,PHI,,WAS,L 13-23,0,0,,0,0,0,,0,0,0,,,,,,4,26,6.50,0,0,0,0,0,0
69,1983,1983-09-25,4,29.207,PHI,,STL,L 11-14,,,,,,,,,,,,,,,,0,0,,0,,,,,
70,1983,1983-11-06,10,29.249,PHI,,DAL,L 20-27,0,0,,0,0,0,,0,0,0,,,,,,4,40,10.00,0,0,0,0,0,0
71,1983,1983-11-13,11,29.256,PHI,@,CHI,L 14-17,0,0,,0,0,0,,0,0,0,,,,,,3,13,4.33,0,0,0,0,0,0
72,1983,1983-11-20,12,29.263,PHI,,NYG,L 0-23,0,0,,0,0,0,,0,0,0,,,,,,3,10,3.33,0,0,0,0,0,0
73,1983,1983-11-27,13,29.270,PHI,@,WAS,L 24-28,0,0,,0,0,0,,0,0,0,,,,,,2,0,0.00,0,0,0,0,0,0
74,1983,1983-12-04,14,29.277,PHI,,RAM,W 13-9,0,0,,0,0,0,,0,0,0,,,,,,4,15,3.75,0,0,0,0,0,0
75,1983,1983-12-11,15,29.284,PHI,,NOR,L 17-20,,,,,,,,,,,,,,,,0,0,,0,,,,,
76,1983,1983-12-18,16,29.291,PHI,@,STL,L 7-31,,,,,,,,,,,,,,,,0,0,,0,,,,,
