ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
27,2006,2006-10-22,6,24.052,SEA,,MIN,L 13-31,,,,,,,,,,,,,,
28,2006,2006-10-29,7,24.059,SEA,@,KAN,L 28-35,*,,,,,,,,,,,,,
29,2006,2006-11-06,8,24.067,SEA,,OAK,W 16-0,*,,,,,,,,,,,,,
30,2006,2006-11-12,9,24.073,SEA,,STL,W 24-22,*,,,,,,,,,,,,,
31,2006,2006-11-19,10,24.080,SEA,@,SFO,L 14-20,*,,,,,,,,,,,,,
32,2006,2006-11-27,11,24.088,SEA,,GNB,W 34-24,*,,,,,,,,,,,,,
33,2006,2006-12-03,12,24.094,SEA,@,DEN,W 23-20,*,0,0,,0,,0,0,0.0,,,1,20,0
34,2006,2006-12-10,13,24.101,SEA,@,ARI,L 21-27,*,,,,,,,,,,,,,
35,2006,2006-12-14,14,24.105,SEA,,SFO,L 14-24,*,,,,,,,,,,,,,
36,2006,2006-12-24,15,24.115,SEA,,SDG,L 17-20,,,,,,,,,,,,,,
37,2006,2006-12-31,16,24.122,SEA,@,TAM,W 23-7,,,,,,,,,,,,,,
38,2007,2007-09-09,1,25.009,SEA,,TAM,W 20-6,,,,,,,,,,,,,,
39,2007,2007-09-16,2,25.016,SEA,@,ARI,L 20-23,,,,,,,,,,,,,,
40,2007,2007-09-23,3,25.023,SEA,,CIN,W 24-21,,,,,,,,,,,,,,
41,2007,2007-09-30,4,25.030,SEA,@,SFO,W 23-3,,,,,,,,,,,,,,
42,2007,2007-10-07,5,25.037,SEA,@,PIT,L 0-21,,,,,,,,,,,,,,
43,2007,2007-10-14,6,25.044,SEA,,NOR,L 17-28,,,,,,,,,,,,,,
44,2007,2007-10-21,7,25.051,SEA,,STL,W 33-6,,,,,,,,,,,,,,
45,2007,2007-11-04,8,25.065,SEA,@,CLE,L 30-33,,,,,,,,,,,,,,
46,2007,2007-11-12,9,25.073,SEA,,SFO,W 24-0,,0,0,,0,,0,0,1.0,,,0,0,0
47,2007,2007-11-18,10,25.079,SEA,,CHI,W 30-23,,,,,,,,,,,,,,
48,2007,2007-11-25,11,25.086,SEA,@,STL,W 24-19,,,,,,,,,,,,,,
49,2007,2007-12-02,12,25.093,SEA,@,PHI,W 28-24,,,,,,,,,,,,,,
50,2007,2007-12-09,13,25.100,SEA,,ARI,W 42-21,,0,0,,0,,0,0,0.0,,,1,0,0
51,2007,2007-12-16,14,25.107,SEA,@,CAR,L 10-13,,,,,,,,,,,,,,
52,2007,2007-12-23,15,25.114,SEA,,BAL,W 27-6,,,,,,,,,,,,,,
53,2007,2007-12-30,16,25.121,SEA,@,ATL,L 41-44,,,,,,,,,,,,,,
54,2008,2008-09-14,2,26.014,SEA,,SFO,L 30-33,,0,0,,0,,0,0,0.0,1,0,0,0,0
55,2008,2008-09-21,3,26.021,SEA,,STL,W 37-13,,0,0,,0,,0,0,0.0,1,0,0,0,0
56,2008,2008-10-05,4,26.035,SEA,@,NYG,L 6-44,,0,0,,0,,0,0,0.0,4,1,0,0,0
57,2008,2008-10-12,5,26.042,SEA,,GNB,L 17-27,,0,0,,0,,0,0,0.0,3,1,0,0,0
58,2008,2008-10-19,6,26.049,SEA,@,TAM,L 10-20,*,0,0,,0,,0,0,0.0,7,0,0,0,0
59,2008,2008-10-26,7,26.056,SEA,@,SFO,W 34-13,,0,0,,0,,0,0,0.0,1,1,0,0,0
60,2008,2008-11-02,8,26.063,SEA,,PHI,L 7-26,,0,0,,0,,0,0,0.0,7,0,0,0,0
61,2008,2008-11-09,9,26.070,SEA,@,MIA,L 19-21,,0,0,,0,,1,6,0.0,3,0,1,35,1
62,2008,2008-11-16,10,26.077,SEA,,ARI,L 20-26,,0,0,,0,,0,0,0.0,7,0,0,0,0
63,2008,2008-11-23,11,26.084,SEA,,WAS,L 17-20,,0,0,,0,,0,0,0.0,1,0,0,0,0
64,2008,2008-11-27,12,26.088,SEA,@,DAL,L 9-34,,0,0,,0,,0,0,0.0,4,0,0,0,0
65,2008,2008-12-07,13,26.098,SEA,,NWE,L 21-24,,0,0,,0,,0,0,0.0,2,0,0,0,0
66,2008,2008-12-14,14,26.105,SEA,@,STL,W 23-20,,0,0,,0,,1,6,0.0,3,0,0,0,0
67,2008,2008-12-28,16,26.119,SEA,@,ARI,L 21-34,,0,0,,0,,0,0,0.0,1,0,0,0,0
68,2009,2009-09-13,1,27.013,SEA,,STL,W 28-0,*,0,0,,0,,0,0,0.0,3,2,0,0,0
69,2009,2009-09-20,2,27.020,SEA,@,SFO,L 10-23,*,0,0,,0,,0,0,0.0,8,0,0,0,0
70,2009,2009-09-27,3,27.027,SEA,,CHI,L 19-25,*,0,0,,0,,0,0,0.0,2,3,0,0,0
71,2009,2009-10-04,4,27.034,SEA,@,IND,L 17-34,*,0,0,,0,,0,0,0.0,7,3,0,0,0
72,2009,2009-10-11,5,27.041,SEA,,JAX,W 41-0,*,0,0,,0,,0,0,0.0,2,1,0,0,0
73,2009,2009-10-18,6,27.048,SEA,,ARI,L 3-27,*,0,0,,0,,0,0,0.0,4,1,1,18,0
74,2009,2009-11-01,7,27.062,SEA,@,DAL,L 17-38,*,0,0,,0,,0,0,0.0,4,2,0,0,0
75,2009,2009-11-08,8,27.069,SEA,,DET,W 32-20,*,0,0,,0,,0,0,1.0,3,2,0,0,0
76,2009,2009-11-15,9,27.076,SEA,@,ARI,L 20-31,*,0,0,,0,,0,0,0.0,7,0,0,0,0
77,2009,2009-11-22,10,27.083,SEA,@,MIN,L 9-35,*,0,0,,0,,0,0,0.0,6,5,0,0,0
78,2009,2009-11-29,11,27.090,SEA,@,STL,W 27-17,*,0,0,,0,,0,0,0.0,12,1,1,0,0
79,2009,2009-12-06,12,27.097,SEA,,SFO,W 20-17,*,0,0,,0,,0,0,0.5,6,3,0,0,0
80,2009,2009-12-13,13,27.104,SEA,@,HOU,L 7-34,*,0,0,,0,,0,0,0.0,3,3,0,0,0
81,2009,2009-12-20,14,27.111,SEA,,TAM,L 7-24,*,0,0,,0,,0,0,0.0,7,0,0,0,0
82,2009,2009-12-27,15,27.118,SEA,@,GNB,L 10-48,*,0,0,,0,,0,0,0.0,0,1,0,0,0
83,2009,2010-01-03,16,27.125,SEA,,TEN,L 13-17,*,0,0,,0,,0,0,0.0,1,3,0,0,0
84,2010,2010-09-12,1,28.012,SEA,,SFO,W 31-6,,0,0,,0,,0,0,0.0,5,2,1,20,0
85,2010,2010-09-19,2,28.019,SEA,@,DEN,L 14-31,,0,0,,0,,0,0,0.0,3,0,0,0,0
86,2010,2010-09-26,3,28.026,SEA,,SDG,W 27-20,,0,0,,0,,0,0,0.0,2,1,0,0,0
87,2010,2010-10-03,4,28.033,SEA,@,STL,L 3-20,,0,0,,0,,0,0,0.0,1,0,0,0,0
88,2010,2010-10-17,5,28.047,SEA,@,CHI,W 23-20,,0,0,,0,1,0,2,1.5,3,1,0,0,0
89,2010,2010-10-24,6,28.054,SEA,,ARI,W 22-10,,0,0,,0,,0,0,0.0,1,0,0,0,0
90,2010,2010-10-31,7,28.061,SEA,@,OAK,L 3-33,,0,0,,0,,0,0,0.0,0,1,0,0,0
91,2010,2010-11-07,8,28.068,SEA,,NYG,L 7-41,,0,0,,0,,0,0,0.0,2,0,0,0,0
92,2010,2010-11-14,9,28.075,SEA,@,ARI,W 36-18,,0,0,,0,,0,0,0.0,1,0,0,0,0
93,2010,2010-11-21,10,28.082,SEA,@,NOR,L 19-34,,0,0,,0,,0,0,0.0,0,1,0,0,0
94,2010,2010-11-28,11,28.089,SEA,,KAN,L 24-42,,,,,,,,,,,,,,
95,2010,2010-12-05,12,28.096,SEA,,CAR,W 31-14,,0,0,,0,,0,0,0.0,1,0,0,0,0
96,2010,2010-12-12,13,28.103,SEA,@,SFO,L 21-40,,0,0,,0,,0,0,0.0,1,0,0,0,0
97,2010,2010-12-19,14,28.110,SEA,,ATL,L 18-34,,0,0,,0,,0,0,0.0,1,1,1,17,0
98,2010,2010-12-26,15,28.117,SEA,@,TAM,L 15-38,,0,0,,0,,0,0,0.0,2,0,0,0,0
99,2010,2011-01-02,16,28.124,SEA,,STL,W 16-6,,0,0,,0,,0,0,0.0,4,2,0,0,0
100,2011,2011-09-11,1,29.011,TEN,@,JAX,L 14-16,,,,,,,,,,,,,,
101,2011,2011-09-18,2,29.018,TEN,,BAL,W 26-13,*,0,0,,0,,0,0,0.0,2,0,0,0,0
102,2011,2011-09-25,3,29.025,TEN,,DEN,W 17-14,*,0,0,,0,,0,0,0.0,6,2,0,0,0
103,2011,2011-10-02,4,29.032,TEN,@,CLE,W 31-13,,0,0,,0,,0,6,0.0,4,0,1,97,1
104,2011,2011-10-09,5,29.039,TEN,@,PIT,L 17-38,*,0,0,,0,,0,0,0.0,5,5,0,0,0
105,2011,2011-10-23,6,29.053,TEN,,HOU,L 7-41,*,0,0,,0,,0,0,0.0,9,2,0,0,0
106,2011,2011-10-30,7,29.060,TEN,,IND,W 27-10,*,0,0,,0,,0,0,0.0,3,4,0,0,0
107,2011,2011-11-06,8,29.067,TEN,,CIN,L 17-24,*,0,0,,0,,0,0,0.0,9,1,0,0,0
108,2011,2011-11-13,9,29.074,TEN,@,CAR,W 30-3,*,0,0,,0,,0,0,0.0,6,0,0,0,0
109,2011,2011-11-20,10,29.081,TEN,@,ATL,L 17-23,*,0,0,,0,,0,0,0.0,6,0,0,0,0
110,2011,2011-11-27,11,29.088,TEN,,TAM,W 23-17,*,0,0,,0,,0,0,0.0,4,2,0,0,0
111,2011,2011-12-04,12,29.095,TEN,@,BUF,W 23-17,*,0,0,,0,,0,0,0.0,1,1,0,0,0
112,2011,2011-12-11,13,29.102,TEN,,NOR,L 17-22,*,0,0,,0,,0,0,0.0,2,2,0,0,0
113,2011,2011-12-18,14,29.109,TEN,@,IND,L 13-27,*,0,0,,0,,0,0,0.0,3,1,0,0,0
114,2011,2011-12-24,15,29.115,TEN,,JAX,W 23-17,*,0,0,,0,,0,0,0.0,3,1,0,0,0
115,2011,2012-01-01,16,29.123,TEN,@,HOU,W 23-22,*,0,0,,0,,0,0,0.0,5,0,0,0,0
116,2012,2012-09-09,1,30.009,TEN,,NWE,L 13-34,,0,0,,0,,0,0,0.0,2,0,0,0,0
117,2012,2012-09-16,2,30.016,TEN,@,SDG,L 10-38,,0,0,,0,,0,0,0.0,1,1,0,0,0
118,2012,2012-09-23,3,30.023,TEN,,DET,W 44-41,*,0,0,,0,,0,0,0.0,3,2,0,0,0
119,2012,2012-09-30,4,30.030,TEN,@,HOU,L 14-38,*,0,0,,0,,0,0,0.0,7,3,0,0,0
120,2012,2012-10-07,5,30.037,TEN,@,MIN,L 7-30,*,1,10,10.00,0,,0,0,0.0,4,3,1,10,0
121,2012,2012-10-11,6,30.041,TEN,,PIT,W 26-23,*,0,0,,0,,0,0,0.0,7,2,0,0,0
122,2012,2012-10-21,7,30.051,TEN,@,BUF,W 35-34,*,0,0,,0,,0,0,0.0,8,4,0,0,0
123,2012,2012-10-28,8,30.058,TEN,,IND,L 13-19,*,0,0,,0,,0,0,0.0,6,5,0,0,0
124,2012,2012-11-04,9,30.065,TEN,,CHI,L 20-51,*,0,0,,0,,0,0,0.0,2,2,0,0,0
125,2012,2012-11-11,10,30.072,TEN,@,MIA,W 37-3,*,0,0,,0,,0,0,0.0,0,1,0,0,0
126,2012,2012-11-25,11,30.086,TEN,@,JAX,L 19-24,*,0,0,,0,,0,0,0.0,4,0,0,0,0
127,2012,2012-12-02,12,30.093,TEN,,HOU,L 10-24,*,0,0,,0,,0,0,0.0,5,1,0,0,0
128,2012,2012-12-09,13,30.100,TEN,@,IND,L 23-27,*,0,0,,0,,0,0,0.0,6,2,0,0,0
129,2012,2012-12-17,14,30.108,TEN,,NYJ,W 14-10,,0,0,,0,,0,0,0.0,4,1,0,0,0
130,2012,2012-12-23,15,30.114,TEN,@,GNB,L 7-55,*,0,0,,0,,0,0,0.0,0,1,0,0,0
131,2012,2012-12-30,16,30.121,TEN,,JAX,W 38-20,,0,0,,0,,0,0,0.0,0,0,0,0,0
