ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
21,1962,1962-10-28,7,24.008,HOU,,DTX,L 7-31,0,0,,0,0,0,,0,0,0,0,0,0,1,55,55.00,0
22,1962,1962-11-04,8,24.015,HOU,@,DTX,W 14-6,0,0,,0,0,0,,0,0,0,0,0,0,5,218,43.60,0
23,1962,1962-11-11,9,24.022,HOU,@,OAK,W 28-20,0,0,,0,0,0,,0,0,0,0,0,0,5,181,36.20,0
24,1962,1962-11-18,10,24.029,HOU,,BOS,W 21-17,0,0,,0,0,0,,0,0,0,0,0,0,4,146,36.50,0
25,1962,1962-11-25,11,24.036,HOU,,SDG,W 33-27,0,0,,0,0,0,,0,0,0,1,10,0,4,177,44.25,0
26,1962,1962-12-02,12,24.043,HOU,,DEN,W 34-17,0,0,,0,0,0,,0,0,0,3,22,0,5,205,41.00,0
27,1962,1962-12-09,13,24.050,HOU,,OAK,W 32-17,0,0,,0,0,0,,0,0,0,1,36,0,6,261,43.50,0
28,1962,1962-12-15,14,24.056,HOU,@,NYT,W 44-10,0,0,,0,0,0,,0,0,0,0,0,0,3,72,24.00,0
29,1963,1963-09-07,1,24.322,HOU,,OAK,L 13-24,0,0,,0,0,0,,0,0,0,1,5,0,2,79,39.50,0
30,1963,1963-09-14,2,24.329,HOU,,DEN,W 20-14,0,0,,0,0,0,,0,0,0,0,0,0,3,116,38.67,0
31,1963,1963-09-22,3,24.337,HOU,@,NYJ,L 17-24,0,0,,0,0,0,,0,0,0,1,8,0,5,213,42.60,0
32,1963,1963-09-28,4,24.343,HOU,@,BUF,W 31-20,0,0,,0,0,0,,0,0,0,0,0,0,3,129,43.00,0
33,1963,1963-10-06,5,24.351,HOU,@,KAN,L 7-28,0,0,,0,0,0,,0,0,0,0,0,0,3,148,49.33,0
34,1963,1963-10-13,6,24.358,HOU,@,DEN,W 33-24,0,0,,0,0,0,,0,0,0,1,0,0,7,265,37.86,0
35,1963,1963-10-20,7,25.000,HOU,,BUF,W 28-14,0,0,,0,0,0,,0,0,0,1,14,0,10,471,47.10,0
36,1963,1963-10-27,8,25.007,HOU,,KAN,W 28-7,0,0,,0,0,0,,0,0,0,0,0,0,3,130,43.33,0
37,1963,1963-11-01,9,25.012,HOU,@,BOS,L 3-45,0,0,,0,0,0,,0,0,0,0,0,0,7,284,40.57,0
38,1963,1963-11-10,10,25.021,HOU,,NYJ,W 31-27,0,0,,0,0,0,,0,0,0,0,0,0,4,169,42.25,0
39,1963,1963-12-01,11,25.042,HOU,@,SDG,L 0-27,0,0,,0,0,0,,0,0,0,2,59,0,4,160,40.00,0
40,1963,1963-12-08,12,25.049,HOU,,BOS,L 28-46,1,15,15.00,0,0,0,,0,0,0,0,0,0,5,232,46.40,0
41,1963,1963-12-15,13,25.056,HOU,,SDG,L 14-20,0,0,,0,0,0,,0,0,0,0,0,0,4,186,46.50,0
42,1963,1963-12-22,14,25.063,HOU,@,OAK,L 49-52,0,0,,0,0,0,,0,0,0,0,0,0,5,210,42.00,0
43,1964,1964-09-12,1,25.328,HOU,@,SDG,L 21-27,0,0,,0,0,0,,0,0,0,0,0,0,3,119,39.67,0
44,1964,1964-09-19,2,25.335,HOU,,OAK,W 42-28,0,0,,0,0,0,,0,0,0,0,0,0,4,180,45.00,0
45,1964,1964-09-27,3,25.343,HOU,@,DEN,W 38-17,0,0,,0,0,0,,0,0,0,0,0,0,4,194,48.50,0
46,1964,1964-10-04,4,25.350,HOU,@,KAN,L 7-28,0,0,,0,0,0,,0,0,0,0,0,0,6,263,43.83,0
47,1964,1964-10-11,5,25.357,HOU,,BUF,L 17-48,0,0,,0,0,0,,0,0,0,0,0,0,10,395,39.50,1
48,1964,1964-10-17,6,25.363,HOU,@,NYJ,L 21-24,0,0,,0,0,0,,0,0,0,0,0,0,5,214,42.80,0
49,1964,1964-10-25,7,26.005,HOU,,SDG,L 17-20,0,0,,0,0,0,,0,0,0,0,0,0,4,173,43.25,0
50,1964,1964-11-01,8,26.012,HOU,@,BUF,L 10-24,0,0,,0,0,0,,0,0,0,2,31,0,2,88,44.00,0
51,1964,1964-11-06,9,26.017,HOU,@,BOS,L 24-25,0,0,,0,0,0,,0,0,0,0,0,0,3,110,36.67,0
52,1964,1964-11-15,10,26.026,HOU,@,OAK,L 10-20,0,0,,0,0,0,,0,0,0,0,0,0,4,156,39.00,0
53,1964,1964-11-22,11,26.033,HOU,,KAN,L 19-28,0,0,,0,0,0,,0,0,0,0,0,0,2,108,54.00,0
54,1964,1964-11-29,12,26.040,HOU,,BOS,L 17-34,0,0,,0,0,0,,0,0,0,0,0,0,4,180,45.00,0
55,1964,1964-12-13,13,26.054,HOU,,NYJ,W 33-17,0,0,,0,0,0,,0,0,0,0,0,0,3,73,24.33,1
56,1964,1964-12-20,14,26.061,HOU,,DEN,W 34-15,0,0,,0,0,0,,0,0,0,0,0,0,1,16,16.00,0
57,1965,1965-09-12,1,26.327,HOU,,NYJ,W 27-21,0,0,,0,0,0,,0,0,0,0,0,0,6,262,43.67,0
58,1965,1965-09-19,2,26.334,HOU,,BOS,W 31-10,0,0,,0,0,0,,0,0,0,2,18,0,4,199,49.75,0
59,1965,1965-09-26,3,26.341,HOU,@,OAK,L 17-21,0,0,,0,0,0,,0,0,0,0,0,0,8,355,44.38,0
60,1965,1965-10-03,4,26.348,HOU,@,SDG,L 14-31,0,0,,0,0,0,,0,0,0,0,0,0,9,404,44.89,0
61,1965,1965-10-17,5,26.362,HOU,@,DEN,L 17-28,0,0,,0,0,0,,0,0,0,1,3,0,7,306,43.71,0
62,1965,1965-10-24,6,27.004,HOU,,KAN,W 38-36,0,0,,0,0,0,,0,0,0,1,17,0,7,288,41.14,1
63,1965,1965-10-31,7,27.011,HOU,@,BUF,W 19-17,0,0,,0,0,0,,0,0,0,0,0,0,6,259,43.17,0
64,1965,1965-11-07,8,27.018,HOU,,OAK,L 21-33,0,0,,0,0,0,,0,0,0,1,9,0,5,194,38.80,0
65,1965,1965-11-14,9,27.025,HOU,,DEN,L 21-31,0,0,,0,0,0,,0,0,0,1,0,0,6,296,49.33,0
66,1965,1965-11-21,10,27.032,HOU,@,NYJ,L 14-41,0,0,,0,0,0,,0,0,0,0,0,0,5,221,44.20,0
67,1965,1965-11-28,11,27.039,HOU,@,KAN,L 21-52,0,0,,0,0,0,,0,0,0,0,0,0,4,151,37.75,0
68,1965,1965-12-05,12,27.046,HOU,,BUF,L 18-29,0,0,,0,0,0,,0,0,0,1,5,0,4,209,52.25,0
69,1965,1965-12-12,13,27.053,HOU,,SDG,L 26-37,0,0,,0,0,0,,0,0,0,0,0,0,6,246,41.00,0
70,1965,1965-12-18,14,27.059,HOU,@,BOS,L 14-42,0,0,,0,0,0,,0,0,0,0,0,0,8,316,39.50,0
71,1966,1966-09-03,1,27.318,HOU,,DEN,W 45-7,0,0,,0,0,0,,0,0,0,0,0,0,2,98,49.00,0
72,1966,1966-09-10,2,27.325,HOU,,OAK,W 31-0,0,0,,0,0,0,,0,0,0,1,56,0,5,218,43.60,0
73,1966,1966-09-18,3,27.333,HOU,@,NYJ,L 13-52,0,0,,0,0,0,,0,0,0,0,0,0,5,204,40.80,0
74,1966,1966-09-25,4,27.340,HOU,@,BUF,L 20-27,0,0,,0,0,0,,0,0,0,0,0,0,5,174,34.80,0
75,1966,1966-10-02,5,27.347,HOU,@,DEN,L 38-40,0,0,,0,0,0,,0,0,0,0,0,0,4,195,48.75,0
76,1966,1966-10-16,6,27.361,HOU,,NYJ,W 24-0,0,0,,0,0,0,,0,0,0,1,47,0,5,227,45.40,0
77,1966,1966-10-23,7,28.003,HOU,,MIA,L 13-20,0,0,,0,0,0,,0,0,0,0,0,0,4,183,45.75,0
78,1966,1966-10-30,8,28.010,HOU,@,KAN,L 23-48,0,0,,0,0,0,,0,0,0,0,0,0,5,194,38.80,0
79,1966,1966-11-06,9,28.017,HOU,@,OAK,L 23-38,0,0,,0,0,0,,0,0,0,1,9,0,6,243,40.50,0
80,1966,1966-11-13,10,28.024,HOU,@,BOS,L 21-27,0,0,,0,0,0,,0,0,0,0,0,0,6,234,39.00,0
81,1966,1966-11-20,11,28.031,HOU,,BUF,L 20-42,0,0,,0,0,0,,0,0,0,0,0,0,7,356,50.86,0
82,1966,1966-12-04,12,28.045,HOU,,SDG,L 22-28,0,0,,0,0,0,,0,0,0,0,0,0,4,178,44.50,0
83,1966,1966-12-11,13,28.052,HOU,,BOS,L 14-38,0,0,,0,0,0,,0,0,0,0,0,0,6,209,34.83,0
84,1966,1966-12-18,14,28.059,HOU,@,MIA,L 28-29,0,0,,0,0,0,,0,0,0,1,13,0,5,200,40.00,0
85,1967,1967-09-09,1,28.324,HOU,,KAN,L 20-25,0,0,,0,0,0,,0,0,0,0,0,0,2,80,40.00,0
86,1967,1967-09-17,2,28.332,HOU,@,BUF,W 20-3,0,0,,0,0,0,,0,0,0,1,19,0,7,300,42.86,0
87,1967,1967-09-24,3,28.339,HOU,@,SDG,L 3-13,0,0,,0,0,0,,0,0,0,0,0,0,6,244,40.67,0
88,1967,1967-10-01,4,28.346,HOU,,DEN,W 10-6,0,0,,0,0,0,,0,0,0,1,26,0,4,194,48.50,0
89,1967,1967-10-15,5,28.360,HOU,@,NYJ,T 28-28,0,0,,0,0,0,,0,0,0,1,3,0,7,280,40.00,0
90,1967,1967-10-22,6,29.002,HOU,@,KAN,W 24-19,0,0,,0,0,0,,0,1,6,2,23,1,7,329,47.00,0
91,1967,1967-10-29,7,29.009,HOU,,BUF,W 10-3,1,-7,-7.00,0,0,0,,0,0,0,1,2,0,4,130,32.50,1
92,1967,1967-11-05,8,29.016,HOU,@,BOS,L 7-18,0,0,,0,0,0,,0,0,0,0,0,0,8,331,41.38,0
93,1967,1967-11-12,9,29.023,HOU,@,DEN,W 20-18,0,0,,0,0,0,,0,0,0,0,0,0,5,226,45.20,0
94,1967,1967-11-26,10,29.037,HOU,,BOS,W 27-6,0,0,,0,0,0,,0,0,0,0,0,0,4,191,47.75,0
95,1967,1967-12-03,11,29.044,HOU,,MIA,W 17-14,0,0,,0,0,0,,0,0,0,0,0,0,3,127,42.33,0
96,1967,1967-12-10,12,29.051,HOU,,OAK,L 7-19,0,0,,0,0,0,,0,0,0,0,0,0,7,285,40.71,0
97,1967,1967-12-16,13,29.057,HOU,,SDG,W 24-17,0,0,,0,0,0,,0,0,0,0,0,0,3,131,43.67,0
98,1967,1967-12-23,14,29.064,HOU,@,MIA,W 41-10,0,0,,0,0,0,,0,0,0,0,0,0,4,178,44.50,0
99,1968,1968-09-09,1,29.325,HOU,,KAN,L 21-26,0,0,,0,0,0,,0,0,0,0,0,0,6,279,46.50,0
100,1968,1968-09-14,2,29.330,HOU,@,MIA,W 24-10,0,0,,0,0,0,,0,0,0,1,0,0,3,149,49.67,0
101,1968,1968-09-21,3,29.337,HOU,@,SDG,L 14-30,0,0,,0,0,0,,0,0,0,0,0,0,5,202,40.40,0
102,1968,1968-09-29,4,29.345,HOU,,OAK,L 15-24,0,0,,0,0,0,,0,0,0,1,0,0,6,270,45.00,0
103,1968,1968-10-06,5,29.352,HOU,,MIA,L 7-24,0,0,,0,0,0,,0,0,0,0,0,0,3,128,42.67,0
104,1968,1968-10-13,6,29.359,HOU,@,BOS,W 16-0,0,0,,0,0,0,,0,0,0,0,0,0,7,283,40.43,0
105,1968,1968-10-20,7,30.000,HOU,,NYJ,L 14-20,0,0,,0,0,0,,0,0,0,0,0,0,9,358,39.78,1
106,1968,1968-10-27,8,30.007,HOU,@,BUF,W 30-7,1,20,20.00,0,0,0,,0,0,0,0,0,0,5,223,44.60,0
107,1968,1968-11-03,9,30.014,HOU,@,CIN,W 27-17,0,0,,0,0,0,,0,0,0,0,0,0,2,74,37.00,0
108,1968,1968-11-10,10,30.021,HOU,@,NYJ,L 7-26,0,0,,0,0,0,,0,0,0,0,0,0,8,311,38.88,0
109,1968,1968-11-17,11,30.028,HOU,,DEN,W 38-17,0,0,,0,0,0,,0,0,0,0,0,0,5,210,42.00,0
110,1968,1968-11-28,12,30.039,HOU,@,KAN,L 10-24,0,0,,0,0,0,,0,0,0,0,0,0,7,223,31.86,1
111,1968,1968-12-07,13,30.048,HOU,,BUF,W 35-6,0,0,,0,0,0,,0,0,0,0,0,0,4,174,43.50,0
112,1968,1968-12-15,14,30.056,HOU,,BOS,W 45-17,0,0,,0,0,0,,0,0,0,0,0,0,3,121,40.33,0
