ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
33,1969,1969-09-28,2,27.004,RAM,,ATL,W 17-7,0,0,,0,0,0,,0,0,0,1,9,0
34,1969,1969-11-16,9,27.053,RAM,@,PHI,W 23-17,0,0,,0,0,0,,0,0,0,1,31,0
35,1969,1969-11-23,10,27.060,RAM,,DAL,W 24-23,0,0,,0,0,0,,0,0,0,1,17,0
36,1969,1969-12-21,14,27.088,RAM,,BAL,L 7-13,0,0,,0,0,0,,0,0,0,1,40,0
37,1970,1970-09-18,1,27.359,RAM,,STL,W 34-13,,,,,,,,,,,,,
38,1970,1970-09-27,2,28.003,RAM,@,BUF,W 19-0,0,0,,0,0,0,,0,0,0,3,43,0
39,1970,1970-10-04,3,28.010,RAM,,SDG,W 37-10,,,,,,,,,,,,,
40,1970,1970-10-11,4,28.017,RAM,,SFO,L 6-20,,,,,,,,,,,,,
41,1970,1970-10-18,5,28.024,RAM,@,GNB,W 31-21,0,0,,0,0,0,,0,1,6,1,65,1
42,1970,1970-10-26,6,28.032,RAM,@,MIN,L 3-13,,,,,,,,,,,,,
43,1970,1970-11-01,7,28.038,RAM,@,NOR,W 30-17,,,,,,,,,,,,,
44,1970,1970-11-08,8,28.045,RAM,,ATL,T 10-10,,,,,,,,,,,,,
45,1970,1970-11-15,9,28.052,RAM,,NYJ,L 20-31,,,,,,,,,,,,,
46,1970,1970-11-22,10,28.059,RAM,@,ATL,W 17-7,0,0,,0,0,0,,0,0,0,1,0,0
47,1970,1970-11-29,11,28.066,RAM,@,SFO,W 30-13,,,,,,,,,,,,,
48,1970,1970-12-06,12,28.073,RAM,,NOR,W 34-16,,,,,,,,,,,,,
49,1970,1970-12-14,13,28.081,RAM,,DET,L 23-28,,,,,,,,,,,,,
50,1970,1970-12-20,14,28.087,RAM,@,NYG,W 31-3,,,,,,,,,,,,,
51,1971,1971-09-26,2,29.002,RAM,,ATL,T 20-20,,,,,,,,,,,,,
52,1971,1971-10-03,3,29.009,RAM,,CHI,W 17-3,,,,,,,,,,,,,
53,1971,1971-10-24,6,29.030,RAM,,GNB,W 30-13,,,,,,,,,,,,,
54,1971,1971-10-31,7,29.037,RAM,,MIA,L 14-20,,,,,,,,,,,,,
55,1971,1971-11-14,9,29.051,RAM,@,DET,W 21-13,,,,,,,,,,,,,
56,1971,1971-11-21,10,29.058,RAM,,SFO,W 17-6,,,,,,,,,,,,,
57,1972,1972-09-17,1,29.359,RAM,,NOR,W 34-14,,,,,,,,,,,,,
58,1972,1972-09-24,2,30.000,RAM,@,CHI,T 13-13,,,,,,,,,,,,,
59,1972,1972-10-01,3,30.007,RAM,@,ATL,L 3-31,,,,,,,,,,,,,
60,1972,1972-10-08,4,30.014,RAM,,SFO,W 31-7,,,,,,,,,,,,,
61,1972,1972-10-15,5,30.021,RAM,@,PHI,W 34-3,,,,,,,,,,,,,
62,1972,1972-10-29,7,30.035,RAM,@,OAK,L 17-45,,,,,,,,,,,,,
63,1972,1972-11-05,8,30.042,RAM,,ATL,W 20-7,,,,,,,,,,,,,
64,1972,1972-11-12,9,30.049,RAM,,DEN,L 10-16,,,,,,,,,,,,,
65,1972,1972-11-19,10,30.056,RAM,,MIN,L 41-45,,,,,,,,,,,,,
