ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
64,1968,1968-11-10,9,26.174,CLE,,NOR,W 35-17,17,127,7.47,1,3,104,34.67,2,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,18,0,0,,0
65,1968,1968-11-17,10,26.181,CLE,@,PIT,W 45-24,11,19,1.73,1,2,8,4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,1,6,0,0,,0
66,1968,1968-11-24,11,26.188,CLE,,PHI,W 47-13,20,108,5.40,2,0,0,,0,1,1,100.00,34,1,0,158.3,0,0,34.00,54.00,0,0,,0,0,0,,0,2,12,0,0,,0
67,1968,1968-12-01,12,26.195,CLE,,NYG,W 45-10,16,56,3.50,4,3,35,11.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,24,0,0,,0
68,1968,1968-12-08,13,26.202,CLE,@,WAS,W 24-21,18,99,5.50,1,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
69,1968,1968-12-14,14,26.208,CLE,@,STL,L 16-27,10,67,6.70,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
70,1969,1969-09-21,1,27.124,CLE,@,PHI,W 27-20,3,9,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
71,1969,1969-10-05,3,27.138,CLE,,DET,L 21-28,10,16,1.60,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
72,1969,1969-10-12,4,27.145,CLE,@,NOR,W 27-17,17,57,3.35,1,3,52,17.33,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,2,12,0,0,,0
73,1969,1969-10-18,5,27.151,CLE,,PIT,W 42-31,18,51,2.83,1,1,36,36.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
74,1969,1969-10-26,6,27.159,CLE,,STL,T 21-21,16,71,4.44,1,1,0,0.00,0,1,2,50.00,36,1,0,135.4,0,0,18.00,28.00,0,0,,0,0,0,,0,1,6,0,0,,0
75,1969,1969-11-02,7,27.166,CLE,,DAL,W 42-10,19,65,3.42,0,1,6,6.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,21,10.50,0,0,0,0,0,,0
76,1969,1969-11-09,8,27.173,CLE,@,MIN,L 3-51,6,24,4.00,0,2,28,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
77,1969,1969-11-16,9,27.180,CLE,@,PIT,W 24-3,24,97,4.04,1,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,1.50,0,1,6,0,0,,0
78,1969,1969-11-23,10,27.187,CLE,,NYG,W 28-17,18,124,6.89,3,1,25,25.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,14,14.00,0,0,0,,0,3,18,0,0,,0
79,1969,1969-11-30,11,27.194,CLE,@,CHI,W 28-24,15,41,2.73,0,3,53,17.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0,0,,0
80,1969,1969-12-07,12,27.201,CLE,,GNB,W 20-7,22,151,6.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,4,2.00,0,0,0,0,0,,0
81,1969,1969-12-14,13,27.208,CLE,@,STL,W 27-21,14,52,3.71,1,3,23,7.67,0,0,0,,0,0,0,,0,0,,,1,12,12.00,0,0,0,,0,1,6,0,0,,0
82,1969,1969-12-21,14,27.215,CLE,@,NYG,L 14-27,14,59,4.21,1,3,42,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
83,1970,1970-09-21,1,28.124,CLE,,NYJ,W 31-21,20,62,3.10,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
84,1970,1970-09-27,2,28.130,CLE,@,SFO,L 31-34,16,74,4.63,2,2,54,27.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0,0,,0
85,1970,1970-10-03,3,28.136,CLE,,PIT,W 15-7,5,8,1.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
86,1970,1970-10-11,4,28.144,CLE,,CIN,W 30-27,29,84,2.90,1,5,79,15.80,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0,0,,0
87,1970,1970-10-18,5,28.151,CLE,,DET,L 24-41,24,106,4.42,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
88,1970,1970-10-25,6,28.158,CLE,@,MIA,W 28-0,6,16,2.67,0,2,16,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
89,1970,1970-11-08,8,28.172,CLE,@,OAK,L 20-23,18,31,1.72,0,5,65,13.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
90,1970,1970-11-15,9,28.179,CLE,@,CIN,L 10-14,21,60,2.86,1,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
91,1970,1970-11-22,10,28.186,CLE,,HOU,W 28-14,17,46,2.71,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
92,1970,1970-11-29,11,28.193,CLE,@,PIT,L 9-28,10,0,0.00,0,3,16,5.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
93,1970,1970-12-07,12,28.201,CLE,@,HOU,W 21-10,20,108,5.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
94,1970,1970-12-12,13,28.206,CLE,,DAL,L 2-6,7,18,2.57,0,5,52,10.40,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0,0,0,,0
95,1970,1970-12-20,14,28.214,CLE,@,DEN,W 27-13,13,43,3.31,0,1,19,19.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,0,0,0,0,,0
96,1971,1971-09-19,1,29.122,CLE,,HOU,W 31-0,17,60,3.53,2,4,42,10.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,9,4.50,0,2,12,0,0,,0
97,1971,1971-09-26,2,29.129,CLE,@,BAL,W 14-13,19,56,2.95,2,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,2,12,0,0,,0
98,1971,1971-10-04,3,29.137,CLE,,OAK,L 20-34,22,82,3.73,0,6,84,14.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,3,17,5.67,0,1,6,0,0,,0
99,1971,1971-10-10,4,29.143,CLE,,PIT,W 27-17,17,63,3.71,1,5,26,5.20,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,24,8.00,0,1,6,0,0,,0
100,1971,1971-10-17,5,29.150,CLE,@,CIN,W 27-24,11,24,2.18,0,2,18,9.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,4,37,9.25,0,0,0,0,0,,0
101,1971,1971-10-24,6,29.157,CLE,,DEN,L 0-27,10,19,1.90,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,74,24.67,0,0,0,0,0,,0
102,1971,1971-10-31,7,29.164,CLE,,ATL,L 14-31,9,19,2.11,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,19,9.50,0,0,0,0,0,,0
103,1971,1971-11-07,8,29.171,CLE,@,PIT,L 9-26,22,102,4.64,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,11,11.00,0,1,0,0.00,0,0,0,0,0,,0
104,1971,1971-11-14,9,29.178,CLE,@,KAN,L 7-13,9,30,3.33,0,2,14,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,58,11.60,0,0,0,0,0,,0
105,1971,1971-11-21,10,29.185,CLE,,NWE,W 27-7,23,113,4.91,1,2,21,10.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,2,17,8.50,0,2,12,0,0,,0
106,1971,1971-11-28,11,29.192,CLE,@,HOU,W 37-24,23,107,4.65,1,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,25,12.50,0,1,6,0,0,,0
107,1971,1971-12-05,12,29.199,CLE,,CIN,W 31-27,23,127,5.52,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,2,12,0,0,,0
108,1971,1971-12-12,13,29.206,CLE,@,NOR,W 21-17,11,13,1.18,1,0,0,,0,1,1,100.00,23,0,0,118.7,0,0,23.00,23.00,0,0,,0,0,0,,0,1,6,0,0,,0
109,1971,1971-12-19,14,29.213,CLE,@,WAS,W 20-13,18,50,2.78,0,2,30,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0,0,,0
110,1972,1972-09-17,1,30.120,CLE,,GNB,L 10-26,13,26,2.00,0,3,30,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
111,1972,1972-09-24,2,30.127,CLE,@,PHI,W 27-17,17,66,3.88,0,2,50,25.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
112,1972,1972-10-01,3,30.134,CLE,,CIN,W 27-6,22,83,3.77,1,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
113,1972,1972-10-08,4,30.141,CLE,,KAN,L 7-31,10,29,2.90,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,,0
114,1972,1972-10-15,5,30.148,CLE,,CHI,L 0-17,10,14,1.40,0,2,7,3.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
115,1972,1972-10-22,6,30.155,CLE,@,HOU,W 23-17,22,69,3.14,0,2,1,0.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
116,1972,1972-10-29,7,30.162,CLE,@,DEN,W 27-20,14,60,4.29,0,2,20,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
117,1972,1972-11-05,8,30.169,CLE,,HOU,W 20-0,19,72,3.79,2,2,12,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0,0,,0
118,1972,1972-11-13,9,30.177,CLE,@,SDG,W 21-17,17,67,3.94,0,1,27,27.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
119,1972,1972-11-19,10,30.183,CLE,,PIT,W 26-24,21,107,5.10,0,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,31,10.33,0,0,0,0,0,,0
120,1972,1972-11-26,11,30.190,CLE,,BUF,W 27-10,18,58,3.22,0,1,13,13.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,1,6,0,0,,0
121,1972,1972-12-03,12,30.197,CLE,@,PIT,L 0-30,11,40,3.64,0,3,12,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0,0,,0
122,1972,1972-12-09,13,30.203,CLE,@,CIN,W 27-24,12,42,3.50,1,3,25,8.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
123,1972,1972-12-17,14,30.211,CLE,@,NYJ,W 26-10,18,78,4.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
124,1973,1973-09-16,1,31.119,CLE,,BAL,W 24-14,9,6,0.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
125,1973,1973-09-23,2,31.126,CLE,@,PIT,L 6-33,13,39,3.00,0,4,25,6.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
126,1973,1973-09-30,3,31.133,CLE,,NYG,W 12-10,25,63,2.52,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
127,1973,1973-10-07,4,31.140,CLE,,CIN,W 17-10,21,73,3.48,2,2,24,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0,0,,0
128,1973,1973-10-15,5,31.148,CLE,,MIA,L 9-17,14,65,4.64,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
129,1973,1973-10-21,6,31.154,CLE,,HOU,W 42-13,6,38,6.33,1,1,33,33.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,,0
130,1973,1973-11-04,8,31.168,CLE,@,MIN,L 3-26,4,19,4.75,0,1,-6,-6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
131,1973,1973-11-11,9,31.175,CLE,@,HOU,W 23-13,5,12,2.40,0,1,23,23.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
132,1973,1973-11-18,10,31.182,CLE,@,OAK,W 7-3,9,20,2.22,0,2,21,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
133,1973,1973-11-25,11,31.189,CLE,,PIT,W 21-16,11,12,1.09,0,1,36,36.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
134,1973,1973-12-02,12,31.196,CLE,@,KAN,T 20-20,4,9,2.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
135,1973,1973-12-09,13,31.203,CLE,@,CIN,L 17-34,4,9,2.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0,0,,0
136,1973,1973-12-16,14,31.210,CLE,@,RAM,L 17-30,7,24,3.43,0,3,24,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
