ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
36,2011,2011-10-09,5,24.044,PIT,,TEN,W 38-17,*,2,2,5,2.50,1,100.0%,2.50,0,0,,0,0,0,,0,,1,6
37,2011,2011-10-16,6,24.051,PIT,,JAX,W 17-13,*,,,,,,0.0%,,,,,,,,,,,,
38,2011,2011-10-23,7,24.058,PIT,@,ARI,W 32-20,*,0,,,,,0.0%,,,,,,,,,,,,
39,2011,2011-10-30,8,24.065,PIT,,NWE,W 25-17,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0
40,2011,2011-11-06,9,24.072,PIT,,BAL,L 20-23,*,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,0,,0,0
41,2011,2011-11-13,10,24.079,PIT,@,CIN,W 24-17,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0
42,2011,2011-11-27,11,24.093,PIT,@,KAN,W 13-9,*,,,,,,0.0%,,,,,,,,,,,,
43,2011,2011-12-04,12,24.100,PIT,,CIN,W 35-7,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0
44,2011,2011-12-08,13,24.104,PIT,,CLE,W 14-3,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0
45,2011,2011-12-19,14,24.115,PIT,@,SFO,L 3-20,*,,,,,,0.0%,,,,,,,,,,,,
46,2011,2011-12-24,15,24.120,PIT,,STL,W 27-0,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0
47,2011,2012-01-01,16,24.128,PIT,@,CLE,W 13-9,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0
48,2013,2013-09-08,1,26.013,PIT,,TEN,L 9-16,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0
49,2013,2013-09-16,2,26.021,PIT,@,CIN,L 10-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
50,2013,2013-09-22,3,26.027,PIT,,CHI,L 23-40,,3,2,51,25.50,0,66.7%,17.00,0,0,,0,0,0,,0,,0,0
51,2013,2013-09-29,4,26.034,PIT,@,MIN,L 27-34,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0
52,2013,2013-10-13,5,26.048,PIT,@,NYJ,W 19-6,*,,,,,,0.0%,,,,,,,,,,,,
53,2014,2014-09-08,1,27.013,SDG,@,ARI,L 17-18,,,,,,,0.0%,,,,,,,,,,,,
54,2014,2014-09-14,2,27.019,SDG,,SEA,W 30-21,,,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,,0,0
55,2014,2014-09-21,3,27.026,SDG,@,BUF,W 22-10,,,,,,,0.0%,,,,,,,,,,,,
56,2014,2014-10-05,5,27.040,SDG,,NYJ,W 31-0,,,,,,,0.0%,,,,,,,,,,,,
57,2014,2014-10-12,6,27.047,SDG,@,OAK,W 31-28,,,,,,,0.0%,,,,,,,,,,,,
58,2014,2014-10-19,7,27.054,SDG,,KAN,L 20-23,,,,,,,0.0%,,,,,,,,,,,,
59,2014,2014-10-23,8,27.058,SDG,@,DEN,L 21-35,,,,,,,0.0%,,,,,,,,,,,,
60,2014,2014-11-02,9,27.068,SDG,@,MIA,L 0-37,,,,,,,0.0%,,,,,,,,,,,,
61,2014,2014-11-16,10,27.082,SDG,,OAK,W 13-6,,,1,4,4.00,0,,,0,0,,0,0,0,,0,,0,0
62,2014,2014-11-23,11,27.089,SDG,,STL,W 27-24,,,,,,,0.0%,,,,,,,,,,,,
63,2014,2014-12-14,14,27.110,SDG,,DEN,L 10-22,,,,,,,0.0%,,,,,,,,,,,,
64,2014,2014-12-20,15,27.116,SDG,@,SFO,W 38-35,,,,,,,0.0%,,,,,,,,,,,,
65,2014,2014-12-28,16,27.124,SDG,@,KAN,L 7-19,,,,,,,0.0%,,,,,,,,,,,,
66,2015,2015-09-13,1,28.018,SDG,,DET,W 33-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
67,2015,2015-09-20,2,28.025,SDG,@,CIN,L 19-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
68,2015,2015-09-27,3,28.032,SDG,@,MIN,L 14-31,*,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,,0,0
69,2015,2015-10-04,4,28.039,SDG,,CLE,W 30-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
70,2015,2015-10-12,5,28.047,SDG,,PIT,L 20-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
71,2015,2015-10-18,6,28.053,SDG,@,GNB,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
72,2015,2015-10-25,7,28.060,SDG,,OAK,L 29-37,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
73,2015,2015-11-01,8,28.067,SDG,@,BAL,L 26-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
74,2015,2015-11-09,9,28.075,SDG,,CHI,L 19-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
75,2015,2015-11-22,10,28.088,SDG,,KAN,L 3-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
76,2015,2015-11-29,11,28.095,SDG,@,JAX,W 31-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
77,2015,2015-12-06,12,28.102,SDG,,DEN,L 3-17,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,,0,0
78,2015,2015-12-13,13,28.109,SDG,@,KAN,L 3-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
79,2015,2015-12-20,14,28.116,SDG,,MIA,W 30-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
80,2015,2015-12-24,15,28.120,SDG,@,OAK,L 20-23,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0
81,2015,2016-01-03,16,28.130,SDG,@,DEN,L 20-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
82,2016,2016-09-12,1,29.017,PIT,@,WAS,W 38-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
83,2016,2016-09-18,2,29.023,PIT,,CIN,W 24-16,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0
84,2016,2016-09-25,3,29.030,PIT,@,PHI,L 3-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
85,2016,2016-10-02,4,29.037,PIT,,KAN,W 43-14,*,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,,0,0
86,2016,2016-10-09,5,29.044,PIT,,NYJ,W 31-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
87,2016,2016-10-16,6,29.051,PIT,@,MIA,L 15-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
88,2016,2016-10-23,7,29.058,PIT,,NWE,L 16-27,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0
89,2016,2016-11-06,8,29.072,PIT,@,BAL,L 14-21,*,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,,0,0
90,2016,2016-11-13,9,29.079,PIT,,DAL,L 30-35,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0
91,2016,2016-11-20,10,29.086,PIT,@,CLE,W 24-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,2
92,2016,2016-11-24,11,29.090,PIT,@,IND,W 28-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
93,2016,2016-12-04,12,29.100,PIT,,NYG,W 24-14,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
94,2016,2016-12-11,13,29.107,PIT,@,BUF,W 27-20,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,,0,0
95,2016,2016-12-18,14,29.114,PIT,@,CIN,W 24-20,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0
96,2016,2016-12-25,15,29.121,PIT,,BAL,W 31-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
97,2016,2017-01-01,16,29.128,PIT,,CLE,W 27-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
