ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
44,2015,2015-12-24,15,26.242,SDG,@,OAK,L 20-23,*,0,0,,0,0,0,1.0,6,0
45,2015,2016-01-03,16,26.252,SDG,@,DEN,L 20-27,*,0,0,,0,0,0,1.0,3,0
46,2016,2016-09-11,1,27.138,SDG,@,KAN,L 27-33,*,0,0,,0,0,0,0.0,2,0
47,2016,2016-09-18,2,27.145,SDG,,JAX,W 38-14,*,0,0,,0,0,0,2.0,3,0
48,2016,2016-09-25,3,27.152,SDG,@,IND,L 22-26,*,0,0,,0,0,0,0.0,2,1
49,2016,2016-10-02,4,27.159,SDG,,NOR,L 34-35,*,0,0,,0,0,0,1.0,5,0
50,2016,2016-10-09,5,27.166,SDG,@,OAK,L 31-34,*,0,0,,0,0,0,0.0,2,0
51,2016,2016-10-13,6,27.170,SDG,,DEN,W 21-13,*,0,0,,0,0,0,0.0,5,1
52,2016,2016-10-23,7,27.180,SDG,@,ATL,W 33-30,*,0,0,,0,0,0,1.0,6,3
53,2016,2016-10-30,8,27.187,SDG,@,DEN,L 19-27,*,0,0,,0,0,0,1.0,2,1
54,2016,2016-11-06,9,27.194,SDG,,TEN,W 43-35,*,0,0,,0,0,0,0.0,1,0
55,2016,2016-11-13,10,27.201,SDG,,MIA,L 24-31,*,0,0,,0,0,0,1.0,4,0
56,2016,2016-11-27,11,27.215,SDG,@,HOU,W 21-13,*,0,0,,0,0,0,0.0,1,1
57,2016,2016-12-04,12,27.222,SDG,,TAM,L 21-28,*,0,0,,0,0,0,0.0,1,2
58,2016,2016-12-11,13,27.229,SDG,@,CAR,L 16-28,*,0,0,,0,0,0,0.0,2,3
59,2016,2016-12-18,14,27.236,SDG,,OAK,L 16-19,*,0,0,,0,0,0,1.0,5,1
60,2016,2016-12-24,15,27.242,SDG,@,CLE,L 17-20,*,0,0,,0,0,0,1.0,3,0
61,2016,2017-01-01,16,27.250,SDG,,KAN,L 27-37,*,0,0,,0,0,0,0.0,2,1
62,2017,2017-09-11,1,28.138,LAC,@,DEN,L 21-24,*,0,0,,0,0,0,1.5,3,1
63,2017,2017-09-17,2,28.144,LAC,,MIA,L 17-19,*,0,0,,0,0,0,1.0,4,0
64,2017,2017-09-24,3,28.151,LAC,,KAN,L 10-24,*,0,0,,0,0,0,3.0,6,0
65,2017,2017-10-01,4,28.158,LAC,,PHI,L 24-26,*,0,0,,0,0,0,0.0,3,1
66,2017,2017-10-08,5,28.165,LAC,@,NYG,W 27-22,*,0,0,,0,0,0,2.0,4,2
67,2017,2017-10-15,6,28.172,LAC,@,OAK,W 17-16,*,0,0,,0,0,0,0.0,2,1
68,2017,2017-10-22,7,28.179,LAC,,DEN,W 21-0,*,0,0,,0,0,0,1.0,3,0
69,2017,2017-10-29,8,28.186,LAC,@,NWE,L 13-21,*,0,0,,0,0,0,0.0,2,0
70,2017,2017-11-12,9,28.200,LAC,@,JAX,L 17-20,*,0,0,,0,0,0,0.0,2,0
71,2017,2017-11-19,10,28.207,LAC,,BUF,W 54-24,*,0,0,,0,1,6,0.0,1,0
72,2017,2017-11-23,11,28.211,LAC,@,DAL,W 28-6,*,0,0,,0,0,0,0.0,1,1
73,2017,2017-12-03,12,28.221,LAC,,CLE,W 19-10,*,0,0,,0,0,0,0.0,4,0
74,2017,2017-12-10,13,28.228,LAC,,WAS,W 30-13,*,0,0,,0,0,0,0.5,2,3
75,2017,2017-12-16,14,28.234,LAC,@,KAN,L 13-30,*,0,0,,0,0,0,1.0,3,2
76,2017,2017-12-24,15,28.242,LAC,@,NYJ,W 14-7,*,0,0,,0,0,0,0.0,1,1
77,2017,2017-12-31,16,28.249,LAC,,OAK,W 30-10,*,0,0,,0,0,0,0.5,2,1
78,2018,2018-09-09,1,29.136,LAC,,KAN,L 28-38,*,0,0,,0,0,0,0.0,0,1
79,2018,2018-09-16,2,29.143,LAC,@,BUF,W 31-20,*,0,0,,0,0,0,1.5,3,1
80,2018,2018-09-23,3,29.150,LAC,@,LAR,L 23-35,*,0,0,,0,0,0,0.0,1,0
