ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,sacks,def_int,def_int_yds,def_int_td
32,1974,1974-12-14,14,23.286,DAL,@,OAK,L 23-27,,,,,,,,
33,1975,1975-09-21,1,24.202,DAL,,RAM,W 18-7,,,,,,,,
34,1975,1975-09-28,2,24.209,DAL,,STL,W 37-31,,,,,,,,
35,1975,1975-10-06,3,24.217,DAL,@,DET,W 36-10,,,,,,,,
36,1975,1975-10-12,4,24.223,DAL,@,NYG,W 13-7,,,,,,,,
37,1975,1975-10-19,5,24.230,DAL,,GNB,L 17-19,,,,,,,,
38,1975,1975-10-26,6,24.237,DAL,@,PHI,W 20-17,,,,,,,,
39,1975,1975-11-02,7,24.244,DAL,@,WAS,L 24-30,,,,,,,,
40,1975,1975-11-10,8,24.252,DAL,,KAN,L 31-34,,,,,,,,
41,1975,1975-11-16,9,24.258,DAL,@,NWE,W 34-31,,,,,,,,
42,1975,1975-11-23,10,24.265,DAL,,PHI,W 27-17,,,,,,,,
43,1975,1975-11-30,11,24.272,DAL,,NYG,W 14-3,,,,,,,,
44,1975,1975-12-07,12,24.279,DAL,@,STL,L 17-31,,,,,,,,
45,1975,1975-12-13,13,24.285,DAL,,WAS,W 31-10,,,,,,,,
46,1975,1975-12-21,14,24.293,DAL,@,NYJ,W 31-21,,,,,,,,
47,1976,1976-09-12,1,25.193,DAL,,PHI,W 27-7,,,,,,,,
48,1976,1976-09-19,2,25.200,DAL,@,NOR,W 24-6,,,,,,,,
49,1976,1976-09-26,3,25.207,DAL,,BAL,W 30-27,,,,,,,,
50,1976,1976-10-03,4,25.214,DAL,@,SEA,W 28-13,,,,,,,,
51,1976,1976-10-10,5,25.221,DAL,@,NYG,W 24-14,,,,,,,,
52,1976,1976-10-17,6,25.228,DAL,@,STL,L 17-21,,,,,,,,
53,1976,1976-10-24,7,25.235,DAL,,CHI,W 31-21,,,,,,,,
54,1976,1976-10-31,8,25.242,DAL,@,WAS,W 20-7,,,,,,,,
55,1976,1976-11-07,9,25.249,DAL,,NYG,W 9-3,,,,,,,,
56,1976,1976-11-15,10,25.257,DAL,,BUF,W 17-10,,,,,,,,
57,1976,1976-11-21,11,25.263,DAL,@,ATL,L 10-17,,,,,,,,
58,1976,1976-11-25,12,25.267,DAL,,STL,W 19-14,1,43,43.00,0,0.0,1,23,0
59,1976,1976-12-05,13,25.277,DAL,@,PHI,W 26-7,,,,,,,,
60,1976,1976-12-12,14,25.284,DAL,,WAS,L 14-27,,,,,,,,
61,1977,1977-09-18,1,26.199,DAL,@,MIN,W 16-10,,,,,,,,
62,1977,1977-09-25,2,26.206,DAL,,NYG,W 41-21,,,,,,,,
63,1977,1977-10-02,3,26.213,DAL,,TAM,W 23-7,,,,,,,,
64,1977,1977-10-09,4,26.220,DAL,@,STL,W 30-24,,,,,,,,
65,1977,1977-10-16,5,26.227,DAL,,WAS,W 34-16,,,,,,,,
66,1977,1977-10-23,6,26.234,DAL,@,PHI,W 16-10,,,,,,,,
67,1977,1977-10-30,7,26.241,DAL,,DET,W 37-0,,,,,,,,
68,1977,1977-11-06,8,26.248,DAL,@,NYG,W 24-10,,,,,,,,
69,1977,1977-11-14,9,26.256,DAL,,STL,L 17-24,,,,,,,,
70,1977,1977-11-20,10,26.262,DAL,@,PIT,L 13-28,,,,,,,,
71,1977,1977-11-27,11,26.269,DAL,@,WAS,W 14-7,,,,,,,,
72,1977,1977-12-04,12,26.276,DAL,,PHI,W 24-14,,,,,,,,
73,1977,1977-12-12,13,26.284,DAL,@,SFO,W 42-35,,,,,,,,
74,1977,1977-12-18,14,26.290,DAL,,DEN,W 14-6,,,,,,,,
75,1978,1978-09-04,1,27.185,DAL,,BAL,W 38-0,,,,,,,,
76,1978,1978-09-10,2,27.191,DAL,@,NYG,W 34-24,0,0,,0,0.0,2,38,0
77,1978,1978-09-17,3,27.198,DAL,@,RAM,L 14-27,0,0,,0,0.0,1,0,0
78,1978,1978-09-24,4,27.205,DAL,,STL,W 21-12,,,,,,,,
79,1978,1978-10-02,5,27.213,DAL,@,WAS,L 5-9,,,,,,,,
80,1978,1978-10-08,6,27.219,DAL,,NYG,W 24-3,,,,,,,,
81,1978,1978-10-15,7,27.226,DAL,@,STL,W 24-21,,,,,,,,
82,1978,1978-10-22,8,27.233,DAL,,PHI,W 14-7,,,,,,,,
83,1978,1978-10-26,9,27.237,DAL,,MIN,L 10-21,,,,,,,,
84,1978,1978-11-19,12,27.261,DAL,,NOR,W 27-7,0,0,,0,0.0,1,0,0
85,1978,1978-11-23,13,27.265,DAL,,WAS,W 37-10,,,,,,,,
86,1978,1978-12-03,14,27.275,DAL,,NWE,W 17-10,,,,,,,,
87,1978,1978-12-10,15,27.282,DAL,@,PHI,W 31-13,0,0,,0,0.0,1,34,0
88,1978,1978-12-17,16,27.289,DAL,@,NYJ,W 30-7,,,,,,,,
89,1979,1979-09-02,1,28.183,DAL,@,STL,W 22-21,,,,,,,,
90,1979,1979-09-09,2,28.190,DAL,@,SFO,W 21-13,,,,,,,,
91,1979,1979-09-16,3,28.197,DAL,,CHI,W 24-20,0,0,,0,0.0,1,9,0
92,1979,1979-09-24,4,28.205,DAL,@,CLE,L 7-26,0,0,,0,0.0,1,11,0
93,1979,1979-10-07,6,28.218,DAL,@,MIN,W 36-20,,,,,,,,
94,1979,1979-10-14,7,28.225,DAL,,RAM,W 30-6,,,,,,,,
95,1979,1979-10-21,8,28.232,DAL,,STL,W 22-13,,,,,,,,
96,1979,1979-10-28,9,28.239,DAL,@,PIT,L 3-14,,,,,,,,
97,1979,1979-11-04,10,28.246,DAL,@,NYG,W 16-14,,,,,,,,
98,1979,1979-11-12,11,28.254,DAL,,PHI,L 21-31,,,,,,,,
99,1979,1979-11-18,12,28.260,DAL,@,WAS,L 20-34,,,,,,,,
100,1979,1979-11-22,13,28.264,DAL,,HOU,L 24-30,,,,,,,,
101,1979,1979-12-02,14,28.274,DAL,,NYG,W 28-7,,,,,,,,
102,1979,1979-12-08,15,28.280,DAL,@,PHI,W 24-17,,,,,,,,
103,1979,1979-12-16,16,28.288,DAL,,WAS,W 35-34,,,,,,,,
104,1980,1980-10-12,6,29.223,DAL,,SFO,W 59-14,,,,,,,,
105,1980,1980-10-19,7,29.230,DAL,@,PHI,L 10-17,,,,,,,,
106,1980,1980-10-26,8,29.237,DAL,,SDG,W 42-31,0,0,,0,0.0,1,30,0
107,1980,1980-11-02,9,29.244,DAL,@,STL,W 27-24,,,,,,,,
108,1980,1980-11-09,10,29.251,DAL,@,NYG,L 35-38,,,,,,,,
109,1980,1980-11-16,11,29.258,DAL,,STL,W 31-21,,,,,,,,
110,1980,1980-11-23,12,29.265,DAL,,WAS,W 14-10,,,,,,,,
111,1980,1980-11-27,13,29.269,DAL,,SEA,W 51-7,,,,,,,,
112,1980,1980-12-07,14,29.279,DAL,@,OAK,W 19-13,,,,,,,,
113,1980,1980-12-15,15,29.287,DAL,@,RAM,L 14-38,,,,,,,,
114,1980,1980-12-21,16,29.293,DAL,,PHI,W 35-27,,,,,,,,
115,1981,1981-09-06,1,30.187,DAL,@,WAS,W 26-10,,,,,,,,
116,1981,1981-09-13,2,30.194,DAL,,STL,W 30-17,,,,,,,,
117,1981,1981-09-21,3,30.202,DAL,@,NWE,W 35-21,,,,,,,,
118,1981,1981-09-27,4,30.208,DAL,,NYG,W 18-10,,,,,,,,
119,1981,1981-10-04,5,30.215,DAL,@,STL,L 17-20,,,,,,,,
120,1981,1981-10-11,6,30.222,DAL,@,SFO,L 14-45,,,,,,,,
121,1981,1981-10-18,7,30.229,DAL,,RAM,W 29-17,,,,,,,,
122,1981,1981-10-25,8,30.236,DAL,,MIA,W 28-27,,,,,,,,
123,1981,1981-11-01,9,30.243,DAL,@,PHI,W 17-14,,,,,,,,
124,1981,1981-11-09,10,30.251,DAL,,BUF,W 27-14,,,,,,,,
125,1981,1981-11-15,11,30.257,DAL,@,DET,L 24-27,,,,,,,,
126,1981,1981-11-22,12,30.264,DAL,,WAS,W 24-10,,,,,,,,
127,1981,1981-11-26,13,30.268,DAL,,CHI,W 10-9,,,,,,,,
128,1981,1981-12-06,14,30.278,DAL,@,BAL,W 37-13,0,0,,0,0.0,1,24,0
129,1981,1981-12-13,15,30.285,DAL,,PHI,W 21-10,,,,,,,,
130,1981,1981-12-19,16,30.291,DAL,@,NYG,L 10-13,,,,,,,,
131,1982,1982-09-13,1,31.194,DAL,,PIT,L 28-36,,,,,,,,
132,1982,1982-09-19,2,31.200,DAL,@,STL,W 24-7,,,,,,,,
133,1982,1982-11-21,3,31.263,DAL,,TAM,W 14-9,,,,,,,,
134,1982,1982-11-25,4,31.267,DAL,,CLE,W 31-14,,,,,,,,
135,1982,1982-12-05,5,31.277,DAL,@,WAS,W 24-10,0,0,,0,1.0,0,0,0
136,1982,1982-12-13,6,31.285,DAL,@,HOU,W 37-7,,,,,,,,
137,1982,1982-12-19,7,31.291,DAL,,NOR,W 21-7,,,,,,,,
138,1982,1982-12-26,8,31.298,DAL,,PHI,L 20-24,,,,,,,,
139,1982,1983-01-03,9,31.306,DAL,@,MIN,L 27-31,,,,,,,,
