ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
37,2014,2014-10-23,7,24.285,DEN,,SDG,W 35-21,,0,0,,0,,0,0,0.0,1,0
38,2014,2014-11-02,8,24.295,DEN,@,NWE,L 21-43,,0,0,,0,,0,0,0.0,1,1
39,2014,2014-11-09,9,24.302,DEN,@,OAK,W 41-17,,0,0,,0,,0,0,0.0,1,0
40,2014,2014-11-16,10,24.309,DEN,@,STL,L 7-22,,0,0,,0,,0,0,0.0,5,0
41,2014,2014-11-23,11,24.316,DEN,,MIA,W 39-36,*,0,0,,0,,0,0,0.0,3,0
42,2014,2014-11-30,12,24.323,DEN,@,KAN,W 29-16,,0,0,,0,,0,0,0.0,0,0
43,2014,2014-12-07,13,24.330,DEN,,BUF,W 24-17,,0,0,,0,,0,0,1.0,6,0
44,2014,2014-12-14,14,24.337,DEN,@,SDG,W 22-10,,0,0,,0,,0,0,0.0,2,0
45,2014,2014-12-22,15,24.345,DEN,@,CIN,L 28-37,*,0,0,,0,,0,0,0.0,5,0
46,2014,2014-12-28,16,24.351,DEN,,OAK,W 47-14,*,0,0,,0,,0,0,0.0,2,0
47,2015,2015-09-13,1,25.245,DEN,,BAL,W 19-13,*,0,0,,0,,0,0,0.0,3,0
48,2015,2015-09-17,2,25.249,DEN,@,KAN,W 31-24,*,0,0,,0,,0,0,1.0,3,0
49,2015,2015-09-27,3,25.259,DEN,@,DET,W 24-12,*,0,0,,0,,0,0,0.5,1,2
50,2015,2015-10-04,4,25.266,DEN,,MIN,W 23-20,*,0,0,,0,,0,0,0.5,1,1
51,2015,2015-10-11,5,25.273,DEN,@,OAK,W 16-10,*,0,0,,0,,0,0,1.0,5,1
52,2015,2015-10-18,6,25.280,DEN,@,CLE,W 26-23,*,0,0,,0,,0,0,1.0,3,1
53,2015,2015-11-01,7,25.294,DEN,,GNB,W 29-10,*,0,0,,0,1,0,2,0.0,1,1
54,2015,2015-11-08,8,25.301,DEN,@,IND,L 24-27,*,0,0,,0,,0,0,0.0,3,2
55,2015,2015-11-15,9,25.308,DEN,,KAN,L 13-29,*,0,0,,0,,0,0,0.0,3,0
56,2015,2015-11-22,10,25.315,DEN,@,CHI,W 17-15,*,0,0,,0,,0,0,0.0,0,0
57,2015,2015-11-29,11,25.322,DEN,,NWE,W 30-24,*,0,0,,0,,0,0,0.0,0,1
58,2015,2015-12-06,12,25.329,DEN,@,SDG,W 17-3,*,0,0,,0,,0,0,0.0,2,0
59,2015,2015-12-13,13,25.336,DEN,,OAK,L 12-15,*,0,0,,0,,0,0,0.0,2,0
60,2015,2015-12-20,14,25.343,DEN,@,PIT,L 27-34,*,0,0,,0,,0,0,1.5,3,2
61,2015,2015-12-28,15,25.351,DEN,,CIN,W 20-17,*,0,0,,0,,0,0,0.0,2,1
62,2015,2016-01-03,16,25.357,DEN,,SDG,W 27-20,*,0,0,,0,,0,0,0.0,2,0
63,2016,2016-09-11,1,26.244,JAX,,GNB,L 23-27,*,0,0,,0,,0,0,0.0,0,0
64,2016,2016-09-18,2,26.251,JAX,@,SDG,L 14-38,*,0,0,,0,,0,0,0.0,1,1
65,2016,2016-09-25,3,26.258,JAX,,BAL,L 17-19,*,0,0,,0,,0,0,1.0,2,0
66,2016,2016-10-02,4,26.265,JAX,,IND,W 30-27,*,0,0,,0,,0,0,0.0,5,0
67,2016,2016-10-16,5,26.279,JAX,@,CHI,W 17-16,*,0,0,,0,,0,0,0.0,3,0
68,2016,2016-10-23,6,26.286,JAX,,OAK,L 16-33,*,0,0,,0,,0,0,0.0,0,0
69,2016,2016-10-27,7,26.290,JAX,@,TEN,L 22-36,*,0,0,,0,,0,0,0.0,0,0
70,2016,2016-11-06,8,26.300,JAX,@,KAN,L 14-19,*,0,0,,0,,0,0,0.5,0,1
71,2016,2016-11-13,9,26.307,JAX,,HOU,L 21-24,*,0,0,,0,,0,0,0.0,4,0
72,2016,2016-11-20,10,26.314,JAX,@,DET,L 19-26,*,0,0,,0,,0,0,1.0,1,1
73,2016,2016-11-27,11,26.321,JAX,@,BUF,L 21-28,*,0,0,,0,,0,0,2.0,4,1
74,2016,2016-12-04,12,26.328,JAX,,DEN,L 10-20,*,0,0,,0,,0,0,0.0,2,0
75,2016,2016-12-11,13,26.335,JAX,,MIN,L 16-25,*,0,0,,0,,0,0,0.0,1,0
76,2016,2016-12-18,14,26.342,JAX,@,HOU,L 20-21,*,0,0,,0,,0,0,0.0,2,1
77,2016,2016-12-24,15,26.348,JAX,,TEN,W 38-17,*,0,0,,0,,0,0,0.0,1,0
78,2016,2017-01-01,16,26.356,JAX,@,IND,L 20-24,*,0,0,,0,,0,0,2.0,2,0
79,2017,2017-09-10,1,27.242,JAX,@,HOU,W 29-7,*,0,0,,0,,0,0,1.0,3,0
80,2017,2017-09-17,2,27.249,JAX,,TEN,L 16-37,*,0,0,,0,,0,0,0.0,2,0
81,2017,2017-09-24,3,27.256,JAX,,BAL,W 44-7,*,0,0,,0,,0,0,0.5,1,1
82,2017,2017-10-01,4,27.263,JAX,@,NYJ,L 20-23,*,0,0,,0,,0,0,0.0,1,0
83,2017,2017-10-08,5,27.270,JAX,@,PIT,W 30-9,*,0,0,,0,,0,0,0.0,0,0
84,2017,2017-10-15,6,27.277,JAX,,LAR,L 17-27,*,0,0,,0,,0,0,0.0,3,0
85,2017,2017-10-22,7,27.284,JAX,@,IND,W 27-0,*,0,0,,0,,0,0,1.5,2,1
86,2017,2017-11-05,8,27.298,JAX,,CIN,W 23-7,*,0,0,,0,,0,0,1.0,2,0
87,2017,2017-11-12,9,27.305,JAX,,LAC,W 20-17,*,0,0,,0,,0,0,0.0,3,1
88,2017,2017-11-19,10,27.312,JAX,@,CLE,W 19-7,*,0,0,,0,,0,0,1.0,3,0
89,2017,2017-11-26,11,27.319,JAX,@,ARI,L 24-27,*,0,0,,0,,0,0,0.0,2,0
90,2017,2017-12-03,12,27.326,JAX,,IND,W 30-10,*,0,0,,0,,0,0,1.0,1,1
91,2017,2017-12-10,13,27.333,JAX,,SEA,W 30-24,*,0,0,,0,,0,0,1.0,2,1
92,2017,2017-12-17,14,27.340,JAX,,HOU,W 45-7,*,0,0,,0,,0,0,1.0,1,0
93,2017,2017-12-24,15,27.347,JAX,@,SFO,L 33-44,*,0,0,,0,,0,0,0.0,3,0
94,2017,2017-12-31,16,27.354,JAX,@,TEN,L 10-15,*,0,0,,0,,0,0,0.0,2,4
95,2018,2018-09-09,1,28.241,JAX,@,NYG,W 20-15,*,0,0,,0,,0,0,0.0,1,3
96,2018,2018-09-16,2,28.248,JAX,,NWE,W 31-20,*,0,0,,0,,0,0,0.0,0,0
97,2018,2018-09-23,3,28.255,JAX,,TEN,L 6-9,*,0,0,,0,,0,0,0.0,3,0
