ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
33,1966,1966-12-04,12,24.337,ATL,@,MIN,W 20-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,9,314,34.89,0
34,1966,1966-12-11,13,24.344,ATL,,STL,W 16-10,,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,0,0,0,9,394,43.78,0
35,1966,1966-12-18,14,24.351,ATL,,PIT,L 33-57,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,172,43.00,0
36,1967,1967-09-17,1,25.259,ATL,@,BAL,L 31-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,200,50.00,0
37,1967,1967-09-24,2,25.266,ATL,@,SFO,L 7-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,9,386,42.89,0
38,1967,1967-10-01,3,25.273,ATL,@,GNB,L 0-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,8,376,47.00,0
39,1967,1967-10-08,4,25.280,ATL,,PHI,L 7-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,160,40.00,0
40,1967,1967-10-15,5,25.287,ATL,,WAS,T 20-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,252,42.00,0
41,1967,1967-10-22,6,25.294,ATL,@,DET,L 3-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,8,334,41.75,0
42,1967,1967-10-29,7,25.301,ATL,,MIN,W 21-20,,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,0,0,0,6,254,42.33,0
43,1967,1967-11-05,8,25.308,ATL,@,DAL,L 7-37,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,232,46.40,0
44,1967,1967-11-12,9,25.315,ATL,,BAL,L 7-49,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,8,334,41.75,0
45,1967,1967-11-19,10,25.322,ATL,,RAM,L 3-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,284,47.33,0
46,1967,1967-11-26,11,25.329,ATL,@,NOR,L 24-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,125,41.67,0
47,1967,1967-12-03,12,25.336,ATL,@,RAM,L 3-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,311,44.43,0
48,1967,1967-12-10,13,25.343,ATL,,SFO,L 28-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,260,43.33,0
49,1967,1967-12-17,14,25.350,ATL,,CHI,L 14-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,293,41.86,0
50,1968,1968-09-14,1,26.257,ATL,@,MIN,L 7-47,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,284,47.33,0
51,1968,1968-09-22,2,26.265,ATL,,BAL,L 20-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,220,44.00,0
52,1968,1968-09-29,3,26.272,ATL,@,SFO,L 13-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,241,40.17,0
53,1968,1968-10-06,4,26.279,ATL,,GNB,L 7-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,342,48.86,0
54,1968,1968-10-13,5,26.286,ATL,,NYG,W 24-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,148,49.33,0
55,1968,1968-10-20,6,26.293,ATL,@,RAM,L 14-27,,0,0,,0,0,0,,0,0,,,1,-16,-16.00,0,0,0,0,0,0,7,310,44.29,0
56,1968,1968-10-27,7,26.300,ATL,@,CLE,L 7-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,147,49.00,0
57,1968,1968-11-03,8,26.307,ATL,,PIT,L 21-41,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,154,51.33,0
58,1968,1968-11-10,9,26.314,ATL,,RAM,L 10-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,44,0,6,274,45.67,0
59,1968,1968-11-17,10,26.321,ATL,@,CHI,W 16-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,201,40.20,0
60,1968,1968-11-24,11,26.328,ATL,@,STL,L 12-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,32,0,8,341,42.63,0
61,1968,1968-12-01,12,26.335,ATL,@,BAL,L 0-44,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,238,39.67,0
62,1968,1968-12-08,13,26.342,ATL,,DET,L 7-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,118,39.33,0
63,1968,1968-12-15,14,26.349,ATL,,SFO,L 12-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,304,43.43,0
64,1969,1969-09-21,1,27.263,ATL,,SFO,W 24-12,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,178,44.50,0
65,1969,1969-09-28,2,27.270,ATL,@,RAM,L 7-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,218,43.60,0
66,1969,1969-10-05,3,27.277,ATL,,BAL,L 14-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,192,38.40,0
67,1969,1969-10-12,4,27.284,ATL,,DAL,L 17-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,306,43.71,0
68,1969,1969-10-19,5,27.291,ATL,@,SFO,W 21-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,165,41.25,0
69,1969,1969-10-26,6,27.298,ATL,@,GNB,L 10-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,88,44.00,0
70,1969,1969-11-02,7,27.305,ATL,,RAM,L 6-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,264,44.00,0
71,1969,1969-11-09,8,27.312,ATL,@,DET,L 21-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,137,45.67,0
72,1969,1969-11-16,9,27.319,ATL,,CHI,W 48-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,92,46.00,0
73,1969,1969-11-23,10,27.326,ATL,@,WAS,L 20-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,214,42.80,0
74,1969,1969-11-30,11,27.333,ATL,@,BAL,L 6-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,125,31.25,0
75,1969,1969-12-07,12,27.340,ATL,,NOR,W 45-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,235,39.17,0
76,1969,1969-12-14,13,27.347,ATL,@,PHI,W 27-3,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,0,0,0,6,259,43.17,0
77,1969,1969-12-21,14,27.354,ATL,,MIN,W 10-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,10,373,37.30,0
78,1970,1970-09-20,1,28.262,ATL,@,NOR,W 14-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,7,285,40.71,0
79,1970,1970-09-27,2,28.269,ATL,@,GNB,L 24-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,100,33.33,0
80,1970,1970-10-04,3,28.276,ATL,,SFO,W 21-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,209,41.80,0
81,1970,1970-10-11,4,28.283,ATL,@,DAL,L 0-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,8,315,39.38,0
82,1970,1970-10-18,5,28.290,ATL,@,DEN,L 10-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,226,45.20,0
83,1970,1970-10-25,6,28.297,ATL,,NOR,W 32-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,113,37.67,0
84,1970,1970-11-01,7,28.304,ATL,,CHI,L 14-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,222,37.00,0
85,1970,1970-11-08,8,28.311,ATL,@,RAM,T 10-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,8,294,36.75,0
86,1970,1970-11-15,9,28.318,ATL,@,PHI,T 13-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,125,41.67,0
87,1970,1970-11-22,10,28.325,ATL,,RAM,L 7-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,194,38.80,0
88,1970,1970-11-30,11,28.333,ATL,,MIA,L 7-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,128,42.67,0
89,1970,1970-12-06,12,28.339,ATL,@,SFO,L 20-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,8,317,39.63,0
90,1970,1970-12-13,13,28.346,ATL,,PIT,W 27-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,223,37.17,0
91,1970,1970-12-20,14,28.353,ATL,,MIN,L 7-37,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,193,32.17,0
92,1971,1971-10-24,6,29.296,ATL,,NOR,W 28-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,114,38.00,0
93,1971,1971-10-31,7,29.303,ATL,@,CLE,W 31-14,,1,1,100.00,27,0,0,118.7,0,0,27.00,27.00,0,0,,0,0,0,0,0,0,4,132,33.00,1
94,1971,1971-11-07,8,29.310,ATL,@,CIN,W 9-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,6,221,36.83,0
95,1971,1971-11-14,9,29.317,ATL,,NYG,L 17-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,196,39.20,0
96,1971,1971-11-22,10,29.325,ATL,,GNB,W 28-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,141,35.25,0
97,1971,1971-11-28,11,29.331,ATL,@,MIN,L 7-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,9,321,35.67,0
98,1971,1971-12-05,12,29.338,ATL,,OAK,W 24-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,148,37.00,0
99,1971,1971-12-12,13,29.345,ATL,@,SFO,L 3-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,154,38.50,0
100,1971,1971-12-19,14,29.352,ATL,@,NOR,W 24-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,5,212,42.40,0
101,1972,1972-11-27,11,30.331,MIA,,STL,W 31-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,3,110,36.67,0
102,1972,1972-12-03,12,30.337,MIA,@,NWE,W 37-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,40,40.00,0
