ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
15,1975,1975-09-21,1,24.192,BAL,@,CHI,W 35-7,,,,,,,,,,,,,,,,,
16,1975,1975-09-28,2,24.199,BAL,,OAK,L 20-31,,,,,,,,,,,,,,,,,
17,1975,1975-10-05,3,24.206,BAL,@,RAM,L 13-24,0,0,,0,0,0,,0,2,25,12.50,0,0,0,0,0,0
18,1975,1975-10-12,4,24.213,BAL,,BUF,L 31-38,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,0
19,1975,1975-10-19,5,24.220,BAL,@,NWE,L 10-21,0,0,,0,0,0,,0,3,17,5.67,0,0,0,0,0,0
20,1975,1975-10-26,6,24.227,BAL,@,NYJ,W 45-28,0,0,,0,0,0,,0,0,0,,0,1,6,1,38,1
21,1975,1975-11-02,7,24.234,BAL,,CLE,W 21-7,,,,,,,,,,,,,,,,,
22,1975,1975-11-09,8,24.241,BAL,@,BUF,W 42-35,,,,,,,,,,,,,,,,,
23,1975,1975-11-16,9,24.248,BAL,,NYJ,W 52-19,0,0,,0,0,0,,0,0,0,,0,0,0,1,28,0
24,1975,1975-11-23,10,24.255,BAL,@,MIA,W 33-17,,,,,,,,,,,,,,,,,
25,1975,1975-11-30,11,24.262,BAL,,KAN,W 28-14,0,0,,0,1,0,0.00,0,0,0,,0,1,6,1,42,1
26,1975,1975-12-07,12,24.269,BAL,@,NYG,W 21-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,18,0
27,1975,1975-12-14,13,24.276,BAL,,MIA,W 10-7,,,,,,,,,,,,,,,,,
28,1975,1975-12-21,14,24.283,BAL,,NWE,W 34-21,,,,,,,,,,,,,,,,,
29,1976,1976-09-12,1,25.183,BAL,@,NWE,W 27-13,0,0,,0,1,17,17.00,0,0,0,,0,0,0,3,73,0
30,1976,1976-09-19,2,25.190,BAL,,CIN,W 28-27,,,,,,,,,,,,,,,,,
31,1976,1976-09-26,3,25.197,BAL,@,DAL,L 27-30,,,,,,,,,,,,,,,,,
32,1976,1976-10-03,4,25.204,BAL,,TAM,W 42-17,,,,,,,,,,,,,,,,,
33,1976,1976-10-10,5,25.211,BAL,,MIA,W 28-14,,,,,,,,,,,,,,,,,
34,1976,1976-10-17,6,25.218,BAL,@,BUF,W 31-13,,,,,,,,,,,,,,,,,
35,1976,1976-10-24,7,25.225,BAL,@,NYJ,W 20-0,0,0,,0,0,0,,0,0,0,,0,0,0,1,32,0
36,1976,1976-11-01,8,25.233,BAL,,HOU,W 38-14,,,,,,,,,,,,,,,,,
37,1976,1976-11-07,9,25.239,BAL,@,SDG,W 37-21,,,,,,,,,,,,,,,,,
38,1976,1976-11-14,10,25.246,BAL,,NWE,L 14-21,,,,,,,,,,,,,,,,,
39,1976,1976-11-22,11,25.254,BAL,@,MIA,W 17-16,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
40,1976,1976-11-28,12,25.260,BAL,,NYJ,W 33-16,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0,0,0
41,1976,1976-12-04,13,25.266,BAL,@,STL,L 17-24,0,0,,0,1,23,23.00,0,0,0,,0,0,0,0,0,0
42,1976,1976-12-12,14,25.274,BAL,,BUF,W 58-20,,,,,,,,,,,,,,,,,
43,1977,1977-10-16,5,26.217,RAM,,NOR,W 14-7,,,,,,,,,,,,,,,,,
44,1977,1977-10-24,6,26.225,RAM,,MIN,W 35-3,,,,,,,,,,,,,,,,,
45,1977,1977-10-30,7,26.231,RAM,@,NOR,L 26-27,,,,,,,,,,,,,,,,,
46,1977,1977-11-06,8,26.238,RAM,,TAM,W 31-0,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0,0,0
47,1977,1977-11-13,9,26.245,RAM,@,GNB,W 24-6,,,,,,,,,,,,,,,,,
48,1977,1977-11-20,10,26.252,RAM,@,SFO,W 23-10,,,,,,,,,,,,,,,,,
49,1977,1977-11-27,11,26.259,RAM,@,CLE,W 9-0,,,,,,,,,,,,,,,,,
50,1977,1977-12-04,12,26.266,RAM,,OAK,W 20-14,,,,,,,,,,,,,,,,,
51,1977,1977-12-11,13,26.273,RAM,,ATL,W 23-7,,,,,,,,,,,,,,,,,
52,1977,1977-12-17,14,26.279,RAM,@,WAS,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,23,0
53,1978,1978-09-17,3,27.188,RAM,,DAL,W 27-14,0,0,,0,0,0,,0,3,15,5.00,0,0,0,0,0,0
54,1978,1978-09-24,4,27.195,RAM,@,HOU,W 10-6,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0,0,0
55,1978,1978-10-01,5,27.202,RAM,@,NOR,W 26-20,0,0,,0,0,0,,0,4,72,18.00,0,0,0,0,0,0
56,1978,1978-10-08,6,27.209,RAM,,SFO,W 27-10,0,0,,0,0,0,,0,5,99,19.80,0,0,0,0,0,0
57,1978,1978-10-15,7,27.216,RAM,@,MIN,W 34-17,0,0,,0,0,0,,0,5,79,15.80,0,0,0,0,0,0
58,1978,1978-10-22,8,27.223,RAM,,NOR,L 3-10,0,0,,0,0,0,,0,5,62,12.40,0,0,0,0,0,0
59,1978,1978-10-30,9,27.231,RAM,@,ATL,L 7-15,0,0,,0,0,0,,0,4,19,4.75,0,0,0,0,0,0
60,1978,1978-11-05,10,27.237,RAM,,TAM,W 26-23,0,0,,0,0,0,,0,4,50,12.50,0,0,0,0,0,0
61,1978,1978-11-12,11,27.244,RAM,,PIT,W 10-7,0,0,,0,0,0,,0,3,18,6.00,0,0,0,0,0,0
62,1978,1978-11-19,12,27.251,RAM,@,SFO,W 31-28,0,0,,0,0,0,,0,4,42,10.50,0,0,0,0,0,0
63,1978,1978-11-26,13,27.258,RAM,@,CLE,L 19-30,0,0,,0,0,0,,0,3,51,17.00,0,0,0,0,0,0
64,1978,1978-12-03,14,27.265,RAM,@,NYG,W 20-17,0,0,,0,0,0,,0,4,66,16.50,0,0,0,0,0,0
65,1978,1978-12-11,15,27.273,RAM,,CIN,L 19-20,0,0,,0,0,0,,0,2,4,2.00,0,0,0,0,0,0
66,1978,1978-12-17,16,27.279,RAM,,GNB,W 31-14,0,0,,0,0,0,,0,4,38,9.50,0,0,0,0,0,0
67,1979,1979-11-25,13,28.257,RAM,@,SFO,W 26-20,,,,,,,,,,,,,,,,,
68,1979,1979-12-02,14,28.264,RAM,,MIN,W 27-21,,,,,,,,,,,,,,,,,
69,1979,1979-12-09,15,28.271,RAM,@,ATL,W 34-13,,,,,,,,,,,,,,,,,
70,1979,1979-12-16,16,28.278,RAM,,NOR,L 14-29,,,,,,,,,,,,,,,,,
