ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
13,2014,2014-09-14,2,30.130,ARI,@,NYG,W 25-14,*,14,29,48.28,167,0,0,66.3,4,25,5.76,5.76,2,-2,-1.00,0,0,0,0.0,0,0
14,2014,2014-09-21,3,30.137,ARI,,SFO,W 23-14,*,18,33,54.55,244,2,0,98.5,0,0,7.39,8.61,6,16,2.67,0,0,0,0.0,0,0
15,2014,2014-10-05,4,30.151,ARI,@,DEN,L 20-41,*,11,26,42.31,118,0,0,56.2,1,10,4.54,4.54,0,0,,0,0,0,0.0,0,0
16,2014,2014-11-09,9,30.186,ARI,,STL,W 31-14,,3,5,60.00,85,1,0,143.7,0,0,17.00,21.00,2,3,1.50,0,0,0,0.0,0,0
17,2014,2014-11-16,10,30.193,ARI,,DET,W 14-6,*,21,32,65.63,306,2,2,91.4,0,0,9.56,8.00,4,-4,-1.00,0,0,0,0.0,1,0
18,2014,2014-11-23,11,30.200,ARI,@,SEA,L 3-19,*,14,26,53.85,149,0,1,54.8,3,9,5.73,4.00,4,23,5.75,0,0,0,0.0,0,0
19,2014,2014-11-30,12,30.207,ARI,@,ATL,L 18-29,*,24,39,61.54,294,1,2,72.0,0,0,7.54,5.74,1,7,7.00,0,0,0,0.0,0,0
20,2014,2014-12-07,13,30.214,ARI,,KAN,W 17-14,*,15,30,50.00,239,1,0,88.1,2,14,7.97,8.63,4,17,4.25,0,0,0,0.0,0,0
21,2014,2014-12-11,14,30.218,ARI,@,STL,W 12-6,*,12,20,60.00,109,0,0,74.8,1,8,5.45,5.45,2,3,1.50,0,0,0,0.0,0,0
22,2015,2015-09-27,3,31.143,ARI,,SFO,W 47-7,,0,0,,0,0,0,,0,0,,,3,-3,-1.00,0,0,0,0.0,0,0
23,2015,2015-10-11,5,31.157,ARI,@,DET,W 42-17,,1,4,25.00,10,0,0,39.6,0,0,2.50,2.50,3,-3,-1.00,0,0,0,0.0,0,0
24,2015,2015-11-29,11,31.206,ARI,@,SFO,W 19-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
25,2015,2015-12-06,12,31.213,ARI,@,STL,W 27-3,,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,3,-3,-1.00,0,0,0,0.0,0,0
26,2015,2015-12-20,14,31.227,ARI,@,PHI,W 40-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-2,-1.00,0,0,0,0.0,0,0
27,2015,2015-12-27,15,31.234,ARI,,GNB,W 38-8,,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,2,-2,-1.00,0,0,0,0.0,0,0
28,2015,2016-01-03,16,31.241,ARI,,SEA,L 6-36,,8,18,44.44,84,0,2,19.0,2,8,4.67,-0.33,0,0,,0,0,0,0.0,0,0
29,2016,2016-09-18,2,32.134,ARI,,TAM,W 40-7,,1,4,25.00,11,0,0,39.6,0,0,2.75,2.75,0,0,,0,0,0,0.0,0,0
30,2016,2016-10-02,4,32.148,ARI,,LAR,L 13-17,,4,11,36.36,37,0,2,6.8,0,0,3.36,-4.82,0,0,,0,0,0,0.0,0,0
31,2016,2016-10-06,5,32.152,ARI,@,SFO,W 33-21,*,11,28,39.29,124,2,0,77.1,1,8,4.43,5.86,2,-2,-1.00,0,0,0,0.0,0,0
32,2016,2016-10-17,6,32.163,ARI,,NYJ,W 28-3,,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,1,-1,-1.00,0,0,0,0.0,0,0
33,2016,2017-01-01,16,32.239,ARI,@,LAR,W 44-6,,2,4,50.00,8,0,1,16.7,0,0,2.00,-9.25,0,0,,0,0,0,0.0,0,0
34,2017,2017-10-22,7,33.168,ARI,@,LAR,L 0-33,,5,14,35.71,66,0,1,21.7,2,6,4.71,1.50,1,4,4.00,0,0,0,0.0,0,0
35,2017,2017-11-05,8,33.182,ARI,@,SFO,W 20-10,*,15,30,50.00,201,2,1,80.0,0,0,6.70,6.53,4,2,0.50,0,0,0,0.0,0,0
36,2017,2017-11-09,9,33.186,ARI,,SEA,L 16-22,*,24,47,51.06,273,1,0,75.9,2,17,5.81,6.23,1,1,1.00,0,0,0,0.0,0,0
37,2017,2017-12-24,15,33.231,ARI,,NYG,W 23-0,*,20,34,58.82,209,2,2,71.8,2,15,6.15,4.68,2,1,0.50,0,0,0,0.0,0,0
38,2017,2017-12-31,16,33.238,ARI,@,SEA,W 26-24,*,15,34,44.12,145,1,1,54.2,1,2,4.26,3.53,1,-1,-1.00,0,0,0,0.0,0,0
