ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
23,1962,1962-09-21,3,27.026,BOS,,DEN,W 41-16,9,33,3.67,0,1,13,13.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
24,1962,1962-10-06,4,27.041,BOS,@,NYT,W 43-14,10,11,1.10,1,2,26,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
25,1962,1962-10-12,5,27.047,BOS,,DTX,L 7-27,5,10,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
26,1962,1962-10-19,6,27.054,BOS,,SDG,W 24-20,11,61,5.55,1,5,53,10.60,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
27,1962,1962-10-26,7,27.061,BOS,,OAK,W 26-16,11,31,2.82,0,2,7,3.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
28,1962,1962-11-03,8,27.069,BOS,@,BUF,T 28-28,3,-5,-1.67,0,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
29,1962,1962-11-11,9,27.077,BOS,@,DEN,W 33-29,11,41,3.73,0,5,43,8.60,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
30,1962,1962-11-18,10,27.084,BOS,@,HOU,L 17-21,14,72,5.14,0,2,-3,-1.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
31,1962,1962-11-23,11,27.089,BOS,,BUF,W 21-10,15,43,2.87,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,24,12.00,0,,,,,,,0,0
32,1962,1962-11-30,12,27.096,BOS,,NYT,W 24-17,14,48,3.43,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
33,1962,1962-12-09,13,27.105,BOS,@,SDG,W 20-14,16,26,1.63,0,2,61,30.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
34,1962,1962-12-16,14,27.112,BOS,@,OAK,L 0-20,6,35,5.83,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
35,1963,1963-09-08,1,28.013,BOS,,NYJ,W 38-14,8,28,3.50,1,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6
36,1963,1963-09-14,2,28.019,BOS,@,SDG,L 13-17,14,47,3.36,0,2,19,9.50,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00,0,0,,0,,,,,,,0,0
37,1963,1963-09-22,3,28.027,BOS,@,OAK,W 20-14,11,28,2.55,0,2,22,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
38,1963,1963-09-29,4,28.034,BOS,@,DEN,L 10-14,4,12,3.00,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
39,1963,1963-10-05,5,28.040,BOS,@,NYJ,L 24-31,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
40,1963,1963-10-18,7,28.053,BOS,,DEN,W 40-21,6,9,1.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
41,1963,1963-10-26,8,28.061,BOS,@,BUF,L 21-28,7,43,6.14,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
42,1963,1963-11-01,9,28.067,BOS,,HOU,W 45-3,4,26,6.50,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
43,1963,1963-11-17,11,28.083,BOS,,KAN,T 24-24,2,-2,-1.00,0,2,34,17.00,0,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,0,0,,0,,,,,,,0,0
44,1963,1963-12-01,12,28.097,BOS,,BUF,W 17-7,14,27,1.93,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
45,1964,1964-09-13,1,29.018,BOS,@,OAK,W 17-14,0,0,,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0
