ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
23,1985,1985-11-03,9,23.206,NOR,@,RAM,L 10-28,,,,,,,,,,
24,1985,1985-11-10,10,23.213,NOR,,SEA,L 3-27,,,,,,,,,,
25,1985,1985-11-17,11,23.220,NOR,@,GNB,L 14-38,0,0,,0,1,6,0.0,1,52,1
26,1985,1985-11-24,12,23.227,NOR,@,MIN,W 30-23,,,,,,,,,,
27,1985,1985-12-01,13,23.234,NOR,,RAM,W 29-3,0,0,,0,0,0,1.0,0,0,0
28,1985,1985-12-08,14,23.241,NOR,@,STL,L 16-28,,,,,,,,,,
29,1985,1985-12-15,15,23.248,NOR,,SFO,L 19-31,0,0,,0,0,0,0.0,1,1,0
30,1985,1985-12-22,16,23.255,NOR,,ATL,L 10-16,,,,,,,,,,
31,1986,1986-09-07,1,24.149,PHI,@,WAS,L 14-41,,,,,,,,,,
32,1986,1986-09-14,2,24.156,PHI,@,CHI,L 10-13,,,,,,,,,,
33,1986,1986-09-21,3,24.163,PHI,,DEN,L 7-33,,,,,,,,,,
34,1986,1986-09-28,4,24.170,PHI,,RAM,W 34-20,,,,,,,,,,
35,1986,1986-10-05,5,24.177,PHI,@,ATL,W 16-0,,,,,,,,,,
36,1986,1986-10-12,6,24.184,PHI,@,NYG,L 3-35,,,,,,,,,,
37,1986,1986-10-19,7,24.191,PHI,,DAL,L 14-17,,,,,,,,,,
38,1986,1986-10-26,8,24.198,PHI,,SDG,W 23-7,,,,,,,,,,
39,1986,1986-11-02,9,24.205,PHI,@,STL,L 10-13,,,,,,,,,,
40,1986,1986-11-09,10,24.212,PHI,,NYG,L 14-17,,,,,,,,,,
41,1986,1986-11-16,11,24.219,PHI,,DET,L 11-13,,,,,,,,,,
42,1986,1986-11-23,12,24.226,PHI,@,SEA,L 20-24,,,,,,,,,,
43,1986,1986-11-30,13,24.233,PHI,@,RAI,W 33-27,,,,,,,,,,
44,1986,1986-12-07,14,24.240,PHI,,STL,T 10-10,,,,,,,,,,
45,1986,1986-12-14,15,24.247,PHI,@,DAL,W 23-21,0,0,,0,0,0,0.0,1,18,0
46,1986,1986-12-21,16,24.254,PHI,,WAS,L 14-21,,,,,,,,,,
47,1987,1987-09-13,1,25.155,PHI,@,WAS,L 24-34,,,,,,,,,,
48,1987,1987-09-20,2,25.162,PHI,,NOR,W 27-17,,,,,,,,,,
49,1987,1987-10-25,6,25.197,PHI,,DAL,W 37-20,,,,,,,,,,
50,1987,1987-11-01,7,25.204,PHI,@,STL,W 28-23,,,,,,,,,,
51,1987,1987-11-08,8,25.211,PHI,,WAS,W 31-27,,,,,,,,,,
52,1987,1987-11-15,9,25.218,PHI,,NYG,L 17-20,,,,,,,,,,
53,1987,1987-11-22,10,25.225,PHI,,STL,L 19-31,0,0,,0,0,0,1.0,1,0,0
54,1987,1987-11-29,11,25.232,PHI,@,NWE,W 34-31,,,,,,,,,,
55,1987,1987-12-06,12,25.239,PHI,@,NYG,L 20-23,0,0,,0,0,0,0.0,1,3,0
56,1987,1987-12-20,14,25.253,PHI,@,NYJ,W 38-27,,,,,,,,,,
57,1987,1987-12-27,15,25.260,PHI,,BUF,W 17-7,,,,,,,,,,
58,1988,1988-09-04,1,26.146,PHI,@,TAM,W 41-14,1,38,38.00,1,1,6,0.0,2,36,0
59,1988,1988-09-11,2,26.153,PHI,,CIN,L 24-28,0,0,,0,,,,,,
60,1988,1988-09-18,3,26.160,PHI,@,WAS,L 10-17,0,0,,0,0,0,0.0,1,14,0
61,1988,1988-09-25,4,26.167,PHI,@,MIN,L 21-23,0,0,,0,,,,,,
62,1988,1988-10-02,5,26.174,PHI,,HOU,W 32-23,0,0,,0,,,,,,
63,1988,1988-10-10,6,26.182,PHI,,NYG,W 24-13,0,0,,0,,,,,,
64,1988,1988-10-16,7,26.188,PHI,@,CLE,L 3-19,0,0,,0,,,,,,
65,1988,1988-10-23,8,26.195,PHI,,DAL,W 24-23,0,0,,0,,,,,,
66,1988,1988-10-30,9,26.202,PHI,,ATL,L 24-27,0,0,,0,0,0,1.0,0,0,0
67,1988,1988-11-06,10,26.209,PHI,,RAM,W 30-24,0,0,,0,0,0,0.0,1,12,0
68,1988,1988-11-13,11,26.216,PHI,@,PIT,W 27-26,0,0,,0,0,0,1.0,0,0,0
69,1988,1988-11-20,12,26.223,PHI,@,NYG,W 23-17,0,0,,0,0,0,0.0,2,14,0
70,1988,1988-11-27,13,26.230,PHI,,PHO,W 31-21,0,0,,0,0,0,0.0,1,38,0
71,1988,1988-12-04,14,26.237,PHI,,WAS,L 19-20,0,0,,0,,,,,,
72,1988,1988-12-10,15,26.243,PHI,@,PHO,W 23-17,0,0,,0,0,0,0.0,1,2,0
73,1988,1988-12-18,16,26.251,PHI,@,DAL,W 23-7,0,0,,0,,,,,,
74,1989,1989-11-19,11,27.222,PHI,,MIN,W 10-9,,,,,,,,,,
75,1989,1989-11-23,12,27.226,PHI,@,DAL,W 27-0,,,,,,,,,,
76,1989,1989-12-03,13,27.236,PHI,@,NYG,W 24-17,,,,,,,,,,
77,1989,1989-12-10,14,27.243,PHI,,DAL,W 20-10,,,,,,,,,,
78,1989,1989-12-18,15,27.251,PHI,@,NOR,L 20-30,,,,,,,,,,
79,1989,1989-12-24,16,27.257,PHI,,PHO,W 31-14,,,,,,,,,,
80,1990,1990-09-09,1,28.151,PHI,@,NYG,L 20-27,,,,,,,,,,
81,1990,1990-09-16,2,28.158,PHI,,PHO,L 21-23,0,0,,0,0,0,1.0,0,0,0
82,1990,1990-09-23,3,28.165,PHI,@,RAM,W 27-21,,,,,,,,,,
83,1990,1990-09-30,4,28.172,PHI,,IND,L 23-24,,,,,,,,,,
84,1990,1990-10-15,5,28.187,PHI,,MIN,W 32-24,,,,,,,,,,
85,1990,1990-10-21,6,28.193,PHI,@,WAS,L 7-13,,,,,,,,,,
86,1990,1990-10-28,7,28.200,PHI,@,DAL,W 21-20,,,,,,,,,,
87,1990,1990-11-04,8,28.207,PHI,,NWE,W 48-20,,,,,,,,,,
88,1990,1990-11-12,9,28.215,PHI,,WAS,W 28-14,,,,,,,,,,
89,1990,1990-11-18,10,28.221,PHI,@,ATL,W 24-23,,,,,,,,,,
90,1990,1990-11-25,11,28.228,PHI,,NYG,W 31-13,,,,,,,,,,
91,1990,1990-12-02,12,28.235,PHI,@,BUF,L 23-30,,,,,,,,,,
92,1990,1990-12-09,13,28.242,PHI,@,MIA,L 20-23,,,,,,,,,,
93,1990,1990-12-16,14,28.249,PHI,,GNB,W 31-0,0,0,,0,0,0,0.0,1,0,0
94,1990,1990-12-23,15,28.256,PHI,,DAL,W 17-3,,,,,,,,,,
95,1990,1990-12-29,16,28.262,PHI,@,PHO,W 23-21,,,,,,,,,,
96,1991,1991-09-01,1,29.143,WAS,,DET,W 45-0,,,,,,,,,,
97,1991,1991-09-09,2,29.151,WAS,@,DAL,W 33-31,,,,,,,,,,
98,1991,1991-09-22,4,29.164,WAS,@,CIN,W 34-27,,,,,,,,,,
99,1991,1991-09-30,5,29.172,WAS,,PHI,W 23-0,,,,,,,,,,
100,1991,1991-10-06,6,29.178,WAS,@,CHI,W 20-7,,,,,,,,,,
101,1991,1991-10-13,7,29.185,WAS,,CLE,W 42-17,,,,,,,,,,
102,1993,1993-09-26,4,31.168,SFO,@,NOR,L 13-16,,,,,,,,,,
103,1993,1993-10-03,5,31.175,SFO,,MIN,W 38-19,,,,,,,,,,
104,1993,1993-10-17,6,31.189,SFO,@,DAL,L 17-26,,,,,,,,,,
105,1993,1993-10-24,7,31.196,SFO,,PHO,W 28-14,,,,,,,,,,
106,1993,1993-12-19,14,31.252,HOU,@,PIT,W 26-17,,,,,,,,,,
107,1993,1993-12-25,15,31.258,HOU,@,SFO,W 10-7,,,,,,,,,,
108,1993,1994-01-02,16,31.266,HOU,,NYJ,W 24-0,,,,,,,,,,
109,1994,1994-09-04,1,32.146,ARI,@,RAM,L 12-14,,,,,,,,,,
110,1994,1994-09-11,2,32.153,ARI,,NYG,L 17-20,,,,,,,,,,
111,1994,1994-09-18,3,32.160,ARI,@,CLE,L 0-32,,,,,,,,,,
112,1994,1994-10-02,4,32.174,ARI,,MIN,W 17-7,,,,,,,,,,
113,1994,1994-10-09,5,32.181,ARI,@,DAL,L 3-38,,,,,,,,,,
114,1994,1994-10-16,6,32.188,ARI,@,WAS,W 19-16,0,0,,0,0,0,0.0,1,23,0
115,1994,1994-10-23,7,32.195,ARI,,DAL,L 21-28,,,,,,,,,,
116,1994,1994-10-30,8,32.202,ARI,,PIT,W 20-17,,,,,,,,,,
117,1994,1994-11-06,9,32.209,ARI,@,PHI,L 7-17,0,0,,0,0,0,1.0,0,0,0
118,1994,1994-11-13,10,32.216,ARI,@,NYG,W 10-9,,,,,,,,,,
119,1994,1994-11-20,11,32.223,ARI,,PHI,W 12-6,,,,,,,,,,
120,1994,1994-11-27,12,32.230,ARI,,CHI,L 16-19,,,,,,,,,,
121,1994,1994-12-04,13,32.237,ARI,@,HOU,W 30-12,0,0,,0,0,0,0.0,2,41,0
122,1994,1994-12-11,14,32.244,ARI,,WAS,W 17-15,,,,,,,,,,
123,1994,1994-12-18,15,32.251,ARI,,CIN,W 28-7,,,,,,,,,,
124,1994,1994-12-24,16,32.257,ARI,@,ATL,L 6-10,,,,,,,,,,
125,1995,1995-09-17,3,33.159,ARI,@,DET,W 20-17,0,0,,0,0,0,1.0,0,0,0
126,1995,1995-09-24,4,33.166,ARI,@,DAL,L 20-34,,,,,,,,,,
127,1995,1995-10-01,5,33.173,ARI,,KAN,L 3-24,0,0,,0,0,0,0.0,1,0,0
128,1995,1995-10-08,6,33.180,ARI,@,NYG,L 21-27,0,0,,0,0,0,0.0,1,0,0
129,1995,1995-10-15,7,33.187,ARI,,WAS,W 24-20,,,,,,,,,,
130,1995,1995-10-29,8,33.201,ARI,,SEA,W 20-14,,,,,,,,,,
131,1995,1995-11-05,9,33.208,ARI,@,DEN,L 6-38,,,,,,,,,,
132,1995,1995-11-12,10,33.215,ARI,,MIN,L 24-30,,,,,,,,,,
133,1995,1995-11-19,11,33.222,ARI,@,CAR,L 7-27,,,,,,,,,,
134,1995,1995-11-26,12,33.229,ARI,,ATL,W 40-37,,,,,,,,,,
135,1995,1995-12-09,14,33.242,ARI,@,SDG,L 25-28,,,,,,,,,,
136,1995,1995-12-25,16,33.258,ARI,,DAL,L 13-37,,,,,,,,,,
137,1996,1996-09-01,1,34.143,ARI,@,IND,L 13-20,,,,,,,,,,
138,1996,1996-09-08,2,34.150,ARI,,MIA,L 10-38,,,,,,,,,,
139,1996,1996-09-15,3,34.157,ARI,@,NWE,L 0-31,,,,,,,,,,
140,1996,1996-09-22,4,34.164,ARI,@,NOR,W 28-14,,,,,,,,,,
141,1996,1996-09-29,5,34.171,ARI,,STL,W 31-28,,,,,,,,,,
