ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
71,1973,1973-11-22,11,27.285,MIA,@,DAL,W 14-7,,,,,,,,,,,,,,,,,,,,,
72,1973,1973-12-03,12,27.296,MIA,,PIT,W 30-26,0,0,,0,0,0,,0,0,0,,0,2,12,4,121,2,0,0,,0
73,1973,1973-12-09,13,27.302,MIA,@,BAL,L 3-16,,,,,,,,,,,,,,,,,,,,,
74,1973,1973-12-15,14,27.308,MIA,,DET,W 34-7,0,0,,0,0,0,,0,1,12,12.00,0,0,0,0,0,0,0,0,,0
75,1974,1974-09-15,1,28.217,MIA,@,NWE,L 24-34,,,,,,,,,,,,,,,,,,,,,
76,1974,1974-09-22,2,28.224,MIA,@,BUF,W 24-16,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0,0,0,,0
77,1974,1974-09-29,3,28.231,MIA,@,SDG,W 28-21,,,,,,,,,,,,,,,,,,,,,
78,1974,1974-10-07,4,28.239,MIA,,NYJ,W 21-17,,,,,,,,,,,,,,,,,,,,,
79,1974,1974-10-13,5,28.245,MIA,@,WAS,L 17-20,,,,,,,,,,,,,,,,,,,,,
80,1974,1974-10-20,6,28.252,MIA,,KAN,W 9-3,,,,,,,,,,,,,,,,,,,,,
81,1974,1974-10-27,7,28.259,MIA,,BAL,W 17-7,,,,,,,,,,,,,,,,,,,,,
82,1974,1974-11-03,8,28.266,MIA,,ATL,W 42-7,0,0,,0,0,0,,0,1,3,3.00,0,0,0,1,3,0,0,0,,0
83,1974,1974-11-10,9,28.273,MIA,@,NOR,W 21-0,,,,,,,,,,,,,,,,,,,,,
84,1974,1974-11-17,10,28.280,MIA,,BUF,W 35-28,,,,,,,,,,,,,,,,,,,,,
85,1974,1974-11-24,11,28.287,MIA,@,NYJ,L 14-17,,,,,,,,,,,,,,,,,,,,,
86,1974,1974-12-02,12,28.295,MIA,,CIN,W 24-3,,,,,,,,,,,,,,,,,,,,,
87,1974,1974-12-08,13,28.301,MIA,@,BAL,W 17-16,,,,,,,,,,,,,,,,,,,,,
88,1974,1974-12-15,14,28.308,MIA,,NWE,W 34-27,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
89,1976,1976-10-17,6,30.250,MIA,,KAN,L 17-20,,,,,,,,,,,,,,,,,,,,,
90,1976,1976-10-24,7,30.257,MIA,@,TAM,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,32,0,0,0,,0
91,1976,1976-10-31,8,30.264,MIA,,NWE,W 10-3,,,,,,,,,,,,,,,,,,,,,
92,1976,1976-11-07,9,30.271,MIA,@,NYJ,W 27-7,,,,,,,,,,,,,,,,,,,,,
93,1976,1976-11-14,10,30.278,MIA,@,PIT,L 3-14,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0,0,0,0,0,,0
94,1976,1976-11-22,11,30.286,MIA,,BAL,L 16-17,,,,,,,,,,,,,,,,,,,,,
95,1976,1976-11-28,12,30.292,MIA,@,CLE,L 13-17,,,,,,,,,,,,,,,,,,,,,
96,1976,1976-12-05,13,30.299,MIA,,BUF,W 45-27,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0,0,0,0,0,,0
97,1976,1976-12-11,14,30.305,MIA,,MIN,L 7-29,,,,,,,,,,,,,,,,,,,,,
98,1977,1977-09-18,1,31.220,MIA,@,BUF,W 13-0,,,,,,,,,,,,,,,,,,,,,
99,1977,1977-09-25,2,31.227,MIA,@,SFO,W 19-15,0,0,,0,0,0,,0,2,0,0.00,0,0,0,0,0,0,0,0,,0
100,1977,1977-10-02,3,31.234,MIA,,HOU,W 27-7,,,,,,,,,,,,,,,,,,,,,
101,1977,1977-10-09,4,31.241,MIA,@,BAL,L 28-45,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0,0,0,0,0,,0
102,1977,1977-10-16,5,31.248,MIA,,NYJ,W 21-17,,,,,,,,,,,,,,,,,,,,,
103,1977,1977-10-23,6,31.255,MIA,,SEA,W 31-13,,,,,,,,,,,,,,,,,,,,,
104,1977,1977-10-30,7,31.262,MIA,,SDG,L 13-14,,,,,,,,,,,,,,,,,,,,,
105,1977,1977-11-06,8,31.269,MIA,@,NYJ,W 14-10,,,,,,,,,,,,,,,,,,,,,
106,1977,1977-11-13,9,31.276,MIA,,NWE,W 17-5,,,,,,,,,,,,,,,,,,,,,
107,1977,1977-11-20,10,31.283,MIA,@,CIN,L 17-23,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
108,1977,1977-11-24,11,31.287,MIA,@,STL,W 55-14,,,,,,,,,,,,,,,,,,,,,
109,1977,1977-12-05,12,31.298,MIA,,BAL,W 17-6,,,,,,,,,,,,,,,,,,,,,
110,1977,1977-12-11,13,31.304,MIA,@,NWE,L 10-14,,,,,,,,,,,,,,,,,,,,,
111,1977,1977-12-17,14,31.310,MIA,,BUF,W 31-14,,,,,,,,,,,,,,,,,,,,,
