ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
15,2011,2011-09-18,2,24.346,NOR,,CHI,W 30-13,,,,,,,,,,,,,,,,,,,
16,2011,2011-09-25,3,24.353,NOR,,HOU,W 40-33,,,,,,,,,,,,,,,,,,,
17,2011,2011-10-02,4,24.360,NOR,@,JAX,W 23-10,,,,,,,,,,,,,,,,,,,
18,2011,2011-10-09,5,25.002,NOR,@,CAR,W 30-27,,,,,,,,,,,,,,,,,,,
19,2011,2011-10-16,6,25.009,NOR,@,TAM,L 20-26,,,,,,,,,,,,,,,,,,,
20,2011,2011-10-23,7,25.016,NOR,,IND,W 62-7,,,,,,,,,,,,,,,,,,,
21,2011,2011-10-30,8,25.023,NOR,@,STL,L 21-31,,,,,,,,,,,,,,,,,,,
22,2011,2011-11-06,9,25.030,NOR,,TAM,W 27-16,,,,,,,,,,,,,,,,,,,
23,2011,2011-11-13,10,25.037,NOR,@,ATL,W 26-23,,,,,,,,,,,,,,,,,,,
24,2011,2011-11-28,11,25.052,NOR,,NYG,W 49-24,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0.0,0,0
25,2011,2011-12-04,12,25.058,NOR,,DET,W 31-17,,,,,,,,,,,,,,,,,,,
26,2011,2011-12-11,13,25.065,NOR,@,TEN,W 22-17,,,,,,,,,,,,,,,,,,,
27,2011,2011-12-18,14,25.072,NOR,@,MIN,W 42-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0
28,2011,2011-12-26,15,25.080,NOR,,ATL,W 45-16,,,,,,,,,,,,,,,,,,,
29,2011,2012-01-01,16,25.086,NOR,,CAR,W 45-17,,3,3,100.00,20,0,0,94.4,0,0,6.67,6.67,3,-3,-1.00,0,0.0,0,0
30,2012,2012-09-09,1,25.338,NOR,,WAS,L 32-40,,,,,,,,,,,,,,,,,,,
31,2012,2012-09-16,2,25.345,NOR,@,CAR,L 27-35,,,,,,,,,,,,,,,,,,,
32,2012,2012-09-23,3,25.352,NOR,,KAN,L 24-27,,,,,,,,,,,,,,,,,,,
33,2012,2012-09-30,4,25.359,NOR,@,GNB,L 27-28,,,,,,,,,,,,,,,,,,,
34,2012,2012-10-07,5,26.000,NOR,,SDG,W 31-24,,,,,,,,,,,,,,,,,,,
35,2012,2012-10-21,6,26.014,NOR,@,TAM,W 35-28,,,,,,,,,,,,,,,,,,,
36,2012,2012-10-28,7,26.021,NOR,@,DEN,L 14-34,,,,,,,,,,,,,,,,,,,
37,2012,2012-11-05,8,26.029,NOR,,PHI,W 28-13,,,,,,,,,,,,,,,,,,,
38,2012,2012-11-11,9,26.035,NOR,,ATL,W 31-27,,,,,,,,,,,,,,,,,,,
39,2012,2012-11-18,10,26.042,NOR,@,OAK,W 38-17,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,3,17,5.67,0,0.0,0,0
40,2012,2012-11-25,11,26.049,NOR,,SFO,L 21-31,,,,,,,,,,,,,,,,,,,
41,2012,2012-11-29,12,26.053,NOR,@,ATL,L 13-23,,,,,,,,,,,,,,,,,,,
42,2012,2012-12-09,13,26.063,NOR,@,NYG,L 27-52,,,,,,,,,,,,,,,,,,,
43,2012,2012-12-16,14,26.070,NOR,,TAM,W 41-0,,,,,,,,,,,,,,,,,,,
44,2012,2012-12-23,15,26.077,NOR,@,DAL,W 34-31,,,,,,,,,,,,,,,,,,,
45,2012,2012-12-30,16,26.084,NOR,,CAR,L 38-44,,,,,,,,,,,,,,,,,,,
46,2013,2013-09-08,1,26.336,KAN,@,JAX,W 28-2,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0.0,0,0
47,2013,2013-09-29,4,26.357,KAN,,NYG,W 31-7,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,0.0,0,0
48,2013,2013-12-08,13,27.062,KAN,@,WAS,W 45-10,,1,3,33.33,17,0,1,13.9,0,0,5.67,-9.33,3,-3,-1.00,0,0.0,0,0
49,2013,2013-12-15,14,27.069,KAN,@,OAK,W 56-31,,3,5,60.00,31,0,0,77.9,0,0,6.20,6.20,1,-1,-1.00,0,0.0,0,0
50,2013,2013-12-29,16,27.083,KAN,@,SDG,L 24-27,*,21,30,70.00,200,1,0,99.3,2,11,6.67,7.33,7,59,8.43,0,0.0,0,0
51,2014,2014-10-26,7,28.019,KAN,,STL,W 34-7,,,,,,,,,,,,,,,,,,,
52,2014,2014-12-14,14,28.068,KAN,,OAK,W 31-13,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0,0.0,0,0
53,2014,2014-12-28,16,28.082,KAN,,SDG,W 19-7,*,16,27,59.26,157,0,0,75.7,4,17,5.81,5.81,3,16,5.33,0,0.0,0,0
54,2015,2015-11-01,8,29.025,KAN,,DET,W 45-10,,2,2,100.00,4,0,0,79.2,0,0,2.00,2.00,0,0,,0,0.0,0,0
55,2015,2015-12-20,14,29.074,KAN,@,BAL,W 34-14,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,0.0,0,0
56,2016,2016-10-23,6,30.016,PHI,,MIN,W 21-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
57,2016,2016-12-22,15,30.076,PHI,,NYG,W 24-19,,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,0,0,,0,0.0,0,0
58,2017,2017-11-12,9,31.036,NOR,@,BUF,W 47-10,,0,0,,0,0,0,,0,0,,,3,-2,-0.67,0,0.0,0,0
